"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","1jeune1solution.gouv.fr/5.104.101.30","443","INFO","HTTP","",""
"pre_128cipher","1jeune1solution.gouv.fr/5.104.101.30","443","INFO","No 128 cipher limit bug","",""
"SSLv2","1jeune1solution.gouv.fr/5.104.101.30","443","OK","not offered","",""
"SSLv3","1jeune1solution.gouv.fr/5.104.101.30","443","OK","not offered","",""
"TLS1","1jeune1solution.gouv.fr/5.104.101.30","443","INFO","not offered","",""
"TLS1_1","1jeune1solution.gouv.fr/5.104.101.30","443","INFO","not offered","",""
"TLS1_2","1jeune1solution.gouv.fr/5.104.101.30","443","OK","offered","",""
"TLS1_3","1jeune1solution.gouv.fr/5.104.101.30","443","OK","offered with final","",""
"ALPN_HTTP2","1jeune1solution.gouv.fr/5.104.101.30","443","OK","h2","",""
"ALPN","1jeune1solution.gouv.fr/5.104.101.30","443","INFO","http/1.1","",""
"cipherlist_NULL","1jeune1solution.gouv.fr/5.104.101.30","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","1jeune1solution.gouv.fr/5.104.101.30","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","1jeune1solution.gouv.fr/5.104.101.30","443","OK","not offered","","CWE-327"
"cipherlist_LOW","1jeune1solution.gouv.fr/5.104.101.30","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","1jeune1solution.gouv.fr/5.104.101.30","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","1jeune1solution.gouv.fr/5.104.101.30","443","INFO","not offered","","CWE-310"
"cipherlist_STRONG_NOFS","1jeune1solution.gouv.fr/5.104.101.30","443","INFO","not offered","",""
"cipherlist_STRONG_FS","1jeune1solution.gouv.fr/5.104.101.30","443","OK","offered","",""
"cipher_order-tls1_2","1jeune1solution.gouv.fr/5.104.101.30","443","OK","server","",""
"cipherorder_TLSv1_2","1jeune1solution.gouv.fr/5.104.101.30","443","INFO","ECDHE-RSA-AES256-GCM-SHA384","",""
"cipher_order","1jeune1solution.gouv.fr/5.104.101.30","443","OK","server","",""
"FS","1jeune1solution.gouv.fr/5.104.101.30","443","OK","offered","",""
"FS_ciphers","1jeune1solution.gouv.fr/5.104.101.30","443","INFO","DHE-RSA-AES256-GCM-SHA384 ECDHE-RSA-AES128-GCM-SHA256 ECDHE-RSA-AES256-GCM-SHA384","",""
"FS_ECDHE_curves","1jeune1solution.gouv.fr/5.104.101.30","443","OK","prime256v1 secp384r1 secp521r1","",""
"TLS_extensions","1jeune1solution.gouv.fr/5.104.101.30","443","INFO","'renegotiation info/#65281' 'server name/#0' 'EC point formats/#11' 'session ticket/#35' 'supported versions/#43' 'key share/#51' 'supported_groups/#10' 'max fragment length/#1' 'application layer protocol negotiation/#16' 'extended master secret/#23'","",""
"TLS_session_ticket","1jeune1solution.gouv.fr/5.104.101.30","443","INFO","valid for 300 seconds only (<daily)","",""
"SSL_sessionID_support","1jeune1solution.gouv.fr/5.104.101.30","443","INFO","yes","",""
"sessionresumption_ticket","1jeune1solution.gouv.fr/5.104.101.30","443","INFO","not supported","",""
"sessionresumption_ID","1jeune1solution.gouv.fr/5.104.101.30","443","INFO","not supported","",""
"TLS_timestamp","1jeune1solution.gouv.fr/5.104.101.30","443","INFO","random","",""
"certificate_compression","1jeune1solution.gouv.fr/5.104.101.30","443","INFO","none","",""
"clientAuth","1jeune1solution.gouv.fr/5.104.101.30","443","INFO","none","",""
"cert_numbers","1jeune1solution.gouv.fr/5.104.101.30","443","INFO","1","",""
"cert_signatureAlgorithm","1jeune1solution.gouv.fr/5.104.101.30","443","OK","SHA256 with RSA","",""
"cert_keySize","1jeune1solution.gouv.fr/5.104.101.30","443","INFO","RSA 2048 bits (exponent is 65537)","",""
"cert_keyUsage","1jeune1solution.gouv.fr/5.104.101.30","443","INFO","Digital Signature, Key Encipherment","",""
