"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","tableau.portail-immo.gouv.fr/128.204.210.243","443","INFO","HTTP","",""
"pre_128cipher","tableau.portail-immo.gouv.fr/128.204.210.243","443","INFO","No 128 cipher limit bug","",""
"SSLv2","tableau.portail-immo.gouv.fr/128.204.210.243","443","OK","not offered","",""
"SSLv3","tableau.portail-immo.gouv.fr/128.204.210.243","443","OK","not offered","",""
"TLS1","tableau.portail-immo.gouv.fr/128.204.210.243","443","INFO","not offered","",""
"TLS1_1","tableau.portail-immo.gouv.fr/128.204.210.243","443","INFO","not offered","",""
"TLS1_2","tableau.portail-immo.gouv.fr/128.204.210.243","443","OK","offered","",""
"TLS1_3","tableau.portail-immo.gouv.fr/128.204.210.243","443","OK","offered with final","",""
"NPN","tableau.portail-immo.gouv.fr/128.204.210.243","443","INFO","not offered","",""
"ALPN","tableau.portail-immo.gouv.fr/128.204.210.243","443","INFO","http/1.1","",""
"cipherlist_NULL","tableau.portail-immo.gouv.fr/128.204.210.243","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","tableau.portail-immo.gouv.fr/128.204.210.243","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","tableau.portail-immo.gouv.fr/128.204.210.243","443","OK","not offered","","CWE-327"
"cipherlist_LOW","tableau.portail-immo.gouv.fr/128.204.210.243","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","tableau.portail-immo.gouv.fr/128.204.210.243","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","tableau.portail-immo.gouv.fr/128.204.210.243","443","LOW","offered","","CWE-310"
"cipherlist_STRONG_NOFS","tableau.portail-immo.gouv.fr/128.204.210.243","443","OK","offered","",""
"cipherlist_STRONG_FS","tableau.portail-immo.gouv.fr/128.204.210.243","443","OK","offered","",""
"cipher_order-tls1_2","tableau.portail-immo.gouv.fr/128.204.210.243","443","OK","server","",""
"cipher-tls1_2_xc030","tableau.portail-immo.gouv.fr/128.204.210.243","443","OK","TLSv1.2   xc030   ECDHE-RSA-AES256-GCM-SHA384       ECDH 253   AESGCM      256      TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384","",""
"cipher-tls1_2_x9f","tableau.portail-immo.gouv.fr/128.204.210.243","443","OK","TLSv1.2   x9f     DHE-RSA-AES256-GCM-SHA384         DH 2048    AESGCM      256      TLS_DHE_RSA_WITH_AES_256_GCM_SHA384","",""
"cipher-tls1_2_xcca8","tableau.portail-immo.gouv.fr/128.204.210.243","443","OK","TLSv1.2   xcca8   ECDHE-RSA-CHACHA20-POLY1305       ECDH 253   ChaCha20    256      TLS_ECDHE_RSA_WITH_CHACHA20_POLY1305_SHA256","",""
"cipher-tls1_2_xccaa","tableau.portail-immo.gouv.fr/128.204.210.243","443","OK","TLSv1.2   xccaa   DHE-RSA-CHACHA20-POLY1305         DH 2048    ChaCha20    256      TLS_DHE_RSA_WITH_CHACHA20_POLY1305_SHA256","",""
"cipher-tls1_2_xc09f","tableau.portail-immo.gouv.fr/128.204.210.243","443","OK","TLSv1.2   xc09f   DHE-RSA-AES256-CCM                DH 2048    AESCCM      256      TLS_DHE_RSA_WITH_AES_256_CCM","",""
"cipher-tls1_2_xc061","tableau.portail-immo.gouv.fr/128.204.210.243","443","OK","TLSv1.2   xc061   ECDHE-ARIA256-GCM-SHA384          ECDH 253   ARIAGCM     256      TLS_ECDHE_RSA_WITH_ARIA_256_GCM_SHA384","",""
"cipher-tls1_2_xc053","tableau.portail-immo.gouv.fr/128.204.210.243","443","OK","TLSv1.2   xc053   DHE-RSA-ARIA256-GCM-SHA384        DH 2048    ARIAGCM     256      TLS_DHE_RSA_WITH_ARIA_256_GCM_SHA384","",""
"cipher-tls1_2_xc02f","tableau.portail-immo.gouv.fr/128.204.210.243","443","OK","TLSv1.2   xc02f   ECDHE-RSA-AES128-GCM-SHA256       ECDH 253   AESGCM      128      TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256","",""
"cipher-tls1_2_x9e","tableau.portail-immo.gouv.fr/128.204.210.243","443","OK","TLSv1.2   x9e     DHE-RSA-AES128-GCM-SHA256         DH 2048    AESGCM      128      TLS_DHE_RSA_WITH_AES_128_GCM_SHA256","",""
"cipher-tls1_2_xc09e","tableau.portail-immo.gouv.fr/128.204.210.243","443","OK","TLSv1.2   xc09e   DHE-RSA-AES128-CCM                DH 2048    AESCCM      128      TLS_DHE_RSA_WITH_AES_128_CCM","",""
"cipher-tls1_2_xc060","tableau.portail-immo.gouv.fr/128.204.210.243","443","OK","TLSv1.2   xc060   ECDHE-ARIA128-GCM-SHA256          ECDH 253   ARIAGCM     128      TLS_ECDHE_RSA_WITH_ARIA_128_GCM_SHA256","",""
"cipher-tls1_2_xc052","tableau.portail-immo.gouv.fr/128.204.210.243","443","OK","TLSv1.2   xc052   DHE-RSA-ARIA128-GCM-SHA256        DH 2048    ARIAGCM     128      TLS_DHE_RSA_WITH_ARIA_128_GCM_SHA256","",""
"cipher-tls1_2_xc028","tableau.portail-immo.gouv.fr/128.204.210.243","443","LOW","TLSv1.2   xc028   ECDHE-RSA-AES256-SHA384           ECDH 253   AES         256      TLS_ECDHE_RSA_WITH_AES_256_CBC_SHA384","",""
"cipher-tls1_2_x6b","tableau.portail-immo.gouv.fr/128.204.210.243","443","LOW","TLSv1.2   x6b     DHE-RSA-AES256-SHA256             DH 2048    AES         256      TLS_DHE_RSA_WITH_AES_256_CBC_SHA256","",""
"cipher-tls1_2_xc027","tableau.portail-immo.gouv.fr/128.204.210.243","443","LOW","TLSv1.2   xc027   ECDHE-RSA-AES128-SHA256           ECDH 253   AES         128      TLS_ECDHE_RSA_WITH_AES_128_CBC_SHA256","",""
"cipher-tls1_2_x67","tableau.portail-immo.gouv.fr/128.204.210.243","443","LOW","TLSv1.2   x67     DHE-RSA-AES128-SHA256             DH 2048    AES         128      TLS_DHE_RSA_WITH_AES_128_CBC_SHA256","",""
"cipher-tls1_2_xc014","tableau.portail-immo.gouv.fr/128.204.210.243","443","LOW","TLSv1.2   xc014   ECDHE-RSA-AES256-SHA              ECDH 253   AES         256      TLS_ECDHE_RSA_WITH_AES_256_CBC_SHA","",""
"cipher-tls1_2_x39","tableau.portail-immo.gouv.fr/128.204.210.243","443","LOW","TLSv1.2   x39     DHE-RSA-AES256-SHA                DH 2048    AES         256      TLS_DHE_RSA_WITH_AES_256_CBC_SHA","",""
"cipher-tls1_2_xc013","tableau.portail-immo.gouv.fr/128.204.210.243","443","LOW","TLSv1.2   xc013   ECDHE-RSA-AES128-SHA              ECDH 253   AES         128      TLS_ECDHE_RSA_WITH_AES_128_CBC_SHA","",""
"cipher-tls1_2_x33","tableau.portail-immo.gouv.fr/128.204.210.243","443","LOW","TLSv1.2   x33     DHE-RSA-AES128-SHA                DH 2048    AES         128      TLS_DHE_RSA_WITH_AES_128_CBC_SHA","",""
"cipher-tls1_2_x9d","tableau.portail-immo.gouv.fr/128.204.210.243","443","OK","TLSv1.2   x9d     AES256-GCM-SHA384                 RSA        AESGCM      256      TLS_RSA_WITH_AES_256_GCM_SHA384","",""
"cipher-tls1_2_xc09d","tableau.portail-immo.gouv.fr/128.204.210.243","443","OK","TLSv1.2   xc09d   AES256-CCM                        RSA        AESCCM      256      TLS_RSA_WITH_AES_256_CCM","",""
"cipher-tls1_2_xc051","tableau.portail-immo.gouv.fr/128.204.210.243","443","OK","TLSv1.2   xc051   ARIA256-GCM-SHA384                RSA        ARIAGCM     256      TLS_RSA_WITH_ARIA_256_GCM_SHA384","",""
