"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","taiga.societenumerique.gouv.fr/212.129.49.118","443","INFO","HTTP","",""
"pre_128cipher","taiga.societenumerique.gouv.fr/212.129.49.118","443","INFO","No 128 cipher limit bug","",""
"SSLv2","taiga.societenumerique.gouv.fr/212.129.49.118","443","OK","not offered","",""
"SSLv3","taiga.societenumerique.gouv.fr/212.129.49.118","443","OK","not offered","",""
"TLS1","taiga.societenumerique.gouv.fr/212.129.49.118","443","INFO","not offered","",""
"TLS1_1","taiga.societenumerique.gouv.fr/212.129.49.118","443","INFO","not offered","",""
"TLS1_2","taiga.societenumerique.gouv.fr/212.129.49.118","443","OK","offered","",""
"TLS1_3","taiga.societenumerique.gouv.fr/212.129.49.118","443","OK","offered with final","",""
"NPN","taiga.societenumerique.gouv.fr/212.129.49.118","443","INFO","offered with h2, http/1.1 (advertised)","",""
"ALPN_HTTP2","taiga.societenumerique.gouv.fr/212.129.49.118","443","OK","h2","",""
"ALPN","taiga.societenumerique.gouv.fr/212.129.49.118","443","INFO","http/1.1","",""
"cipherlist_NULL","taiga.societenumerique.gouv.fr/212.129.49.118","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","taiga.societenumerique.gouv.fr/212.129.49.118","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","taiga.societenumerique.gouv.fr/212.129.49.118","443","OK","not offered","","CWE-327"
"cipherlist_LOW","taiga.societenumerique.gouv.fr/212.129.49.118","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","taiga.societenumerique.gouv.fr/212.129.49.118","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","taiga.societenumerique.gouv.fr/212.129.49.118","443","LOW","offered","","CWE-310"
"cipherlist_STRONG_NOFS","taiga.societenumerique.gouv.fr/212.129.49.118","443","INFO","not offered","",""
"cipherlist_STRONG_FS","taiga.societenumerique.gouv.fr/212.129.49.118","443","OK","offered","",""
"cipher_order-tls1_2","taiga.societenumerique.gouv.fr/212.129.49.118","443","LOW","NOT a cipher order configured","",""
"cipher-tls1_2_xc030","taiga.societenumerique.gouv.fr/212.129.49.118","443","OK","TLSv1.2   xc030   ECDHE-RSA-AES256-GCM-SHA384       ECDH 521   AESGCM      256      TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384","",""
"cipher-tls1_2_x9f","taiga.societenumerique.gouv.fr/212.129.49.118","443","OK","TLSv1.2   x9f     DHE-RSA-AES256-GCM-SHA384         DH 2048    AESGCM      256      TLS_DHE_RSA_WITH_AES_256_GCM_SHA384","",""
"cipher-tls1_2_xcca8","taiga.societenumerique.gouv.fr/212.129.49.118","443","OK","TLSv1.2   xcca8   ECDHE-RSA-CHACHA20-POLY1305       ECDH 521   ChaCha20    256      TLS_ECDHE_RSA_WITH_CHACHA20_POLY1305_SHA256","",""
"cipher-tls1_2_xc02f","taiga.societenumerique.gouv.fr/212.129.49.118","443","OK","TLSv1.2   xc02f   ECDHE-RSA-AES128-GCM-SHA256       ECDH 521   AESGCM      128      TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256","",""
"cipher-tls1_2_xc027","taiga.societenumerique.gouv.fr/212.129.49.118","443","LOW","TLSv1.2   xc027   ECDHE-RSA-AES128-SHA256           ECDH 521   AES         128      TLS_ECDHE_RSA_WITH_AES_128_CBC_SHA256","",""
"cipher-tls1_2_x9e","taiga.societenumerique.gouv.fr/212.129.49.118","443","OK","TLSv1.2   x9e     DHE-RSA-AES128-GCM-SHA256         DH 2048    AESGCM      128      TLS_DHE_RSA_WITH_AES_128_GCM_SHA256","",""
"supportedciphers_TLSv1_2","taiga.societenumerique.gouv.fr/212.129.49.118","443","INFO","ECDHE-RSA-AES256-GCM-SHA384 DHE-RSA-AES256-GCM-SHA384 ECDHE-RSA-CHACHA20-POLY1305 ECDHE-RSA-AES128-GCM-SHA256 ECDHE-RSA-AES128-SHA256 DHE-RSA-AES128-GCM-SHA256","",""
"cipher_order-tls1_3","taiga.societenumerique.gouv.fr/212.129.49.118","443","INFO","NOT a cipher order configured","",""
"cipher-tls1_3_x1302","taiga.societenumerique.gouv.fr/212.129.49.118","443","OK","TLSv1.3   x1302   TLS_AES_256_GCM_SHA384            ECDH 253   AESGCM      256      TLS_AES_256_GCM_SHA384","",""
"cipher-tls1_3_x1303","taiga.societenumerique.gouv.fr/212.129.49.118","443","OK","TLSv1.3   x1303   TLS_CHACHA20_POLY1305_SHA256      ECDH 253   ChaCha20    256      TLS_CHACHA20_POLY1305_SHA256","",""
