"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","tastefrance.com/152.228.227.64","443","INFO","HTTP","",""
"pre_128cipher","tastefrance.com/152.228.227.64","443","INFO","No 128 cipher limit bug","",""
"SSLv2","tastefrance.com/152.228.227.64","443","OK","not offered","",""
"SSLv3","tastefrance.com/152.228.227.64","443","OK","not offered","",""
"TLS1","tastefrance.com/152.228.227.64","443","INFO","not offered","",""
"TLS1_1","tastefrance.com/152.228.227.64","443","INFO","not offered","",""
"TLS1_2","tastefrance.com/152.228.227.64","443","OK","offered","",""
"TLS1_3","tastefrance.com/152.228.227.64","443","OK","offered with final","",""
"NPN","tastefrance.com/152.228.227.64","443","INFO","not offered","",""
"ALPN_HTTP2","tastefrance.com/152.228.227.64","443","OK","h2","",""
"ALPN","tastefrance.com/152.228.227.64","443","INFO","http/1.1","",""
"cipherlist_NULL","tastefrance.com/152.228.227.64","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","tastefrance.com/152.228.227.64","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","tastefrance.com/152.228.227.64","443","OK","not offered","","CWE-327"
"cipherlist_LOW","tastefrance.com/152.228.227.64","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","tastefrance.com/152.228.227.64","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","tastefrance.com/152.228.227.64","443","INFO","not offered","","CWE-310"
"cipherlist_STRONG_NOFS","tastefrance.com/152.228.227.64","443","INFO","not offered","",""
"cipherlist_STRONG_FS","tastefrance.com/152.228.227.64","443","OK","offered","",""
"cipher_order-tls1_2","tastefrance.com/152.228.227.64","443","INFO","NOT a cipher order configured","",""
"cipher-tls1_2_xc02c","tastefrance.com/152.228.227.64","443","OK","TLSv1.2   xc02c   ECDHE-ECDSA-AES256-GCM-SHA384     ECDH 521   AESGCM      256      TLS_ECDHE_ECDSA_WITH_AES_256_GCM_SHA384","",""
"cipher-tls1_2_xcca9","tastefrance.com/152.228.227.64","443","OK","TLSv1.2   xcca9   ECDHE-ECDSA-CHACHA20-POLY1305     ECDH 521   ChaCha20    256      TLS_ECDHE_ECDSA_WITH_CHACHA20_POLY1305_SHA256","",""
"cipher-tls1_2_xc02b","tastefrance.com/152.228.227.64","443","OK","TLSv1.2   xc02b   ECDHE-ECDSA-AES128-GCM-SHA256     ECDH 521   AESGCM      128      TLS_ECDHE_ECDSA_WITH_AES_128_GCM_SHA256","",""
"supportedciphers_TLSv1_2","tastefrance.com/152.228.227.64","443","INFO","ECDHE-ECDSA-AES256-GCM-SHA384 ECDHE-ECDSA-CHACHA20-POLY1305 ECDHE-ECDSA-AES128-GCM-SHA256","",""
"cipher_order-tls1_3","tastefrance.com/152.228.227.64","443","INFO","NOT a cipher order configured","",""
"cipher-tls1_3_x1302","tastefrance.com/152.228.227.64","443","OK","TLSv1.3   x1302   TLS_AES_256_GCM_SHA384            ECDH 253   AESGCM      256      TLS_AES_256_GCM_SHA384","",""
"cipher-tls1_3_x1303","tastefrance.com/152.228.227.64","443","OK","TLSv1.3   x1303   TLS_CHACHA20_POLY1305_SHA256      ECDH 253   ChaCha20    256      TLS_CHACHA20_POLY1305_SHA256","",""
"cipher-tls1_3_x1301","tastefrance.com/152.228.227.64","443","OK","TLSv1.3   x1301   TLS_AES_128_GCM_SHA256            ECDH 253   AESGCM      128      TLS_AES_128_GCM_SHA256","",""
"supportedciphers_TLSv1_3","tastefrance.com/152.228.227.64","443","INFO","TLS_AES_256_GCM_SHA384 TLS_CHACHA20_POLY1305_SHA256 TLS_AES_128_GCM_SHA256","",""
"cipher_order","tastefrance.com/152.228.227.64","443","INFO","NOT a cipher order configured","",""
"FS","tastefrance.com/152.228.227.64","443","OK","offered","",""
"FS_ciphers","tastefrance.com/152.228.227.64","443","INFO","TLS_AES_256_GCM_SHA384 TLS_CHACHA20_POLY1305_SHA256 ECDHE-ECDSA-AES256-GCM-SHA384 ECDHE-ECDSA-CHACHA20-POLY1305 TLS_AES_128_GCM_SHA256 ECDHE-ECDSA-AES128-GCM-SHA256","",""
"FS_ECDHE_curves","tastefrance.com/152.228.227.64","443","OK","prime256v1 secp384r1 secp521r1 X25519 X448","",""
"DH_groups","tastefrance.com/152.228.227.64","443","OK","ffdhe2048 ffdhe3072 ffdhe4096 ffdhe6144 ffdhe8192","",""
"FS_TLS12_sig_algs","tastefrance.com/152.228.227.64","443","INFO","ECDSA+SHA512 ECDSA+SHA384 ECDSA+SHA256 ECDSA+SHA224","",""
"FS_TLS13_sig_algs","tastefrance.com/152.228.227.64","443","INFO","ECDSA+SHA256","",""
"TLS_extensions","tastefrance.com/152.228.227.64","443","INFO","'server name/#0' 'max fragment length/#1' 'supported_groups/#10' 'EC point formats/#11' 'application layer protocol negotiation/#16' 'extended master secret/#23' 'supported versions/#43' 'key share/#51' 'renegotiation info/#65281'","",""
"TLS_session_ticket","tastefrance.com/152.228.227.64","443","INFO","no -- no lifetime advertised","",""
"SSL_sessionID_support","tastefrance.com/152.228.227.64","443","INFO","yes","",""
"sessionresumption_ticket","tastefrance.com/152.228.227.64","443","INFO","not supported","",""
"sessionresumption_ID","tastefrance.com/152.228.227.64","443","INFO","supported","",""
"TLS_timestamp","tastefrance.com/152.228.227.64","443","INFO","random","",""
"certificate_compression","tastefrance.com/152.228.227.64","443","INFO","none","",""
"clientAuth","tastefrance.com/152.228.227.64","443","INFO","none","",""
"cert_numbers","tastefrance.com/152.228.227.64","443","INFO","1","",""
"cert_signatureAlgorithm","tastefrance.com/152.228.227.64","443","OK","ECDSA with SHA384","",""
"cert_keySize","tastefrance.com/152.228.227.64","443","OK","EC 256 bits (curve P-256)","",""
"cert_keyUsage","tastefrance.com/152.228.227.64","443","INFO","Digital Signature","",""
"cert_extKeyUsage","tastefrance.com/152.228.227.64","443","INFO","TLS Web Server Authentication, TLS Web Client Authentication","",""
"cert_serialNumber","tastefrance.com/152.228.227.64","443","INFO","06C82E1D5E240983E431FBB93CFC67EFE709","",""
"cert_serialNumberLen","tastefrance.com/152.228.227.64","443","INFO","18","",""
"cert_fingerprintSHA1","tastefrance.com/152.228.227.64","443","INFO","8E0B4E0B91046AD6D63922359A4FD8266CB7CE5D","",""
"cert_fingerprintSHA256","tastefrance.com/152.228.227.64","443","INFO","D44E31CF7DA21A102776FC3FA63518B04637F19372697B4F8E759A5787E265AE","",""
