"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","teleassistance.dgccrf.finances.gouv.fr/185.24.187.236","443","INFO","HTTP","",""
"pre_128cipher","teleassistance.dgccrf.finances.gouv.fr/185.24.187.236","443","INFO","No 128 cipher limit bug","",""
"SSLv2","teleassistance.dgccrf.finances.gouv.fr/185.24.187.236","443","OK","not offered","",""
"SSLv3","teleassistance.dgccrf.finances.gouv.fr/185.24.187.236","443","OK","not offered","",""
"TLS1","teleassistance.dgccrf.finances.gouv.fr/185.24.187.236","443","INFO","not offered","",""
"TLS1_1","teleassistance.dgccrf.finances.gouv.fr/185.24.187.236","443","INFO","not offered","",""
"TLS1_2","teleassistance.dgccrf.finances.gouv.fr/185.24.187.236","443","OK","offered","",""
"TLS1_3","teleassistance.dgccrf.finances.gouv.fr/185.24.187.236","443","INFO","not offered + downgraded to weaker protocol","",""
"NPN","teleassistance.dgccrf.finances.gouv.fr/185.24.187.236","443","INFO","not offered","",""
"ALPN","teleassistance.dgccrf.finances.gouv.fr/185.24.187.236","443","INFO","http/1.1","",""
"cipherlist_NULL","teleassistance.dgccrf.finances.gouv.fr/185.24.187.236","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","teleassistance.dgccrf.finances.gouv.fr/185.24.187.236","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","teleassistance.dgccrf.finances.gouv.fr/185.24.187.236","443","OK","not offered","","CWE-327"
"cipherlist_LOW","teleassistance.dgccrf.finances.gouv.fr/185.24.187.236","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","teleassistance.dgccrf.finances.gouv.fr/185.24.187.236","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","teleassistance.dgccrf.finances.gouv.fr/185.24.187.236","443","INFO","not offered","","CWE-310"
"cipherlist_STRONG_NOFS","teleassistance.dgccrf.finances.gouv.fr/185.24.187.236","443","INFO","not offered","",""
"cipherlist_STRONG_FS","teleassistance.dgccrf.finances.gouv.fr/185.24.187.236","443","OK","offered","",""
"cipher_order-tls1_2","teleassistance.dgccrf.finances.gouv.fr/185.24.187.236","443","OK","server","",""
"cipher-tls1_2_xc02f","teleassistance.dgccrf.finances.gouv.fr/185.24.187.236","443","OK","TLSv1.2   xc02f   ECDHE-RSA-AES128-GCM-SHA256       ECDH 256   AESGCM      128      TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256","",""
"cipher-tls1_2_xc030","teleassistance.dgccrf.finances.gouv.fr/185.24.187.236","443","OK","TLSv1.2   xc030   ECDHE-RSA-AES256-GCM-SHA384       ECDH 256   AESGCM      256      TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384","",""
"cipher-tls1_2_x9e","teleassistance.dgccrf.finances.gouv.fr/185.24.187.236","443","OK","TLSv1.2   x9e     DHE-RSA-AES128-GCM-SHA256         DH 2048    AESGCM      128      TLS_DHE_RSA_WITH_AES_128_GCM_SHA256","",""
"cipher-tls1_2_x9f","teleassistance.dgccrf.finances.gouv.fr/185.24.187.236","443","OK","TLSv1.2   x9f     DHE-RSA-AES256-GCM-SHA384         DH 2048    AESGCM      256      TLS_DHE_RSA_WITH_AES_256_GCM_SHA384","",""
"cipherorder_TLSv1_2","teleassistance.dgccrf.finances.gouv.fr/185.24.187.236","443","INFO","ECDHE-RSA-AES128-GCM-SHA256 ECDHE-RSA-AES256-GCM-SHA384 DHE-RSA-AES128-GCM-SHA256 DHE-RSA-AES256-GCM-SHA384","",""
"cipher_order","teleassistance.dgccrf.finances.gouv.fr/185.24.187.236","443","OK","server","",""
"FS","teleassistance.dgccrf.finances.gouv.fr/185.24.187.236","443","OK","offered","",""
"FS_ciphers","teleassistance.dgccrf.finances.gouv.fr/185.24.187.236","443","INFO","ECDHE-RSA-AES256-GCM-SHA384 DHE-RSA-AES256-GCM-SHA384 ECDHE-RSA-AES128-GCM-SHA256 DHE-RSA-AES128-GCM-SHA256","",""
"FS_ECDHE_curves","teleassistance.dgccrf.finances.gouv.fr/185.24.187.236","443","OK","prime256v1 secp384r1 secp521r1 X25519 X448","",""
