"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","tep-region.creps-rhonealpes.sports.gouv.fr/178.33.139.173","443","INFO","HTTP","",""
"pre_128cipher","tep-region.creps-rhonealpes.sports.gouv.fr/178.33.139.173","443","INFO","No 128 cipher limit bug","",""
"SSLv2","tep-region.creps-rhonealpes.sports.gouv.fr/178.33.139.173","443","OK","not offered","",""
"SSLv3","tep-region.creps-rhonealpes.sports.gouv.fr/178.33.139.173","443","OK","not offered","",""
"TLS1","tep-region.creps-rhonealpes.sports.gouv.fr/178.33.139.173","443","INFO","not offered","",""
"TLS1_1","tep-region.creps-rhonealpes.sports.gouv.fr/178.33.139.173","443","INFO","not offered","",""
"TLS1_2","tep-region.creps-rhonealpes.sports.gouv.fr/178.33.139.173","443","OK","offered","",""
"TLS1_3","tep-region.creps-rhonealpes.sports.gouv.fr/178.33.139.173","443","OK","offered with final","",""
"NPN","tep-region.creps-rhonealpes.sports.gouv.fr/178.33.139.173","443","INFO","not offered","",""
"ALPN","tep-region.creps-rhonealpes.sports.gouv.fr/178.33.139.173","443","INFO","http/1.1","",""
"cipherlist_NULL","tep-region.creps-rhonealpes.sports.gouv.fr/178.33.139.173","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","tep-region.creps-rhonealpes.sports.gouv.fr/178.33.139.173","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","tep-region.creps-rhonealpes.sports.gouv.fr/178.33.139.173","443","OK","not offered","","CWE-327"
"cipherlist_LOW","tep-region.creps-rhonealpes.sports.gouv.fr/178.33.139.173","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","tep-region.creps-rhonealpes.sports.gouv.fr/178.33.139.173","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","tep-region.creps-rhonealpes.sports.gouv.fr/178.33.139.173","443","LOW","offered","","CWE-310"
"cipherlist_STRONG_NOFS","tep-region.creps-rhonealpes.sports.gouv.fr/178.33.139.173","443","INFO","not offered","",""
"cipherlist_STRONG_FS","tep-region.creps-rhonealpes.sports.gouv.fr/178.33.139.173","443","OK","offered","",""
"cipher_order-tls1_2","tep-region.creps-rhonealpes.sports.gouv.fr/178.33.139.173","443","LOW","NOT a cipher order configured","",""
"cipher-tls1_2_xc02c","tep-region.creps-rhonealpes.sports.gouv.fr/178.33.139.173","443","OK","TLSv1.2   xc02c   ECDHE-ECDSA-AES256-GCM-SHA384     ECDH 521   AESGCM      256      TLS_ECDHE_ECDSA_WITH_AES_256_GCM_SHA384","",""
"cipher-tls1_2_xc024","tep-region.creps-rhonealpes.sports.gouv.fr/178.33.139.173","443","LOW","TLSv1.2   xc024   ECDHE-ECDSA-AES256-SHA384         ECDH 521   AES         256      TLS_ECDHE_ECDSA_WITH_AES_256_CBC_SHA384","",""
"cipher-tls1_2_xc00a","tep-region.creps-rhonealpes.sports.gouv.fr/178.33.139.173","443","LOW","TLSv1.2   xc00a   ECDHE-ECDSA-AES256-SHA            ECDH 521   AES         256      TLS_ECDHE_ECDSA_WITH_AES_256_CBC_SHA","",""
"cipher-tls1_2_xcca9","tep-region.creps-rhonealpes.sports.gouv.fr/178.33.139.173","443","OK","TLSv1.2   xcca9   ECDHE-ECDSA-CHACHA20-POLY1305     ECDH 521   ChaCha20    256      TLS_ECDHE_ECDSA_WITH_CHACHA20_POLY1305_SHA256","",""
"cipher-tls1_2_xc0af","tep-region.creps-rhonealpes.sports.gouv.fr/178.33.139.173","443","OK","TLSv1.2   xc0af   ECDHE-ECDSA-AES256-CCM8           ECDH 521   AESCCM8     256      TLS_ECDHE_ECDSA_WITH_AES_256_CCM_8","",""
"cipher-tls1_2_xc0ad","tep-region.creps-rhonealpes.sports.gouv.fr/178.33.139.173","443","OK","TLSv1.2   xc0ad   ECDHE-ECDSA-AES256-CCM            ECDH 521   AESCCM      256      TLS_ECDHE_ECDSA_WITH_AES_256_CCM","",""
"cipher-tls1_2_xc073","tep-region.creps-rhonealpes.sports.gouv.fr/178.33.139.173","443","LOW","TLSv1.2   xc073   ECDHE-ECDSA-CAMELLIA256-SHA384    ECDH 521   Camellia    256      TLS_ECDHE_ECDSA_WITH_CAMELLIA_256_CBC_SHA384","",""
"cipher-tls1_2_xc05d","tep-region.creps-rhonealpes.sports.gouv.fr/178.33.139.173","443","OK","TLSv1.2   xc05d   ECDHE-ECDSA-ARIA256-GCM-SHA384    ECDH 521   ARIAGCM     256      TLS_ECDHE_ECDSA_WITH_ARIA_256_GCM_SHA384","",""
"cipher-tls1_2_xc02b","tep-region.creps-rhonealpes.sports.gouv.fr/178.33.139.173","443","OK","TLSv1.2   xc02b   ECDHE-ECDSA-AES128-GCM-SHA256     ECDH 521   AESGCM      128      TLS_ECDHE_ECDSA_WITH_AES_128_GCM_SHA256","",""
"cipher-tls1_2_xc023","tep-region.creps-rhonealpes.sports.gouv.fr/178.33.139.173","443","LOW","TLSv1.2   xc023   ECDHE-ECDSA-AES128-SHA256         ECDH 521   AES         128      TLS_ECDHE_ECDSA_WITH_AES_128_CBC_SHA256","",""
"cipher-tls1_2_xc009","tep-region.creps-rhonealpes.sports.gouv.fr/178.33.139.173","443","LOW","TLSv1.2   xc009   ECDHE-ECDSA-AES128-SHA            ECDH 521   AES         128      TLS_ECDHE_ECDSA_WITH_AES_128_CBC_SHA","",""
"cipher-tls1_2_xc0ae","tep-region.creps-rhonealpes.sports.gouv.fr/178.33.139.173","443","OK","TLSv1.2   xc0ae   ECDHE-ECDSA-AES128-CCM8           ECDH 521   AESCCM8     128      TLS_ECDHE_ECDSA_WITH_AES_128_CCM_8","",""
"cipher-tls1_2_xc0ac","tep-region.creps-rhonealpes.sports.gouv.fr/178.33.139.173","443","OK","TLSv1.2   xc0ac   ECDHE-ECDSA-AES128-CCM            ECDH 521   AESCCM      128      TLS_ECDHE_ECDSA_WITH_AES_128_CCM","",""
"cipher-tls1_2_xc072","tep-region.creps-rhonealpes.sports.gouv.fr/178.33.139.173","443","LOW","TLSv1.2   xc072   ECDHE-ECDSA-CAMELLIA128-SHA256    ECDH 521   Camellia    128      TLS_ECDHE_ECDSA_WITH_CAMELLIA_128_CBC_SHA256","",""
"cipher-tls1_2_xc05c","tep-region.creps-rhonealpes.sports.gouv.fr/178.33.139.173","443","OK","TLSv1.2   xc05c   ECDHE-ECDSA-ARIA128-GCM-SHA256    ECDH 521   ARIAGCM     128      TLS_ECDHE_ECDSA_WITH_ARIA_128_GCM_SHA256","",""
"supportedciphers_TLSv1_2","tep-region.creps-rhonealpes.sports.gouv.fr/178.33.139.173","443","INFO","ECDHE-ECDSA-AES256-GCM-SHA384 ECDHE-ECDSA-AES256-SHA384 ECDHE-ECDSA-AES256-SHA ECDHE-ECDSA-CHACHA20-POLY1305 ECDHE-ECDSA-AES256-CCM8 ECDHE-ECDSA-AES256-CCM ECDHE-ECDSA-CAMELLIA256-SHA384 ECDHE-ECDSA-ARIA256-GCM-SHA384 ECDHE-ECDSA-AES128-GCM-SHA256 ECDHE-ECDSA-AES128-SHA256 ECDHE-ECDSA-AES128-SHA ECDHE-ECDSA-AES128-CCM8 ECDHE-ECDSA-AES128-CCM ECDHE-ECDSA-CAMELLIA128-SHA256 ECDHE-ECDSA-ARIA128-GCM-SHA256","",""
"cipher_order-tls1_3","tep-region.creps-rhonealpes.sports.gouv.fr/178.33.139.173","443","INFO","NOT a cipher order configured","",""
"cipher-tls1_3_x1302","tep-region.creps-rhonealpes.sports.gouv.fr/178.33.139.173","443","OK","TLSv1.3   x1302   TLS_AES_256_GCM_SHA384            ECDH 253   AESGCM      256      TLS_AES_256_GCM_SHA384","",""
"cipher-tls1_3_x1303","tep-region.creps-rhonealpes.sports.gouv.fr/178.33.139.173","443","OK","TLSv1.3   x1303   TLS_CHACHA20_POLY1305_SHA256      ECDH 253   ChaCha20    256      TLS_CHACHA20_POLY1305_SHA256","",""
"cipher-tls1_3_x1301","tep-region.creps-rhonealpes.sports.gouv.fr/178.33.139.173","443","OK","TLSv1.3   x1301   TLS_AES_128_GCM_SHA256            ECDH 253   AESGCM      128      TLS_AES_128_GCM_SHA256","",""
"supportedciphers_TLSv1_3","tep-region.creps-rhonealpes.sports.gouv.fr/178.33.139.173","443","INFO","TLS_AES_256_GCM_SHA384 TLS_CHACHA20_POLY1305_SHA256 TLS_AES_128_GCM_SHA256","",""
"cipher_order","tep-region.creps-rhonealpes.sports.gouv.fr/178.33.139.173","443","LOW","NOT a server cipher order configured","",""
"FS","tep-region.creps-rhonealpes.sports.gouv.fr/178.33.139.173","443","OK","offered","",""
"FS_ciphers","tep-region.creps-rhonealpes.sports.gouv.fr/178.33.139.173","443","INFO","TLS_AES_256_GCM_SHA384 TLS_CHACHA20_POLY1305_SHA256 ECDHE-ECDSA-AES256-GCM-SHA384 ECDHE-ECDSA-AES256-SHA384 ECDHE-ECDSA-AES256-SHA ECDHE-ECDSA-CHACHA20-POLY1305 ECDHE-ECDSA-AES256-CCM8 ECDHE-ECDSA-AES256-CCM ECDHE-ECDSA-CAMELLIA256-SHA384 ECDHE-ECDSA-ARIA256-GCM-SHA384 TLS_AES_128_GCM_SHA256 ECDHE-ECDSA-AES128-GCM-SHA256 ECDHE-ECDSA-AES128-SHA256 ECDHE-ECDSA-AES128-SHA ECDHE-ECDSA-AES128-CCM8 ECDHE-ECDSA-AES128-CCM ECDHE-ECDSA-CAMELLIA128-SHA256 ECDHE-ECDSA-ARIA128-GCM-SHA256","",""
"FS_ECDHE_curves","tep-region.creps-rhonealpes.sports.gouv.fr/178.33.139.173","443","OK","prime256v1 secp384r1 secp521r1 X25519 X448","",""
"FS_TLS12_sig_algs","tep-region.creps-rhonealpes.sports.gouv.fr/178.33.139.173","443","INFO","ECDSA+SHA512 ECDSA+SHA384 ECDSA+SHA256 ECDSA+SHA224","",""
"FS_TLS13_sig_algs","tep-region.creps-rhonealpes.sports.gouv.fr/178.33.139.173","443","INFO","ECDSA+SHA256","",""
"TLS_extensions","tep-region.creps-rhonealpes.sports.gouv.fr/178.33.139.173","443","INFO","'server name/#0' 'max fragment length/#1' 'supported_groups/#10' 'EC point formats/#11' 'application layer protocol negotiation/#16' 'encrypt-then-mac/#22' 'extended master secret/#23' 'session ticket/#35' 'supported versions/#43' 'key share/#51' 'renegotiation info/#65281'","",""
"TLS_session_ticket","tep-region.creps-rhonealpes.sports.gouv.fr/178.33.139.173","443","INFO","valid for 300 seconds only (<daily)","",""
"SSL_sessionID_support","tep-region.creps-rhonealpes.sports.gouv.fr/178.33.139.173","443","INFO","yes","",""
"sessionresumption_ticket","tep-region.creps-rhonealpes.sports.gouv.fr/178.33.139.173","443","INFO","supported","",""
"sessionresumption_ID","tep-region.creps-rhonealpes.sports.gouv.fr/178.33.139.173","443","INFO","supported","",""
"TLS_timestamp","tep-region.creps-rhonealpes.sports.gouv.fr/178.33.139.173","443","INFO","random","",""
"certificate_compression","tep-region.creps-rhonealpes.sports.gouv.fr/178.33.139.173","443","INFO","none","",""
"clientAuth","tep-region.creps-rhonealpes.sports.gouv.fr/178.33.139.173","443","INFO","none","",""
"cert_numbers","tep-region.creps-rhonealpes.sports.gouv.fr/178.33.139.173","443","INFO","1","",""
"cert_signatureAlgorithm","tep-region.creps-rhonealpes.sports.gouv.fr/178.33.139.173","443","OK","ECDSA with SHA256","",""
"cert_keySize","tep-region.creps-rhonealpes.sports.gouv.fr/178.33.139.173","443","OK","EC 256 bits (curve P-256)","",""
"cert_keyUsage","tep-region.creps-rhonealpes.sports.gouv.fr/178.33.139.173","443","INFO","Digital Signature","",""
"cert_extKeyUsage","tep-region.creps-rhonealpes.sports.gouv.fr/178.33.139.173","443","INFO","TLS Web Server Authentication, TLS Web Client Authentication","",""
"cert_serialNumber","tep-region.creps-rhonealpes.sports.gouv.fr/178.33.139.173","443","INFO","7535915E5B3E887FAA82D2CACFE32AD7","",""
"cert_serialNumberLen","tep-region.creps-rhonealpes.sports.gouv.fr/178.33.139.173","443","INFO","16","",""
"cert_fingerprintSHA1","tep-region.creps-rhonealpes.sports.gouv.fr/178.33.139.173","443","INFO","6614AAD029EC3B976ACE22873CF9AE4FA724F4B8","",""
"cert_fingerprintSHA256","tep-region.creps-rhonealpes.sports.gouv.fr/178.33.139.173","443","INFO","8C377C4A28C2A48658CA764D2FF215651AC69B3C5ED2F5FBE6A7F8DCD0D04D14","",""
