"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","travail-sante-solidarites.gouv.fr/185.194.82.206","443","INFO","HTTP","",""
"pre_128cipher","travail-sante-solidarites.gouv.fr/185.194.82.206","443","INFO","No 128 cipher limit bug","",""
"SSLv2","travail-sante-solidarites.gouv.fr/185.194.82.206","443","OK","not offered","",""
"SSLv3","travail-sante-solidarites.gouv.fr/185.194.82.206","443","OK","not offered","",""
"TLS1","travail-sante-solidarites.gouv.fr/185.194.82.206","443","INFO","not offered","",""
"TLS1_1","travail-sante-solidarites.gouv.fr/185.194.82.206","443","INFO","not offered","",""
"TLS1_2","travail-sante-solidarites.gouv.fr/185.194.82.206","443","OK","offered","",""
"TLS1_3","travail-sante-solidarites.gouv.fr/185.194.82.206","443","OK","offered with final","",""
"NPN","travail-sante-solidarites.gouv.fr/185.194.82.206","443","INFO","not offered","",""
"ALPN_HTTP2","travail-sante-solidarites.gouv.fr/185.194.82.206","443","OK","h2","",""
"ALPN","travail-sante-solidarites.gouv.fr/185.194.82.206","443","INFO","http/1.1","",""
"cipherlist_NULL","travail-sante-solidarites.gouv.fr/185.194.82.206","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","travail-sante-solidarites.gouv.fr/185.194.82.206","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","travail-sante-solidarites.gouv.fr/185.194.82.206","443","OK","not offered","","CWE-327"
"cipherlist_LOW","travail-sante-solidarites.gouv.fr/185.194.82.206","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","travail-sante-solidarites.gouv.fr/185.194.82.206","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","travail-sante-solidarites.gouv.fr/185.194.82.206","443","INFO","not offered","","CWE-310"
"cipherlist_STRONG_NOFS","travail-sante-solidarites.gouv.fr/185.194.82.206","443","INFO","not offered","",""
"cipherlist_STRONG_FS","travail-sante-solidarites.gouv.fr/185.194.82.206","443","OK","offered","",""
"cipher_order-tls1_2","travail-sante-solidarites.gouv.fr/185.194.82.206","443","OK","server","",""
"cipher-tls1_2_xc030","travail-sante-solidarites.gouv.fr/185.194.82.206","443","OK","TLSv1.2   xc030   ECDHE-RSA-AES256-GCM-SHA384       ECDH 256   AESGCM      256      TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384","",""
"cipher-tls1_2_xc02f","travail-sante-solidarites.gouv.fr/185.194.82.206","443","OK","TLSv1.2   xc02f   ECDHE-RSA-AES128-GCM-SHA256       ECDH 256   AESGCM      128      TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256","",""
"cipherorder_TLSv1_2","travail-sante-solidarites.gouv.fr/185.194.82.206","443","INFO","ECDHE-RSA-AES256-GCM-SHA384 ECDHE-RSA-AES128-GCM-SHA256","",""
"cipher_order-tls1_3","travail-sante-solidarites.gouv.fr/185.194.82.206","443","OK","server","",""
