"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","tracfin.finances.gouv.fr/80.87.226.121","443","INFO","HTTP","",""
"pre_128cipher","tracfin.finances.gouv.fr/80.87.226.121","443","INFO","No 128 cipher limit bug","",""
"SSLv2","tracfin.finances.gouv.fr/80.87.226.121","443","OK","not offered","",""
"SSLv3","tracfin.finances.gouv.fr/80.87.226.121","443","OK","not offered","",""
"TLS1","tracfin.finances.gouv.fr/80.87.226.121","443","LOW","offered (deprecated)","",""
"TLS1_1","tracfin.finances.gouv.fr/80.87.226.121","443","LOW","offered (deprecated)","",""
"TLS1_2","tracfin.finances.gouv.fr/80.87.226.121","443","OK","offered","",""
"TLS1_3","tracfin.finances.gouv.fr/80.87.226.121","443","INFO","not offered + downgraded to weaker protocol","",""
"NPN","tracfin.finances.gouv.fr/80.87.226.121","443","INFO","not offered","",""
"ALPN_HTTP2","tracfin.finances.gouv.fr/80.87.226.121","443","OK","h2","",""
"ALPN","tracfin.finances.gouv.fr/80.87.226.121","443","INFO","http/1.1","",""
"cipherlist_NULL","tracfin.finances.gouv.fr/80.87.226.121","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","tracfin.finances.gouv.fr/80.87.226.121","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","tracfin.finances.gouv.fr/80.87.226.121","443","OK","not offered","","CWE-327"
"cipherlist_LOW","tracfin.finances.gouv.fr/80.87.226.121","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","tracfin.finances.gouv.fr/80.87.226.121","443","MEDIUM","offered","","CWE-310"
"cipherlist_OBSOLETED","tracfin.finances.gouv.fr/80.87.226.121","443","LOW","offered","","CWE-310"
"cipherlist_STRONG_NOFS","tracfin.finances.gouv.fr/80.87.226.121","443","OK","offered","",""
"cipherlist_STRONG_FS","tracfin.finances.gouv.fr/80.87.226.121","443","OK","offered","",""
"cipher_order-tls1","tracfin.finances.gouv.fr/80.87.226.121","443","OK","server","",""
"cipher-tls1_xc014","tracfin.finances.gouv.fr/80.87.226.121","443","LOW","TLSv1   xc014   ECDHE-RSA-AES256-SHA              ECDH 384   AES         256      TLS_ECDHE_RSA_WITH_AES_256_CBC_SHA","",""
"cipher-tls1_xc013","tracfin.finances.gouv.fr/80.87.226.121","443","LOW","TLSv1   xc013   ECDHE-RSA-AES128-SHA              ECDH 256   AES         128      TLS_ECDHE_RSA_WITH_AES_128_CBC_SHA","",""
"cipher-tls1_x35","tracfin.finances.gouv.fr/80.87.226.121","443","LOW","TLSv1   x35     AES256-SHA                        RSA        AES         256      TLS_RSA_WITH_AES_256_CBC_SHA","",""
"cipher-tls1_x2f","tracfin.finances.gouv.fr/80.87.226.121","443","LOW","TLSv1   x2f     AES128-SHA                        RSA        AES         128      TLS_RSA_WITH_AES_128_CBC_SHA","",""
"cipher-tls1_x0a","tracfin.finances.gouv.fr/80.87.226.121","443","MEDIUM","TLSv1   x0a     DES-CBC3-SHA                      RSA        3DES        168      TLS_RSA_WITH_3DES_EDE_CBC_SHA","",""
"cipherorder_TLSv1","tracfin.finances.gouv.fr/80.87.226.121","443","INFO","ECDHE-RSA-AES256-SHA ECDHE-RSA-AES128-SHA AES256-SHA AES128-SHA DES-CBC3-SHA","",""
"cipher_order-tls1_1","tracfin.finances.gouv.fr/80.87.226.121","443","OK","server","",""
"cipher-tls1_1_xc014","tracfin.finances.gouv.fr/80.87.226.121","443","LOW","TLSv1.1   xc014   ECDHE-RSA-AES256-SHA              ECDH 384   AES         256      TLS_ECDHE_RSA_WITH_AES_256_CBC_SHA","",""
"cipher-tls1_1_xc013","tracfin.finances.gouv.fr/80.87.226.121","443","LOW","TLSv1.1   xc013   ECDHE-RSA-AES128-SHA              ECDH 256   AES         128      TLS_ECDHE_RSA_WITH_AES_128_CBC_SHA","",""
"cipher-tls1_1_x35","tracfin.finances.gouv.fr/80.87.226.121","443","LOW","TLSv1.1   x35     AES256-SHA                        RSA        AES         256      TLS_RSA_WITH_AES_256_CBC_SHA","",""
"cipher-tls1_1_x2f","tracfin.finances.gouv.fr/80.87.226.121","443","LOW","TLSv1.1   x2f     AES128-SHA                        RSA        AES         128      TLS_RSA_WITH_AES_128_CBC_SHA","",""
"cipher-tls1_1_x0a","tracfin.finances.gouv.fr/80.87.226.121","443","MEDIUM","TLSv1.1   x0a     DES-CBC3-SHA                      RSA        3DES        168      TLS_RSA_WITH_3DES_EDE_CBC_SHA","",""
"cipherorder_TLSv1_1","tracfin.finances.gouv.fr/80.87.226.121","443","INFO","ECDHE-RSA-AES256-SHA ECDHE-RSA-AES128-SHA AES256-SHA AES128-SHA DES-CBC3-SHA","",""
"cipher_order-tls1_2","tracfin.finances.gouv.fr/80.87.226.121","443","OK","server","",""
"cipher-tls1_2_xc030","tracfin.finances.gouv.fr/80.87.226.121","443","OK","TLSv1.2   xc030   ECDHE-RSA-AES256-GCM-SHA384       ECDH 384   AESGCM      256      TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384","",""
"cipher-tls1_2_xc02f","tracfin.finances.gouv.fr/80.87.226.121","443","OK","TLSv1.2   xc02f   ECDHE-RSA-AES128-GCM-SHA256       ECDH 256   AESGCM      128      TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256","",""
"cipher-tls1_2_x9f","tracfin.finances.gouv.fr/80.87.226.121","443","OK","TLSv1.2   x9f     DHE-RSA-AES256-GCM-SHA384         DH 2048    AESGCM      256      TLS_DHE_RSA_WITH_AES_256_GCM_SHA384","",""
"cipher-tls1_2_x9e","tracfin.finances.gouv.fr/80.87.226.121","443","OK","TLSv1.2   x9e     DHE-RSA-AES128-GCM-SHA256         DH 2048    AESGCM      128      TLS_DHE_RSA_WITH_AES_128_GCM_SHA256","",""
"cipher-tls1_2_xc028","tracfin.finances.gouv.fr/80.87.226.121","443","LOW","TLSv1.2   xc028   ECDHE-RSA-AES256-SHA384           ECDH 384   AES         256      TLS_ECDHE_RSA_WITH_AES_256_CBC_SHA384","",""
"cipher-tls1_2_xc027","tracfin.finances.gouv.fr/80.87.226.121","443","LOW","TLSv1.2   xc027   ECDHE-RSA-AES128-SHA256           ECDH 256   AES         128      TLS_ECDHE_RSA_WITH_AES_128_CBC_SHA256","",""
"cipher-tls1_2_xc014","tracfin.finances.gouv.fr/80.87.226.121","443","LOW","TLSv1.2   xc014   ECDHE-RSA-AES256-SHA              ECDH 384   AES         256      TLS_ECDHE_RSA_WITH_AES_256_CBC_SHA","",""
"cipher-tls1_2_xc013","tracfin.finances.gouv.fr/80.87.226.121","443","LOW","TLSv1.2   xc013   ECDHE-RSA-AES128-SHA              ECDH 256   AES         128      TLS_ECDHE_RSA_WITH_AES_128_CBC_SHA","",""
"cipher-tls1_2_x9d","tracfin.finances.gouv.fr/80.87.226.121","443","OK","TLSv1.2   x9d     AES256-GCM-SHA384                 RSA        AESGCM      256      TLS_RSA_WITH_AES_256_GCM_SHA384","",""
