"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","univ-rouen.fr/193.52.152.29","443","INFO","HTTP","",""
"pre_128cipher","univ-rouen.fr/193.52.152.29","443","INFO","No 128 cipher limit bug","",""
"SSLv2","univ-rouen.fr/193.52.152.29","443","OK","not offered","",""
"SSLv3","univ-rouen.fr/193.52.152.29","443","OK","not offered","",""
"TLS1","univ-rouen.fr/193.52.152.29","443","INFO","not offered","",""
"TLS1_1","univ-rouen.fr/193.52.152.29","443","INFO","not offered","",""
"TLS1_2","univ-rouen.fr/193.52.152.29","443","OK","offered","",""
"TLS1_3","univ-rouen.fr/193.52.152.29","443","OK","offered with final","",""
"NPN","univ-rouen.fr/193.52.152.29","443","INFO","not offered","",""
"ALPN","univ-rouen.fr/193.52.152.29","443","INFO","http/1.1","",""
"cipherlist_NULL","univ-rouen.fr/193.52.152.29","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","univ-rouen.fr/193.52.152.29","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","univ-rouen.fr/193.52.152.29","443","OK","not offered","","CWE-327"
"cipherlist_LOW","univ-rouen.fr/193.52.152.29","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","univ-rouen.fr/193.52.152.29","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","univ-rouen.fr/193.52.152.29","443","INFO","not offered","","CWE-310"
"cipherlist_STRONG_NOFS","univ-rouen.fr/193.52.152.29","443","INFO","not offered","",""
"cipherlist_STRONG_FS","univ-rouen.fr/193.52.152.29","443","OK","offered","",""
"cipher_order-tls1_2","univ-rouen.fr/193.52.152.29","443","INFO","NOT a cipher order configured","",""
"cipher-tls1_2_xc02c","univ-rouen.fr/193.52.152.29","443","OK","TLSv1.2   xc02c   ECDHE-ECDSA-AES256-GCM-SHA384     ECDH 384   AESGCM      256      TLS_ECDHE_ECDSA_WITH_AES_256_GCM_SHA384","",""
"cipher-tls1_2_xcca9","univ-rouen.fr/193.52.152.29","443","OK","TLSv1.2   xcca9   ECDHE-ECDSA-CHACHA20-POLY1305     ECDH 384   ChaCha20    256      TLS_ECDHE_ECDSA_WITH_CHACHA20_POLY1305_SHA256","",""
"cipher-tls1_2_xc02b","univ-rouen.fr/193.52.152.29","443","OK","TLSv1.2   xc02b   ECDHE-ECDSA-AES128-GCM-SHA256     ECDH 384   AESGCM      128      TLS_ECDHE_ECDSA_WITH_AES_128_GCM_SHA256","",""
