"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","var.gouv.fr/77.159.252.140","443","INFO","HTTP","",""
"pre_128cipher","var.gouv.fr/77.159.252.140","443","INFO","No 128 cipher limit bug","",""
"SSLv2","var.gouv.fr/77.159.252.140","443","OK","not offered","",""
"SSLv3","var.gouv.fr/77.159.252.140","443","OK","not offered","",""
"TLS1","var.gouv.fr/77.159.252.140","443","INFO","not offered","",""
"TLS1_1","var.gouv.fr/77.159.252.140","443","INFO","not offered","",""
"TLS1_2","var.gouv.fr/77.159.252.140","443","OK","offered","",""
"TLS1_3","var.gouv.fr/77.159.252.140","443","OK","offered with final","",""
"NPN","var.gouv.fr/77.159.252.140","443","INFO","not offered","",""
"ALPN_HTTP2","var.gouv.fr/77.159.252.140","443","OK","h2","",""
"ALPN","var.gouv.fr/77.159.252.140","443","INFO","http/1.1","",""
"cipherlist_NULL","var.gouv.fr/77.159.252.140","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","var.gouv.fr/77.159.252.140","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","var.gouv.fr/77.159.252.140","443","OK","not offered","","CWE-327"
"cipherlist_LOW","var.gouv.fr/77.159.252.140","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","var.gouv.fr/77.159.252.140","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","var.gouv.fr/77.159.252.140","443","INFO","not offered","","CWE-310"
"cipherlist_STRONG_NOFS","var.gouv.fr/77.159.252.140","443","INFO","not offered","",""
"cipherlist_STRONG_FS","var.gouv.fr/77.159.252.140","443","OK","offered","",""
"cipher_order-tls1_2","var.gouv.fr/77.159.252.140","443","OK","server -- server prioritizes ChaCha ciphers when preferred by clients","",""
"cipher-tls1_2_xc02f","var.gouv.fr/77.159.252.140","443","OK","TLSv1.2   xc02f   ECDHE-RSA-AES128-GCM-SHA256       ECDH 253   AESGCM      128      TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256","",""
"cipher-tls1_2_xc030","var.gouv.fr/77.159.252.140","443","OK","TLSv1.2   xc030   ECDHE-RSA-AES256-GCM-SHA384       ECDH 253   AESGCM      256      TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384","",""
"cipher-tls1_2_xcca8","var.gouv.fr/77.159.252.140","443","OK","TLSv1.2   xcca8   ECDHE-RSA-CHACHA20-POLY1305       ECDH 253   ChaCha20    256      TLS_ECDHE_RSA_WITH_CHACHA20_POLY1305_SHA256","",""
"cipher-tls1_2_x9e","var.gouv.fr/77.159.252.140","443","OK","TLSv1.2   x9e     DHE-RSA-AES128-GCM-SHA256         DH 2048    AESGCM      128      TLS_DHE_RSA_WITH_AES_128_GCM_SHA256","",""
"cipher-tls1_2_x9f","var.gouv.fr/77.159.252.140","443","OK","TLSv1.2   x9f     DHE-RSA-AES256-GCM-SHA384         DH 2048    AESGCM      256      TLS_DHE_RSA_WITH_AES_256_GCM_SHA384","",""
"cipherorder_TLSv1_2","var.gouv.fr/77.159.252.140","443","INFO","ECDHE-RSA-AES128-GCM-SHA256 ECDHE-RSA-AES256-GCM-SHA384 ECDHE-RSA-CHACHA20-POLY1305 DHE-RSA-AES128-GCM-SHA256 DHE-RSA-AES256-GCM-SHA384","",""
"prioritize_chacha_TLSv1_2","var.gouv.fr/77.159.252.140","443","INFO","true","",""
"cipher_order-tls1_3","var.gouv.fr/77.159.252.140","443","OK","server -- server prioritizes ChaCha ciphers when preferred by clients","",""
"cipher-tls1_3_x1301","var.gouv.fr/77.159.252.140","443","OK","TLSv1.3   x1301   TLS_AES_128_GCM_SHA256            ECDH 253   AESGCM      128      TLS_AES_128_GCM_SHA256","",""
"cipher-tls1_3_x1302","var.gouv.fr/77.159.252.140","443","OK","TLSv1.3   x1302   TLS_AES_256_GCM_SHA384            ECDH 253   AESGCM      256      TLS_AES_256_GCM_SHA384","",""
"cipher-tls1_3_x1303","var.gouv.fr/77.159.252.140","443","OK","TLSv1.3   x1303   TLS_CHACHA20_POLY1305_SHA256      ECDH 253   ChaCha20    256      TLS_CHACHA20_POLY1305_SHA256","",""
"cipherorder_TLSv1_3","var.gouv.fr/77.159.252.140","443","INFO","TLS_AES_128_GCM_SHA256 TLS_AES_256_GCM_SHA384 TLS_CHACHA20_POLY1305_SHA256","",""
"prioritize_chacha_TLSv1_3","var.gouv.fr/77.159.252.140","443","INFO","true","",""
"cipher_order","var.gouv.fr/77.159.252.140","443","OK","server","",""
"FS","var.gouv.fr/77.159.252.140","443","OK","offered","",""
"FS_ciphers","var.gouv.fr/77.159.252.140","443","INFO","TLS_AES_256_GCM_SHA384 TLS_CHACHA20_POLY1305_SHA256 ECDHE-RSA-AES256-GCM-SHA384 DHE-RSA-AES256-GCM-SHA384 ECDHE-RSA-CHACHA20-POLY1305 TLS_AES_128_GCM_SHA256 ECDHE-RSA-AES128-GCM-SHA256 DHE-RSA-AES128-GCM-SHA256","",""
"FS_ECDHE_curves","var.gouv.fr/77.159.252.140","443","OK","prime256v1 secp384r1 secp521r1 X25519 X448","",""
"DH_groups","var.gouv.fr/77.159.252.140","443","OK","HAProxy","",""
"FS_TLS12_sig_algs","var.gouv.fr/77.159.252.140","443","INFO","RSA-PSS-RSAE+SHA256 RSA-PSS-RSAE+SHA384 RSA-PSS-RSAE+SHA512 RSA+SHA256 RSA+SHA384 RSA+SHA512 RSA+SHA224","",""
"FS_TLS13_sig_algs","var.gouv.fr/77.159.252.140","443","INFO","RSA-PSS-RSAE+SHA256 RSA-PSS-RSAE+SHA384 RSA-PSS-RSAE+SHA512","",""
"TLS_extensions","var.gouv.fr/77.159.252.140","443","INFO","'server name/#0' 'max fragment length/#1' 'supported_groups/#10' 'EC point formats/#11' 'application layer protocol negotiation/#16' 'extended master secret/#23' 'supported versions/#43' 'key share/#51' 'renegotiation info/#65281'","",""
"TLS_session_ticket","var.gouv.fr/77.159.252.140","443","INFO","no -- no lifetime advertised","",""
"SSL_sessionID_support","var.gouv.fr/77.159.252.140","443","INFO","yes","",""
"sessionresumption_ticket","var.gouv.fr/77.159.252.140","443","INFO","not supported","",""
"sessionresumption_ID","var.gouv.fr/77.159.252.140","443","INFO","not supported","",""
"TLS_timestamp","var.gouv.fr/77.159.252.140","443","INFO","random","",""
"certificate_compression","var.gouv.fr/77.159.252.140","443","INFO","none","",""
"clientAuth","var.gouv.fr/77.159.252.140","443","INFO","none","",""
"cert_numbers","var.gouv.fr/77.159.252.140","443","INFO","1","",""
"cert_signatureAlgorithm","var.gouv.fr/77.159.252.140","443","OK","SHA256 with RSA","",""
"cert_keySize","var.gouv.fr/77.159.252.140","443","INFO","RSA 2048 bits (exponent is 65537)","",""
"cert_keyUsage","var.gouv.fr/77.159.252.140","443","INFO","Digital Signature, Key Encipherment","",""
"cert_extKeyUsage","var.gouv.fr/77.159.252.140","443","INFO","TLS Web Server Authentication","",""
