"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","wallet.pp.esw.esante.gouv.fr/23.196.123.82","443","INFO","HTTP","",""
"pre_128cipher","wallet.pp.esw.esante.gouv.fr/23.196.123.82","443","INFO","No 128 cipher limit bug","",""
"SSLv2","wallet.pp.esw.esante.gouv.fr/23.196.123.82","443","OK","not offered","",""
"SSLv3","wallet.pp.esw.esante.gouv.fr/23.196.123.82","443","OK","not offered","",""
"TLS1","wallet.pp.esw.esante.gouv.fr/23.196.123.82","443","INFO","not offered","",""
"TLS1_1","wallet.pp.esw.esante.gouv.fr/23.196.123.82","443","INFO","not offered","",""
"TLS1_2","wallet.pp.esw.esante.gouv.fr/23.196.123.82","443","OK","offered","",""
"TLS1_3","wallet.pp.esw.esante.gouv.fr/23.196.123.82","443","INFO","not offered + downgraded to weaker protocol","",""
"NPN","wallet.pp.esw.esante.gouv.fr/23.196.123.82","443","INFO","offered with http/1.1, http/1.0 (advertised)","",""
"ALPN","wallet.pp.esw.esante.gouv.fr/23.196.123.82","443","INFO","http/1.1","",""
"cipherlist_NULL","wallet.pp.esw.esante.gouv.fr/23.196.123.82","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","wallet.pp.esw.esante.gouv.fr/23.196.123.82","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","wallet.pp.esw.esante.gouv.fr/23.196.123.82","443","OK","not offered","","CWE-327"
"cipherlist_LOW","wallet.pp.esw.esante.gouv.fr/23.196.123.82","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","wallet.pp.esw.esante.gouv.fr/23.196.123.82","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","wallet.pp.esw.esante.gouv.fr/23.196.123.82","443","INFO","not offered","","CWE-310"
"cipherlist_STRONG_NOFS","wallet.pp.esw.esante.gouv.fr/23.196.123.82","443","INFO","not offered","",""
"cipherlist_STRONG_FS","wallet.pp.esw.esante.gouv.fr/23.196.123.82","443","OK","offered","",""
"cipher_order-tls1_2","wallet.pp.esw.esante.gouv.fr/23.196.123.82","443","OK","server -- server prioritizes ChaCha ciphers when preferred by clients","",""
"cipher-tls1_2_xc030","wallet.pp.esw.esante.gouv.fr/23.196.123.82","443","OK","TLSv1.2   xc030   ECDHE-RSA-AES256-GCM-SHA384       ECDH 256   AESGCM      256      TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384","",""
"cipher-tls1_2_xc02f","wallet.pp.esw.esante.gouv.fr/23.196.123.82","443","OK","TLSv1.2   xc02f   ECDHE-RSA-AES128-GCM-SHA256       ECDH 256   AESGCM      128      TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256","",""
"cipher-tls1_2_xcca8","wallet.pp.esw.esante.gouv.fr/23.196.123.82","443","OK","TLSv1.2   xcca8   ECDHE-RSA-CHACHA20-POLY1305       ECDH 256   ChaCha20    256      TLS_ECDHE_RSA_WITH_CHACHA20_POLY1305_SHA256","",""
"cipherorder_TLSv1_2","wallet.pp.esw.esante.gouv.fr/23.196.123.82","443","INFO","ECDHE-RSA-AES256-GCM-SHA384 ECDHE-RSA-AES128-GCM-SHA256 ECDHE-RSA-CHACHA20-POLY1305","",""
"prioritize_chacha_TLSv1_2","wallet.pp.esw.esante.gouv.fr/23.196.123.82","443","INFO","true","",""
"cipher_order","wallet.pp.esw.esante.gouv.fr/23.196.123.82","443","OK","server","",""
"FS","wallet.pp.esw.esante.gouv.fr/23.196.123.82","443","OK","offered","",""
"FS_ciphers","wallet.pp.esw.esante.gouv.fr/23.196.123.82","443","INFO","ECDHE-RSA-AES256-GCM-SHA384 ECDHE-RSA-CHACHA20-POLY1305 ECDHE-RSA-AES128-GCM-SHA256","",""
"FS_ECDHE_curves","wallet.pp.esw.esante.gouv.fr/23.196.123.82","443","OK","prime256v1 X25519","",""
"FS_TLS12_sig_algs","wallet.pp.esw.esante.gouv.fr/23.196.123.82","443","LOW","RSA-PSS-RSAE+SHA256 RSA-PSS-RSAE+SHA384 RSA-PSS-RSAE+SHA512 RSA+SHA256 RSA+SHA384 RSA+SHA512 RSA+SHA224 RSA+SHA1","",""
"TLS_extensions","wallet.pp.esw.esante.gouv.fr/23.196.123.82","443","INFO","'server name/#0' 'max fragment length/#1' 'status request/#5' 'EC point formats/#11' 'application layer protocol negotiation/#16' 'next protocol/#13172' 'renegotiation info/#65281'","",""
"TLS_session_ticket","wallet.pp.esw.esante.gouv.fr/23.196.123.82","443","INFO","no -- no lifetime advertised","",""
"SSL_sessionID_support","wallet.pp.esw.esante.gouv.fr/23.196.123.82","443","INFO","yes","",""
"sessionresumption_ticket","wallet.pp.esw.esante.gouv.fr/23.196.123.82","443","INFO","not supported","",""
"sessionresumption_ID","wallet.pp.esw.esante.gouv.fr/23.196.123.82","443","INFO","supported","",""
"TLS_timestamp","wallet.pp.esw.esante.gouv.fr/23.196.123.82","443","INFO","random","",""
"cert_compression","wallet.pp.esw.esante.gouv.fr/23.196.123.82","443","INFO","N/A","",""
"clientAuth","wallet.pp.esw.esante.gouv.fr/23.196.123.82","443","INFO","none","",""
"cert_numbers","wallet.pp.esw.esante.gouv.fr/23.196.123.82","443","INFO","1","",""
"cert_signatureAlgorithm","wallet.pp.esw.esante.gouv.fr/23.196.123.82","443","OK","SHA256 with RSA","",""
"cert_keySize","wallet.pp.esw.esante.gouv.fr/23.196.123.82","443","INFO","RSA 2048 bits (exponent is 65537)","",""
"cert_keyUsage","wallet.pp.esw.esante.gouv.fr/23.196.123.82","443","INFO","Digital Signature, Key Encipherment","",""
"cert_extKeyUsage","wallet.pp.esw.esante.gouv.fr/23.196.123.82","443","INFO","TLS Web Server Authentication, TLS Web Client Authentication","",""
"cert_serialNumber","wallet.pp.esw.esante.gouv.fr/23.196.123.82","443","INFO","4F4DE0975E7A74264233BDA2","",""
"cert_serialNumberLen","wallet.pp.esw.esante.gouv.fr/23.196.123.82","443","INFO","12","",""
"cert_fingerprintSHA1","wallet.pp.esw.esante.gouv.fr/23.196.123.82","443","INFO","09943A1B55354F8DA46862A88AE9FF243A2959A4","",""
"cert_fingerprintSHA256","wallet.pp.esw.esante.gouv.fr/23.196.123.82","443","INFO","4032F44A834B8975527370C6788239BF3F495B383BABF45226F0E657292288A3","",""
"cert","wallet.pp.esw.esante.gouv.fr/23.196.123.82","443","INFO","-----BEGIN CERTIFICATE-----\nMIIGiTCCBXGgAwIBAgIMT03gl156dCZCM72iMA0GCSqGSIb3DQEBCwUAMFAxCzAJBgNVBAYTAkJFMRkwFwYDVQQKExBHbG9iYWxTaWduIG52LXNhMSYwJAYDVQQDEx1HbG9iYWxTaWduIFJTQSBPViBTU0wgQ0EgMjAxODAeFw0yNTA3MDQwNzI5MDJaFw0yNjA4MDUwNzI5MDFaMIGAMQswCQYDVQQGEwJGUjENMAsGA1UECBMETm9yZDEcMBoGA1UEBxMTRmxlcnMtZW4tRXNjcmViaWV1eDEdMBsGA1UEChMUSU1QUklNRVJJRSBOQVRJT05BTEUxJTAjBgNVBAMTHHdhbGxldC5wcC5lc3cuZXNhbnRlLmdvdXYuZnIwggEiMA0GCSqGSIb3DQEBAQUAA4IBDwAwggEKAoIBAQDF2ZBGez8ghQNIeKluRijESHodAChBT8z3h9mgCk+KaToYIg54Uv8yFPMvQG2rSWQnIoU0MxEyCyKFD8IedwEUvYzqof+jGZVqWSkQtc+nGUoxO9k+zADoBmz3m5Ixpxd5AdvFCQ7Dny5MR0GzYOdEXy58gSzKZ3drVCywusmevE8r6xGrK6ggqLao9zdLfPq7F4i4baTNBAPtkchsFO1O4JARSbcKXlkkUjiPcZEslB2Xtm8WPbX8vdiTG9jVHw/C/sOm8eFFHMPsv2j/BGKZvXOtSRo4RRDnD+ISgJSzKx7cAvBKzgtBhsicfmolN+y15zRCF6gONthNCxQA3o/rAgMBAAGjggMwMIIDLDAOBgNVHQ8BAf8EBAMCBaAwDAYDVR0TAQH/BAIwADCBjgYIKwYBBQUHAQEEgYEwfzBEBggrBgEFBQcwAoY4aHR0cDovL3NlY3VyZS5nbG9iYWxzaWduLmNvbS9jYWNlcnQvZ3Nyc2FvdnNzbGNhMjAxOC5jcnQwNwYIKwYBBQUHMAGGK2h0dHA6Ly9vY3NwLmdsb2JhbHNpZ24uY29tL2dzcnNhb3Zzc2xjYTIwMTgwVgYDVR0gBE8wTTBBBgkrBgEEAaAyARQwNDAyBggrBgEFBQcCARYmaHR0cHM6Ly93d3cuZ2xvYmFsc2lnbi5jb20vcmVwb3NpdG9yeS8wCAYGZ4EMAQICMEIGA1UdEQQ7MDmCHHdhbGxldC5wcC5lc3cuZXNhbnRlLmdvdXYuZnKCGWFwaS5wcC5lc3cuZXNhbnRlLmdvdXYuZnIwHQYDVR0lBBYwFAYIKwYBBQUHAwEGCCsGAQUFBwMCMB8GA1UdIwQYMBaAFPjvf/LNeGeo3m+PJI2I8YcDArPrMB0GA1UdDgQWBBTz/dR6C6sz+dtVnRi5n3Qyzx4j2zCCAX4GCisGAQQB1nkCBAIEggFuBIIBagFoAHYAlE5Dh/rswe+B8xkkJqgYZQHH0184AgE/cmd9VTcuGdgAAAGX1FbLqgAABAMARzBFAiEA2edgzoECl4/oxHiawL3Wd5NtngU5I/yA8B6d9ei20bkCICqcNWlt+szay+jCO2p7jhvcQ3f/kvmx0/miAQWaGkqNAHYAyzj3FYl8hKFEX1vB3fvJbvKaWc1HCmkFhbDLFMMUWOcAAAGX1FbJ/QAABAMARzBFAiBxMtTG6oXjN0ckN0zR27JKlEx2sQsZj8gIJe0irsCvTgIhAIJWq2zOCB8LO4dKHJAh77+L1GFWTZFK9Hf/BwPwRIPTAHYAwjF+V0UZo0XufzjespBB68fCIVoiv3/Vta12mtkOUs0AAAGX1FbLVQAABAMARzBFAiBNZFFlY0wmQX8/ndXtnioWJ8Fsbf3QXtbZmz+rryVqzAIhAJCiRZYBAFl3ULZDZmMBWllI51pJfsSQLw5f5hgRzR1BMA0GCSqGSIb3DQEBCwUAA4IBAQBfsKUHDfLTU71tj4a8XTqVLFrplAtTADETLWCYYgH+oWPlJGgm1fU0fBwi8OA3xYemPdsNBMrADyZF2UekNu3QZOIGQ3pDKiz1KSX8q53y00dUIz/Y1ERiZ4IvR5A+hxBkVpaCraB3cXBPuBFyYeCY/3KTJRY+CUHdiSVEuaPIuAyLP1g+i0kYUGL1U7EJPuH9uXlqebDaAIKQjlmpPl7+Czq8OTuMlD7IOiwkjXH0AvRpe+Tq4rbfiB91aEba4IpctAEI7T6PfK7OgoJReMGpmBcWAACspE17uulaj0/+spq8yckRl5xalp5aVpGRIYjUJeOpmo0Pc1+pVqufQNdO\n-----END CERTIFICATE-----","",""
"cert_commonName","wallet.pp.esw.esante.gouv.fr/23.196.123.82","443","OK","wallet.pp.esw.esante.gouv.fr","",""
"cert_commonName_wo_SNI","wallet.pp.esw.esante.gouv.fr/23.196.123.82","443","INFO","wallet.pp.esw.esante.gouv.fr","",""
"cert_subjectAltName","wallet.pp.esw.esante.gouv.fr/23.196.123.82","443","INFO","wallet.pp.esw.esante.gouv.fr api.pp.esw.esante.gouv.fr","",""
"cert_trust","wallet.pp.esw.esante.gouv.fr/23.196.123.82","443","OK","Ok via SAN and CN (same w/o SNI)","",""
"cert_chain_of_trust","wallet.pp.esw.esante.gouv.fr/23.196.123.82","443","OK","passed.","",""
"cert_certificatePolicies_EV","wallet.pp.esw.esante.gouv.fr/23.196.123.82","443","INFO","no","",""
"cert_expirationStatus","wallet.pp.esw.esante.gouv.fr/23.196.123.82","443","OK","273 >= 60 days","",""
"cert_notBefore","wallet.pp.esw.esante.gouv.fr/23.196.123.82","443","INFO","2025-07-04 07:29","",""
"cert_notAfter","wallet.pp.esw.esante.gouv.fr/23.196.123.82","443","OK","2026-08-05 07:29","",""
"cert_extlifeSpan","wallet.pp.esw.esante.gouv.fr/23.196.123.82","443","OK","certificate has no extended life time according to browser forum","",""
"cert_eTLS","wallet.pp.esw.esante.gouv.fr/23.196.123.82","443","INFO","not present","",""
"cert_crlDistributionPoints","wallet.pp.esw.esante.gouv.fr/23.196.123.82","443","INFO","--","",""
"cert_ocspURL","wallet.pp.esw.esante.gouv.fr/23.196.123.82","443","INFO","http://ocsp.globalsign.com/gsrsaovsslca2018","",""
"OCSP_stapling","wallet.pp.esw.esante.gouv.fr/23.196.123.82","443","OK","offered","",""
"cert_ocspRevoked","wallet.pp.esw.esante.gouv.fr/23.196.123.82","443","OK","not revoked","",""
"cert_mustStapleExtension","wallet.pp.esw.esante.gouv.fr/23.196.123.82","443","INFO","--","",""
"DNS_CAArecord","wallet.pp.esw.esante.gouv.fr/23.196.123.82","443","LOW","--","",""
"certificate_transparency","wallet.pp.esw.esante.gouv.fr/23.196.123.82","443","OK","yes (certificate extension)","",""
"certs_countServer","wallet.pp.esw.esante.gouv.fr/23.196.123.82","443","INFO","3","",""
"certs_list_ordering_problem","wallet.pp.esw.esante.gouv.fr/23.196.123.82","443","INFO","no","",""
"cert_caIssuers","wallet.pp.esw.esante.gouv.fr/23.196.123.82","443","INFO","GlobalSign RSA OV SSL CA 2018 (GlobalSign nv-sa from BE)","",""
