"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","www.communication-responsable.ademe.fr/104.18.0.202","443","INFO","HTTP","",""
"pre_128cipher","www.communication-responsable.ademe.fr/104.18.0.202","443","INFO","No 128 cipher limit bug","",""
"SSLv2","www.communication-responsable.ademe.fr/104.18.0.202","443","OK","not offered","",""
"SSLv3","www.communication-responsable.ademe.fr/104.18.0.202","443","OK","not offered","",""
"TLS1","www.communication-responsable.ademe.fr/104.18.0.202","443","INFO","not offered","",""
"TLS1_1","www.communication-responsable.ademe.fr/104.18.0.202","443","INFO","not offered","",""
"TLS1_2","www.communication-responsable.ademe.fr/104.18.0.202","443","OK","offered","",""
"TLS1_3","www.communication-responsable.ademe.fr/104.18.0.202","443","OK","offered with final","",""
"NPN","www.communication-responsable.ademe.fr/104.18.0.202","443","INFO","offered with h2, http/1.1 (advertised)","",""
"ALPN_HTTP2","www.communication-responsable.ademe.fr/104.18.0.202","443","OK","h2","",""
"ALPN","www.communication-responsable.ademe.fr/104.18.0.202","443","INFO","http/1.1","",""
"cipherlist_NULL","www.communication-responsable.ademe.fr/104.18.0.202","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","www.communication-responsable.ademe.fr/104.18.0.202","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","www.communication-responsable.ademe.fr/104.18.0.202","443","OK","not offered","","CWE-327"
"cipherlist_LOW","www.communication-responsable.ademe.fr/104.18.0.202","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","www.communication-responsable.ademe.fr/104.18.0.202","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","www.communication-responsable.ademe.fr/104.18.0.202","443","LOW","offered","","CWE-310"
"cipherlist_STRONG_NOFS","www.communication-responsable.ademe.fr/104.18.0.202","443","OK","offered","",""
"cipherlist_STRONG_FS","www.communication-responsable.ademe.fr/104.18.0.202","443","OK","offered","",""
"cipher_order-tls1_2","www.communication-responsable.ademe.fr/104.18.0.202","443","OK","server -- server prioritizes ChaCha ciphers when preferred by clients","",""
"cipher-tls1_2_xc02b","www.communication-responsable.ademe.fr/104.18.0.202","443","OK","TLSv1.2   xc02b   ECDHE-ECDSA-AES128-GCM-SHA256     ECDH 253   AESGCM      128      TLS_ECDHE_ECDSA_WITH_AES_128_GCM_SHA256","",""
"cipher-tls1_2_xcca9","www.communication-responsable.ademe.fr/104.18.0.202","443","OK","TLSv1.2   xcca9   ECDHE-ECDSA-CHACHA20-POLY1305     ECDH 253   ChaCha20    256      TLS_ECDHE_ECDSA_WITH_CHACHA20_POLY1305_SHA256","",""
"cipher-tls1_2_xc009","www.communication-responsable.ademe.fr/104.18.0.202","443","LOW","TLSv1.2   xc009   ECDHE-ECDSA-AES128-SHA            ECDH 253   AES         128      TLS_ECDHE_ECDSA_WITH_AES_128_CBC_SHA","",""
"cipher-tls1_2_xc02c","www.communication-responsable.ademe.fr/104.18.0.202","443","OK","TLSv1.2   xc02c   ECDHE-ECDSA-AES256-GCM-SHA384     ECDH 253   AESGCM      256      TLS_ECDHE_ECDSA_WITH_AES_256_GCM_SHA384","",""
"cipher-tls1_2_xc00a","www.communication-responsable.ademe.fr/104.18.0.202","443","LOW","TLSv1.2   xc00a   ECDHE-ECDSA-AES256-SHA            ECDH 253   AES         256      TLS_ECDHE_ECDSA_WITH_AES_256_CBC_SHA","",""
"cipher-tls1_2_xc023","www.communication-responsable.ademe.fr/104.18.0.202","443","LOW","TLSv1.2   xc023   ECDHE-ECDSA-AES128-SHA256         ECDH 253   AES         128      TLS_ECDHE_ECDSA_WITH_AES_128_CBC_SHA256","",""
"cipher-tls1_2_xc024","www.communication-responsable.ademe.fr/104.18.0.202","443","LOW","TLSv1.2   xc024   ECDHE-ECDSA-AES256-SHA384         ECDH 253   AES         256      TLS_ECDHE_ECDSA_WITH_AES_256_CBC_SHA384","",""
"cipher-tls1_2_xc02f","www.communication-responsable.ademe.fr/104.18.0.202","443","OK","TLSv1.2   xc02f   ECDHE-RSA-AES128-GCM-SHA256       ECDH 253   AESGCM      128      TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256","",""
"cipher-tls1_2_xcca8","www.communication-responsable.ademe.fr/104.18.0.202","443","OK","TLSv1.2   xcca8   ECDHE-RSA-CHACHA20-POLY1305       ECDH 253   ChaCha20    256      TLS_ECDHE_RSA_WITH_CHACHA20_POLY1305_SHA256","",""
"cipher-tls1_2_xc013","www.communication-responsable.ademe.fr/104.18.0.202","443","LOW","TLSv1.2   xc013   ECDHE-RSA-AES128-SHA              ECDH 253   AES         128      TLS_ECDHE_RSA_WITH_AES_128_CBC_SHA","",""
"cipher-tls1_2_x9c","www.communication-responsable.ademe.fr/104.18.0.202","443","OK","TLSv1.2   x9c     AES128-GCM-SHA256                 RSA        AESGCM      128      TLS_RSA_WITH_AES_128_GCM_SHA256","",""
"cipher-tls1_2_x2f","www.communication-responsable.ademe.fr/104.18.0.202","443","LOW","TLSv1.2   x2f     AES128-SHA                        RSA        AES         128      TLS_RSA_WITH_AES_128_CBC_SHA","",""
"cipher-tls1_2_xc030","www.communication-responsable.ademe.fr/104.18.0.202","443","OK","TLSv1.2   xc030   ECDHE-RSA-AES256-GCM-SHA384       ECDH 253   AESGCM      256      TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384","",""
"cipher-tls1_2_xc014","www.communication-responsable.ademe.fr/104.18.0.202","443","LOW","TLSv1.2   xc014   ECDHE-RSA-AES256-SHA              ECDH 253   AES         256      TLS_ECDHE_RSA_WITH_AES_256_CBC_SHA","",""
"cipher-tls1_2_x9d","www.communication-responsable.ademe.fr/104.18.0.202","443","OK","TLSv1.2   x9d     AES256-GCM-SHA384                 RSA        AESGCM      256      TLS_RSA_WITH_AES_256_GCM_SHA384","",""
"cipher-tls1_2_x35","www.communication-responsable.ademe.fr/104.18.0.202","443","LOW","TLSv1.2   x35     AES256-SHA                        RSA        AES         256      TLS_RSA_WITH_AES_256_CBC_SHA","",""
"cipher-tls1_2_xc027","www.communication-responsable.ademe.fr/104.18.0.202","443","LOW","TLSv1.2   xc027   ECDHE-RSA-AES128-SHA256           ECDH 253   AES         128      TLS_ECDHE_RSA_WITH_AES_128_CBC_SHA256","",""
"cipher-tls1_2_x3c","www.communication-responsable.ademe.fr/104.18.0.202","443","LOW","TLSv1.2   x3c     AES128-SHA256                     RSA        AES         128      TLS_RSA_WITH_AES_128_CBC_SHA256","",""
"cipher-tls1_2_xc028","www.communication-responsable.ademe.fr/104.18.0.202","443","LOW","TLSv1.2   xc028   ECDHE-RSA-AES256-SHA384           ECDH 253   AES         256      TLS_ECDHE_RSA_WITH_AES_256_CBC_SHA384","",""
"cipher-tls1_2_x3d","www.communication-responsable.ademe.fr/104.18.0.202","443","LOW","TLSv1.2   x3d     AES256-SHA256                     RSA        AES         256      TLS_RSA_WITH_AES_256_CBC_SHA256","",""
"cipherorder_TLSv1_2","www.communication-responsable.ademe.fr/104.18.0.202","443","INFO","ECDHE-ECDSA-AES128-GCM-SHA256 ECDHE-ECDSA-CHACHA20-POLY1305 ECDHE-ECDSA-AES128-SHA ECDHE-ECDSA-AES256-GCM-SHA384 ECDHE-ECDSA-AES256-SHA ECDHE-ECDSA-AES128-SHA256 ECDHE-ECDSA-AES256-SHA384 ECDHE-RSA-AES128-GCM-SHA256 ECDHE-RSA-CHACHA20-POLY1305 ECDHE-RSA-AES128-SHA AES128-GCM-SHA256 AES128-SHA ECDHE-RSA-AES256-GCM-SHA384 ECDHE-RSA-AES256-SHA AES256-GCM-SHA384 AES256-SHA ECDHE-RSA-AES128-SHA256 AES128-SHA256 ECDHE-RSA-AES256-SHA384 AES256-SHA256","",""
"prioritize_chacha_TLSv1_2","www.communication-responsable.ademe.fr/104.18.0.202","443","INFO","true","",""
"cipher_order-tls1_3","www.communication-responsable.ademe.fr/104.18.0.202","443","INFO","NOT a cipher order configured","",""
"cipher-tls1_3_x1302","www.communication-responsable.ademe.fr/104.18.0.202","443","OK","TLSv1.3   x1302   TLS_AES_256_GCM_SHA384            ECDH/MLKEM AESGCM      256      TLS_AES_256_GCM_SHA384","",""
"cipher-tls1_3_x1303","www.communication-responsable.ademe.fr/104.18.0.202","443","OK","TLSv1.3   x1303   TLS_CHACHA20_POLY1305_SHA256      ECDH/MLKEM ChaCha20    256      TLS_CHACHA20_POLY1305_SHA256","",""
"cipher-tls1_3_x1301","www.communication-responsable.ademe.fr/104.18.0.202","443","OK","TLSv1.3   x1301   TLS_AES_128_GCM_SHA256            ECDH/MLKEM AESGCM      128      TLS_AES_128_GCM_SHA256","",""
"supportedciphers_TLSv1_3","www.communication-responsable.ademe.fr/104.18.0.202","443","INFO","TLS_AES_256_GCM_SHA384 TLS_CHACHA20_POLY1305_SHA256 TLS_AES_128_GCM_SHA256","",""
"cipher_order","www.communication-responsable.ademe.fr/104.18.0.202","443","OK","server -- TLS 1.3 client determined","",""
"FS","www.communication-responsable.ademe.fr/104.18.0.202","443","OK","offered","",""
"FS_ciphers","www.communication-responsable.ademe.fr/104.18.0.202","443","INFO","TLS_AES_256_GCM_SHA384 TLS_CHACHA20_POLY1305_SHA256 ECDHE-RSA-AES256-GCM-SHA384 ECDHE-ECDSA-AES256-GCM-SHA384 ECDHE-RSA-AES256-SHA384 ECDHE-ECDSA-AES256-SHA384 ECDHE-RSA-AES256-SHA ECDHE-ECDSA-AES256-SHA ECDHE-ECDSA-CHACHA20-POLY1305 ECDHE-RSA-CHACHA20-POLY1305 TLS_AES_128_GCM_SHA256 ECDHE-RSA-AES128-GCM-SHA256 ECDHE-ECDSA-AES128-GCM-SHA256 ECDHE-RSA-AES128-SHA256 ECDHE-ECDSA-AES128-SHA256 ECDHE-RSA-AES128-SHA ECDHE-ECDSA-AES128-SHA","",""
"FS_KEMs","www.communication-responsable.ademe.fr/104.18.0.202","443","OK","X25519MLKEM768 X25519Kyber768Draft00","",""
"FS_ECDHE_curves","www.communication-responsable.ademe.fr/104.18.0.202","443","OK","prime256v1 secp384r1 secp521r1 X25519","",""
"FS_TLS12_sig_algs","www.communication-responsable.ademe.fr/104.18.0.202","443","INFO","RSA-PSS-RSAE+SHA256 RSA+SHA256 RSA-PSS-RSAE+SHA384 ECDSA+SHA256 ECDSA+SHA384 ECDSA+SHA512","",""
"FS_TLS13_sig_algs","www.communication-responsable.ademe.fr/104.18.0.202","443","INFO","ECDSA+SHA256","",""
"TLS_extensions","www.communication-responsable.ademe.fr/104.18.0.202","443","INFO","'server name/#0' 'status request/#5' 'EC point formats/#11' 'application layer protocol negotiation/#16' 'extended master secret/#23' 'compress_certificate/#27' 'session ticket/#35' 'supported versions/#43' 'key share/#51' 'next protocol/#13172' 'renegotiation info/#65281'","",""
"TLS_session_ticket","www.communication-responsable.ademe.fr/104.18.0.202","443","INFO","valid for 64800 seconds only (<daily)","",""
"SSL_sessionID_support","www.communication-responsable.ademe.fr/104.18.0.202","443","INFO","yes","",""
"sessionresumption_ticket","www.communication-responsable.ademe.fr/104.18.0.202","443","INFO","supported","",""
"sessionresumption_ID","www.communication-responsable.ademe.fr/104.18.0.202","443","INFO","supported","",""
"TLS_timestamp","www.communication-responsable.ademe.fr/104.18.0.202","443","INFO","random","",""
"certificate_compression","www.communication-responsable.ademe.fr/104.18.0.202","443","INFO","0002/Brotli","",""
"clientAuth","www.communication-responsable.ademe.fr/104.18.0.202","443","INFO","none","",""
"cert_numbers","www.communication-responsable.ademe.fr/104.18.0.202","443","INFO","2","",""
"cert_signatureAlgorithm <hostCert#1>","www.communication-responsable.ademe.fr/104.18.0.202","443","OK","SHA256 with RSA","",""
"cert_keySize <hostCert#1>","www.communication-responsable.ademe.fr/104.18.0.202","443","INFO","RSA 2048 bits (exponent is 65537)","",""
"cert_keyUsage <hostCert#1>","www.communication-responsable.ademe.fr/104.18.0.202","443","INFO","Digital Signature, Key Encipherment","",""
"cert_extKeyUsage <hostCert#1>","www.communication-responsable.ademe.fr/104.18.0.202","443","INFO","TLS Web Server Authentication","",""
"cert_serialNumber <hostCert#1>","www.communication-responsable.ademe.fr/104.18.0.202","443","INFO","821BD40B2E8F79BB11E664F6F5F58F8C","",""
"cert_serialNumberLen <hostCert#1>","www.communication-responsable.ademe.fr/104.18.0.202","443","INFO","16","",""
"cert_fingerprintSHA1 <hostCert#1>","www.communication-responsable.ademe.fr/104.18.0.202","443","INFO","2AF3DA146AB5F38CFDD690E0971F8D1180287364","",""
"cert_fingerprintSHA256 <hostCert#1>","www.communication-responsable.ademe.fr/104.18.0.202","443","INFO","A1969405CEB80FB3EFBF76EA80DAFACB0BFAE7E08946042A8759B7334BB3DC67","",""
"cert <hostCert#1>","www.communication-responsable.ademe.fr/104.18.0.202","443","INFO","-----BEGIN CERTIFICATE-----\nMIIFWDCCBECgAwIBAgIRAIIb1Asuj3m7EeZk9vX1j4wwDQYJKoZIhvcNAQELBQAwOzELMAkGA1UEBhMCVVMxHjAcBgNVBAoTFUdvb2dsZSBUcnVzdCBTZXJ2aWNlczEMMAoGA1UEAxMDV1IxMB4XDTI1MDcwODA0MjIyNFoXDTI1MTAwNjA1MjAwN1owMTEvMC0GA1UEAxMmd3d3LmNvbW11bmljYXRpb24tcmVzcG9uc2FibGUuYWRlbWUuZnIwggEiMA0GCSqGSIb3DQEBAQUAA4IBDwAwggEKAoIBAQCmbMtfhMb77O9aL8R03ajsbkkB/ptNoiHdZ9remh0QZk/Czf22EFmXJE7rRnCtLnFe3NIEIFU+/QMtkZjhLG+W2VSdCbhd+j9UXBsv5LMj6Wf2N8QbIR84B2tiff6+sqxBVnHG8w4+oQrZ+BjCFAoHCcPw5aMImJ5/5S+4ZZcz90gqZrdYXuGMk1yMMsLzkgE/e9BGY1sm4Eq4+UiIFbeED1xVzFIdy5gunYKvzQYu8stmA5YS/sGi3ZhvKJr6NljmBfOIatxJykFaW2vgPgmXfFvxhRPizFvhM8Ap/vNamlsUEe895Sl7uYx/6l2JyHSzoxbvWgiydfo2PTPtggZjAgMBAAGjggJfMIICWzAOBgNVHQ8BAf8EBAMCBaAwEwYDVR0lBAwwCgYIKwYBBQUHAwEwDAYDVR0TAQH/BAIwADAdBgNVHQ4EFgQULH1wkksQEkI7xGFwK1yz9GQ6TSIwHwYDVR0jBBgwFoAUZmlJ1N4qnJEDz4kOJLgOMANuiC4wXgYIKwYBBQUHAQEEUjBQMCcGCCsGAQUFBzABhhtodHRwOi8vby5wa2kuZ29vZy9zL3dyMS9naHMwJQYIKwYBBQUHMAKGGWh0dHA6Ly9pLnBraS5nb29nL3dyMS5jcnQwMQYDVR0RBCowKIImd3d3LmNvbW11bmljYXRpb24tcmVzcG9uc2FibGUuYWRlbWUuZnIwEwYDVR0gBAwwCjAIBgZngQwBAgEwNgYDVR0fBC8wLTAroCmgJ4YlaHR0cDovL2MucGtpLmdvb2cvd3IxLzAydmh1Mlpxb0J3LmNybDCCAQQGCisGAQQB1nkCBAIEgfUEgfIA8AB2AH1ZHhLheCp7HGFnfF79+NCHXBSgTpWeuQMv2Q6MLnm4AAABl+h8QoUAAAQDAEcwRQIgDeWDWNb14vWTypZm3m9eVaikXZfJiSr7EGmFUTTU6TUCIQDrPNbuJ78H11uF09WtnZ6yDF5fO40o+fgQ/8HLhLZKZgB2AN3cyjSV1+EWBeeVMvrHn/g9HFDf2wA6FBJ2Ciysu8gqAAABl+h8Or0AAAQDAEcwRQIhAN4rcE0RfFeH1wdHtayvoqpeUi7fcmuUHZ92SSBe6iX+AiB07wVLxU8esFwzrSk+EXtnbIhZZpEFYvkZBllTHtmMejANBgkqhkiG9w0BAQsFAAOCAQEARkh65qHwOm+pF367tsXM6gcCkkObIfZTCpBw0rK3dw96dwqJDUvlJcrIhFBKQV3A296TUpcW5PuzKq01ao+o+BEyyJ+d3tIZgeFAwTZH3wwBPy8Jy/hLLVJkiXG2NPan1uL1dL7lJ3q3nvqeorGbAu1dCxc8dR5G91VVeKiOC32bS8tMs5tNYiDPzUA9pUrayStcJ7wpv1up0fTqEzJwsZgt57P99KaAwr4qRVODd6Byu4PLnBUAxLnEL9P3n4D/W50pUTZflCthkaAzhlk9EmKiK9j9iVdq6iPPG664yoa+FgC1/iuDplMeTTPsSm9xMAlOLvH4OO7WH12FSoIU+Q==\n-----END CERTIFICATE-----","",""
"cert_commonName <hostCert#1>","www.communication-responsable.ademe.fr/104.18.0.202","443","OK","www.communication-responsable.ademe.fr","",""
"cert_commonName_wo_SNI <hostCert#1>","www.communication-responsable.ademe.fr/104.18.0.202","443","INFO","request w/o SNI didn't succeed","",""
"cert_subjectAltName <hostCert#1>","www.communication-responsable.ademe.fr/104.18.0.202","443","INFO","www.communication-responsable.ademe.fr","",""
"cert_trust <hostCert#1>","www.communication-responsable.ademe.fr/104.18.0.202","443","OK","Ok via SAN and CN (SNI mandatory)","",""
"cert_chain_of_trust <hostCert#1>","www.communication-responsable.ademe.fr/104.18.0.202","443","OK","passed.","",""
"cert_certificatePolicies_EV <hostCert#1>","www.communication-responsable.ademe.fr/104.18.0.202","443","INFO","no","",""
"cert_expirationStatus <hostCert#1>","www.communication-responsable.ademe.fr/104.18.0.202","443","OK","88 >= 60 days","",""
"cert_notBefore <hostCert#1>","www.communication-responsable.ademe.fr/104.18.0.202","443","INFO","2025-07-08 04:22","",""
"cert_notAfter <hostCert#1>","www.communication-responsable.ademe.fr/104.18.0.202","443","OK","2025-10-06 05:20","",""
"cert_extlifeSpan <hostCert#1>","www.communication-responsable.ademe.fr/104.18.0.202","443","OK","certificate has no extended life time according to browser forum","",""
"cert_eTLS <hostCert#1>","www.communication-responsable.ademe.fr/104.18.0.202","443","INFO","not present","",""
"cert_crlDistributionPoints <hostCert#1>","www.communication-responsable.ademe.fr/104.18.0.202","443","INFO","http://c.pki.goog/wr1/02vhu2ZqoBw.crl","",""
"cert_ocspURL <hostCert#1>","www.communication-responsable.ademe.fr/104.18.0.202","443","INFO","http://o.pki.goog/s/wr1/ghs","",""
"OCSP_stapling <hostCert#1>","www.communication-responsable.ademe.fr/104.18.0.202","443","OK","offered","",""
"cert_ocspRevoked <hostCert#1>","www.communication-responsable.ademe.fr/104.18.0.202","443","OK","not revoked","",""
"cert_mustStapleExtension <hostCert#1>","www.communication-responsable.ademe.fr/104.18.0.202","443","INFO","--","",""
"DNS_CAArecord <hostCert#1>","www.communication-responsable.ademe.fr/104.18.0.202","443","LOW","--","",""
"certificate_transparency <hostCert#1>","www.communication-responsable.ademe.fr/104.18.0.202","443","OK","yes (certificate extension)","",""
"certs_countServer <hostCert#1>","www.communication-responsable.ademe.fr/104.18.0.202","443","INFO","3","",""
