"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","www.armee-air-espace-collection.gouv.fr/51.91.236.193","443","INFO","HTTP","",""
"pre_128cipher","www.armee-air-espace-collection.gouv.fr/51.91.236.193","443","INFO","No 128 cipher limit bug","",""
"SSLv2","www.armee-air-espace-collection.gouv.fr/51.91.236.193","443","OK","not offered","",""
"SSLv3","www.armee-air-espace-collection.gouv.fr/51.91.236.193","443","OK","not offered","",""
"TLS1","www.armee-air-espace-collection.gouv.fr/51.91.236.193","443","INFO","not offered","",""
"TLS1_1","www.armee-air-espace-collection.gouv.fr/51.91.236.193","443","INFO","not offered","",""
"TLS1_2","www.armee-air-espace-collection.gouv.fr/51.91.236.193","443","OK","offered","",""
"TLS1_3","www.armee-air-espace-collection.gouv.fr/51.91.236.193","443","OK","offered with final","",""
"ALPN_HTTP2","www.armee-air-espace-collection.gouv.fr/51.91.236.193","443","OK","h2","",""
"cipherlist_NULL","www.armee-air-espace-collection.gouv.fr/51.91.236.193","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","www.armee-air-espace-collection.gouv.fr/51.91.236.193","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","www.armee-air-espace-collection.gouv.fr/51.91.236.193","443","OK","not offered","","CWE-327"
"cipherlist_LOW","www.armee-air-espace-collection.gouv.fr/51.91.236.193","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","www.armee-air-espace-collection.gouv.fr/51.91.236.193","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","www.armee-air-espace-collection.gouv.fr/51.91.236.193","443","LOW","offered","","CWE-310"
"cipherlist_STRONG_NOFS","www.armee-air-espace-collection.gouv.fr/51.91.236.193","443","INFO","not offered","",""
"cipherlist_STRONG_FS","www.armee-air-espace-collection.gouv.fr/51.91.236.193","443","OK","offered","",""
"cipher_order-tls1_2","www.armee-air-espace-collection.gouv.fr/51.91.236.193","443","OK","server","",""
"cipherorder_TLSv1_2","www.armee-air-espace-collection.gouv.fr/51.91.236.193","443","INFO","ECDHE-RSA-AES256-GCM-SHA384","",""
"cipher_order","www.armee-air-espace-collection.gouv.fr/51.91.236.193","443","OK","server","",""
"FS","www.armee-air-espace-collection.gouv.fr/51.91.236.193","443","OK","offered","",""
"FS_ciphers","www.armee-air-espace-collection.gouv.fr/51.91.236.193","443","INFO","ECDHE-RSA-AES128-GCM-SHA256 ECDHE-RSA-AES128-SHA256 ECDHE-RSA-AES256-GCM-SHA384 ECDHE-RSA-AES256-SHA384","",""
"FS_ECDHE_curves","www.armee-air-espace-collection.gouv.fr/51.91.236.193","443","OK","prime256v1 secp384r1 secp521r1","",""
"TLS_extensions","www.armee-air-espace-collection.gouv.fr/51.91.236.193","443","INFO","'server name/#0' 'max fragment length/#1' 'supported_groups/#10' 'EC point formats/#11' 'application layer protocol negotiation/#16' 'encrypt-then-mac/#22' 'extended master secret/#23' 'supported versions/#43' 'key share/#51' 'renegotiation info/#65281'","",""
"TLS_session_ticket","www.armee-air-espace-collection.gouv.fr/51.91.236.193","443","INFO","no -- no lifetime advertised","",""
"SSL_sessionID_support","www.armee-air-espace-collection.gouv.fr/51.91.236.193","443","INFO","yes","",""
"sessionresumption_ticket","www.armee-air-espace-collection.gouv.fr/51.91.236.193","443","INFO","not supported","",""
"sessionresumption_ID","www.armee-air-espace-collection.gouv.fr/51.91.236.193","443","INFO","not supported","",""
