"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","www.arpe.gouv.fr/37.187.155.112","443","INFO","HTTP","",""
"pre_128cipher","www.arpe.gouv.fr/37.187.155.112","443","INFO","No 128 cipher limit bug","",""
"SSLv2","www.arpe.gouv.fr/37.187.155.112","443","OK","not offered","",""
"SSLv3","www.arpe.gouv.fr/37.187.155.112","443","OK","not offered","",""
"TLS1","www.arpe.gouv.fr/37.187.155.112","443","INFO","not offered","",""
"TLS1_1","www.arpe.gouv.fr/37.187.155.112","443","INFO","not offered","",""
"TLS1_2","www.arpe.gouv.fr/37.187.155.112","443","OK","offered","",""
"TLS1_3","www.arpe.gouv.fr/37.187.155.112","443","OK","offered with final","",""
"ALPN_HTTP2","www.arpe.gouv.fr/37.187.155.112","443","OK","h2","",""
"ALPN","www.arpe.gouv.fr/37.187.155.112","443","INFO","http/1.1","",""
"cipherlist_NULL","www.arpe.gouv.fr/37.187.155.112","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","www.arpe.gouv.fr/37.187.155.112","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","www.arpe.gouv.fr/37.187.155.112","443","OK","not offered","","CWE-327"
"cipherlist_LOW","www.arpe.gouv.fr/37.187.155.112","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","www.arpe.gouv.fr/37.187.155.112","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","www.arpe.gouv.fr/37.187.155.112","443","LOW","offered","","CWE-310"
"cipherlist_STRONG_NOFS","www.arpe.gouv.fr/37.187.155.112","443","OK","offered","",""
"cipherlist_STRONG_FS","www.arpe.gouv.fr/37.187.155.112","443","OK","offered","",""
"cipher_order-tls1_2","www.arpe.gouv.fr/37.187.155.112","443","OK","server","",""
"cipherorder_TLSv1_2","www.arpe.gouv.fr/37.187.155.112","443","INFO","ECDHE-RSA-AES128-GCM-SHA256","",""
"cipher_order","www.arpe.gouv.fr/37.187.155.112","443","OK","server","",""
"FS","www.arpe.gouv.fr/37.187.155.112","443","OK","offered","",""
"FS_ciphers","www.arpe.gouv.fr/37.187.155.112","443","INFO","DHE-RSA-AES128-GCM-SHA256 DHE-RSA-AES128-SHA256 DHE-RSA-AES128-SHA DHE-RSA-AES256-GCM-SHA384 DHE-RSA-AES256-SHA256 DHE-RSA-AES256-SHA DHE-RSA-CAMELLIA128-SHA256 DHE-RSA-CAMELLIA128-SHA DHE-RSA-CAMELLIA256-SHA256 DHE-RSA-CAMELLIA256-SHA ECDHE-RSA-AES128-GCM-SHA256 ECDHE-RSA-AES128-SHA256 ECDHE-RSA-AES128-SHA ECDHE-RSA-AES256-GCM-SHA384 ECDHE-RSA-AES256-SHA384 ECDHE-RSA-AES256-SHA ECDHE-RSA-CAMELLIA128-SHA256 ECDHE-RSA-CAMELLIA256-SHA384","",""
"FS_ECDHE_curves","www.arpe.gouv.fr/37.187.155.112","443","OK","prime256v1 secp384r1 secp521r1","",""
"TLS_extensions","www.arpe.gouv.fr/37.187.155.112","443","INFO","'server name/#0' 'max fragment length/#1' 'supported_groups/#10' 'EC point formats/#11' 'application layer protocol negotiation/#16' 'encrypt-then-mac/#22' 'extended master secret/#23' 'session ticket/#35' 'supported versions/#43' 'key share/#51' 'renegotiation info/#65281'","",""
"TLS_session_ticket","www.arpe.gouv.fr/37.187.155.112","443","INFO","valid for 300 seconds only (<daily)","",""
"SSL_sessionID_support","www.arpe.gouv.fr/37.187.155.112","443","INFO","yes","",""
"sessionresumption_ticket","www.arpe.gouv.fr/37.187.155.112","443","INFO","supported","",""
"sessionresumption_ID","www.arpe.gouv.fr/37.187.155.112","443","INFO","not supported","",""
"TLS_timestamp","www.arpe.gouv.fr/37.187.155.112","443","INFO","random","",""
"certificate_compression","www.arpe.gouv.fr/37.187.155.112","443","INFO","none","",""
"clientAuth","www.arpe.gouv.fr/37.187.155.112","443","INFO","none","",""
"cert_numbers","www.arpe.gouv.fr/37.187.155.112","443","INFO","1","",""
"cert_signatureAlgorithm","www.arpe.gouv.fr/37.187.155.112","443","OK","SHA256 with RSA","",""
"cert_keySize","www.arpe.gouv.fr/37.187.155.112","443","INFO","RSA 2048 bits (exponent is 65537)","",""
"cert_keyUsage","www.arpe.gouv.fr/37.187.155.112","443","INFO","Digital Signature, Key Encipherment","",""
"cert_extKeyUsage","www.arpe.gouv.fr/37.187.155.112","443","INFO","TLS Web Server Authentication, TLS Web Client Authentication","",""
"cert_serialNumber","www.arpe.gouv.fr/37.187.155.112","443","INFO","050AB8702558719FB6A21374402D094643D1","",""
"cert_serialNumberLen","www.arpe.gouv.fr/37.187.155.112","443","INFO","18","",""
"cert_fingerprintSHA1","www.arpe.gouv.fr/37.187.155.112","443","INFO","66C6B12C898653D4CDBFD01FEA6351B61CB97D2F","",""
"cert_fingerprintSHA256","www.arpe.gouv.fr/37.187.155.112","443","INFO","4909D29B3743A34D7927442F1F1BA9EDF0A2B237855F7BA89C3E86690D842DEC","",""
"cert","www.arpe.gouv.fr/37.187.155.112","443","INFO","-----BEGIN CERTIFICATE-----\nMIIFBjCCA+6gAwIBAgISBQq4cCVYcZ+2ohN0QC0JRkPRMA0GCSqGSIb3DQEBCwUAMDMxCzAJBgNVBAYTAlVTMRYwFAYDVQQKEw1MZXQncyBFbmNyeXB0MQwwCgYDVQQDEwNSMTEwHhcNMjUwNTIyMDgzMTU0WhcNMjUwODIwMDgzMTUzWjAXMRUwEwYDVQQDEwxhcnBlLmdvdXYuZnIwggEiMA0GCSqGSIb3DQEBAQUAA4IBDwAwggEKAoIBAQDAwTsESsFarNA9mSUaItQ+12EYmPrAJS2WOcERHhc/hDQ52H78ixyrLAfVDafLo5CDoQlca9gWMocIL9pjJ7Sz3BPAF5yEz0egkHXaMqNk+VCuneVQX7E2Yv4xao0quLb/SNYT6j4MalT5+jTznjFeNY4LjsDNP9r5Ds9vRPXjVy9pD54WNKZ3Hiq9GCLp63kEFAu3Q3EaqbnefMRJVEs29iQ2oZOkwoaSX+I0dqqgfB1am341V73nVG4l7Y0F9p9LAwLwIL+iZK405U/cZ2ZY+HidCB3jfI8QsOP6xDSawXS13IYafQttC7BSFIninXs0ejKCTE/DZeRfZmkjYyidAgMBAAGjggIuMIICKjAOBgNVHQ8BAf8EBAMCBaAwHQYDVR0lBBYwFAYIKwYBBQUHAwEGCCsGAQUFBwMCMAwGA1UdEwEB/wQCMAAwHQYDVR0OBBYEFOs31iFJOK/Obe5bKoKiD51ICmhDMB8GA1UdIwQYMBaAFMXPRqTq9MPAemyVxC2wXpIvJuO5MDMGCCsGAQUFBwEBBCcwJTAjBggrBgEFBQcwAoYXaHR0cDovL3IxMS5pLmxlbmNyLm9yZy8wKQYDVR0RBCIwIIIMYXJwZS5nb3V2LmZyghB3d3cuYXJwZS5nb3V2LmZyMBMGA1UdIAQMMAowCAYGZ4EMAQIBMC4GA1UdHwQnMCUwI6AhoB+GHWh0dHA6Ly9yMTEuYy5sZW5jci5vcmcvODIuY3JsMIIBBAYKKwYBBAHWeQIEAgSB9QSB8gDwAHYA7TxL1ugGwqSiAFfbyyTiOAHfUS/txIbFcA8g3bc+P+AAAAGW91RgNAAABAMARzBFAiEA1hdTnvW/9deK9TxicgAAv5u0lRJBgA0d0YP96VBxfuICIAJwG5pCqE9/oo6wLDVrsLvRDoSWAp9uFUTi36kX2MDHAHYA3dzKNJXX4RYF55Uy+sef+D0cUN/bADoUEnYKLKy7yCoAAAGW91RwGwAABAMARzBFAiEA+0aV+uk9XcEj2JUinFOa5LAjOU9CMfZE2qw+oaVjb6wCIFApNhe+b3xOmGbJJdBx1is2iKLG3nPC+IWkUae7VAz7MA0GCSqGSIb3DQEBCwUAA4IBAQCj8PThmCgK4y+w2sTLucUWEHqnlLRQVEWP/qhkoWVBCJO92pPlRLbLzIgIRj1/ah41IzhVy+kEJelODLC3BQWvqS4wyVuK+5sva3LcClbyq/0y00jGogdE7wt/ermEVSWZ1x7MRH1WVPBLVwP/Hm9O8MIZj8WZ1ew00AABm7gdFmR3o9U+gWE50N9Pm8rkiWe2mgHAMhp0R65/6+zU9T/834rvGkHLKabeiy7lYH+742JvjBGX85s8rHgTLZ8o7BtHj6syokhMn2AJ0LAABWwcZOe47Gg1vF42oBeYQI7xq1wZv9kW6ntIkbU6DUqLQ5sC0TRC9AF0fZrU3xslRN2y\n-----END CERTIFICATE-----","",""
"cert_commonName","www.arpe.gouv.fr/37.187.155.112","443","OK","arpe.gouv.fr","",""
"cert_commonName_wo_SNI","www.arpe.gouv.fr/37.187.155.112","443","INFO","ns322202.ip-37-187-155.eu","",""
"cert_subjectAltName","www.arpe.gouv.fr/37.187.155.112","443","INFO","arpe.gouv.fr www.arpe.gouv.fr","",""
"cert_trust","www.arpe.gouv.fr/37.187.155.112","443","OK","Ok via SAN (SNI mandatory)","",""
"cert_chain_of_trust","www.arpe.gouv.fr/37.187.155.112","443","OK","passed.","",""
"cert_certificatePolicies_EV","www.arpe.gouv.fr/37.187.155.112","443","INFO","no","",""
"cert_expirationStatus","www.arpe.gouv.fr/37.187.155.112","443","OK","70 >= 30 days","",""
"cert_notBefore","www.arpe.gouv.fr/37.187.155.112","443","INFO","2025-05-22 08:31","",""
