"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","www.beta.gouv.fr/109.232.236.90","443","INFO","HTTP","",""
"pre_128cipher","www.beta.gouv.fr/109.232.236.90","443","INFO","No 128 cipher limit bug","",""
"SSLv2","www.beta.gouv.fr/109.232.236.90","443","OK","not offered","",""
"SSLv3","www.beta.gouv.fr/109.232.236.90","443","OK","not offered","",""
"TLS1","www.beta.gouv.fr/109.232.236.90","443","INFO","not offered","",""
"TLS1_1","www.beta.gouv.fr/109.232.236.90","443","INFO","not offered","",""
"TLS1_2","www.beta.gouv.fr/109.232.236.90","443","OK","offered","",""
"TLS1_3","www.beta.gouv.fr/109.232.236.90","443","OK","offered with final","",""
"ALPN_HTTP2","www.beta.gouv.fr/109.232.236.90","443","OK","h2","",""
"ALPN","www.beta.gouv.fr/109.232.236.90","443","INFO","http/1.1","",""
"cipherlist_NULL","www.beta.gouv.fr/109.232.236.90","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","www.beta.gouv.fr/109.232.236.90","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","www.beta.gouv.fr/109.232.236.90","443","OK","not offered","","CWE-327"
"cipherlist_LOW","www.beta.gouv.fr/109.232.236.90","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","www.beta.gouv.fr/109.232.236.90","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","www.beta.gouv.fr/109.232.236.90","443","INFO","not offered","","CWE-310"
"cipherlist_STRONG_NOFS","www.beta.gouv.fr/109.232.236.90","443","INFO","not offered","",""
"cipherlist_STRONG_FS","www.beta.gouv.fr/109.232.236.90","443","OK","offered","",""
"cipher_order-tls1_2","www.beta.gouv.fr/109.232.236.90","443","OK","server","",""
"cipherorder_TLSv1_2","www.beta.gouv.fr/109.232.236.90","443","INFO","ECDHE-RSA-AES256-GCM-SHA384","",""
"cipher_order","www.beta.gouv.fr/109.232.236.90","443","OK","server","",""
"FS","www.beta.gouv.fr/109.232.236.90","443","OK","offered","",""
"FS_ciphers","www.beta.gouv.fr/109.232.236.90","443","INFO","DHE-RSA-AES256-GCM-SHA384 ECDHE-RSA-AES128-GCM-SHA256 ECDHE-RSA-AES256-GCM-SHA384","",""
"FS_ECDHE_curves","www.beta.gouv.fr/109.232.236.90","443","OK","prime256v1 secp384r1 secp521r1","",""
"TLS_extensions","www.beta.gouv.fr/109.232.236.90","443","INFO","'server name/#0' 'max fragment length/#1' 'supported_groups/#10' 'EC point formats/#11' 'application layer protocol negotiation/#16' 'extended master secret/#23' 'session ticket/#35' 'supported versions/#43' 'key share/#51' 'renegotiation info/#65281'","",""
"TLS_session_ticket","www.beta.gouv.fr/109.232.236.90","443","INFO","valid for 300 seconds only (<daily)","",""
"SSL_sessionID_support","www.beta.gouv.fr/109.232.236.90","443","INFO","yes","",""
"sessionresumption_ticket","www.beta.gouv.fr/109.232.236.90","443","INFO","not supported","",""
"sessionresumption_ID","www.beta.gouv.fr/109.232.236.90","443","INFO","not supported","",""
"TLS_timestamp","www.beta.gouv.fr/109.232.236.90","443","INFO","random","",""
"certificate_compression","www.beta.gouv.fr/109.232.236.90","443","INFO","none","",""
"clientAuth","www.beta.gouv.fr/109.232.236.90","443","INFO","none","",""
"cert_numbers","www.beta.gouv.fr/109.232.236.90","443","INFO","1","",""
"cert_signatureAlgorithm","www.beta.gouv.fr/109.232.236.90","443","OK","SHA256 with RSA","",""
"cert_keySize","www.beta.gouv.fr/109.232.236.90","443","INFO","RSA 2048 bits (exponent is 65537)","",""
"cert_keyUsage","www.beta.gouv.fr/109.232.236.90","443","INFO","Digital Signature, Key Encipherment","",""
"cert_extKeyUsage","www.beta.gouv.fr/109.232.236.90","443","INFO","TLS Web Server Authentication, TLS Web Client Authentication","",""
"cert_serialNumber","www.beta.gouv.fr/109.232.236.90","443","INFO","067AFA8748E9E61B3F6B05861E0B324BFFFF","",""
"cert_serialNumberLen","www.beta.gouv.fr/109.232.236.90","443","INFO","18","",""
"cert_fingerprintSHA1","www.beta.gouv.fr/109.232.236.90","443","INFO","FA419A81A967236C2CC09029DC084919C61EACFF","",""
"cert_fingerprintSHA256","www.beta.gouv.fr/109.232.236.90","443","INFO","A6EBE7DD6A34B1E53F39EB99334F36B323A47FF9C9FE1A730A1EC9F6E1D5F770","",""
"cert","www.beta.gouv.fr/109.232.236.90","443","INFO","-----BEGIN CERTIFICATE-----\nMIIE/TCCA+WgAwIBAgISBnr6h0jp5hs/awWGHgsyS///MA0GCSqGSIb3DQEBCwUAMDMxCzAJBgNVBAYTAlVTMRYwFAYDVQQKEw1MZXQncyBFbmNyeXB0MQwwCgYDVQQDEwNSMTAwHhcNMjUwNTEzMDczODM4WhcNMjUwODExMDczODM3WjAbMRkwFwYDVQQDExB3d3cuYmV0YS5nb3V2LmZyMIIBIjANBgkqhkiG9w0BAQEFAAOCAQ8AMIIBCgKCAQEAxjT6CdbA//lxAxoKcrDg7MHMJ5x3+MLpEGrc70nd1RrRFhQw4I6qOzQpgMP6kv/mw3WcxV3hRJyz+8O77KJjHCjozzuBgmKLC26DyeBf07o32MtOtj8UFsJZRWy49EjX3NoybByCqsMhexg+zraWEhK4F0S0tHwwVIfW7od0ZIXyLfvFKFQBQwDR4wqtH0YHUbJNHSEFVXnK5k1xCPWxfZZzoGe44QxTuKJAtyc5GfNW40EwS3/SicsILNA7xdbC+bDwt1sJo24fZT6cosHlFiFqdMmDRkgqs8MyU0GWvLz3mwBPesSsmqUJvGIARGYYWA3PObQW++Igx3WubBVNgQIDAQABo4ICITCCAh0wDgYDVR0PAQH/BAQDAgWgMB0GA1UdJQQWMBQGCCsGAQUFBwMBBggrBgEFBQcDAjAMBgNVHRMBAf8EAjAAMB0GA1UdDgQWBBS3/4qrQmjX7f3GBmkqcDmij/A9njAfBgNVHSMEGDAWgBS7vMNHpeS8qcbDpHIMEI2iNeHI6DAzBggrBgEFBQcBAQQnMCUwIwYIKwYBBQUHMAKGF2h0dHA6Ly9yMTAuaS5sZW5jci5vcmcvMBsGA1UdEQQUMBKCEHd3dy5iZXRhLmdvdXYuZnIwEwYDVR0gBAwwCjAIBgZngQwBAgEwLwYDVR0fBCgwJjAkoCKgIIYeaHR0cDovL3IxMC5jLmxlbmNyLm9yZy8xMjguY3JsMIIBBAYKKwYBBAHWeQIEAgSB9QSB8gDwAHYAGgT/SdBUHUCv9qDDv/HYxGcvTuzuI0BomGsXQC7ciX0AAAGWyMpl2wAABAMARzBFAiEA8HKDddRBOrBk0c1xHnRWhDZPkCpxxzD5QIUe0+s4JBgCIDBIzCp4mpKXcxTGEkz9jRb4J8sGbiT25xRA9P53PSzkAHYA7TxL1ugGwqSiAFfbyyTiOAHfUS/txIbFcA8g3bc+P+AAAAGWyMprdQAABAMARzBFAiAqYYJ25ed1Qs6q1/tm7xbHOUvTwGV/uYaZF5y5JSn2hgIhAJNSslPrFmCdaijA9b8FO62obv/X/IIHDeHzuebMa4GWMA0GCSqGSIb3DQEBCwUAA4IBAQA4O4Rc4M+RpBuzFUheMPi6KTtAaxrTqdAMbqiepLOm3opFHBr1RmsCbkt/cqK0lh3X8hYftuh9A/FUw97mdMI+f+UBCfEOr8PMEZmZVFA3VdjRK/Qi6r14CSpHjkQ8/otc7vOgpvnfcWAavMur5hL5eqApwsj/ygOFYB9M2RLG5FtnQO9FXUlcq1kSGXjQVvQc0EqQKSdwBDvFqTKL9AEXt0FXAACrhEyizRnTLOTgqr9C7oLpvLKVTUK+DumGMR/+iGPZPiar5oe/0fG4lI6ClHGq+ivY2/mLX9A8gs0z7yy1j3t7YE/T3mtc7KCECQilxud1KpG7zUW9n/TtyI/w\n-----END CERTIFICATE-----","",""
"cert_commonName","www.beta.gouv.fr/109.232.236.90","443","OK","www.beta.gouv.fr","",""
"cert_commonName_wo_SNI","www.beta.gouv.fr/109.232.236.90","443","INFO","*.osc-fr1.scalingo.io","",""
"cert_subjectAltName","www.beta.gouv.fr/109.232.236.90","443","INFO","www.beta.gouv.fr","",""
"cert_trust","www.beta.gouv.fr/109.232.236.90","443","OK","Ok via SAN and CN (SNI mandatory)","",""
"cert_trust_wildcard","www.beta.gouv.fr/109.232.236.90","443","LOW","trust is via wildcard","",""
"cert_chain_of_trust","www.beta.gouv.fr/109.232.236.90","443","OK","passed.","",""
"cert_certificatePolicies_EV","www.beta.gouv.fr/109.232.236.90","443","INFO","no","",""
"cert_expirationStatus","www.beta.gouv.fr/109.232.236.90","443","OK","89 >= 30 days","",""
"cert_notBefore","www.beta.gouv.fr/109.232.236.90","443","INFO","2025-05-13 07:38","",""
"cert_notAfter","www.beta.gouv.fr/109.232.236.90","443","OK","2025-08-11 07:38","",""
"cert_extlifeSpan","www.beta.gouv.fr/109.232.236.90","443","OK","certificate has no extended life time according to browser forum","",""
"cert_eTLS","www.beta.gouv.fr/109.232.236.90","443","INFO","not present","",""
"cert_crlDistributionPoints","www.beta.gouv.fr/109.232.236.90","443","INFO","http://r10.c.lencr.org/128.crl","",""
"cert_ocspURL","www.beta.gouv.fr/109.232.236.90","443","INFO","--","",""
"OCSP_stapling","www.beta.gouv.fr/109.232.236.90","443","INFO","not offered","",""
"cert_mustStapleExtension","www.beta.gouv.fr/109.232.236.90","443","INFO","--","",""
"DNS_CAArecord","www.beta.gouv.fr/109.232.236.90","443","LOW","--","",""
"certificate_transparency","www.beta.gouv.fr/109.232.236.90","443","OK","yes (certificate extension)","",""
"certs_countServer","www.beta.gouv.fr/109.232.236.90","443","INFO","2","",""
"certs_list_ordering_problem","www.beta.gouv.fr/109.232.236.90","443","INFO","no","",""
"cert_caIssuers","www.beta.gouv.fr/109.232.236.90","443","INFO","R10 (Let's Encrypt from US)","",""
