"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","www.bilans-climat-simplifies.ademe.fr/18.208.88.157","443","INFO","HTTP","",""
"pre_128cipher","www.bilans-climat-simplifies.ademe.fr/18.208.88.157","443","INFO","No 128 cipher limit bug","",""
"SSLv2","www.bilans-climat-simplifies.ademe.fr/18.208.88.157","443","OK","not offered","",""
"SSLv3","www.bilans-climat-simplifies.ademe.fr/18.208.88.157","443","OK","not offered","",""
"TLS1","www.bilans-climat-simplifies.ademe.fr/18.208.88.157","443","INFO","not offered","",""
"TLS1_1","www.bilans-climat-simplifies.ademe.fr/18.208.88.157","443","INFO","not offered","",""
"TLS1_2","www.bilans-climat-simplifies.ademe.fr/18.208.88.157","443","OK","offered","",""
"TLS1_3","www.bilans-climat-simplifies.ademe.fr/18.208.88.157","443","OK","offered with final","",""
"NPN","www.bilans-climat-simplifies.ademe.fr/18.208.88.157","443","INFO","not offered","",""
"ALPN_HTTP2","www.bilans-climat-simplifies.ademe.fr/18.208.88.157","443","OK","h2","",""
"ALPN","www.bilans-climat-simplifies.ademe.fr/18.208.88.157","443","INFO","http/1.1","",""
"cipherlist_NULL","www.bilans-climat-simplifies.ademe.fr/18.208.88.157","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","www.bilans-climat-simplifies.ademe.fr/18.208.88.157","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","www.bilans-climat-simplifies.ademe.fr/18.208.88.157","443","OK","not offered","","CWE-327"
"cipherlist_LOW","www.bilans-climat-simplifies.ademe.fr/18.208.88.157","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","www.bilans-climat-simplifies.ademe.fr/18.208.88.157","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","www.bilans-climat-simplifies.ademe.fr/18.208.88.157","443","INFO","not offered","","CWE-310"
"cipherlist_STRONG_NOFS","www.bilans-climat-simplifies.ademe.fr/18.208.88.157","443","INFO","not offered","",""
"cipherlist_STRONG_FS","www.bilans-climat-simplifies.ademe.fr/18.208.88.157","443","OK","offered","",""
"cipher_order-tls1_2","www.bilans-climat-simplifies.ademe.fr/18.208.88.157","443","OK","server -- server prioritizes ChaCha ciphers when preferred by clients","",""
