"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","www.devenirenseignant.gouv.fr/185.75.143.93","443","INFO","HTTP","",""
"pre_128cipher","www.devenirenseignant.gouv.fr/185.75.143.93","443","INFO","No 128 cipher limit bug","",""
"SSLv2","www.devenirenseignant.gouv.fr/185.75.143.93","443","OK","not offered","",""
"SSLv3","www.devenirenseignant.gouv.fr/185.75.143.93","443","OK","not offered","",""
"TLS1","www.devenirenseignant.gouv.fr/185.75.143.93","443","INFO","not offered","",""
"TLS1_1","www.devenirenseignant.gouv.fr/185.75.143.93","443","INFO","not offered","",""
"TLS1_2","www.devenirenseignant.gouv.fr/185.75.143.93","443","OK","offered","",""
"TLS1_3","www.devenirenseignant.gouv.fr/185.75.143.93","443","OK","offered with final","",""
"ALPN","www.devenirenseignant.gouv.fr/185.75.143.93","443","INFO","http/1.1","",""
"cipherlist_NULL","www.devenirenseignant.gouv.fr/185.75.143.93","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","www.devenirenseignant.gouv.fr/185.75.143.93","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","www.devenirenseignant.gouv.fr/185.75.143.93","443","OK","not offered","","CWE-327"
"cipherlist_LOW","www.devenirenseignant.gouv.fr/185.75.143.93","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","www.devenirenseignant.gouv.fr/185.75.143.93","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","www.devenirenseignant.gouv.fr/185.75.143.93","443","INFO","not offered","","CWE-310"
"cipherlist_STRONG_NOFS","www.devenirenseignant.gouv.fr/185.75.143.93","443","INFO","not offered","",""
"cipherlist_STRONG_FS","www.devenirenseignant.gouv.fr/185.75.143.93","443","OK","offered","",""
"cipher_order","www.devenirenseignant.gouv.fr/185.75.143.93","443","INFO","NOT a cipher order configured","",""
"FS","www.devenirenseignant.gouv.fr/185.75.143.93","443","OK","offered","",""
"FS_ciphers","www.devenirenseignant.gouv.fr/185.75.143.93","443","INFO","DHE-RSA-AES128-GCM-SHA256 DHE-RSA-AES256-GCM-SHA384 ECDHE-RSA-AES128-GCM-SHA256 ECDHE-RSA-AES256-GCM-SHA384","",""
"FS_ECDHE_curves","www.devenirenseignant.gouv.fr/185.75.143.93","443","OK","prime256v1 secp384r1 secp521r1","",""
"TLS_extensions","www.devenirenseignant.gouv.fr/185.75.143.93","443","INFO","'server name/#0' 'status request/#5' 'supported_groups/#10' 'EC point formats/#11' 'supported versions/#43' 'key share/#51' 'next protocol/#13172' 'renegotiation info/#65281'","",""
"TLS_session_ticket","www.devenirenseignant.gouv.fr/185.75.143.93","443","INFO","no -- no lifetime advertised","",""
"SSL_sessionID_support","www.devenirenseignant.gouv.fr/185.75.143.93","443","INFO","yes","",""
"sessionresumption_ticket","www.devenirenseignant.gouv.fr/185.75.143.93","443","INFO","not supported","",""
"sessionresumption_ID","www.devenirenseignant.gouv.fr/185.75.143.93","443","WARN","check failed because of connect problem","",""
"TLS_timestamp","www.devenirenseignant.gouv.fr/185.75.143.93","443","INFO","random","",""
"certificate_compression","www.devenirenseignant.gouv.fr/185.75.143.93","443","INFO","none","",""
"clientAuth","www.devenirenseignant.gouv.fr/185.75.143.93","443","INFO","none","",""
