"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","www.ecole-air-espace.fr/54.36.91.62","443","INFO","HTTP","",""
"pre_128cipher","www.ecole-air-espace.fr/54.36.91.62","443","INFO","No 128 cipher limit bug","",""
"SSLv2","www.ecole-air-espace.fr/54.36.91.62","443","OK","not offered","",""
"SSLv3","www.ecole-air-espace.fr/54.36.91.62","443","OK","not offered","",""
"TLS1","www.ecole-air-espace.fr/54.36.91.62","443","INFO","not offered","",""
"TLS1_1","www.ecole-air-espace.fr/54.36.91.62","443","INFO","not offered","",""
"TLS1_2","www.ecole-air-espace.fr/54.36.91.62","443","OK","offered","",""
"TLS1_3","www.ecole-air-espace.fr/54.36.91.62","443","OK","offered with final","",""
"ALPN_HTTP2","www.ecole-air-espace.fr/54.36.91.62","443","OK","h2","",""
"cipherlist_NULL","www.ecole-air-espace.fr/54.36.91.62","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","www.ecole-air-espace.fr/54.36.91.62","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","www.ecole-air-espace.fr/54.36.91.62","443","OK","not offered","","CWE-327"
"cipherlist_LOW","www.ecole-air-espace.fr/54.36.91.62","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","www.ecole-air-espace.fr/54.36.91.62","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","www.ecole-air-espace.fr/54.36.91.62","443","LOW","offered","","CWE-310"
"cipherlist_STRONG_NOFS","www.ecole-air-espace.fr/54.36.91.62","443","INFO","not offered","",""
"cipherlist_STRONG_FS","www.ecole-air-espace.fr/54.36.91.62","443","OK","offered","",""
"cipher_order-tls1_2","www.ecole-air-espace.fr/54.36.91.62","443","OK","server","",""
"cipherorder_TLSv1_2","www.ecole-air-espace.fr/54.36.91.62","443","INFO","ECDHE-ECDSA-AES256-GCM-SHA384","",""
"cipher_order","www.ecole-air-espace.fr/54.36.91.62","443","OK","server","",""
"FS","www.ecole-air-espace.fr/54.36.91.62","443","OK","offered","",""
"FS_ciphers","www.ecole-air-espace.fr/54.36.91.62","443","INFO","ECDHE-ECDSA-AES128-GCM-SHA256 ECDHE-ECDSA-AES128-SHA256 ECDHE-ECDSA-AES256-GCM-SHA384 ECDHE-ECDSA-AES256-SHA384","",""
"FS_ECDHE_curves","www.ecole-air-espace.fr/54.36.91.62","443","OK","prime256v1","",""
"TLS_extensions","www.ecole-air-espace.fr/54.36.91.62","443","INFO","'server name/#0' 'max fragment length/#1' 'supported_groups/#10' 'EC point formats/#11' 'application layer protocol negotiation/#16' 'encrypt-then-mac/#22' 'extended master secret/#23' 'supported versions/#43' 'key share/#51' 'renegotiation info/#65281'","",""
"TLS_session_ticket","www.ecole-air-espace.fr/54.36.91.62","443","INFO","no -- no lifetime advertised","",""
"SSL_sessionID_support","www.ecole-air-espace.fr/54.36.91.62","443","INFO","yes","",""
"sessionresumption_ticket","www.ecole-air-espace.fr/54.36.91.62","443","INFO","not supported","",""
"sessionresumption_ID","www.ecole-air-espace.fr/54.36.91.62","443","INFO","not supported","",""
"TLS_timestamp","www.ecole-air-espace.fr/54.36.91.62","443","INFO","random","",""
"certificate_compression","www.ecole-air-espace.fr/54.36.91.62","443","INFO","none","",""
"clientAuth","www.ecole-air-espace.fr/54.36.91.62","443","INFO","none","",""
"cert_numbers","www.ecole-air-espace.fr/54.36.91.62","443","INFO","1","",""
"cert_signatureAlgorithm","www.ecole-air-espace.fr/54.36.91.62","443","OK","ECDSA with SHA384","",""
"cert_keySize","www.ecole-air-espace.fr/54.36.91.62","443","OK","EC 256 bits (curve P-256)","",""
"cert_keyUsage","www.ecole-air-espace.fr/54.36.91.62","443","INFO","Digital Signature","",""
"cert_extKeyUsage","www.ecole-air-espace.fr/54.36.91.62","443","INFO","TLS Web Server Authentication, TLS Web Client Authentication","",""
"cert_serialNumber","www.ecole-air-espace.fr/54.36.91.62","443","INFO","06E825EAB4FE87741DA9E902A12B0B4B517A","",""
"cert_serialNumberLen","www.ecole-air-espace.fr/54.36.91.62","443","INFO","18","",""
"cert_fingerprintSHA1","www.ecole-air-espace.fr/54.36.91.62","443","INFO","F9044C517FA54D80C7959F8547AFBFFD0448C8C2","",""
"cert_fingerprintSHA256","www.ecole-air-espace.fr/54.36.91.62","443","INFO","178BDF640B838BD4F95D67ECFBB82B4541FD03E5D36501718E1C4070F5426884","",""
"cert","www.ecole-air-espace.fr/54.36.91.62","443","INFO","-----BEGIN CERTIFICATE-----\nMIIEsTCCBDagAwIBAgISBugl6rT+h3QdqekCoSsLS1F6MAoGCCqGSM49BAMDMDIxCzAJBgNVBAYTAlVTMRYwFAYDVQQKEw1MZXQncyBFbmNyeXB0MQswCQYDVQQDEwJFNjAeFw0yNTA1MTIxMjIyMjFaFw0yNTA4MTAxMjIyMjBaMB4xHDAaBgNVBAMTE2Vjb2xlLWFpci1lc3BhY2UuZnIwWTATBgcqhkjOPQIBBggqhkjOPQMBBwNCAAQp2Lk6fpE8I8o+B6JQNd459v4wDzZjpZt/BG4FwSBXKft3gWcLZKyfFRdkdbdeJEzBnY5RgJBJJwE+6DI5sL65o4IDPjCCAzowDgYDVR0PAQH/BAQDAgeAMB0GA1UdJQQWMBQGCCsGAQUFBwMBBggrBgEFBQcDAjAMBgNVHRMBAf8EAjAAMB0GA1UdDgQWBBTV4iqNPMYqjfooj9uNwpQ/Bat7xzAfBgNVHSMEGDAWgBSTJ0aYA6lRaI6Y1sRCSNsjv1iU0jAyBggrBgEFBQcBAQQmMCQwIgYIKwYBBQUHMAKGFmh0dHA6Ly9lNi5pLmxlbmNyLm9yZy8wggE3BgNVHREEggEuMIIBKoIYY3JlYS5lY29sZS1haXItZXNwYWNlLmZyghNlY29sZS1haXItZXNwYWNlLmZyggxlY29sZS1haXIuZnKCI2VuZ2xpc2gtdmVyc2lvbi5lY29sZS1haXItZXNwYWNlLmZyghppbWVhZWouZWNvbGUtYWlyLWVzcGFjZS5mcoIZcHByb2QuZWNvbGUtYWlyLWVzcGFjZS5mcoIcd3d3LmNyZWEuZWNvbGUtYWlyLWVzcGFjZS5mcoIXd3d3LmVjb2xlLWFpci1lc3BhY2UuZnKCEHd3dy5lY29sZS1haXIuZnKCJ3d3dy5lbmdsaXNoLXZlcnNpb24uZWNvbGUtYWlyLWVzcGFjZS5mcoIdd3d3LnBwcm9kLmVjb2xlLWFpci1lc3BhY2UuZnIwEwYDVR0gBAwwCjAIBgZngQwBAgEwLgYDVR0fBCcwJTAjoCGgH4YdaHR0cDovL2U2LmMubGVuY3Iub3JnLzEyMy5jcmwwggEFBgorBgEEAdZ5AgQCBIH2BIHzAPEAdgDtPEvW6AbCpKIAV9vLJOI4Ad9RL+3EhsVwDyDdtz4/4AAAAZbEp8TnAAAEAwBHMEUCIEC3yBnJDmpWwlVFWSoqdYx7mTVahl7TZNKijROcbo93AiEAqAg3imzd/VAf1EaSpWzeOXFE9ixxE+/JJUC1BccDNDUAdwAN4fIwK9MNwUBiEgnqVS78R3R8sdfpMO8OQh60fk6qNAAAAZbEp8TvAAAEAwBIMEYCIQCD7dsIrH2570MQSs5yV2u2rPeCgdXVha7hNqSiWVi8pwIhAIblMfrw6FxcJlWvmk+F7VCWEQmzdVqA4TSIbbaEtqHzMAoGCCqGSM49BAMDA2kAMGYCMQC9lPRtvg9jAk0FrHqSt4xHh5LxyIXiMXvhyofgAzQ33Tnn3BY1GldluVB8KJMFAhYCMQDig61vxJ4plUIFZwB6PxSkuUhIDMVc+rQe4N0ENT+sfYMJ/QW2nJgCjT0iidMLbmg=\n-----END CERTIFICATE-----","",""
"cert_commonName","www.ecole-air-espace.fr/54.36.91.62","443","OK","ecole-air-espace.fr","",""
"cert_commonName_wo_SNI","www.ecole-air-espace.fr/54.36.91.62","443","INFO","cluster027.hosting.ovh.net","",""
"cert_subjectAltName","www.ecole-air-espace.fr/54.36.91.62","443","INFO","crea.ecole-air-espace.fr ecole-air-espace.fr ecole-air.fr english-version.ecole-air-espace.fr imeaej.ecole-air-espace.fr pprod.ecole-air-espace.fr www.crea.ecole-air-espace.fr www.ecole-air-espace.fr www.ecole-air.fr www.english-version.ecole-air-espace.fr www.pprod.ecole-air-espace.fr","",""
"cert_trust","www.ecole-air-espace.fr/54.36.91.62","443","OK","Ok via SAN (SNI mandatory)","",""
"cert_chain_of_trust","www.ecole-air-espace.fr/54.36.91.62","443","OK","passed.","",""
"cert_certificatePolicies_EV","www.ecole-air-espace.fr/54.36.91.62","443","INFO","no","",""
"cert_expirationStatus","www.ecole-air-espace.fr/54.36.91.62","443","OK","86 >= 30 days","",""
"cert_notBefore","www.ecole-air-espace.fr/54.36.91.62","443","INFO","2025-05-12 12:22","",""
"cert_notAfter","www.ecole-air-espace.fr/54.36.91.62","443","OK","2025-08-10 12:22","",""
"cert_extlifeSpan","www.ecole-air-espace.fr/54.36.91.62","443","OK","certificate has no extended life time according to browser forum","",""
"cert_eTLS","www.ecole-air-espace.fr/54.36.91.62","443","INFO","not present","",""
"cert_crlDistributionPoints","www.ecole-air-espace.fr/54.36.91.62","443","INFO","http://e6.c.lencr.org/123.crl","",""
"cert_ocspURL","www.ecole-air-espace.fr/54.36.91.62","443","INFO","--","",""
"OCSP_stapling","www.ecole-air-espace.fr/54.36.91.62","443","INFO","not offered","",""
"cert_mustStapleExtension","www.ecole-air-espace.fr/54.36.91.62","443","INFO","--","",""
"DNS_CAArecord","www.ecole-air-espace.fr/54.36.91.62","443","LOW","--","",""
"certificate_transparency","www.ecole-air-espace.fr/54.36.91.62","443","OK","yes (certificate extension)","",""
"certs_countServer","www.ecole-air-espace.fr/54.36.91.62","443","INFO","2","",""
"certs_list_ordering_problem","www.ecole-air-espace.fr/54.36.91.62","443","INFO","no","",""
"cert_caIssuers","www.ecole-air-espace.fr/54.36.91.62","443","INFO","E6 (Let's Encrypt from US)","",""
"intermediate_cert <#1>","www.ecole-air-espace.fr/54.36.91.62","443","INFO","-----BEGIN CERTIFICATE-----\nMIIEVzCCAj+gAwIBAgIRALBXPpFzlydw27SHyzpFKzgwDQYJKoZIhvcNAQELBQAwTzELMAkGA1UEBhMCVVMxKTAnBgNVBAoTIEludGVybmV0IFNlY3VyaXR5IFJlc2VhcmNoIEdyb3VwMRUwEwYDVQQDEwxJU1JHIFJvb3QgWDEwHhcNMjQwMzEzMDAwMDAwWhcNMjcwMzEyMjM1OTU5WjAyMQswCQYDVQQGEwJVUzEWMBQGA1UEChMNTGV0J3MgRW5jcnlwdDELMAkGA1UEAxMCRTYwdjAQBgcqhkjOPQIBBgUrgQQAIgNiAATZ8Z5Gh/ghcWCoJuuj+rnq2h25EqfUJtlRFLFhfHWWvyILOR/VvtEKRqotPEoJhC6+QJVV6RlAN2Z17TJOdwRJ+HB7wxjnzvdxEP6sdNgA1O1tHHMWMxCcOrLqbGL0vbijgfgwgfUwDgYDVR0PAQH/BAQDAgGGMB0GA1UdJQQWMBQGCCsGAQUFBwMCBggrBgEFBQcDATASBgNVHRMBAf8ECDAGAQH/AgEAMB0GA1UdDgQWBBSTJ0aYA6lRaI6Y1sRCSNsjv1iU0jAfBgNVHSMEGDAWgBR5tFnme7bl5AFzgAiIyBpY9umbbjAyBggrBgEFBQcBAQQmMCQwIgYIKwYBBQUHMAKGFmh0dHA6Ly94MS5pLmxlbmNyLm9yZy8wEwYDVR0gBAwwCjAIBgZngQwBAgEwJwYDVR0fBCAwHjAcoBqgGIYWaHR0cDovL3gxLmMubGVuY3Iub3JnLzANBgkqhkiG9w0BAQsFAAOCAgEAfYt7SiA1sgWGCIpunk46r4AExIRcMxkKgUhNlrrv1B21hOaXN/5miE+LOTbrcmU/M9yvC6MVY730GNFoL8IhJ8j8vrOLpMY22OP6baS1k9YMrtDTlwJHoGby04ThTUeBDksS9RiuHvicZqBedQdIF65pZuhpeDcGBcLiYasQr/EO5gxxtLyTmgsHSOVSBcFOn9lgv7LECPq9i7mfH3mpxgrRKSxHpOoZ0KXMcB+hHuvlklHntvcI0mMMQ0mhYj6qtMFStkF1RpCG3IPdIwpVCQqu8GV7s8ubknRzs+3C/Bm19RFOoiPpDkwvyNfvmQ14XkyqqKK5oZ8zhD32kFRQkxa8uZSuh4aTImFxknu39waBxIRXE4jKxlAmQc4QjFZoq1KmQqQg0J/1JF8RlFvJas1VcjLvYlvUB2t6npO6oQjB3l+PNf0DpQH7iUx3Wz5AjQCi6L25FjyE06q6BZ/QlmtYdl/8ZYao4SRqPEs/6cAiF+Qf5zg2UkaWtDphl1LKMuTNLotvsX99HP69V2faNyegodQ0LyTApr/vT01YPE46vNsDLgK+4cL6TrzC/a4WcmF5SRJ938zrv/duJHLXQIku5v0+EwOy59Hdm0PT/Er/84dDV0CSjdR/2XuZM3kpysSKLgD1cKiDA+IRguODCxfO9cyYIg46v9mFmBvyH04=\n-----END CERTIFICATE-----","",""
"intermediate_cert_fingerprintSHA256 <#1>","www.ecole-air-espace.fr/54.36.91.62","443","INFO","76E9E288AAFC0E37F4390CBF946AAD997D5C1C901B3CE513D3D8FADBABE2AB85","",""
"intermediate_cert_notBefore <#1>","www.ecole-air-espace.fr/54.36.91.62","443","INFO","2024-03-13 00:00","",""
"intermediate_cert_notAfter <#1>","www.ecole-air-espace.fr/54.36.91.62","443","OK","2027-03-12 23:59","",""
"intermediate_cert_expiration <#1>","www.ecole-air-espace.fr/54.36.91.62","443","OK","ok > 40 days","",""
"intermediate_cert_chain <#1>","www.ecole-air-espace.fr/54.36.91.62","443","INFO","E6 <-- ISRG Root X1","",""
"intermediate_cert_badOCSP","www.ecole-air-espace.fr/54.36.91.62","443","OK","intermediate certificate(s) is/are ok","",""
"HTTP_status_code","www.ecole-air-espace.fr/54.36.91.62","443","INFO","200 OK ('/')","",""
"HTTP_clock_skew","www.ecole-air-espace.fr/54.36.91.62","443","INFO","0 seconds from localtime","",""
"HTTP_headerTime","www.ecole-air-espace.fr/54.36.91.62","443","INFO","1747367845","",""
"HSTS","www.ecole-air-espace.fr/54.36.91.62","443","LOW","not offered","",""
"HPKP","www.ecole-air-espace.fr/54.36.91.62","443","INFO","No support for HTTP Public Key Pinning","",""
"banner_server","www.ecole-air-espace.fr/54.36.91.62","443","INFO","OVHcloud","",""
"banner_application","www.ecole-air-espace.fr/54.36.91.62","443","INFO","X-Powered-By: PHP/8.4","",""
"cookie_count","www.ecole-air-espace.fr/54.36.91.62","443","INFO","0 at '/'","",""
"Cache-Control","www.ecole-air-espace.fr/54.36.91.62","443","INFO","no-cache","",""
"banner_reverseproxy","www.ecole-air-espace.fr/54.36.91.62","443","INFO","--","","CWE-200"
"heartbleed","www.ecole-air-espace.fr/54.36.91.62","443","OK","not vulnerable, no heartbeat extension","CVE-2014-0160","CWE-119"
"CCS","www.ecole-air-espace.fr/54.36.91.62","443","OK","not vulnerable","CVE-2014-0224","CWE-310"
"ticketbleed","www.ecole-air-espace.fr/54.36.91.62","443","OK","no session ticket extension","CVE-2016-9244","CWE-200"
"ROBOT","www.ecole-air-espace.fr/54.36.91.62","443","OK","not vulnerable, no RSA key transport cipher","CVE-2017-17382 CVE-2017-17427 CVE-2017-17428 CVE-2017-13098 CVE-2017-1000385 CVE-2017-13099 CVE-2016-6883 CVE-2012-5081 CVE-2017-6168","CWE-203"
"secure_renego","www.ecole-air-espace.fr/54.36.91.62","443","OK","supported","","CWE-310"
"secure_client_renego","www.ecole-air-espace.fr/54.36.91.62","443","OK","not vulnerable","CVE-2011-1473","CWE-310"
"CRIME_TLS","www.ecole-air-espace.fr/54.36.91.62","443","OK","not vulnerable","CVE-2012-4929","CWE-310"
"BREACH","www.ecole-air-espace.fr/54.36.91.62","443","MEDIUM","potentially VULNERABLE, gzip HTTP compression detected  - only supplied '/' tested","CVE-2013-3587","CWE-310"
"POODLE_SSL","www.ecole-air-espace.fr/54.36.91.62","443","OK","not vulnerable, no SSLv3","CVE-2014-3566","CWE-310"
"fallback_SCSV","www.ecole-air-espace.fr/54.36.91.62","443","OK","no protocol below TLS 1.2 offered","",""
"SWEET32","www.ecole-air-espace.fr/54.36.91.62","443","OK","not vulnerable","CVE-2016-2183 CVE-2016-6329","CWE-327"
"FREAK","www.ecole-air-espace.fr/54.36.91.62","443","OK","not vulnerable","CVE-2015-0204","CWE-310"
"DROWN","www.ecole-air-espace.fr/54.36.91.62","443","OK","not vulnerable on this host and port","CVE-2016-0800 CVE-2016-0703","CWE-310"
"DROWN_hint","www.ecole-air-espace.fr/54.36.91.62","443","INFO","no RSA certificate, can't be used with SSLv2 elsewhere","CVE-2016-0800 CVE-2016-0703","CWE-310"
"LOGJAM","www.ecole-air-espace.fr/54.36.91.62","443","OK","not vulnerable, no DH EXPORT ciphers,","CVE-2015-4000","CWE-310"
"LOGJAM-common_primes","www.ecole-air-espace.fr/54.36.91.62","443","OK","no DH key with <= TLS 1.2","CVE-2015-4000","CWE-310"
"BEAST","www.ecole-air-espace.fr/54.36.91.62","443","OK","not vulnerable, no SSL3 or TLS1","CVE-2011-3389","CWE-20"
"LUCKY13","www.ecole-air-espace.fr/54.36.91.62","443","LOW","potentially vulnerable, uses TLS CBC ciphers","CVE-2013-0169","CWE-310"
"winshock","www.ecole-air-espace.fr/54.36.91.62","443","OK","not vulnerable","CVE-2014-6321","CWE-94"
"RC4","www.ecole-air-espace.fr/54.36.91.62","443","OK","not vulnerable","CVE-2013-2566 CVE-2015-2808","CWE-310"
"clientsimulation-android_70","www.ecole-air-espace.fr/54.36.91.62","443","INFO","TLSv1.2 ECDHE-ECDSA-AES256-GCM-SHA384","",""
"clientsimulation-android_81","www.ecole-air-espace.fr/54.36.91.62","443","INFO","TLSv1.2 ECDHE-ECDSA-AES256-GCM-SHA384","",""
"clientsimulation-android_90","www.ecole-air-espace.fr/54.36.91.62","443","INFO","TLSv1.3 TLS_AES_256_GCM_SHA384","",""
"clientsimulation-android_X","www.ecole-air-espace.fr/54.36.91.62","443","INFO","TLSv1.3 TLS_AES_256_GCM_SHA384","",""
"clientsimulation-android_11_12","www.ecole-air-espace.fr/54.36.91.62","443","INFO","TLSv1.3 TLS_AES_256_GCM_SHA384","",""
"clientsimulation-android_13_14","www.ecole-air-espace.fr/54.36.91.62","443","INFO","TLSv1.3 TLS_AES_256_GCM_SHA384","",""
"clientsimulation-android_15","www.ecole-air-espace.fr/54.36.91.62","443","INFO","TLSv1.3 TLS_AES_256_GCM_SHA384","",""
"clientsimulation-chrome_101_win10","www.ecole-air-espace.fr/54.36.91.62","443","INFO","TLSv1.3 TLS_AES_256_GCM_SHA384","",""
"clientsimulation-chromium_137_win11","www.ecole-air-espace.fr/54.36.91.62","443","INFO","TLSv1.3 TLS_AES_256_GCM_SHA384","",""
"clientsimulation-firefox_100_win10","www.ecole-air-espace.fr/54.36.91.62","443","INFO","TLSv1.3 TLS_AES_256_GCM_SHA384","",""
"clientsimulation-firefox_137_win11","www.ecole-air-espace.fr/54.36.91.62","443","INFO","TLSv1.3 TLS_AES_256_GCM_SHA384","",""
"clientsimulation-ie_8_win7","www.ecole-air-espace.fr/54.36.91.62","443","INFO","No connection","",""
"clientsimulation-ie_11_win7","www.ecole-air-espace.fr/54.36.91.62","443","INFO","TLSv1.2 ECDHE-ECDSA-AES256-GCM-SHA384","",""
"clientsimulation-ie_11_win81","www.ecole-air-espace.fr/54.36.91.62","443","INFO","TLSv1.2 ECDHE-ECDSA-AES256-GCM-SHA384","",""
"clientsimulation-ie_11_winphone81","www.ecole-air-espace.fr/54.36.91.62","443","INFO","TLSv1.2 ECDHE-ECDSA-AES256-GCM-SHA384","",""
"clientsimulation-ie_11_win10","www.ecole-air-espace.fr/54.36.91.62","443","INFO","TLSv1.2 ECDHE-ECDSA-AES256-GCM-SHA384","",""
"clientsimulation-edge_15_win10","www.ecole-air-espace.fr/54.36.91.62","443","INFO","TLSv1.2 ECDHE-ECDSA-AES256-GCM-SHA384","",""
"clientsimulation-edge_101_win10_21h2","www.ecole-air-espace.fr/54.36.91.62","443","INFO","TLSv1.3 TLS_AES_256_GCM_SHA384","",""
"clientsimulation-edge_133_win11_23h2","www.ecole-air-espace.fr/54.36.91.62","443","INFO","TLSv1.3 TLS_AES_256_GCM_SHA384","",""
"clientsimulation-safari_184_ios_184","www.ecole-air-espace.fr/54.36.91.62","443","INFO","TLSv1.3 TLS_AES_256_GCM_SHA384","",""
"clientsimulation-safari_154_osx_1231","www.ecole-air-espace.fr/54.36.91.62","443","INFO","TLSv1.3 TLS_AES_256_GCM_SHA384","",""
"clientsimulation-safari_184_osx_154","www.ecole-air-espace.fr/54.36.91.62","443","INFO","TLSv1.3 TLS_AES_256_GCM_SHA384","",""
"clientsimulation-java_7u25","www.ecole-air-espace.fr/54.36.91.62","443","INFO","No connection","",""
"clientsimulation-java_80442","www.ecole-air-espace.fr/54.36.91.62","443","INFO","TLSv1.3 TLS_AES_256_GCM_SHA384","",""
"clientsimulation-java_1102","www.ecole-air-espace.fr/54.36.91.62","443","INFO","TLSv1.3 TLS_AES_256_GCM_SHA384","",""
"clientsimulation-java_1703","www.ecole-air-espace.fr/54.36.91.62","443","INFO","TLSv1.3 TLS_AES_256_GCM_SHA384","",""
"clientsimulation-java_2106","www.ecole-air-espace.fr/54.36.91.62","443","INFO","TLSv1.3 TLS_AES_256_GCM_SHA384","",""
"clientsimulation-go_1178","www.ecole-air-espace.fr/54.36.91.62","443","INFO","TLSv1.3 TLS_AES_256_GCM_SHA384","",""
"clientsimulation-libressl_336","www.ecole-air-espace.fr/54.36.91.62","443","INFO","TLSv1.3 TLS_CHACHA20_POLY1305_SHA256","",""
"clientsimulation-openssl_102e","www.ecole-air-espace.fr/54.36.91.62","443","INFO","TLSv1.2 ECDHE-ECDSA-AES256-GCM-SHA384","",""
"clientsimulation-openssl_111d","www.ecole-air-espace.fr/54.36.91.62","443","INFO","TLSv1.3 TLS_AES_256_GCM_SHA384","",""
"clientsimulation-openssl_315","www.ecole-air-espace.fr/54.36.91.62","443","INFO","TLSv1.3 TLS_AES_256_GCM_SHA384","",""
"clientsimulation-openssl_350","www.ecole-air-espace.fr/54.36.91.62","443","INFO","TLSv1.3 TLS_AES_256_GCM_SHA384","",""
"clientsimulation-apple_mail_16_0","www.ecole-air-espace.fr/54.36.91.62","443","INFO","TLSv1.2 ECDHE-ECDSA-AES256-GCM-SHA384","",""
"clientsimulation-thunderbird_91_9","www.ecole-air-espace.fr/54.36.91.62","443","INFO","TLSv1.3 TLS_AES_256_GCM_SHA384","",""
"rating_spec","www.ecole-air-espace.fr/54.36.91.62","443","INFO","SSL Labs's 'SSL Server Rating Guide' (version 2009q from 2020-01-30)","",""
"rating_doc","www.ecole-air-espace.fr/54.36.91.62","443","INFO","https://github.com/ssllabs/research/wiki/SSL-Server-Rating-Guide","",""
"protocol_support_score","www.ecole-air-espace.fr/54.36.91.62","443","INFO","100","",""
"protocol_support_score_weighted","www.ecole-air-espace.fr/54.36.91.62","443","INFO","30","",""
"key_exchange_score","www.ecole-air-espace.fr/54.36.91.62","443","INFO","100","",""
"key_exchange_score_weighted","www.ecole-air-espace.fr/54.36.91.62","443","INFO","30","",""
