"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","www.elections-professionnelles.travail.gouv.fr/194.5.109.8","443","INFO","HTTP","",""
"pre_128cipher","www.elections-professionnelles.travail.gouv.fr/194.5.109.8","443","INFO","No 128 cipher limit bug","",""
"SSLv2","www.elections-professionnelles.travail.gouv.fr/194.5.109.8","443","OK","not offered","",""
"SSLv3","www.elections-professionnelles.travail.gouv.fr/194.5.109.8","443","OK","not offered","",""
"TLS1","www.elections-professionnelles.travail.gouv.fr/194.5.109.8","443","INFO","not offered","",""
"TLS1_1","www.elections-professionnelles.travail.gouv.fr/194.5.109.8","443","INFO","not offered","",""
"TLS1_2","www.elections-professionnelles.travail.gouv.fr/194.5.109.8","443","OK","offered","",""
"TLS1_3","www.elections-professionnelles.travail.gouv.fr/194.5.109.8","443","INFO","not offered + downgraded to weaker protocol","",""
"NPN","www.elections-professionnelles.travail.gouv.fr/194.5.109.8","443","INFO","not offered","",""
"ALPN","www.elections-professionnelles.travail.gouv.fr/194.5.109.8","443","INFO","not offered","",""
"cipherlist_NULL","www.elections-professionnelles.travail.gouv.fr/194.5.109.8","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","www.elections-professionnelles.travail.gouv.fr/194.5.109.8","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","www.elections-professionnelles.travail.gouv.fr/194.5.109.8","443","OK","not offered","","CWE-327"
"cipherlist_LOW","www.elections-professionnelles.travail.gouv.fr/194.5.109.8","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","www.elections-professionnelles.travail.gouv.fr/194.5.109.8","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","www.elections-professionnelles.travail.gouv.fr/194.5.109.8","443","LOW","offered","","CWE-310"
"cipherlist_STRONG_NOFS","www.elections-professionnelles.travail.gouv.fr/194.5.109.8","443","INFO","not offered","",""
"cipherlist_STRONG_FS","www.elections-professionnelles.travail.gouv.fr/194.5.109.8","443","OK","offered","",""
"cipher_order-tls1_2","www.elections-professionnelles.travail.gouv.fr/194.5.109.8","443","OK","server","",""
"cipher-tls1_2_xc02f","www.elections-professionnelles.travail.gouv.fr/194.5.109.8","443","OK","TLSv1.2   xc02f   ECDHE-RSA-AES128-GCM-SHA256       ECDH 256   AESGCM      128      TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256","",""
"cipher-tls1_2_xc030","www.elections-professionnelles.travail.gouv.fr/194.5.109.8","443","OK","TLSv1.2   xc030   ECDHE-RSA-AES256-GCM-SHA384       ECDH 256   AESGCM      256      TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384","",""
"cipher-tls1_2_xc013","www.elections-professionnelles.travail.gouv.fr/194.5.109.8","443","LOW","TLSv1.2   xc013   ECDHE-RSA-AES128-SHA              ECDH 256   AES         128      TLS_ECDHE_RSA_WITH_AES_128_CBC_SHA","",""
"cipher-tls1_2_xc027","www.elections-professionnelles.travail.gouv.fr/194.5.109.8","443","LOW","TLSv1.2   xc027   ECDHE-RSA-AES128-SHA256           ECDH 256   AES         128      TLS_ECDHE_RSA_WITH_AES_128_CBC_SHA256","",""
"cipher-tls1_2_xc014","www.elections-professionnelles.travail.gouv.fr/194.5.109.8","443","LOW","TLSv1.2   xc014   ECDHE-RSA-AES256-SHA              ECDH 256   AES         256      TLS_ECDHE_RSA_WITH_AES_256_CBC_SHA","",""
