"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","www.formationgestiondecrise.gouv.fr/54.38.173.236","443","INFO","HTTP","",""
"pre_128cipher","www.formationgestiondecrise.gouv.fr/54.38.173.236","443","INFO","No 128 cipher limit bug","",""
"SSLv2","www.formationgestiondecrise.gouv.fr/54.38.173.236","443","OK","not offered","",""
"SSLv3","www.formationgestiondecrise.gouv.fr/54.38.173.236","443","OK","not offered","",""
"TLS1","www.formationgestiondecrise.gouv.fr/54.38.173.236","443","INFO","not offered","",""
"TLS1_1","www.formationgestiondecrise.gouv.fr/54.38.173.236","443","INFO","not offered","",""
"TLS1_2","www.formationgestiondecrise.gouv.fr/54.38.173.236","443","OK","offered","",""
"TLS1_3","www.formationgestiondecrise.gouv.fr/54.38.173.236","443","INFO","not offered + downgraded to weaker protocol","",""
"NPN","www.formationgestiondecrise.gouv.fr/54.38.173.236","443","INFO","not offered","",""
"ALPN","www.formationgestiondecrise.gouv.fr/54.38.173.236","443","INFO","http/1.1","",""
"cipherlist_NULL","www.formationgestiondecrise.gouv.fr/54.38.173.236","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","www.formationgestiondecrise.gouv.fr/54.38.173.236","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","www.formationgestiondecrise.gouv.fr/54.38.173.236","443","OK","not offered","","CWE-327"
"cipherlist_LOW","www.formationgestiondecrise.gouv.fr/54.38.173.236","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","www.formationgestiondecrise.gouv.fr/54.38.173.236","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","www.formationgestiondecrise.gouv.fr/54.38.173.236","443","LOW","offered","","CWE-310"
"cipherlist_STRONG_NOFS","www.formationgestiondecrise.gouv.fr/54.38.173.236","443","OK","offered","",""
"cipherlist_STRONG_FS","www.formationgestiondecrise.gouv.fr/54.38.173.236","443","OK","offered","",""
"cipher_order-tls1_2","www.formationgestiondecrise.gouv.fr/54.38.173.236","443","OK","server","",""
"cipher-tls1_2_xc02f","www.formationgestiondecrise.gouv.fr/54.38.173.236","443","OK","TLSv1.2   xc02f   ECDHE-RSA-AES128-GCM-SHA256       ECDH 256   AESGCM      128      TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256","",""
"cipher-tls1_2_xc030","www.formationgestiondecrise.gouv.fr/54.38.173.236","443","OK","TLSv1.2   xc030   ECDHE-RSA-AES256-GCM-SHA384       ECDH 256   AESGCM      256      TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384","",""
