"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","www.ih2ef.gouv.fr/185.75.143.93","443","DEBUG","Couldn't determine service, skipping all HTTP checks","",""
"pre_128cipher","www.ih2ef.gouv.fr/185.75.143.93","443","INFO","No 128 cipher limit bug","",""
"SSLv2","www.ih2ef.gouv.fr/185.75.143.93","443","WARN","couldn't be tested, socket problem","",""
"SSLv3","www.ih2ef.gouv.fr/185.75.143.93","443","OK","not offered","",""
"TLS1","www.ih2ef.gouv.fr/185.75.143.93","443","INFO","not offered","",""
"TLS1_1","www.ih2ef.gouv.fr/185.75.143.93","443","INFO","not offered","",""
"TLS1_2","www.ih2ef.gouv.fr/185.75.143.93","443","OK","offered","",""
"TLS1_3","www.ih2ef.gouv.fr/185.75.143.93","443","OK","offered with final","",""
"NPN","www.ih2ef.gouv.fr/185.75.143.93","443","INFO","offered with h2, http/1.1 (advertised)","",""
"ALPN_HTTP2","www.ih2ef.gouv.fr/185.75.143.93","443","OK","h2","",""
"ALPN","www.ih2ef.gouv.fr/185.75.143.93","443","INFO","http/1.1","",""
"cipherlist_NULL","www.ih2ef.gouv.fr/185.75.143.93","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","www.ih2ef.gouv.fr/185.75.143.93","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","www.ih2ef.gouv.fr/185.75.143.93","443","OK","not offered","","CWE-327"
"cipherlist_LOW","www.ih2ef.gouv.fr/185.75.143.93","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","www.ih2ef.gouv.fr/185.75.143.93","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","www.ih2ef.gouv.fr/185.75.143.93","443","INFO","not offered","","CWE-310"
"cipherlist_STRONG_NOFS","www.ih2ef.gouv.fr/185.75.143.93","443","INFO","not offered","",""
"scanProblem","www.ih2ef.gouv.fr/185.75.143.93","443","FATAL","repeated TCP connect problems, giving up","",""
