"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","www.lafrenchtech.gouv.fr/80.87.236.17","443","INFO","HTTP","",""
"pre_128cipher","www.lafrenchtech.gouv.fr/80.87.236.17","443","INFO","No 128 cipher limit bug","",""
"SSLv2","www.lafrenchtech.gouv.fr/80.87.236.17","443","OK","not offered","",""
"SSLv3","www.lafrenchtech.gouv.fr/80.87.236.17","443","OK","not offered","",""
"TLS1","www.lafrenchtech.gouv.fr/80.87.236.17","443","INFO","not offered","",""
"TLS1_1","www.lafrenchtech.gouv.fr/80.87.236.17","443","INFO","not offered","",""
"TLS1_2","www.lafrenchtech.gouv.fr/80.87.236.17","443","OK","offered","",""
"TLS1_3","www.lafrenchtech.gouv.fr/80.87.236.17","443","OK","offered with final","",""
"ALPN","www.lafrenchtech.gouv.fr/80.87.236.17","443","INFO","http/1.1","",""
"cipherlist_NULL","www.lafrenchtech.gouv.fr/80.87.236.17","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","www.lafrenchtech.gouv.fr/80.87.236.17","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","www.lafrenchtech.gouv.fr/80.87.236.17","443","OK","not offered","","CWE-327"
"cipherlist_LOW","www.lafrenchtech.gouv.fr/80.87.236.17","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","www.lafrenchtech.gouv.fr/80.87.236.17","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","www.lafrenchtech.gouv.fr/80.87.236.17","443","INFO","not offered","","CWE-310"
"cipherlist_STRONG_NOFS","www.lafrenchtech.gouv.fr/80.87.236.17","443","INFO","not offered","",""
"cipherlist_STRONG_FS","www.lafrenchtech.gouv.fr/80.87.236.17","443","OK","offered","",""
"cipher_order-tls1_2","www.lafrenchtech.gouv.fr/80.87.236.17","443","OK","server","",""
"cipherorder_TLSv1_2","www.lafrenchtech.gouv.fr/80.87.236.17","443","INFO","ECDHE-RSA-AES256-GCM-SHA384","",""
"cipher_order","www.lafrenchtech.gouv.fr/80.87.236.17","443","OK","server","",""
"FS","www.lafrenchtech.gouv.fr/80.87.236.17","443","OK","offered","",""
"FS_ciphers","www.lafrenchtech.gouv.fr/80.87.236.17","443","INFO","ECDHE-RSA-AES128-GCM-SHA256 ECDHE-RSA-AES256-GCM-SHA384","",""
"FS_ECDHE_curves","www.lafrenchtech.gouv.fr/80.87.236.17","443","OK","prime256v1 secp384r1 secp521r1","",""
