"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","www.mooc-batiment-durable.fr/51.255.9.27","443","INFO","HTTP","",""
"pre_128cipher","www.mooc-batiment-durable.fr/51.255.9.27","443","INFO","No 128 cipher limit bug","",""
"SSLv2","www.mooc-batiment-durable.fr/51.255.9.27","443","OK","not offered","",""
"SSLv3","www.mooc-batiment-durable.fr/51.255.9.27","443","OK","not offered","",""
"TLS1","www.mooc-batiment-durable.fr/51.255.9.27","443","INFO","not offered","",""
"TLS1_1","www.mooc-batiment-durable.fr/51.255.9.27","443","INFO","not offered","",""
"TLS1_2","www.mooc-batiment-durable.fr/51.255.9.27","443","OK","offered","",""
"TLS1_3","www.mooc-batiment-durable.fr/51.255.9.27","443","OK","offered with final","",""
"ALPN_HTTP2","www.mooc-batiment-durable.fr/51.255.9.27","443","OK","h2","",""
"ALPN","www.mooc-batiment-durable.fr/51.255.9.27","443","INFO","http/1.1","",""
"cipherlist_NULL","www.mooc-batiment-durable.fr/51.255.9.27","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","www.mooc-batiment-durable.fr/51.255.9.27","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","www.mooc-batiment-durable.fr/51.255.9.27","443","OK","not offered","","CWE-327"
"cipherlist_LOW","www.mooc-batiment-durable.fr/51.255.9.27","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","www.mooc-batiment-durable.fr/51.255.9.27","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","www.mooc-batiment-durable.fr/51.255.9.27","443","INFO","not offered","","CWE-310"
"cipherlist_STRONG_NOFS","www.mooc-batiment-durable.fr/51.255.9.27","443","INFO","not offered","",""
"cipherlist_STRONG_FS","www.mooc-batiment-durable.fr/51.255.9.27","443","OK","offered","",""
"cipher_order-tls1_2","www.mooc-batiment-durable.fr/51.255.9.27","443","OK","server","",""
"cipherorder_TLSv1_2","www.mooc-batiment-durable.fr/51.255.9.27","443","INFO","ECDHE-RSA-AES128-GCM-SHA256","",""
"cipher_order","www.mooc-batiment-durable.fr/51.255.9.27","443","OK","server","",""
"FS","www.mooc-batiment-durable.fr/51.255.9.27","443","OK","offered","",""
"FS_ciphers","www.mooc-batiment-durable.fr/51.255.9.27","443","INFO","ECDHE-RSA-AES128-GCM-SHA256 ECDHE-RSA-AES256-GCM-SHA384","",""
"FS_ECDHE_curves","www.mooc-batiment-durable.fr/51.255.9.27","443","OK","prime256v1 secp384r1 secp521r1","",""
"TLS_extensions","www.mooc-batiment-durable.fr/51.255.9.27","443","INFO","'server name/#0' 'max fragment length/#1' 'supported_groups/#10' 'EC point formats/#11' 'application layer protocol negotiation/#16' 'extended master secret/#23' 'supported versions/#43' 'key share/#51' 'renegotiation info/#65281'","",""
"TLS_session_ticket","www.mooc-batiment-durable.fr/51.255.9.27","443","INFO","no -- no lifetime advertised","",""
"SSL_sessionID_support","www.mooc-batiment-durable.fr/51.255.9.27","443","INFO","yes","",""
"sessionresumption_ticket","www.mooc-batiment-durable.fr/51.255.9.27","443","INFO","not supported","",""
"sessionresumption_ID","www.mooc-batiment-durable.fr/51.255.9.27","443","INFO","not supported","",""
"TLS_timestamp","www.mooc-batiment-durable.fr/51.255.9.27","443","INFO","random","",""
"certificate_compression","www.mooc-batiment-durable.fr/51.255.9.27","443","INFO","none","",""
"clientAuth","www.mooc-batiment-durable.fr/51.255.9.27","443","INFO","none","",""
"cert_numbers","www.mooc-batiment-durable.fr/51.255.9.27","443","INFO","1","",""
