"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","www.mediateurdelamusique.fr/143.126.211.105","443","DEBUG","Couldn't determine service, skipping all HTTP checks","",""
"pre_128cipher","www.mediateurdelamusique.fr/143.126.211.105","443","INFO","No 128 cipher limit bug","",""
"SSLv2","www.mediateurdelamusique.fr/143.126.211.105","443","OK","not offered","",""
"SSLv3","www.mediateurdelamusique.fr/143.126.211.105","443","OK","not offered","",""
"TLS1","www.mediateurdelamusique.fr/143.126.211.105","443","LOW","offered (deprecated)","",""
"TLS1_1","www.mediateurdelamusique.fr/143.126.211.105","443","LOW","offered (deprecated)","",""
"TLS1_2","www.mediateurdelamusique.fr/143.126.211.105","443","OK","offered","",""
"TLS1_3","www.mediateurdelamusique.fr/143.126.211.105","443","INFO","not offered + downgraded to weaker protocol","",""
"NPN","www.mediateurdelamusique.fr/143.126.211.105","443","INFO","not offered","",""
"ALPN","www.mediateurdelamusique.fr/143.126.211.105","443","INFO","not offered","",""
"cipherlist_NULL","www.mediateurdelamusique.fr/143.126.211.105","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","www.mediateurdelamusique.fr/143.126.211.105","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","www.mediateurdelamusique.fr/143.126.211.105","443","OK","not offered","","CWE-327"
"cipherlist_LOW","www.mediateurdelamusique.fr/143.126.211.105","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","www.mediateurdelamusique.fr/143.126.211.105","443","MEDIUM","offered","","CWE-310"
"cipherlist_OBSOLETED","www.mediateurdelamusique.fr/143.126.211.105","443","LOW","offered","","CWE-310"
"cipherlist_STRONG_NOFS","www.mediateurdelamusique.fr/143.126.211.105","443","OK","offered","",""
"cipherlist_STRONG_FS","www.mediateurdelamusique.fr/143.126.211.105","443","OK","offered","",""
"cipher_order-tls1","www.mediateurdelamusique.fr/143.126.211.105","443","OK","server","",""
