"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","www.mediatheque-patrimoine.culture.gouv.fr/87.252.7.122","443","INFO","HTTP","",""
"pre_128cipher","www.mediatheque-patrimoine.culture.gouv.fr/87.252.7.122","443","INFO","No 128 cipher limit bug","",""
"SSLv2","www.mediatheque-patrimoine.culture.gouv.fr/87.252.7.122","443","OK","not offered","",""
"SSLv3","www.mediatheque-patrimoine.culture.gouv.fr/87.252.7.122","443","OK","not offered","",""
"TLS1","www.mediatheque-patrimoine.culture.gouv.fr/87.252.7.122","443","INFO","not offered","",""
"TLS1_1","www.mediatheque-patrimoine.culture.gouv.fr/87.252.7.122","443","INFO","not offered","",""
"TLS1_2","www.mediatheque-patrimoine.culture.gouv.fr/87.252.7.122","443","OK","offered","",""
"TLS1_3","www.mediatheque-patrimoine.culture.gouv.fr/87.252.7.122","443","OK","offered with final","",""
"ALPN_HTTP2","www.mediatheque-patrimoine.culture.gouv.fr/87.252.7.122","443","OK","h2","",""
"ALPN","www.mediatheque-patrimoine.culture.gouv.fr/87.252.7.122","443","INFO","http/1.1","",""
"cipherlist_NULL","www.mediatheque-patrimoine.culture.gouv.fr/87.252.7.122","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","www.mediatheque-patrimoine.culture.gouv.fr/87.252.7.122","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","www.mediatheque-patrimoine.culture.gouv.fr/87.252.7.122","443","OK","not offered","","CWE-327"
"cipherlist_LOW","www.mediatheque-patrimoine.culture.gouv.fr/87.252.7.122","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","www.mediatheque-patrimoine.culture.gouv.fr/87.252.7.122","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","www.mediatheque-patrimoine.culture.gouv.fr/87.252.7.122","443","INFO","not offered","","CWE-310"
"cipherlist_STRONG_NOFS","www.mediatheque-patrimoine.culture.gouv.fr/87.252.7.122","443","INFO","not offered","",""
"cipherlist_STRONG_FS","www.mediatheque-patrimoine.culture.gouv.fr/87.252.7.122","443","OK","offered","",""
"cipher_order-tls1_2","www.mediatheque-patrimoine.culture.gouv.fr/87.252.7.122","443","INFO","NOT a cipher order configured","",""
"cipher-tls1_2_xc030","www.mediatheque-patrimoine.culture.gouv.fr/87.252.7.122","443","OK","TLSv1.2   xc030   ECDHE-RSA-AES256-GCM-SHA384       ECDH 521   AESGCM      256      TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384","",""
"cipher-tls1_2_x9f","www.mediatheque-patrimoine.culture.gouv.fr/87.252.7.122","443","OK","TLSv1.2   x9f     DHE-RSA-AES256-GCM-SHA384         DH 2048    AESGCM      256      TLS_DHE_RSA_WITH_AES_256_GCM_SHA384","",""
"cipher-tls1_2_xc02f","www.mediatheque-patrimoine.culture.gouv.fr/87.252.7.122","443","OK","TLSv1.2   xc02f   ECDHE-RSA-AES128-GCM-SHA256       ECDH 521   AESGCM      128      TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256","",""
"cipher-tls1_2_x9e","www.mediatheque-patrimoine.culture.gouv.fr/87.252.7.122","443","OK","TLSv1.2   x9e     DHE-RSA-AES128-GCM-SHA256         DH 2048    AESGCM      128      TLS_DHE_RSA_WITH_AES_128_GCM_SHA256","",""
"supportedciphers_TLSv1_2","www.mediatheque-patrimoine.culture.gouv.fr/87.252.7.122","443","INFO","ECDHE-RSA-AES256-GCM-SHA384 DHE-RSA-AES256-GCM-SHA384 ECDHE-RSA-AES128-GCM-SHA256 DHE-RSA-AES128-GCM-SHA256","",""
"cipher_order","www.mediatheque-patrimoine.culture.gouv.fr/87.252.7.122","443","INFO","NOT a cipher order configured","",""
"FS","www.mediatheque-patrimoine.culture.gouv.fr/87.252.7.122","443","OK","offered","",""
"FS_ciphers","www.mediatheque-patrimoine.culture.gouv.fr/87.252.7.122","443","INFO","DHE-RSA-AES128-GCM-SHA256 DHE-RSA-AES256-GCM-SHA384 ECDHE-RSA-AES128-GCM-SHA256 ECDHE-RSA-AES256-GCM-SHA384","",""
"FS_ECDHE_curves","www.mediatheque-patrimoine.culture.gouv.fr/87.252.7.122","443","OK","prime256v1 secp384r1 secp521r1","",""
"TLS_extensions","www.mediatheque-patrimoine.culture.gouv.fr/87.252.7.122","443","INFO","'server name/#0' 'supported_groups/#10' 'EC point formats/#11' 'session ticket/#35' 'supported versions/#43' 'key share/#51' 'renegotiation info/#65281'","",""
"TLS_session_ticket","www.mediatheque-patrimoine.culture.gouv.fr/87.252.7.122","443","INFO","valid for 300 seconds only (<daily)","",""
"SSL_sessionID_support","www.mediatheque-patrimoine.culture.gouv.fr/87.252.7.122","443","INFO","yes","",""
"sessionresumption_ticket","www.mediatheque-patrimoine.culture.gouv.fr/87.252.7.122","443","INFO","supported","",""
"sessionresumption_ID","www.mediatheque-patrimoine.culture.gouv.fr/87.252.7.122","443","INFO","not supported","",""
"TLS_timestamp","www.mediatheque-patrimoine.culture.gouv.fr/87.252.7.122","443","INFO","random","",""
"certificate_compression","www.mediatheque-patrimoine.culture.gouv.fr/87.252.7.122","443","INFO","none","",""
"clientAuth","www.mediatheque-patrimoine.culture.gouv.fr/87.252.7.122","443","INFO","none","",""
"cert_numbers","www.mediatheque-patrimoine.culture.gouv.fr/87.252.7.122","443","INFO","1","",""
"cert_signatureAlgorithm","www.mediatheque-patrimoine.culture.gouv.fr/87.252.7.122","443","OK","SHA256 with RSA","",""
"cert_keySize","www.mediatheque-patrimoine.culture.gouv.fr/87.252.7.122","443","INFO","RSA 2048 bits (exponent is 65537)","",""
"cert_keyUsage","www.mediatheque-patrimoine.culture.gouv.fr/87.252.7.122","443","INFO","Digital Signature, Key Encipherment","",""
"cert_extKeyUsage","www.mediatheque-patrimoine.culture.gouv.fr/87.252.7.122","443","INFO","TLS Web Server Authentication, TLS Web Client Authentication","",""
"cert_serialNumber","www.mediatheque-patrimoine.culture.gouv.fr/87.252.7.122","443","INFO","064EEDA0C32AE2CC9C6A893FFCAD26CD4E0A","",""
"cert_serialNumberLen","www.mediatheque-patrimoine.culture.gouv.fr/87.252.7.122","443","INFO","18","",""
"cert_fingerprintSHA1","www.mediatheque-patrimoine.culture.gouv.fr/87.252.7.122","443","INFO","772C7A714DF866C8B117A49358AAB21892E7E4CB","",""
"cert_fingerprintSHA256","www.mediatheque-patrimoine.culture.gouv.fr/87.252.7.122","443","INFO","6B3CF9B366A142D076223DDA2754B7FB39A6919272D294C186F71EF3F52AB370","",""
