"id","fqdn/ip","port","severity","finding","cve","cwe"
"optimal_proto","www.sorbonne-nouvelle.fr/195.221.71.70","443","INFO","www.sorbonne-nouvelle.fr:443 appears to support TLS 1.3 ONLY, switching from /home/testssl/bin/openssl.Linux.x86_64 to /usr/bin/openssl automagically","",""
"engine_problem","www.sorbonne-nouvelle.fr/195.221.71.70","443","WARN","No engine or GOST support via engine with your /usr/bin/openssl","",""
"service","www.sorbonne-nouvelle.fr/195.221.71.70","443","INFO","HTTP","",""
"pre_128cipher","www.sorbonne-nouvelle.fr/195.221.71.70","443","INFO","No 128 cipher limit bug","",""
"SSLv2","www.sorbonne-nouvelle.fr/195.221.71.70","443","OK","not offered","",""
"SSLv3","www.sorbonne-nouvelle.fr/195.221.71.70","443","OK","not offered","",""
"TLS1","www.sorbonne-nouvelle.fr/195.221.71.70","443","INFO","not offered","",""
"TLS1_1","www.sorbonne-nouvelle.fr/195.221.71.70","443","INFO","not offered","",""
"TLS1_2","www.sorbonne-nouvelle.fr/195.221.71.70","443","INFO","not offered","",""
"TLS1_3","www.sorbonne-nouvelle.fr/195.221.71.70","443","OK","offered with final","",""
"NPN","www.sorbonne-nouvelle.fr/195.221.71.70","443","WARN","not possible for TLS 1.3-only hosts","",""
"ALPN","www.sorbonne-nouvelle.fr/195.221.71.70","443","INFO","http/1.1","",""
"cipherlist_NULL","www.sorbonne-nouvelle.fr/195.221.71.70","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","www.sorbonne-nouvelle.fr/195.221.71.70","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","www.sorbonne-nouvelle.fr/195.221.71.70","443","OK","not offered","","CWE-327"
"cipherlist_LOW","www.sorbonne-nouvelle.fr/195.221.71.70","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","www.sorbonne-nouvelle.fr/195.221.71.70","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","www.sorbonne-nouvelle.fr/195.221.71.70","443","INFO","not offered","","CWE-310"
"cipherlist_STRONG_NOFS","www.sorbonne-nouvelle.fr/195.221.71.70","443","INFO","not offered","",""
"cipherlist_STRONG_FS","www.sorbonne-nouvelle.fr/195.221.71.70","443","OK","offered","",""
"cipher-tls1_3_x1302","www.sorbonne-nouvelle.fr/195.221.71.70","443","OK","TLSv1.3   x1302   TLS_AES_256_GCM_SHA384            ECDH 253   AESGCM      256      TLS_AES_256_GCM_SHA384","",""
"cipher-tls1_3_x1303","www.sorbonne-nouvelle.fr/195.221.71.70","443","OK","TLSv1.3   x1303   TLS_CHACHA20_POLY1305_SHA256      ECDH 253   ChaCha20    256      TLS_CHACHA20_POLY1305_SHA256","",""
"cipher-tls1_3_x1301","www.sorbonne-nouvelle.fr/195.221.71.70","443","OK","TLSv1.3   x1301   TLS_AES_128_GCM_SHA256            ECDH 253   AESGCM      128      TLS_AES_128_GCM_SHA256","",""
"supportedciphers_TLSv1_3","www.sorbonne-nouvelle.fr/195.221.71.70","443","INFO","TLS_AES_256_GCM_SHA384 TLS_CHACHA20_POLY1305_SHA256 TLS_AES_128_GCM_SHA256","",""
"cipher_order","www.sorbonne-nouvelle.fr/195.221.71.70","443","INFO","not a server cipher order for TLS 1.3 configured","",""
"FS","www.sorbonne-nouvelle.fr/195.221.71.70","443","OK","offered","",""
"FS_ciphers","www.sorbonne-nouvelle.fr/195.221.71.70","443","INFO","TLS_AES_256_GCM_SHA384 TLS_CHACHA20_POLY1305_SHA256 TLS_AES_128_GCM_SHA256","",""
"FS_ECDHE_curves","www.sorbonne-nouvelle.fr/195.221.71.70","443","OK","prime256v1 secp384r1 secp521r1 X25519 X448","",""
"DH_groups","www.sorbonne-nouvelle.fr/195.221.71.70","443","OK","ffdhe2048 ffdhe3072 ffdhe4096 ffdhe6144 ffdhe8192","",""
"FS_TLS13_sig_algs","www.sorbonne-nouvelle.fr/195.221.71.70","443","INFO","RSA-PSS-RSAE+SHA512 RSA-PSS-RSAE+SHA384 RSA-PSS-RSAE+SHA256","",""
"TLS_extensions","www.sorbonne-nouvelle.fr/195.221.71.70","443","INFO","'server name/#0' 'supported versions/#43' 'key share/#51'","",""
"TLS_session_ticket","www.sorbonne-nouvelle.fr/195.221.71.70","443","INFO","no -- no lifetime advertised","",""
"SSL_sessionID_support","www.sorbonne-nouvelle.fr/195.221.71.70","443","INFO","no","",""
"sessionresumption_ticket","www.sorbonne-nouvelle.fr/195.221.71.70","443","INFO","not supported","",""
"sessionresumption_ID","www.sorbonne-nouvelle.fr/195.221.71.70","443","INFO","No Session ID, no resumption","",""
"TLS_timestamp","www.sorbonne-nouvelle.fr/195.221.71.70","443","INFO","random","",""
"certificate_compression","www.sorbonne-nouvelle.fr/195.221.71.70","443","INFO","none","",""
"clientAuth","www.sorbonne-nouvelle.fr/195.221.71.70","443","INFO","none","",""
"cert_numbers","www.sorbonne-nouvelle.fr/195.221.71.70","443","INFO","1","",""
"cert_signatureAlgorithm","www.sorbonne-nouvelle.fr/195.221.71.70","443","OK","SHA384 with RSA","",""
"cert_keySize","www.sorbonne-nouvelle.fr/195.221.71.70","443","INFO","RSA 2048 bits (exponent is 65537)","",""
"cert_keyUsage","www.sorbonne-nouvelle.fr/195.221.71.70","443","INFO","Digital Signature, Key Encipherment","",""
"cert_extKeyUsage","www.sorbonne-nouvelle.fr/195.221.71.70","443","INFO","TLS Web Server Authentication, TLS Web Client Authentication","",""
"cert_serialNumber","www.sorbonne-nouvelle.fr/195.221.71.70","443","INFO","84720DEA81E1FB04ABF1EB2BEB4D691C","",""
"cert_serialNumberLen","www.sorbonne-nouvelle.fr/195.221.71.70","443","INFO","16","",""
"cert_fingerprintSHA1","www.sorbonne-nouvelle.fr/195.221.71.70","443","INFO","229DEF8B20325015A49017320144F7290E257B85","",""
"cert_fingerprintSHA256","www.sorbonne-nouvelle.fr/195.221.71.70","443","INFO","4D5DEA79151AA97F8EB21439260B273A1E4B200A6C1435093E4EDCF7EE88A363","",""
