"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","www.semaine-industrie.gouv.fr/80.87.236.17","443","INFO","HTTP","",""
"pre_128cipher","www.semaine-industrie.gouv.fr/80.87.236.17","443","INFO","No 128 cipher limit bug","",""
"SSLv2","www.semaine-industrie.gouv.fr/80.87.236.17","443","OK","not offered","",""
"SSLv3","www.semaine-industrie.gouv.fr/80.87.236.17","443","OK","not offered","",""
"TLS1","www.semaine-industrie.gouv.fr/80.87.236.17","443","INFO","not offered","",""
"TLS1_1","www.semaine-industrie.gouv.fr/80.87.236.17","443","INFO","not offered","",""
"TLS1_2","www.semaine-industrie.gouv.fr/80.87.236.17","443","OK","offered","",""
"TLS1_3","www.semaine-industrie.gouv.fr/80.87.236.17","443","OK","offered with final","",""
"ALPN","www.semaine-industrie.gouv.fr/80.87.236.17","443","INFO","http/1.1","",""
"cipherlist_NULL","www.semaine-industrie.gouv.fr/80.87.236.17","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","www.semaine-industrie.gouv.fr/80.87.236.17","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","www.semaine-industrie.gouv.fr/80.87.236.17","443","OK","not offered","","CWE-327"
"cipherlist_LOW","www.semaine-industrie.gouv.fr/80.87.236.17","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","www.semaine-industrie.gouv.fr/80.87.236.17","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","www.semaine-industrie.gouv.fr/80.87.236.17","443","INFO","not offered","","CWE-310"
"cipherlist_STRONG_NOFS","www.semaine-industrie.gouv.fr/80.87.236.17","443","INFO","not offered","",""
"cipherlist_STRONG_FS","www.semaine-industrie.gouv.fr/80.87.236.17","443","OK","offered","",""
"cipher_order-tls1_2","www.semaine-industrie.gouv.fr/80.87.236.17","443","OK","server","",""
"cipherorder_TLSv1_2","www.semaine-industrie.gouv.fr/80.87.236.17","443","INFO","ECDHE-RSA-AES256-GCM-SHA384","",""
"cipher_order","www.semaine-industrie.gouv.fr/80.87.236.17","443","OK","server","",""
"FS","www.semaine-industrie.gouv.fr/80.87.236.17","443","OK","offered","",""
"FS_ciphers","www.semaine-industrie.gouv.fr/80.87.236.17","443","INFO","ECDHE-RSA-AES128-GCM-SHA256 ECDHE-RSA-AES256-GCM-SHA384","",""
"FS_ECDHE_curves","www.semaine-industrie.gouv.fr/80.87.236.17","443","OK","prime256v1 secp384r1 secp521r1","",""
"TLS_extensions","www.semaine-industrie.gouv.fr/80.87.236.17","443","INFO","'server name/#0' 'max fragment length/#1' 'supported_groups/#10' 'EC point formats/#11' 'application layer protocol negotiation/#16' 'extended master secret/#23' 'session ticket/#35' 'supported versions/#43' 'key share/#51' 'renegotiation info/#65281'","",""
"TLS_session_ticket","www.semaine-industrie.gouv.fr/80.87.236.17","443","INFO","valid for 300 seconds only (<daily)","",""
"SSL_sessionID_support","www.semaine-industrie.gouv.fr/80.87.236.17","443","INFO","yes","",""
"sessionresumption_ticket","www.semaine-industrie.gouv.fr/80.87.236.17","443","INFO","supported","",""
"sessionresumption_ID","www.semaine-industrie.gouv.fr/80.87.236.17","443","INFO","not supported","",""
"TLS_timestamp","www.semaine-industrie.gouv.fr/80.87.236.17","443","INFO","random","",""
"certificate_compression","www.semaine-industrie.gouv.fr/80.87.236.17","443","INFO","none","",""
"clientAuth","www.semaine-industrie.gouv.fr/80.87.236.17","443","INFO","none","",""
"cert_numbers","www.semaine-industrie.gouv.fr/80.87.236.17","443","INFO","1","",""
"cert_signatureAlgorithm","www.semaine-industrie.gouv.fr/80.87.236.17","443","OK","SHA256 with RSA","",""
"cert_keySize","www.semaine-industrie.gouv.fr/80.87.236.17","443","OK","RSA 3072 bits (exponent is 65537)","",""
"cert_keyUsage","www.semaine-industrie.gouv.fr/80.87.236.17","443","INFO","Digital Signature, Key Encipherment","",""
"cert_extKeyUsage","www.semaine-industrie.gouv.fr/80.87.236.17","443","INFO","TLS Web Server Authentication","",""
"cert_serialNumber","www.semaine-industrie.gouv.fr/80.87.236.17","443","INFO","84D472332AD378CB02737646D87873FE","",""
"cert_serialNumberLen","www.semaine-industrie.gouv.fr/80.87.236.17","443","INFO","16","",""
"cert_fingerprintSHA1","www.semaine-industrie.gouv.fr/80.87.236.17","443","INFO","01BDA29D5DDA3B5301B60D9444123CE9F04C2E36","",""
"cert_fingerprintSHA256","www.semaine-industrie.gouv.fr/80.87.236.17","443","INFO","23826E349EBBF3C0A995759CB21C0E06A1DE1989F4A17438807D62B731FDBA12","",""
