"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","www.parcoursup.gouv.fr/141.101.90.106","443","INFO","HTTP","",""
"pre_128cipher","www.parcoursup.gouv.fr/141.101.90.106","443","INFO","No 128 cipher limit bug","",""
"SSLv2","www.parcoursup.gouv.fr/141.101.90.106","443","OK","not offered","",""
"SSLv3","www.parcoursup.gouv.fr/141.101.90.106","443","OK","not offered","",""
"TLS1","www.parcoursup.gouv.fr/141.101.90.106","443","INFO","not offered","",""
"TLS1_1","www.parcoursup.gouv.fr/141.101.90.106","443","INFO","not offered","",""
"TLS1_2","www.parcoursup.gouv.fr/141.101.90.106","443","OK","offered","",""
"TLS1_3","www.parcoursup.gouv.fr/141.101.90.106","443","OK","offered with final","",""
"ALPN_HTTP2","www.parcoursup.gouv.fr/141.101.90.106","443","OK","h2","",""
"ALPN","www.parcoursup.gouv.fr/141.101.90.106","443","INFO","http/1.1","",""
"cipherlist_NULL","www.parcoursup.gouv.fr/141.101.90.106","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","www.parcoursup.gouv.fr/141.101.90.106","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","www.parcoursup.gouv.fr/141.101.90.106","443","OK","not offered","","CWE-327"
"cipherlist_LOW","www.parcoursup.gouv.fr/141.101.90.106","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","www.parcoursup.gouv.fr/141.101.90.106","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","www.parcoursup.gouv.fr/141.101.90.106","443","LOW","offered","","CWE-310"
"cipherlist_STRONG_NOFS","www.parcoursup.gouv.fr/141.101.90.106","443","OK","offered","",""
"cipherlist_STRONG_FS","www.parcoursup.gouv.fr/141.101.90.106","443","OK","offered","",""
"cipher_order-tls1_2","www.parcoursup.gouv.fr/141.101.90.106","443","OK","server","",""
"cipherorder_TLSv1_2","www.parcoursup.gouv.fr/141.101.90.106","443","INFO","ECDHE-RSA-AES128-GCM-SHA256","",""
"cipher_order","www.parcoursup.gouv.fr/141.101.90.106","443","OK","server -- TLS 1.3 client determined","",""
"FS","www.parcoursup.gouv.fr/141.101.90.106","443","OK","offered","",""
"FS_ciphers","www.parcoursup.gouv.fr/141.101.90.106","443","INFO","ECDHE-RSA-AES128-GCM-SHA256 ECDHE-RSA-AES128-SHA256 ECDHE-RSA-AES128-SHA ECDHE-RSA-AES256-GCM-SHA384 ECDHE-RSA-AES256-SHA384 ECDHE-RSA-AES256-SHA","",""
"FS_ECDHE_curves","www.parcoursup.gouv.fr/141.101.90.106","443","OK","prime256v1 secp384r1 secp521r1","",""
"TLS_extensions","www.parcoursup.gouv.fr/141.101.90.106","443","INFO","'server name/#0' 'status request/#5' 'EC point formats/#11' 'application layer protocol negotiation/#16' 'extended master secret/#23' 'compress_certificate/#27' 'session ticket/#35' 'supported versions/#43' 'key share/#51' 'next protocol/#13172' 'renegotiation info/#65281'","",""
"TLS_session_ticket","www.parcoursup.gouv.fr/141.101.90.106","443","INFO","valid for 64800 seconds only (<daily)","",""
"SSL_sessionID_support","www.parcoursup.gouv.fr/141.101.90.106","443","INFO","yes","",""
"sessionresumption_ticket","www.parcoursup.gouv.fr/141.101.90.106","443","INFO","supported","",""
"sessionresumption_ID","www.parcoursup.gouv.fr/141.101.90.106","443","INFO","not supported","",""
"TLS_timestamp","www.parcoursup.gouv.fr/141.101.90.106","443","INFO","random","",""
"certificate_compression","www.parcoursup.gouv.fr/141.101.90.106","443","INFO","0002/Brotli","",""
"clientAuth","www.parcoursup.gouv.fr/141.101.90.106","443","INFO","none","",""
"cert_numbers","www.parcoursup.gouv.fr/141.101.90.106","443","INFO","1","",""
"cert_signatureAlgorithm","www.parcoursup.gouv.fr/141.101.90.106","443","OK","SHA384 with RSA","",""
"cert_keySize","www.parcoursup.gouv.fr/141.101.90.106","443","OK","RSA 4096 bits (exponent is 65537)","",""
"cert_keyUsage","www.parcoursup.gouv.fr/141.101.90.106","443","INFO","Digital Signature, Key Encipherment","",""
"cert_extKeyUsage","www.parcoursup.gouv.fr/141.101.90.106","443","INFO","TLS Web Server Authentication, TLS Web Client Authentication","",""
"cert_serialNumber","www.parcoursup.gouv.fr/141.101.90.106","443","INFO","E4966DC5DA33223B8E53FA170AEF9A18","",""
"cert_serialNumberLen","www.parcoursup.gouv.fr/141.101.90.106","443","INFO","16","",""
"cert_fingerprintSHA1","www.parcoursup.gouv.fr/141.101.90.106","443","INFO","54C2565F8697B503568427863BD1E168BCC93E6E","",""
"cert_fingerprintSHA256","www.parcoursup.gouv.fr/141.101.90.106","443","INFO","B9F8525699557E1DBC4979C4926143B8A7C83042FC368B38285A915E449A2F79","",""
