"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","www.premar-manche.gouv.fr/45.60.31.164","443","INFO","HTTP","",""
"pre_128cipher","www.premar-manche.gouv.fr/45.60.31.164","443","INFO","No 128 cipher limit bug","",""
"SSLv2","www.premar-manche.gouv.fr/45.60.31.164","443","OK","not offered","",""
"SSLv3","www.premar-manche.gouv.fr/45.60.31.164","443","OK","not offered","",""
"TLS1","www.premar-manche.gouv.fr/45.60.31.164","443","INFO","not offered","",""
"TLS1_1","www.premar-manche.gouv.fr/45.60.31.164","443","INFO","not offered","",""
"TLS1_2","www.premar-manche.gouv.fr/45.60.31.164","443","OK","offered","",""
"TLS1_3","www.premar-manche.gouv.fr/45.60.31.164","443","OK","offered with final","",""
"ALPN_HTTP2","www.premar-manche.gouv.fr/45.60.31.164","443","OK","h2","",""
"cipherlist_NULL","www.premar-manche.gouv.fr/45.60.31.164","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","www.premar-manche.gouv.fr/45.60.31.164","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","www.premar-manche.gouv.fr/45.60.31.164","443","OK","not offered","","CWE-327"
"cipherlist_LOW","www.premar-manche.gouv.fr/45.60.31.164","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","www.premar-manche.gouv.fr/45.60.31.164","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","www.premar-manche.gouv.fr/45.60.31.164","443","LOW","offered","","CWE-310"
"cipherlist_STRONG_NOFS","www.premar-manche.gouv.fr/45.60.31.164","443","OK","offered","",""
"cipherlist_STRONG_FS","www.premar-manche.gouv.fr/45.60.31.164","443","OK","offered","",""
"cipher_order-tls1_2","www.premar-manche.gouv.fr/45.60.31.164","443","OK","server","",""
"cipherorder_TLSv1_2","www.premar-manche.gouv.fr/45.60.31.164","443","INFO","ECDHE-RSA-AES128-GCM-SHA256","",""
"cipher_order","www.premar-manche.gouv.fr/45.60.31.164","443","OK","server","",""
"FS","www.premar-manche.gouv.fr/45.60.31.164","443","OK","offered","",""
"FS_ciphers","www.premar-manche.gouv.fr/45.60.31.164","443","INFO","ECDHE-RSA-AES128-GCM-SHA256 ECDHE-RSA-AES128-SHA256 ECDHE-RSA-AES128-SHA ECDHE-RSA-AES256-GCM-SHA384 ECDHE-RSA-AES256-SHA384 ECDHE-RSA-AES256-SHA","",""
"FS_ECDHE_curves","www.premar-manche.gouv.fr/45.60.31.164","443","OK","prime256v1 secp384r1 secp521r1","",""
"TLS_extensions","www.premar-manche.gouv.fr/45.60.31.164","443","INFO","'server name/#0' 'max fragment length/#1' 'status request/#5' 'supported_groups/#10' 'EC point formats/#11' 'application layer protocol negotiation/#16' 'encrypt-then-mac/#22' 'extended master secret/#23' 'session ticket/#35' 'supported versions/#43' 'key share/#51' 'next protocol/#13172' 'renegotiation info/#65281'","",""
"TLS_session_ticket","www.premar-manche.gouv.fr/45.60.31.164","443","INFO","valid for 7200 seconds only (<daily)","",""
"SSL_sessionID_support","www.premar-manche.gouv.fr/45.60.31.164","443","INFO","yes","",""
"sessionresumption_ticket","www.premar-manche.gouv.fr/45.60.31.164","443","INFO","supported","",""
"sessionresumption_ID","www.premar-manche.gouv.fr/45.60.31.164","443","INFO","supported","",""
"TLS_timestamp","www.premar-manche.gouv.fr/45.60.31.164","443","INFO","random","",""
"certificate_compression","www.premar-manche.gouv.fr/45.60.31.164","443","INFO","none","",""
"clientAuth","www.premar-manche.gouv.fr/45.60.31.164","443","INFO","none","",""
"cert_numbers","www.premar-manche.gouv.fr/45.60.31.164","443","INFO","1","",""
"cert_signatureAlgorithm","www.premar-manche.gouv.fr/45.60.31.164","443","OK","SHA256 with RSA","",""
"cert_keySize","www.premar-manche.gouv.fr/45.60.31.164","443","INFO","RSA 2048 bits (exponent is 65537)","",""
"cert_keyUsage","www.premar-manche.gouv.fr/45.60.31.164","443","INFO","Digital Signature, Key Encipherment","",""
"cert_extKeyUsage","www.premar-manche.gouv.fr/45.60.31.164","443","INFO","TLS Web Server Authentication, TLS Web Client Authentication","",""
"cert_serialNumber","www.premar-manche.gouv.fr/45.60.31.164","443","INFO","05BE30E1A62DEDC6C97E554E5118813D8601","",""
"cert_serialNumberLen","www.premar-manche.gouv.fr/45.60.31.164","443","INFO","18","",""
"cert_fingerprintSHA1","www.premar-manche.gouv.fr/45.60.31.164","443","INFO","FA24395F6FB46758F5BA8F9F70B23A0270524EBD","",""
"cert_fingerprintSHA256","www.premar-manche.gouv.fr/45.60.31.164","443","INFO","82C0C55CBF30D8295B72950662045040C8339F618BF008A7C4B6A02AAC537E7E","",""
