"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","www.premar-mediterranee.gouv.fr/45.60.31.164","443","INFO","HTTP","",""
"pre_128cipher","www.premar-mediterranee.gouv.fr/45.60.31.164","443","INFO","No 128 cipher limit bug","",""
"SSLv2","www.premar-mediterranee.gouv.fr/45.60.31.164","443","OK","not offered","",""
"SSLv3","www.premar-mediterranee.gouv.fr/45.60.31.164","443","OK","not offered","",""
"TLS1","www.premar-mediterranee.gouv.fr/45.60.31.164","443","INFO","not offered","",""
"TLS1_1","www.premar-mediterranee.gouv.fr/45.60.31.164","443","INFO","not offered","",""
"TLS1_2","www.premar-mediterranee.gouv.fr/45.60.31.164","443","OK","offered","",""
"TLS1_3","www.premar-mediterranee.gouv.fr/45.60.31.164","443","OK","offered with final","",""
"ALPN_HTTP2","www.premar-mediterranee.gouv.fr/45.60.31.164","443","OK","h2","",""
"cipherlist_NULL","www.premar-mediterranee.gouv.fr/45.60.31.164","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","www.premar-mediterranee.gouv.fr/45.60.31.164","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","www.premar-mediterranee.gouv.fr/45.60.31.164","443","OK","not offered","","CWE-327"
"cipherlist_LOW","www.premar-mediterranee.gouv.fr/45.60.31.164","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","www.premar-mediterranee.gouv.fr/45.60.31.164","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","www.premar-mediterranee.gouv.fr/45.60.31.164","443","LOW","offered","","CWE-310"
"cipherlist_STRONG_NOFS","www.premar-mediterranee.gouv.fr/45.60.31.164","443","OK","offered","",""
"cipherlist_STRONG_FS","www.premar-mediterranee.gouv.fr/45.60.31.164","443","OK","offered","",""
"cipher_order-tls1_2","www.premar-mediterranee.gouv.fr/45.60.31.164","443","OK","server","",""
"cipherorder_TLSv1_2","www.premar-mediterranee.gouv.fr/45.60.31.164","443","INFO","ECDHE-RSA-AES128-GCM-SHA256","",""
"cipher_order","www.premar-mediterranee.gouv.fr/45.60.31.164","443","OK","server","",""
"FS","www.premar-mediterranee.gouv.fr/45.60.31.164","443","OK","offered","",""
"FS_ciphers","www.premar-mediterranee.gouv.fr/45.60.31.164","443","INFO","ECDHE-RSA-AES128-GCM-SHA256 ECDHE-RSA-AES128-SHA256 ECDHE-RSA-AES128-SHA ECDHE-RSA-AES256-GCM-SHA384 ECDHE-RSA-AES256-SHA384 ECDHE-RSA-AES256-SHA","",""
"FS_ECDHE_curves","www.premar-mediterranee.gouv.fr/45.60.31.164","443","OK","prime256v1 secp384r1 secp521r1","",""
"TLS_extensions","www.premar-mediterranee.gouv.fr/45.60.31.164","443","INFO","'server name/#0' 'max fragment length/#1' 'status request/#5' 'supported_groups/#10' 'EC point formats/#11' 'application layer protocol negotiation/#16' 'encrypt-then-mac/#22' 'extended master secret/#23' 'session ticket/#35' 'supported versions/#43' 'key share/#51' 'next protocol/#13172' 'renegotiation info/#65281'","",""
"TLS_session_ticket","www.premar-mediterranee.gouv.fr/45.60.31.164","443","INFO","valid for 7200 seconds only (<daily)","",""
"SSL_sessionID_support","www.premar-mediterranee.gouv.fr/45.60.31.164","443","INFO","yes","",""
"sessionresumption_ticket","www.premar-mediterranee.gouv.fr/45.60.31.164","443","INFO","supported","",""
"sessionresumption_ID","www.premar-mediterranee.gouv.fr/45.60.31.164","443","INFO","supported","",""
"TLS_timestamp","www.premar-mediterranee.gouv.fr/45.60.31.164","443","INFO","random","",""
"certificate_compression","www.premar-mediterranee.gouv.fr/45.60.31.164","443","INFO","none","",""
"clientAuth","www.premar-mediterranee.gouv.fr/45.60.31.164","443","INFO","none","",""
"cert_numbers","www.premar-mediterranee.gouv.fr/45.60.31.164","443","INFO","1","",""
"cert_signatureAlgorithm","www.premar-mediterranee.gouv.fr/45.60.31.164","443","OK","SHA256 with RSA","",""
"cert_keySize","www.premar-mediterranee.gouv.fr/45.60.31.164","443","INFO","RSA 2048 bits (exponent is 65537)","",""
"cert_keyUsage","www.premar-mediterranee.gouv.fr/45.60.31.164","443","INFO","Digital Signature, Key Encipherment","",""
"cert_extKeyUsage","www.premar-mediterranee.gouv.fr/45.60.31.164","443","INFO","TLS Web Server Authentication, TLS Web Client Authentication","",""
"cert_serialNumber","www.premar-mediterranee.gouv.fr/45.60.31.164","443","INFO","06EE8AE17CB1F1A2975BA3131BF8EF46C1FD","",""
"cert_serialNumberLen","www.premar-mediterranee.gouv.fr/45.60.31.164","443","INFO","18","",""
"cert_fingerprintSHA1","www.premar-mediterranee.gouv.fr/45.60.31.164","443","INFO","A290711319F80DA20A1D1589D3553544CF0D7099","",""
"cert_fingerprintSHA256","www.premar-mediterranee.gouv.fr/45.60.31.164","443","INFO","D1415C0AEFE63A8E0AC4B789BB0057842937C3149DA67716CED9D85B35C11039","",""
"cert","www.premar-mediterranee.gouv.fr/45.60.31.164","443","INFO","-----BEGIN CERTIFICATE-----\nMIIFWDCCBECgAwIBAgISBu6K4Xyx8aKXW6MTG/jvRsH9MA0GCSqGSIb3DQEBCwUAMDMxCzAJBgNVBAYTAlVTMRYwFAYDVQQKEw1MZXQncyBFbmNyeXB0MQwwCgYDVQQDEwNSMTAwHhcNMjUwNDIyMDg0NjIwWhcNMjUwNzIxMDg0NjE5WjAmMSQwIgYDVQQDExtwcmVtYXItbWVkaXRlcnJhbmVlLmdvdXYuZnIwggEiMA0GCSqGSIb3DQEBAQUAA4IBDwAwggEKAoIBAQC6ojUb/+Y00werdDJ/RGwDgM3tbRFJUs35aBubzMRojLwfh18Ylx/RPLWGSq/+G+4ydh+J11/KHh+HIevkcMcRvnaBWisQk3isihKV+E7Lh+S8MFPVBe0RfejhytLXxTw+ioeg/tgYN/gmwOTVR6cYyxlTwLKb6iE//Ao8+qzaLLj68/J5UAFXqmDfbXoQK7MEH4XPr5TCVKp0NajlojyUDwmxKZvBDbiHlHJ+9I3bCoC2XKAUHK4bDuyvMgEUVfT7CkuVaiTWmeaz9GRhFnp7GEjZD9U8DLIhB/dl/sHneWEDGKpPyAuxv1ioDH/bs49OrxHZL2BT8B9csswHQvwbAgMBAAGjggJxMIICbTAOBgNVHQ8BAf8EBAMCBaAwHQYDVR0lBBYwFAYIKwYBBQUHAwEGCCsGAQUFBwMCMAwGA1UdEwEB/wQCMAAwHQYDVR0OBBYEFGyyT2Gwsr6Ey8AUlUyUEKqfqx0eMB8GA1UdIwQYMBaAFLu8w0el5LypxsOkcgwQjaI14cjoMFcGCCsGAQUFBwEBBEswSTAiBggrBgEFBQcwAYYWaHR0cDovL3IxMC5vLmxlbmNyLm9yZzAjBggrBgEFBQcwAoYXaHR0cDovL3IxMC5pLmxlbmNyLm9yZy8wRwYDVR0RBEAwPoIbcHJlbWFyLW1lZGl0ZXJyYW5lZS5nb3V2LmZygh93d3cucHJlbWFyLW1lZGl0ZXJyYW5lZS5nb3V2LmZyMBMGA1UdIAQMMAowCAYGZ4EMAQIBMC8GA1UdHwQoMCYwJKAioCCGHmh0dHA6Ly9yMTAuYy5sZW5jci5vcmcvMTI2LmNybDCCAQQGCisGAQQB1nkCBAIEgfUEgfIA8AB2AMz7D2qFcQll/pWbU87psnwi6YVcDZeNtql+VMD+TA2wAAABllzi0k8AAAQDAEcwRQIhAIRqIIyUDy0sEqV3nCD/JNXIgV8p4/S1upF5g6KzmZWvAiArLbgU9v+qiQJGzrm1ejcIineA3qr3KquN8CzRcApNAQB2AH1ZHhLheCp7HGFnfF79+NCHXBSgTpWeuQMv2Q6MLnm4AAABllzi0w4AAAQDAEcwRQIgSfjRtubBld0sb1c0dfO/o9rz+FadR3mceM0vGUyxDzUCIQD5Ohblc44hpeZaOSGBMP+lF0xAd4Q8nIf/NpMIRyTPlzANBgkqhkiG9w0BAQsFAAOCAQEAfkYNUj2z96elonAuQ9uh2nDgW7AGjsPPsOZvpAKWuhsvfHuQDgZumsW7zdWPuC6E+AYJPnFuxb3Ul5Xsz34nY9xZ8nxJ0xrhpACWu0QZEAcFr/44zl5813nfmGX6xKOXDECzOAM70qdsGCLR1kJxSVij3ZuO33YYTalAKGHdBhevX7P/w7hPCVoVIWjwswt2ztd9tDAj1yY29MdHnfBjaYnOGP+t+2krMm6wzJvkf1HoE+8R/qXDaoswxLx4numw4N14HZXV/YHSWrQzCFp2DCc6UOqqhSyHe1sYjc/YO+j6ig5p+TCzh6GInH61NsBmgLh8rIfKEcTxuTQxmvfxXQ==\n-----END CERTIFICATE-----","",""
"cert_commonName","www.premar-mediterranee.gouv.fr/45.60.31.164","443","OK","premar-mediterranee.gouv.fr","",""
"cert_commonName_wo_SNI","www.premar-mediterranee.gouv.fr/45.60.31.164","443","INFO","imperva.com","",""
"cert_subjectAltName","www.premar-mediterranee.gouv.fr/45.60.31.164","443","INFO","premar-mediterranee.gouv.fr www.premar-mediterranee.gouv.fr","",""
"cert_trust","www.premar-mediterranee.gouv.fr/45.60.31.164","443","OK","Ok via SAN (SNI mandatory)","",""
"cert_chain_of_trust","www.premar-mediterranee.gouv.fr/45.60.31.164","443","OK","passed.","",""
"cert_certificatePolicies_EV","www.premar-mediterranee.gouv.fr/45.60.31.164","443","INFO","no","",""
"cert_expirationStatus","www.premar-mediterranee.gouv.fr/45.60.31.164","443","OK","63 >= 30 days","",""
"cert_notBefore","www.premar-mediterranee.gouv.fr/45.60.31.164","443","INFO","2025-04-22 08:46","",""
"cert_notAfter","www.premar-mediterranee.gouv.fr/45.60.31.164","443","OK","2025-07-21 08:46","",""
"cert_extlifeSpan","www.premar-mediterranee.gouv.fr/45.60.31.164","443","OK","certificate has no extended life time according to browser forum","",""
"cert_eTLS","www.premar-mediterranee.gouv.fr/45.60.31.164","443","INFO","not present","",""
