"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","www.reussir-avec-un-marketing-responsable.org/104.18.23.242","443","INFO","HTTP","",""
"pre_128cipher","www.reussir-avec-un-marketing-responsable.org/104.18.23.242","443","INFO","No 128 cipher limit bug","",""
"SSLv2","www.reussir-avec-un-marketing-responsable.org/104.18.23.242","443","OK","not offered","",""
"SSLv3","www.reussir-avec-un-marketing-responsable.org/104.18.23.242","443","OK","not offered","",""
"TLS1","www.reussir-avec-un-marketing-responsable.org/104.18.23.242","443","INFO","not offered","",""
"TLS1_1","www.reussir-avec-un-marketing-responsable.org/104.18.23.242","443","INFO","not offered","",""
"TLS1_2","www.reussir-avec-un-marketing-responsable.org/104.18.23.242","443","OK","offered","",""
"TLS1_3","www.reussir-avec-un-marketing-responsable.org/104.18.23.242","443","OK","offered with final","",""
"ALPN_HTTP2","www.reussir-avec-un-marketing-responsable.org/104.18.23.242","443","OK","h2","",""
"ALPN","www.reussir-avec-un-marketing-responsable.org/104.18.23.242","443","INFO","http/1.1","",""
"cipherlist_NULL","www.reussir-avec-un-marketing-responsable.org/104.18.23.242","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","www.reussir-avec-un-marketing-responsable.org/104.18.23.242","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","www.reussir-avec-un-marketing-responsable.org/104.18.23.242","443","OK","not offered","","CWE-327"
"cipherlist_LOW","www.reussir-avec-un-marketing-responsable.org/104.18.23.242","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","www.reussir-avec-un-marketing-responsable.org/104.18.23.242","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","www.reussir-avec-un-marketing-responsable.org/104.18.23.242","443","LOW","offered","","CWE-310"
"cipherlist_STRONG_NOFS","www.reussir-avec-un-marketing-responsable.org/104.18.23.242","443","OK","offered","",""
"cipherlist_STRONG_FS","www.reussir-avec-un-marketing-responsable.org/104.18.23.242","443","OK","offered","",""
"cipher_order-tls1_2","www.reussir-avec-un-marketing-responsable.org/104.18.23.242","443","OK","server","",""
"cipherorder_TLSv1_2","www.reussir-avec-un-marketing-responsable.org/104.18.23.242","443","INFO","ECDHE-ECDSA-AES128-GCM-SHA256","",""
"cipher_order","www.reussir-avec-un-marketing-responsable.org/104.18.23.242","443","OK","server -- TLS 1.3 client determined","",""
"FS","www.reussir-avec-un-marketing-responsable.org/104.18.23.242","443","OK","offered","",""
