"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","www.transformation.gouv.fr/45.223.57.83","443","INFO","HTTP","",""
"pre_128cipher","www.transformation.gouv.fr/45.223.57.83","443","INFO","No 128 cipher limit bug","",""
"SSLv2","www.transformation.gouv.fr/45.223.57.83","443","OK","not offered","",""
"SSLv3","www.transformation.gouv.fr/45.223.57.83","443","OK","not offered","",""
"TLS1","www.transformation.gouv.fr/45.223.57.83","443","INFO","not offered","",""
"TLS1_1","www.transformation.gouv.fr/45.223.57.83","443","INFO","not offered","",""
"TLS1_2","www.transformation.gouv.fr/45.223.57.83","443","OK","offered","",""
"TLS1_3","www.transformation.gouv.fr/45.223.57.83","443","OK","offered with final","",""
"ALPN_HTTP2","www.transformation.gouv.fr/45.223.57.83","443","OK","h2","",""
"cipherlist_NULL","www.transformation.gouv.fr/45.223.57.83","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","www.transformation.gouv.fr/45.223.57.83","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","www.transformation.gouv.fr/45.223.57.83","443","OK","not offered","","CWE-327"
"cipherlist_LOW","www.transformation.gouv.fr/45.223.57.83","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","www.transformation.gouv.fr/45.223.57.83","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","www.transformation.gouv.fr/45.223.57.83","443","LOW","offered","","CWE-310"
"cipherlist_STRONG_NOFS","www.transformation.gouv.fr/45.223.57.83","443","OK","offered","",""
"cipherlist_STRONG_FS","www.transformation.gouv.fr/45.223.57.83","443","OK","offered","",""
"cipher_order-tls1_2","www.transformation.gouv.fr/45.223.57.83","443","OK","server","",""
"cipherorder_TLSv1_2","www.transformation.gouv.fr/45.223.57.83","443","INFO","ECDHE-RSA-AES128-GCM-SHA256","",""
"cipher_order","www.transformation.gouv.fr/45.223.57.83","443","OK","server","",""
"FS","www.transformation.gouv.fr/45.223.57.83","443","OK","offered","",""
"FS_ciphers","www.transformation.gouv.fr/45.223.57.83","443","INFO","ECDHE-RSA-AES128-GCM-SHA256 ECDHE-RSA-AES128-SHA256 ECDHE-RSA-AES128-SHA ECDHE-RSA-AES256-GCM-SHA384 ECDHE-RSA-AES256-SHA384 ECDHE-RSA-AES256-SHA","",""
"FS_ECDHE_curves","www.transformation.gouv.fr/45.223.57.83","443","OK","prime256v1 secp384r1 secp521r1","",""
"TLS_extensions","www.transformation.gouv.fr/45.223.57.83","443","INFO","'server name/#0' 'max fragment length/#1' 'status request/#5' 'supported_groups/#10' 'EC point formats/#11' 'application layer protocol negotiation/#16' 'encrypt-then-mac/#22' 'extended master secret/#23' 'session ticket/#35' 'supported versions/#43' 'key share/#51' 'next protocol/#13172' 'renegotiation info/#65281'","",""
"TLS_session_ticket","www.transformation.gouv.fr/45.223.57.83","443","INFO","valid for 7200 seconds only (<daily)","",""
"SSL_sessionID_support","www.transformation.gouv.fr/45.223.57.83","443","INFO","yes","",""
"sessionresumption_ticket","www.transformation.gouv.fr/45.223.57.83","443","INFO","supported","",""
"sessionresumption_ID","www.transformation.gouv.fr/45.223.57.83","443","INFO","supported","",""
"TLS_timestamp","www.transformation.gouv.fr/45.223.57.83","443","INFO","random","",""
"certificate_compression","www.transformation.gouv.fr/45.223.57.83","443","INFO","none","",""
"clientAuth","www.transformation.gouv.fr/45.223.57.83","443","INFO","none","",""
"cert_numbers","www.transformation.gouv.fr/45.223.57.83","443","INFO","1","",""
"cert_signatureAlgorithm","www.transformation.gouv.fr/45.223.57.83","443","OK","SHA384 with RSA","",""
"cert_keySize","www.transformation.gouv.fr/45.223.57.83","443","OK","RSA 3072 bits (exponent is 65537)","",""
"cert_keyUsage","www.transformation.gouv.fr/45.223.57.83","443","INFO","Digital Signature, Key Encipherment","",""
"cert_extKeyUsage","www.transformation.gouv.fr/45.223.57.83","443","INFO","TLS Web Server Authentication, TLS Web Client Authentication","",""
"cert_serialNumber","www.transformation.gouv.fr/45.223.57.83","443","INFO","98C8DA03BD15D5DE91E16315A673A6D9","",""
"cert_serialNumberLen","www.transformation.gouv.fr/45.223.57.83","443","INFO","16","",""
"cert_fingerprintSHA1","www.transformation.gouv.fr/45.223.57.83","443","INFO","211CCFF71DFE6E8AE79092DBF30854212C68AB81","",""
"cert_fingerprintSHA256","www.transformation.gouv.fr/45.223.57.83","443","INFO","6E44B8A8E538D2A93E67875A4A6DAC5C36AE81EBBDD63A4092AB4FFDF2FAE7D8","",""
