"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","zammad.base-adresse-locale.incubateur.anct.gouv.fr/154.41.70.33","443","INFO","HTTP","",""
"pre_128cipher","zammad.base-adresse-locale.incubateur.anct.gouv.fr/154.41.70.33","443","INFO","No 128 cipher limit bug","",""
"SSLv2","zammad.base-adresse-locale.incubateur.anct.gouv.fr/154.41.70.33","443","OK","not offered","",""
"SSLv3","zammad.base-adresse-locale.incubateur.anct.gouv.fr/154.41.70.33","443","OK","not offered","",""
"TLS1","zammad.base-adresse-locale.incubateur.anct.gouv.fr/154.41.70.33","443","INFO","not offered","",""
"TLS1_1","zammad.base-adresse-locale.incubateur.anct.gouv.fr/154.41.70.33","443","INFO","not offered","",""
"TLS1_2","zammad.base-adresse-locale.incubateur.anct.gouv.fr/154.41.70.33","443","OK","offered","",""
"TLS1_3","zammad.base-adresse-locale.incubateur.anct.gouv.fr/154.41.70.33","443","OK","offered with final","",""
"NPN","zammad.base-adresse-locale.incubateur.anct.gouv.fr/154.41.70.33","443","INFO","not offered","",""
"ALPN_HTTP2","zammad.base-adresse-locale.incubateur.anct.gouv.fr/154.41.70.33","443","OK","h2","",""
"ALPN","zammad.base-adresse-locale.incubateur.anct.gouv.fr/154.41.70.33","443","INFO","http/1.1","",""
"cipherlist_NULL","zammad.base-adresse-locale.incubateur.anct.gouv.fr/154.41.70.33","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","zammad.base-adresse-locale.incubateur.anct.gouv.fr/154.41.70.33","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","zammad.base-adresse-locale.incubateur.anct.gouv.fr/154.41.70.33","443","OK","not offered","","CWE-327"
"cipherlist_LOW","zammad.base-adresse-locale.incubateur.anct.gouv.fr/154.41.70.33","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","zammad.base-adresse-locale.incubateur.anct.gouv.fr/154.41.70.33","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","zammad.base-adresse-locale.incubateur.anct.gouv.fr/154.41.70.33","443","LOW","offered","","CWE-310"
"cipherlist_STRONG_NOFS","zammad.base-adresse-locale.incubateur.anct.gouv.fr/154.41.70.33","443","INFO","not offered","",""
"cipherlist_STRONG_FS","zammad.base-adresse-locale.incubateur.anct.gouv.fr/154.41.70.33","443","OK","offered","",""
"cipher_order-tls1_2","zammad.base-adresse-locale.incubateur.anct.gouv.fr/154.41.70.33","443","OK","server -- server prioritizes ChaCha ciphers when preferred by clients","",""
"cipher-tls1_2_xc02b","zammad.base-adresse-locale.incubateur.anct.gouv.fr/154.41.70.33","443","OK","TLSv1.2   xc02b   ECDHE-ECDSA-AES128-GCM-SHA256     ECDH 521   AESGCM      128      TLS_ECDHE_ECDSA_WITH_AES_128_GCM_SHA256","",""
"cipher-tls1_2_xc02c","zammad.base-adresse-locale.incubateur.anct.gouv.fr/154.41.70.33","443","OK","TLSv1.2   xc02c   ECDHE-ECDSA-AES256-GCM-SHA384     ECDH 521   AESGCM      256      TLS_ECDHE_ECDSA_WITH_AES_256_GCM_SHA384","",""
"cipher-tls1_2_xcca9","zammad.base-adresse-locale.incubateur.anct.gouv.fr/154.41.70.33","443","OK","TLSv1.2   xcca9   ECDHE-ECDSA-CHACHA20-POLY1305     ECDH 521   ChaCha20    256      TLS_ECDHE_ECDSA_WITH_CHACHA20_POLY1305_SHA256","",""
"cipher-tls1_2_xc009","zammad.base-adresse-locale.incubateur.anct.gouv.fr/154.41.70.33","443","LOW","TLSv1.2   xc009   ECDHE-ECDSA-AES128-SHA            ECDH 521   AES         128      TLS_ECDHE_ECDSA_WITH_AES_128_CBC_SHA","",""
"cipher-tls1_2_xc00a","zammad.base-adresse-locale.incubateur.anct.gouv.fr/154.41.70.33","443","LOW","TLSv1.2   xc00a   ECDHE-ECDSA-AES256-SHA            ECDH 521   AES         256      TLS_ECDHE_ECDSA_WITH_AES_256_CBC_SHA","",""
"cipherorder_TLSv1_2","zammad.base-adresse-locale.incubateur.anct.gouv.fr/154.41.70.33","443","INFO","ECDHE-ECDSA-AES128-GCM-SHA256 ECDHE-ECDSA-AES256-GCM-SHA384 ECDHE-ECDSA-CHACHA20-POLY1305 ECDHE-ECDSA-AES128-SHA ECDHE-ECDSA-AES256-SHA","",""
