"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","accords-depot.travail.gouv.fr/185.194.83.58","443","INFO","HTTP","",""
"pre_128cipher","accords-depot.travail.gouv.fr/185.194.83.58","443","INFO","No 128 cipher limit bug","",""
"SSLv2","accords-depot.travail.gouv.fr/185.194.83.58","443","OK","not offered","",""
"SSLv3","accords-depot.travail.gouv.fr/185.194.83.58","443","OK","not offered","",""
"TLS1","accords-depot.travail.gouv.fr/185.194.83.58","443","INFO","not offered","",""
"TLS1_1","accords-depot.travail.gouv.fr/185.194.83.58","443","INFO","not offered","",""
"TLS1_2","accords-depot.travail.gouv.fr/185.194.83.58","443","OK","offered","",""
"TLS1_3","accords-depot.travail.gouv.fr/185.194.83.58","443","OK","offered with final","",""
"NPN","accords-depot.travail.gouv.fr/185.194.83.58","443","INFO","not offered","",""
"ALPN","accords-depot.travail.gouv.fr/185.194.83.58","443","INFO","not offered","",""
"cipherlist_NULL","accords-depot.travail.gouv.fr/185.194.83.58","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","accords-depot.travail.gouv.fr/185.194.83.58","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","accords-depot.travail.gouv.fr/185.194.83.58","443","OK","not offered","","CWE-327"
"cipherlist_LOW","accords-depot.travail.gouv.fr/185.194.83.58","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","accords-depot.travail.gouv.fr/185.194.83.58","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","accords-depot.travail.gouv.fr/185.194.83.58","443","INFO","not offered","","CWE-310"
"cipherlist_STRONG_NOFS","accords-depot.travail.gouv.fr/185.194.83.58","443","INFO","not offered","",""
"cipherlist_STRONG_FS","accords-depot.travail.gouv.fr/185.194.83.58","443","OK","offered","",""
"cipher_order-tls1_2","accords-depot.travail.gouv.fr/185.194.83.58","443","OK","server","",""
"cipher-tls1_2_xc030","accords-depot.travail.gouv.fr/185.194.83.58","443","OK","TLSv1.2   xc030   ECDHE-RSA-AES256-GCM-SHA384       ECDH 256   AESGCM      256      TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384","",""
"cipher-tls1_2_xc02f","accords-depot.travail.gouv.fr/185.194.83.58","443","OK","TLSv1.2   xc02f   ECDHE-RSA-AES128-GCM-SHA256       ECDH 256   AESGCM      128      TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256","",""
"cipherorder_TLSv1_2","accords-depot.travail.gouv.fr/185.194.83.58","443","INFO","ECDHE-RSA-AES256-GCM-SHA384 ECDHE-RSA-AES128-GCM-SHA256","",""
"cipher_order-tls1_3","accords-depot.travail.gouv.fr/185.194.83.58","443","OK","server","",""
"cipher-tls1_3_x1301","accords-depot.travail.gouv.fr/185.194.83.58","443","OK","TLSv1.3   x1301   TLS_AES_128_GCM_SHA256            ECDH 256   AESGCM      128      TLS_AES_128_GCM_SHA256","",""
"cipher-tls1_3_x1302","accords-depot.travail.gouv.fr/185.194.83.58","443","OK","TLSv1.3   x1302   TLS_AES_256_GCM_SHA384            ECDH 256   AESGCM      256      TLS_AES_256_GCM_SHA384","",""
"cipherorder_TLSv1_3","accords-depot.travail.gouv.fr/185.194.83.58","443","INFO","TLS_AES_128_GCM_SHA256 TLS_AES_256_GCM_SHA384","",""
"cipher_order","accords-depot.travail.gouv.fr/185.194.83.58","443","OK","server","",""
"FS","accords-depot.travail.gouv.fr/185.194.83.58","443","OK","offered","",""
"FS_ciphers","accords-depot.travail.gouv.fr/185.194.83.58","443","INFO","TLS_AES_256_GCM_SHA384 ECDHE-RSA-AES256-GCM-SHA384 TLS_AES_128_GCM_SHA256 ECDHE-RSA-AES128-GCM-SHA256","",""
"FS_ECDHE_curves","accords-depot.travail.gouv.fr/185.194.83.58","443","OK","prime256v1 secp384r1 X25519","",""
"DH_groups","accords-depot.travail.gouv.fr/185.194.83.58","443","OK","ffdhe3072 ffdhe4096","",""
"FS_TLS12_sig_algs","accords-depot.travail.gouv.fr/185.194.83.58","443","INFO","RSA+SHA256 RSA+SHA384 RSA+SHA512","",""
"FS_TLS13_sig_algs","accords-depot.travail.gouv.fr/185.194.83.58","443","INFO","RSA-PSS-RSAE+SHA256 RSA-PSS-RSAE+SHA384 RSA-PSS-RSAE+SHA512","",""
"TLS_extensions","accords-depot.travail.gouv.fr/185.194.83.58","443","INFO","'server name/#0' 'EC point formats/#11' 'extended master secret/#23' 'supported versions/#43' 'key share/#51' 'renegotiation info/#65281'","",""
"TLS_session_ticket","accords-depot.travail.gouv.fr/185.194.83.58","443","INFO","no -- no lifetime advertised","",""
"SSL_sessionID_support","accords-depot.travail.gouv.fr/185.194.83.58","443","INFO","yes","",""
"sessionresumption_ticket","accords-depot.travail.gouv.fr/185.194.83.58","443","INFO","not supported","",""
"sessionresumption_ID","accords-depot.travail.gouv.fr/185.194.83.58","443","INFO","supported","",""
"TLS_timestamp","accords-depot.travail.gouv.fr/185.194.83.58","443","INFO","random","",""
"certificate_compression","accords-depot.travail.gouv.fr/185.194.83.58","443","INFO","none","",""
"clientAuth","accords-depot.travail.gouv.fr/185.194.83.58","443","INFO","none","",""
"cert_numbers","accords-depot.travail.gouv.fr/185.194.83.58","443","INFO","1","",""
"cert_signatureAlgorithm","accords-depot.travail.gouv.fr/185.194.83.58","443","OK","SHA256 with RSA","",""
"cert_keySize","accords-depot.travail.gouv.fr/185.194.83.58","443","OK","RSA 3072 bits (exponent is 65537)","",""
"cert_keyUsage","accords-depot.travail.gouv.fr/185.194.83.58","443","INFO","Digital Signature, Key Encipherment","",""
"cert_extKeyUsage","accords-depot.travail.gouv.fr/185.194.83.58","443","INFO","TLS Web Server Authentication","",""
"cert_serialNumber","accords-depot.travail.gouv.fr/185.194.83.58","443","INFO","90DF9700CD80CFC2EDC168396AC6490A","",""
"cert_serialNumberLen","accords-depot.travail.gouv.fr/185.194.83.58","443","INFO","16","",""
"cert_fingerprintSHA1","accords-depot.travail.gouv.fr/185.194.83.58","443","INFO","00C815458409067C9D9AC2DD1342CD7E69AE4559","",""
"cert_fingerprintSHA256","accords-depot.travail.gouv.fr/185.194.83.58","443","INFO","028468533B4E35E9AF0A70C06794843D5176924A647A81D2D0BB8AC0A64F1601","",""
