"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","ac-guadeloupe.fr/185.75.143.93","443","DEBUG","Couldn't determine service, skipping all HTTP checks","",""
"pre_128cipher","ac-guadeloupe.fr/185.75.143.93","443","INFO","No 128 cipher limit bug","",""
"SSLv2","ac-guadeloupe.fr/185.75.143.93","443","WARN","couldn't be tested, socket problem","",""
"SSLv3","ac-guadeloupe.fr/185.75.143.93","443","OK","not offered","",""
"TLS1","ac-guadeloupe.fr/185.75.143.93","443","INFO","not offered","",""
"TLS1_1","ac-guadeloupe.fr/185.75.143.93","443","INFO","not offered","",""
"TLS1_2","ac-guadeloupe.fr/185.75.143.93","443","OK","offered","",""
"TLS1_3","ac-guadeloupe.fr/185.75.143.93","443","OK","offered with final","",""
"NPN","ac-guadeloupe.fr/185.75.143.93","443","INFO","offered with h2, http/1.1 (advertised)","",""
"ALPN_HTTP2","ac-guadeloupe.fr/185.75.143.93","443","OK","h2","",""
"ALPN","ac-guadeloupe.fr/185.75.143.93","443","INFO","http/1.1","",""
"cipherlist_NULL","ac-guadeloupe.fr/185.75.143.93","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","ac-guadeloupe.fr/185.75.143.93","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","ac-guadeloupe.fr/185.75.143.93","443","OK","not offered","","CWE-327"
"cipherlist_LOW","ac-guadeloupe.fr/185.75.143.93","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","ac-guadeloupe.fr/185.75.143.93","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","ac-guadeloupe.fr/185.75.143.93","443","INFO","not offered","","CWE-310"
"cipherlist_STRONG_NOFS","ac-guadeloupe.fr/185.75.143.93","443","INFO","not offered","",""
"scanProblem","ac-guadeloupe.fr/185.75.143.93","443","FATAL","repeated TCP connect problems, giving up","",""
