"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","agentsenintervention.anct.gouv.fr/51.159.114.205","443","INFO","HTTP","",""
"pre_128cipher","agentsenintervention.anct.gouv.fr/51.159.114.205","443","INFO","No 128 cipher limit bug","",""
"SSLv2","agentsenintervention.anct.gouv.fr/51.159.114.205","443","OK","not offered","",""
"SSLv3","agentsenintervention.anct.gouv.fr/51.159.114.205","443","OK","not offered","",""
"TLS1","agentsenintervention.anct.gouv.fr/51.159.114.205","443","INFO","not offered","",""
"TLS1_1","agentsenintervention.anct.gouv.fr/51.159.114.205","443","INFO","not offered","",""
"TLS1_2","agentsenintervention.anct.gouv.fr/51.159.114.205","443","OK","offered","",""
"TLS1_3","agentsenintervention.anct.gouv.fr/51.159.114.205","443","OK","offered with final","",""
"NPN","agentsenintervention.anct.gouv.fr/51.159.114.205","443","INFO","not offered","",""
"ALPN_HTTP2","agentsenintervention.anct.gouv.fr/51.159.114.205","443","OK","h2","",""
"ALPN","agentsenintervention.anct.gouv.fr/51.159.114.205","443","INFO","http/1.1","",""
"cipherlist_NULL","agentsenintervention.anct.gouv.fr/51.159.114.205","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","agentsenintervention.anct.gouv.fr/51.159.114.205","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","agentsenintervention.anct.gouv.fr/51.159.114.205","443","OK","not offered","","CWE-327"
"cipherlist_LOW","agentsenintervention.anct.gouv.fr/51.159.114.205","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","agentsenintervention.anct.gouv.fr/51.159.114.205","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","agentsenintervention.anct.gouv.fr/51.159.114.205","443","INFO","not offered","","CWE-310"
"cipherlist_STRONG_NOFS","agentsenintervention.anct.gouv.fr/51.159.114.205","443","INFO","not offered","",""
"cipherlist_STRONG_FS","agentsenintervention.anct.gouv.fr/51.159.114.205","443","OK","offered","",""
"cipher_order-tls1_2","agentsenintervention.anct.gouv.fr/51.159.114.205","443","OK","server -- server prioritizes ChaCha ciphers when preferred by clients","",""
"cipher-tls1_2_xc02f","agentsenintervention.anct.gouv.fr/51.159.114.205","443","OK","TLSv1.2   xc02f   ECDHE-RSA-AES128-GCM-SHA256       ECDH 253   AESGCM      128      TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256","",""
"cipher-tls1_2_xcca8","agentsenintervention.anct.gouv.fr/51.159.114.205","443","OK","TLSv1.2   xcca8   ECDHE-RSA-CHACHA20-POLY1305       ECDH 253   ChaCha20    256      TLS_ECDHE_RSA_WITH_CHACHA20_POLY1305_SHA256","",""
"cipher-tls1_2_xc030","agentsenintervention.anct.gouv.fr/51.159.114.205","443","OK","TLSv1.2   xc030   ECDHE-RSA-AES256-GCM-SHA384       ECDH 253   AESGCM      256      TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384","",""
"cipherorder_TLSv1_2","agentsenintervention.anct.gouv.fr/51.159.114.205","443","INFO","ECDHE-RSA-AES128-GCM-SHA256 ECDHE-RSA-CHACHA20-POLY1305 ECDHE-RSA-AES256-GCM-SHA384","",""
"prioritize_chacha_TLSv1_2","agentsenintervention.anct.gouv.fr/51.159.114.205","443","INFO","true","",""
"cipher_order-tls1_3","agentsenintervention.anct.gouv.fr/51.159.114.205","443","INFO","NOT a cipher order configured","",""
"cipher-tls1_3_x1302","agentsenintervention.anct.gouv.fr/51.159.114.205","443","OK","TLSv1.3   x1302   TLS_AES_256_GCM_SHA384            ECDH 253   AESGCM      256      TLS_AES_256_GCM_SHA384","",""
