"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","admissio.defense.gouv.fr/185.24.185.2","443","INFO","HTTP","",""
"pre_128cipher","admissio.defense.gouv.fr/185.24.185.2","443","INFO","No 128 cipher limit bug","",""
"SSLv2","admissio.defense.gouv.fr/185.24.185.2","443","OK","not offered","",""
"SSLv3","admissio.defense.gouv.fr/185.24.185.2","443","OK","not offered","",""
"TLS1","admissio.defense.gouv.fr/185.24.185.2","443","INFO","not offered","",""
"TLS1_1","admissio.defense.gouv.fr/185.24.185.2","443","INFO","not offered","",""
"TLS1_2","admissio.defense.gouv.fr/185.24.185.2","443","OK","offered","",""
"TLS1_3","admissio.defense.gouv.fr/185.24.185.2","443","INFO","not offered + downgraded to weaker protocol","",""
"NPN","admissio.defense.gouv.fr/185.24.185.2","443","INFO","not offered","",""
"ALPN","admissio.defense.gouv.fr/185.24.185.2","443","INFO","not offered","",""
"cipherlist_NULL","admissio.defense.gouv.fr/185.24.185.2","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","admissio.defense.gouv.fr/185.24.185.2","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","admissio.defense.gouv.fr/185.24.185.2","443","OK","not offered","","CWE-327"
"cipherlist_LOW","admissio.defense.gouv.fr/185.24.185.2","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","admissio.defense.gouv.fr/185.24.185.2","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","admissio.defense.gouv.fr/185.24.185.2","443","INFO","not offered","","CWE-310"
"cipherlist_STRONG_NOFS","admissio.defense.gouv.fr/185.24.185.2","443","OK","offered","",""
"cipherlist_STRONG_FS","admissio.defense.gouv.fr/185.24.185.2","443","OK","offered","",""
"cipher_order-tls1_2","admissio.defense.gouv.fr/185.24.185.2","443","OK","server","",""
"cipher-tls1_2_xc02f","admissio.defense.gouv.fr/185.24.185.2","443","OK","TLSv1.2   xc02f   ECDHE-RSA-AES128-GCM-SHA256       ECDH 256   AESGCM      128      TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256","",""
"cipherorder_TLSv1_2","admissio.defense.gouv.fr/185.24.185.2","443","INFO","ECDHE-RSA-AES128-GCM-SHA256","",""
"cipher_order","admissio.defense.gouv.fr/185.24.185.2","443","OK","server","",""
"FS","admissio.defense.gouv.fr/185.24.185.2","443","OK","offered","",""
