"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","allo119.gouv.fr/46.18.135.251","443","INFO","HTTP","",""
"pre_128cipher","allo119.gouv.fr/46.18.135.251","443","INFO","No 128 cipher limit bug","",""
"SSLv2","allo119.gouv.fr/46.18.135.251","443","OK","not offered","",""
"SSLv3","allo119.gouv.fr/46.18.135.251","443","OK","not offered","",""
"TLS1","allo119.gouv.fr/46.18.135.251","443","INFO","not offered","",""
"TLS1_1","allo119.gouv.fr/46.18.135.251","443","INFO","not offered","",""
"TLS1_2","allo119.gouv.fr/46.18.135.251","443","OK","offered","",""
"TLS1_3","allo119.gouv.fr/46.18.135.251","443","OK","offered with final","",""
"ALPN","allo119.gouv.fr/46.18.135.251","443","INFO","http/1.1","",""
"cipherlist_NULL","allo119.gouv.fr/46.18.135.251","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","allo119.gouv.fr/46.18.135.251","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","allo119.gouv.fr/46.18.135.251","443","OK","not offered","","CWE-327"
"cipherlist_LOW","allo119.gouv.fr/46.18.135.251","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","allo119.gouv.fr/46.18.135.251","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","allo119.gouv.fr/46.18.135.251","443","LOW","offered","","CWE-310"
"cipherlist_STRONG_NOFS","allo119.gouv.fr/46.18.135.251","443","OK","offered","",""
"cipherlist_STRONG_FS","allo119.gouv.fr/46.18.135.251","443","OK","offered","",""
"cipher_order-tls1_2","allo119.gouv.fr/46.18.135.251","443","INFO","NOT a cipher order configured","",""
"cipher-tls1_2_xc030","allo119.gouv.fr/46.18.135.251","443","OK","TLSv1.2   xc030   ECDHE-RSA-AES256-GCM-SHA384       ECDH 521   AESGCM      256      TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384","",""
"cipher-tls1_2_xc028","allo119.gouv.fr/46.18.135.251","443","LOW","TLSv1.2   xc028   ECDHE-RSA-AES256-SHA384           ECDH 521   AES         256      TLS_ECDHE_RSA_WITH_AES_256_CBC_SHA384","",""
"cipher-tls1_2_xc014","allo119.gouv.fr/46.18.135.251","443","LOW","TLSv1.2   xc014   ECDHE-RSA-AES256-SHA              ECDH 521   AES         256      TLS_ECDHE_RSA_WITH_AES_256_CBC_SHA","",""
"cipher-tls1_2_xc077","allo119.gouv.fr/46.18.135.251","443","LOW","TLSv1.2   xc077   ECDHE-RSA-CAMELLIA256-SHA384      ECDH 521   Camellia    256      TLS_ECDHE_RSA_WITH_CAMELLIA_256_CBC_SHA384","",""
"cipher-tls1_2_x9d","allo119.gouv.fr/46.18.135.251","443","OK","TLSv1.2   x9d     AES256-GCM-SHA384                 RSA        AESGCM      256      TLS_RSA_WITH_AES_256_GCM_SHA384","",""
"cipher-tls1_2_x3d","allo119.gouv.fr/46.18.135.251","443","LOW","TLSv1.2   x3d     AES256-SHA256                     RSA        AES         256      TLS_RSA_WITH_AES_256_CBC_SHA256","",""
"cipher-tls1_2_x35","allo119.gouv.fr/46.18.135.251","443","LOW","TLSv1.2   x35     AES256-SHA                        RSA        AES         256      TLS_RSA_WITH_AES_256_CBC_SHA","",""
"cipher-tls1_2_xc0","allo119.gouv.fr/46.18.135.251","443","LOW","TLSv1.2   xc0     CAMELLIA256-SHA256                RSA        Camellia    256      TLS_RSA_WITH_CAMELLIA_256_CBC_SHA256","",""
"cipher-tls1_2_x84","allo119.gouv.fr/46.18.135.251","443","LOW","TLSv1.2   x84     CAMELLIA256-SHA                   RSA        Camellia    256      TLS_RSA_WITH_CAMELLIA_256_CBC_SHA","",""
"cipher-tls1_2_xc02f","allo119.gouv.fr/46.18.135.251","443","OK","TLSv1.2   xc02f   ECDHE-RSA-AES128-GCM-SHA256       ECDH 521   AESGCM      128      TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256","",""
"cipher-tls1_2_xc027","allo119.gouv.fr/46.18.135.251","443","LOW","TLSv1.2   xc027   ECDHE-RSA-AES128-SHA256           ECDH 521   AES         128      TLS_ECDHE_RSA_WITH_AES_128_CBC_SHA256","",""
"cipher-tls1_2_xc013","allo119.gouv.fr/46.18.135.251","443","LOW","TLSv1.2   xc013   ECDHE-RSA-AES128-SHA              ECDH 521   AES         128      TLS_ECDHE_RSA_WITH_AES_128_CBC_SHA","",""
"cipher-tls1_2_xc076","allo119.gouv.fr/46.18.135.251","443","LOW","TLSv1.2   xc076   ECDHE-RSA-CAMELLIA128-SHA256      ECDH 521   Camellia    128      TLS_ECDHE_RSA_WITH_CAMELLIA_128_CBC_SHA256","",""
"cipher-tls1_2_x9c","allo119.gouv.fr/46.18.135.251","443","OK","TLSv1.2   x9c     AES128-GCM-SHA256                 RSA        AESGCM      128      TLS_RSA_WITH_AES_128_GCM_SHA256","",""
