"id","fqdn/ip","port","severity","finding","cve","cwe"
"optimal_proto","alpha-sierra.sigp.aviation-civile.gouv.fr/143.196.144.53","443","INFO","alpha-sierra.sigp.aviation-civile.gouv.fr:443 appears to support TLS 1.3 ONLY, switching from /home/testssl/bin/openssl.Linux.x86_64 to /usr/bin/openssl automagically","",""
"engine_problem","alpha-sierra.sigp.aviation-civile.gouv.fr/143.196.144.53","443","WARN","No engine or GOST support via engine with your /usr/bin/openssl","",""
"service","alpha-sierra.sigp.aviation-civile.gouv.fr/143.196.144.53","443","INFO","HTTP","",""
"pre_128cipher","alpha-sierra.sigp.aviation-civile.gouv.fr/143.196.144.53","443","INFO","No 128 cipher limit bug","",""
"SSLv2","alpha-sierra.sigp.aviation-civile.gouv.fr/143.196.144.53","443","OK","not offered","",""
"SSLv3","alpha-sierra.sigp.aviation-civile.gouv.fr/143.196.144.53","443","OK","not offered","",""
"TLS1","alpha-sierra.sigp.aviation-civile.gouv.fr/143.196.144.53","443","INFO","not offered","",""
"TLS1_1","alpha-sierra.sigp.aviation-civile.gouv.fr/143.196.144.53","443","INFO","not offered","",""
"TLS1_2","alpha-sierra.sigp.aviation-civile.gouv.fr/143.196.144.53","443","INFO","not offered","",""
"TLS1_3","alpha-sierra.sigp.aviation-civile.gouv.fr/143.196.144.53","443","OK","offered with final","",""
"NPN","alpha-sierra.sigp.aviation-civile.gouv.fr/143.196.144.53","443","WARN","not possible for TLS 1.3-only hosts","",""
"ALPN","alpha-sierra.sigp.aviation-civile.gouv.fr/143.196.144.53","443","INFO","http/1.1","",""
"cipherlist_NULL","alpha-sierra.sigp.aviation-civile.gouv.fr/143.196.144.53","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","alpha-sierra.sigp.aviation-civile.gouv.fr/143.196.144.53","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","alpha-sierra.sigp.aviation-civile.gouv.fr/143.196.144.53","443","OK","not offered","","CWE-327"
"cipherlist_LOW","alpha-sierra.sigp.aviation-civile.gouv.fr/143.196.144.53","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","alpha-sierra.sigp.aviation-civile.gouv.fr/143.196.144.53","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","alpha-sierra.sigp.aviation-civile.gouv.fr/143.196.144.53","443","INFO","not offered","","CWE-310"
"cipherlist_STRONG_NOFS","alpha-sierra.sigp.aviation-civile.gouv.fr/143.196.144.53","443","INFO","not offered","",""
"cipherlist_STRONG_FS","alpha-sierra.sigp.aviation-civile.gouv.fr/143.196.144.53","443","OK","offered","",""
"cipher_order-tls1_3","alpha-sierra.sigp.aviation-civile.gouv.fr/143.196.144.53","443","OK","server","",""
"cipher-tls1_3_x1302","alpha-sierra.sigp.aviation-civile.gouv.fr/143.196.144.53","443","OK","TLSv1.3   x1302   TLS_AES_256_GCM_SHA384            ECDH 253   AESGCM      256      TLS_AES_256_GCM_SHA384","",""
"cipher-tls1_3_x1303","alpha-sierra.sigp.aviation-civile.gouv.fr/143.196.144.53","443","OK","TLSv1.3   x1303   TLS_CHACHA20_POLY1305_SHA256      ECDH 253   ChaCha20    256      TLS_CHACHA20_POLY1305_SHA256","",""
"cipher-tls1_3_x1301","alpha-sierra.sigp.aviation-civile.gouv.fr/143.196.144.53","443","OK","TLSv1.3   x1301   TLS_AES_128_GCM_SHA256            ECDH 253   AESGCM      128      TLS_AES_128_GCM_SHA256","",""
"cipherorder_TLSv1_3","alpha-sierra.sigp.aviation-civile.gouv.fr/143.196.144.53","443","INFO","TLS_AES_256_GCM_SHA384 TLS_CHACHA20_POLY1305_SHA256 TLS_AES_128_GCM_SHA256","",""
"prioritize_chacha_TLSv1_3","alpha-sierra.sigp.aviation-civile.gouv.fr/143.196.144.53","443","INFO","false","",""
"cipher_order","alpha-sierra.sigp.aviation-civile.gouv.fr/143.196.144.53","443","INFO","server (TLS 1.3)","",""
"FS","alpha-sierra.sigp.aviation-civile.gouv.fr/143.196.144.53","443","OK","offered","",""
"FS_ciphers","alpha-sierra.sigp.aviation-civile.gouv.fr/143.196.144.53","443","INFO","TLS_AES_256_GCM_SHA384 TLS_CHACHA20_POLY1305_SHA256 TLS_AES_128_GCM_SHA256","",""
"FS_ECDHE_curves","alpha-sierra.sigp.aviation-civile.gouv.fr/143.196.144.53","443","OK","prime256v1 secp384r1 secp521r1 X25519 X448","",""
"FS_TLS13_sig_algs","alpha-sierra.sigp.aviation-civile.gouv.fr/143.196.144.53","443","INFO","RSA-PSS-RSAE+SHA256 RSA-PSS-RSAE+SHA384 RSA-PSS-RSAE+SHA512","",""
"TLS_extensions","alpha-sierra.sigp.aviation-civile.gouv.fr/143.196.144.53","443","INFO","'server name/#0' 'supported versions/#43' 'key share/#51'","",""
"TLS_session_ticket","alpha-sierra.sigp.aviation-civile.gouv.fr/143.196.144.53","443","INFO","no -- no lifetime advertised","",""
"SSL_sessionID_support","alpha-sierra.sigp.aviation-civile.gouv.fr/143.196.144.53","443","INFO","no","",""
"sessionresumption_ticket","alpha-sierra.sigp.aviation-civile.gouv.fr/143.196.144.53","443","INFO","not supported","",""
"sessionresumption_ID","alpha-sierra.sigp.aviation-civile.gouv.fr/143.196.144.53","443","INFO","No Session ID, no resumption","",""
"TLS_timestamp","alpha-sierra.sigp.aviation-civile.gouv.fr/143.196.144.53","443","INFO","random","",""
"certificate_compression","alpha-sierra.sigp.aviation-civile.gouv.fr/143.196.144.53","443","INFO","none","",""
"clientAuth","alpha-sierra.sigp.aviation-civile.gouv.fr/143.196.144.53","443","INFO","none","",""
"cert_numbers","alpha-sierra.sigp.aviation-civile.gouv.fr/143.196.144.53","443","INFO","1","",""
"cert_signatureAlgorithm","alpha-sierra.sigp.aviation-civile.gouv.fr/143.196.144.53","443","OK","SHA256 with RSA","",""
"cert_keySize","alpha-sierra.sigp.aviation-civile.gouv.fr/143.196.144.53","443","INFO","RSA 2048 bits (exponent is 65537)","",""
"cert_keyUsage","alpha-sierra.sigp.aviation-civile.gouv.fr/143.196.144.53","443","INFO","Digital Signature, Key Encipherment","",""
"cert_extKeyUsage","alpha-sierra.sigp.aviation-civile.gouv.fr/143.196.144.53","443","INFO","TLS Web Server Authentication, TLS Web Client Authentication","",""
"cert_serialNumber","alpha-sierra.sigp.aviation-civile.gouv.fr/143.196.144.53","443","INFO","1BF090DC753EF5170B2A489CEE923EE9","",""
"cert_serialNumberLen","alpha-sierra.sigp.aviation-civile.gouv.fr/143.196.144.53","443","INFO","16","",""
"cert_fingerprintSHA1","alpha-sierra.sigp.aviation-civile.gouv.fr/143.196.144.53","443","INFO","77BC6DB1903C89DCDCB3BA30CC23DD5B92647584","",""
"cert_fingerprintSHA256","alpha-sierra.sigp.aviation-civile.gouv.fr/143.196.144.53","443","INFO","FA53537F5E0705CDF4D7CE21A8A68FE55DB87B5C5FD49921007FA532BF5749DA","",""
