"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","anap.fr/34.226.36.52","443","INFO","HTTP","",""
"pre_128cipher","anap.fr/34.226.36.52","443","INFO","No 128 cipher limit bug","",""
"SSLv2","anap.fr/34.226.36.52","443","OK","not offered","",""
"SSLv3","anap.fr/34.226.36.52","443","OK","not offered","",""
"TLS1","anap.fr/34.226.36.52","443","INFO","not offered","",""
"TLS1_1","anap.fr/34.226.36.52","443","INFO","not offered","",""
"TLS1_2","anap.fr/34.226.36.52","443","OK","offered","",""
"TLS1_3","anap.fr/34.226.36.52","443","OK","offered with final","",""
"NPN","anap.fr/34.226.36.52","443","INFO","not offered","",""
"ALPN_HTTP2","anap.fr/34.226.36.52","443","OK","h2","",""
"ALPN","anap.fr/34.226.36.52","443","INFO","http/1.1","",""
"cipherlist_NULL","anap.fr/34.226.36.52","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","anap.fr/34.226.36.52","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","anap.fr/34.226.36.52","443","OK","not offered","","CWE-327"
"cipherlist_LOW","anap.fr/34.226.36.52","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","anap.fr/34.226.36.52","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","anap.fr/34.226.36.52","443","LOW","offered","","CWE-310"
"cipherlist_STRONG_NOFS","anap.fr/34.226.36.52","443","OK","offered","",""
"cipherlist_STRONG_FS","anap.fr/34.226.36.52","443","OK","offered","",""
"cipher_order-tls1_2","anap.fr/34.226.36.52","443","OK","server","",""
"cipher-tls1_2_xc030","anap.fr/34.226.36.52","443","OK","TLSv1.2   xc030   ECDHE-RSA-AES256-GCM-SHA384       ECDH 256   AESGCM      256      TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384","",""
"cipher-tls1_2_xc02f","anap.fr/34.226.36.52","443","OK","TLSv1.2   xc02f   ECDHE-RSA-AES128-GCM-SHA256       ECDH 256   AESGCM      128      TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256","",""
"cipher-tls1_2_xc028","anap.fr/34.226.36.52","443","LOW","TLSv1.2   xc028   ECDHE-RSA-AES256-SHA384           ECDH 256   AES         256      TLS_ECDHE_RSA_WITH_AES_256_CBC_SHA384","",""
"cipher-tls1_2_xc027","anap.fr/34.226.36.52","443","LOW","TLSv1.2   xc027   ECDHE-RSA-AES128-SHA256           ECDH 256   AES         128      TLS_ECDHE_RSA_WITH_AES_128_CBC_SHA256","",""
"cipher-tls1_2_x9d","anap.fr/34.226.36.52","443","OK","TLSv1.2   x9d     AES256-GCM-SHA384                 RSA        AESGCM      256      TLS_RSA_WITH_AES_256_GCM_SHA384","",""
"cipher-tls1_2_x9c","anap.fr/34.226.36.52","443","OK","TLSv1.2   x9c     AES128-GCM-SHA256                 RSA        AESGCM      128      TLS_RSA_WITH_AES_128_GCM_SHA256","",""
"cipher-tls1_2_x3d","anap.fr/34.226.36.52","443","LOW","TLSv1.2   x3d     AES256-SHA256                     RSA        AES         256      TLS_RSA_WITH_AES_256_CBC_SHA256","",""
"cipher-tls1_2_x3c","anap.fr/34.226.36.52","443","LOW","TLSv1.2   x3c     AES128-SHA256                     RSA        AES         128      TLS_RSA_WITH_AES_128_CBC_SHA256","",""
"cipher-tls1_2_x35","anap.fr/34.226.36.52","443","LOW","TLSv1.2   x35     AES256-SHA                        RSA        AES         256      TLS_RSA_WITH_AES_256_CBC_SHA","",""
"cipher-tls1_2_x2f","anap.fr/34.226.36.52","443","LOW","TLSv1.2   x2f     AES128-SHA                        RSA        AES         128      TLS_RSA_WITH_AES_128_CBC_SHA","",""
"cipherorder_TLSv1_2","anap.fr/34.226.36.52","443","INFO","ECDHE-RSA-AES256-GCM-SHA384 ECDHE-RSA-AES128-GCM-SHA256 ECDHE-RSA-AES256-SHA384 ECDHE-RSA-AES128-SHA256 AES256-GCM-SHA384 AES128-GCM-SHA256 AES256-SHA256 AES128-SHA256 AES256-SHA AES128-SHA","",""
"cipher_order-tls1_3","anap.fr/34.226.36.52","443","OK","server","",""
"cipher-tls1_3_x1302","anap.fr/34.226.36.52","443","OK","TLSv1.3   x1302   TLS_AES_256_GCM_SHA384            ECDH 253   AESGCM      256      TLS_AES_256_GCM_SHA384","",""
"cipher-tls1_3_x1303","anap.fr/34.226.36.52","443","OK","TLSv1.3   x1303   TLS_CHACHA20_POLY1305_SHA256      ECDH 253   ChaCha20    256      TLS_CHACHA20_POLY1305_SHA256","",""
"cipher-tls1_3_x1301","anap.fr/34.226.36.52","443","OK","TLSv1.3   x1301   TLS_AES_128_GCM_SHA256            ECDH 253   AESGCM      128      TLS_AES_128_GCM_SHA256","",""
"cipher-tls1_3_x1304","anap.fr/34.226.36.52","443","OK","TLSv1.3   x1304   TLS_AES_128_CCM_SHA256            ECDH 253   AESCCM      128      TLS_AES_128_CCM_SHA256","",""
"cipherorder_TLSv1_3","anap.fr/34.226.36.52","443","INFO","TLS_AES_256_GCM_SHA384 TLS_CHACHA20_POLY1305_SHA256 TLS_AES_128_GCM_SHA256 TLS_AES_128_CCM_SHA256","",""
"prioritize_chacha_TLSv1_3","anap.fr/34.226.36.52","443","INFO","false","",""
"cipher_order","anap.fr/34.226.36.52","443","OK","server","",""
"FS","anap.fr/34.226.36.52","443","OK","offered","",""
"FS_ciphers","anap.fr/34.226.36.52","443","INFO","TLS_AES_256_GCM_SHA384 TLS_CHACHA20_POLY1305_SHA256 ECDHE-RSA-AES256-GCM-SHA384 ECDHE-RSA-AES256-SHA384 TLS_AES_128_GCM_SHA256 TLS_AES_128_CCM_SHA256 ECDHE-RSA-AES128-GCM-SHA256 ECDHE-RSA-AES128-SHA256","",""
"FS_ECDHE_curves","anap.fr/34.226.36.52","443","OK","prime256v1 secp384r1 secp521r1 X25519 X448","",""
"DH_groups","anap.fr/34.226.36.52","443","OK","ffdhe2048 ffdhe3072 ffdhe4096 ffdhe6144 ffdhe8192","",""
"FS_TLS12_sig_algs","anap.fr/34.226.36.52","443","INFO","RSA-PSS-RSAE+SHA256 RSA-PSS-RSAE+SHA384 RSA-PSS-RSAE+SHA512 RSA+SHA256 RSA+SHA384 RSA+SHA512 RSA+SHA224","",""
"FS_TLS13_sig_algs","anap.fr/34.226.36.52","443","INFO","RSA-PSS-RSAE+SHA256 RSA-PSS-RSAE+SHA384 RSA-PSS-RSAE+SHA512","",""
"TLS_extensions","anap.fr/34.226.36.52","443","INFO","'server name/#0' 'max fragment length/#1' 'supported_groups/#10' 'EC point formats/#11' 'application layer protocol negotiation/#16' 'encrypt-then-mac/#22' 'extended master secret/#23' 'supported versions/#43' 'key share/#51' 'renegotiation info/#65281'","",""
"TLS_session_ticket","anap.fr/34.226.36.52","443","INFO","no -- no lifetime advertised","",""
"SSL_sessionID_support","anap.fr/34.226.36.52","443","INFO","yes","",""
"sessionresumption_ticket","anap.fr/34.226.36.52","443","INFO","not supported","",""
"sessionresumption_ID","anap.fr/34.226.36.52","443","INFO","not supported","",""
"TLS_timestamp","anap.fr/34.226.36.52","443","INFO","random","",""
"certificate_compression","anap.fr/34.226.36.52","443","INFO","none","",""
"clientAuth","anap.fr/34.226.36.52","443","INFO","none","",""
"cert_numbers","anap.fr/34.226.36.52","443","INFO","1","",""
"cert_signatureAlgorithm","anap.fr/34.226.36.52","443","OK","SHA256 with RSA","",""
"cert_keySize","anap.fr/34.226.36.52","443","INFO","RSA 2048 bits (exponent is 65537)","",""
"cert_keyUsage","anap.fr/34.226.36.52","443","INFO","Digital Signature, Key Encipherment","",""
"cert_extKeyUsage","anap.fr/34.226.36.52","443","INFO","TLS Web Server Authentication, TLS Web Client Authentication","",""
"cert_serialNumber","anap.fr/34.226.36.52","443","INFO","0C60B05FC5811C701EDAA35568282AC0","",""
"cert_serialNumberLen","anap.fr/34.226.36.52","443","INFO","16","",""
"cert_fingerprintSHA1","anap.fr/34.226.36.52","443","INFO","D9796A19FA6ABE0F993FD3615515FF1E93D3E9BB","",""
"cert_fingerprintSHA256","anap.fr/34.226.36.52","443","INFO","6A903CBC3C65FE5AEF552FC9C00B5C7E11F81C1063FA14EFC2437532EDFA10DE","",""
