"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","api.cestquilepro.inserjeunes.beta.gouv.fr/57.128.61.120","443","INFO","HTTP","",""
"pre_128cipher","api.cestquilepro.inserjeunes.beta.gouv.fr/57.128.61.120","443","INFO","No 128 cipher limit bug","",""
"SSLv2","api.cestquilepro.inserjeunes.beta.gouv.fr/57.128.61.120","443","OK","not offered","",""
"SSLv3","api.cestquilepro.inserjeunes.beta.gouv.fr/57.128.61.120","443","OK","not offered","",""
"TLS1","api.cestquilepro.inserjeunes.beta.gouv.fr/57.128.61.120","443","INFO","not offered","",""
"TLS1_1","api.cestquilepro.inserjeunes.beta.gouv.fr/57.128.61.120","443","INFO","not offered","",""
"TLS1_2","api.cestquilepro.inserjeunes.beta.gouv.fr/57.128.61.120","443","OK","offered","",""
"TLS1_3","api.cestquilepro.inserjeunes.beta.gouv.fr/57.128.61.120","443","OK","offered with final","",""
"NPN","api.cestquilepro.inserjeunes.beta.gouv.fr/57.128.61.120","443","INFO","not offered","",""
"ALPN_HTTP2","api.cestquilepro.inserjeunes.beta.gouv.fr/57.128.61.120","443","OK","h2","",""
"ALPN","api.cestquilepro.inserjeunes.beta.gouv.fr/57.128.61.120","443","INFO","http/1.1","",""
"cipherlist_NULL","api.cestquilepro.inserjeunes.beta.gouv.fr/57.128.61.120","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","api.cestquilepro.inserjeunes.beta.gouv.fr/57.128.61.120","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","api.cestquilepro.inserjeunes.beta.gouv.fr/57.128.61.120","443","OK","not offered","","CWE-327"
"cipherlist_LOW","api.cestquilepro.inserjeunes.beta.gouv.fr/57.128.61.120","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","api.cestquilepro.inserjeunes.beta.gouv.fr/57.128.61.120","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","api.cestquilepro.inserjeunes.beta.gouv.fr/57.128.61.120","443","INFO","not offered","","CWE-310"
"cipherlist_STRONG_NOFS","api.cestquilepro.inserjeunes.beta.gouv.fr/57.128.61.120","443","INFO","not offered","",""
"cipherlist_STRONG_FS","api.cestquilepro.inserjeunes.beta.gouv.fr/57.128.61.120","443","OK","offered","",""
"cipher_order-tls1_2","api.cestquilepro.inserjeunes.beta.gouv.fr/57.128.61.120","443","OK","server","",""
"cipher-tls1_2_xc02f","api.cestquilepro.inserjeunes.beta.gouv.fr/57.128.61.120","443","OK","TLSv1.2   xc02f   ECDHE-RSA-AES128-GCM-SHA256       ECDH 253   AESGCM      128      TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256","",""
"cipher-tls1_2_xc030","api.cestquilepro.inserjeunes.beta.gouv.fr/57.128.61.120","443","OK","TLSv1.2   xc030   ECDHE-RSA-AES256-GCM-SHA384       ECDH 253   AESGCM      256      TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384","",""
