"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","armeflhor.fr/176.162.143.10","443","INFO","HTTP","",""
"pre_128cipher","armeflhor.fr/176.162.143.10","443","MEDIUM","128 cipher limit bug","",""
"SSLv2","armeflhor.fr/176.162.143.10","443","OK","not offered","",""
"SSLv3","armeflhor.fr/176.162.143.10","443","OK","not offered","",""
"TLS1","armeflhor.fr/176.162.143.10","443","INFO","not offered","",""
"TLS1_1","armeflhor.fr/176.162.143.10","443","INFO","not offered","",""
"TLS1_2","armeflhor.fr/176.162.143.10","443","OK","offered","",""
"TLS1_3","armeflhor.fr/176.162.143.10","443","CRITICAL","connection failed rather than downgrading to TLSv1.2","",""
"NPN","armeflhor.fr/176.162.143.10","443","INFO","not offered","",""
"ALPN","armeflhor.fr/176.162.143.10","443","INFO","http/1.1","",""
"cipherlist_NULL","armeflhor.fr/176.162.143.10","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","armeflhor.fr/176.162.143.10","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","armeflhor.fr/176.162.143.10","443","OK","not offered","","CWE-327"
"cipherlist_LOW","armeflhor.fr/176.162.143.10","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","armeflhor.fr/176.162.143.10","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","armeflhor.fr/176.162.143.10","443","LOW","offered","","CWE-310"
"cipherlist_STRONG_NOFS","armeflhor.fr/176.162.143.10","443","INFO","not offered","",""
"cipherlist_STRONG_FS","armeflhor.fr/176.162.143.10","443","MEDIUM","not offered","",""
"cipher_order","armeflhor.fr/176.162.143.10","443","OK","server","",""
"FS","armeflhor.fr/176.162.143.10","443","MEDIUM","No ciphers supporting Forward Secrecy offered","",""
"TLS_extensions","armeflhor.fr/176.162.143.10","443","INFO","'server name/#0' 'max fragment length/#1' 'application layer protocol negotiation/#16' 'extended master secret/#23' 'session ticket/#35' 'renegotiation info/#65281'","",""
"TLS_session_ticket","armeflhor.fr/176.162.143.10","443","INFO","no -- no lifetime advertised","",""
"SSL_sessionID_support","armeflhor.fr/176.162.143.10","443","INFO","yes","",""
"sessionresumption_ticket","armeflhor.fr/176.162.143.10","443","INFO","not supported","",""
"sessionresumption_ID","armeflhor.fr/176.162.143.10","443","WARN","check failed because of connect problem","",""
"TLS_timestamp","armeflhor.fr/176.162.143.10","443","INFO","random","",""
"cert_compression","armeflhor.fr/176.162.143.10","443","INFO","N/A","",""
"clientAuth","armeflhor.fr/176.162.143.10","443","INFO","none","",""
"scanProblem","armeflhor.fr/176.162.143.10","443","WARN","Client problem, shouldn't happen: Host certificate found but we can't continue with 'server defaults'.","",""
"cert_numbers","armeflhor.fr/176.162.143.10","443","INFO","0","",""
"HTTP_status_code","armeflhor.fr/176.162.143.10","443","WARN","HTTP header request failed","",""
"scanProblem","armeflhor.fr/176.162.143.10","443","WARN","HTTP header was repeatedly zero.","",""
"heartbleed","armeflhor.fr/176.162.143.10","443","OK","not vulnerable, no heartbeat extension","CVE-2014-0160","CWE-119"
"CCS","armeflhor.fr/176.162.143.10","443","OK","not vulnerable","CVE-2014-0224","CWE-310"
"ticketbleed","armeflhor.fr/176.162.143.10","443","WARN","/home/testssl/bin/openssl.Linux.x86_64 unable to connect to 176.162.143.10:443 when testing for ticketbleed.","",""
"ROBOT","armeflhor.fr/176.162.143.10","443","WARN","Conversion of public key failed around line 20512","",""
"secure_renego","armeflhor.fr/176.162.143.10","443","OK","supported","","CWE-310"
"secure_client_renego","armeflhor.fr/176.162.143.10","443","OK","not vulnerable","CVE-2011-1473","CWE-310"
"CRIME_TLS","armeflhor.fr/176.162.143.10","443","WARN","Check failed, couldn't connect","CVE-2012-4929","CWE-310"
