"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","archive.cnsad.psl.eu/185.69.249.197","443","INFO","HTTP","",""
"pre_128cipher","archive.cnsad.psl.eu/185.69.249.197","443","INFO","No 128 cipher limit bug","",""
"SSLv2","archive.cnsad.psl.eu/185.69.249.197","443","OK","not offered","",""
"SSLv3","archive.cnsad.psl.eu/185.69.249.197","443","OK","not offered","",""
"TLS1","archive.cnsad.psl.eu/185.69.249.197","443","LOW","offered (deprecated)","",""
"TLS1_1","archive.cnsad.psl.eu/185.69.249.197","443","LOW","offered (deprecated)","",""
"TLS1_2","archive.cnsad.psl.eu/185.69.249.197","443","OK","offered","",""
"TLS1_3","archive.cnsad.psl.eu/185.69.249.197","443","INFO","not offered + downgraded to weaker protocol","",""
"NPN","archive.cnsad.psl.eu/185.69.249.197","443","INFO","not offered","",""
"ALPN","archive.cnsad.psl.eu/185.69.249.197","443","INFO","http/1.1","",""
"cipherlist_NULL","archive.cnsad.psl.eu/185.69.249.197","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","archive.cnsad.psl.eu/185.69.249.197","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","archive.cnsad.psl.eu/185.69.249.197","443","OK","not offered","","CWE-327"
"cipherlist_LOW","archive.cnsad.psl.eu/185.69.249.197","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","archive.cnsad.psl.eu/185.69.249.197","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","archive.cnsad.psl.eu/185.69.249.197","443","LOW","offered","","CWE-310"
"cipherlist_STRONG_NOFS","archive.cnsad.psl.eu/185.69.249.197","443","OK","offered","",""
"cipherlist_STRONG_FS","archive.cnsad.psl.eu/185.69.249.197","443","OK","offered","",""
"cipher_order-tls1","archive.cnsad.psl.eu/185.69.249.197","443","OK","server","",""
"cipher-tls1_xc013","archive.cnsad.psl.eu/185.69.249.197","443","LOW","TLSv1   xc013   ECDHE-RSA-AES128-SHA              ECDH 256   AES         128      TLS_ECDHE_RSA_WITH_AES_128_CBC_SHA","",""
"cipher-tls1_xc014","archive.cnsad.psl.eu/185.69.249.197","443","LOW","TLSv1   xc014   ECDHE-RSA-AES256-SHA              ECDH 256   AES         256      TLS_ECDHE_RSA_WITH_AES_256_CBC_SHA","",""
"cipher-tls1_x33","archive.cnsad.psl.eu/185.69.249.197","443","LOW","TLSv1   x33     DHE-RSA-AES128-SHA                DH 2048    AES         128      TLS_DHE_RSA_WITH_AES_128_CBC_SHA","",""
"cipher-tls1_x39","archive.cnsad.psl.eu/185.69.249.197","443","LOW","TLSv1   x39     DHE-RSA-AES256-SHA                DH 2048    AES         256      TLS_DHE_RSA_WITH_AES_256_CBC_SHA","",""
"cipher-tls1_x2f","archive.cnsad.psl.eu/185.69.249.197","443","LOW","TLSv1   x2f     AES128-SHA                        RSA        AES         128      TLS_RSA_WITH_AES_128_CBC_SHA","",""
"cipher-tls1_x35","archive.cnsad.psl.eu/185.69.249.197","443","LOW","TLSv1   x35     AES256-SHA                        RSA        AES         256      TLS_RSA_WITH_AES_256_CBC_SHA","",""
