"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","autoecole.ants.gouv.fr/66.22.32.215","443","INFO","HTTP","",""
"pre_128cipher","autoecole.ants.gouv.fr/66.22.32.215","443","INFO","No 128 cipher limit bug","",""
"SSLv2","autoecole.ants.gouv.fr/66.22.32.215","443","OK","not offered","",""
"SSLv3","autoecole.ants.gouv.fr/66.22.32.215","443","OK","not offered","",""
"TLS1","autoecole.ants.gouv.fr/66.22.32.215","443","INFO","not offered","",""
"TLS1_1","autoecole.ants.gouv.fr/66.22.32.215","443","INFO","not offered","",""
"TLS1_2","autoecole.ants.gouv.fr/66.22.32.215","443","OK","offered","",""
"TLS1_3","autoecole.ants.gouv.fr/66.22.32.215","443","OK","offered with final","",""
"NPN","autoecole.ants.gouv.fr/66.22.32.215","443","INFO","not offered","",""
"ALPN_HTTP2","autoecole.ants.gouv.fr/66.22.32.215","443","OK","h2","",""
"ALPN","autoecole.ants.gouv.fr/66.22.32.215","443","INFO","http/1.1","",""
"cipherlist_NULL","autoecole.ants.gouv.fr/66.22.32.215","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","autoecole.ants.gouv.fr/66.22.32.215","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","autoecole.ants.gouv.fr/66.22.32.215","443","OK","not offered","","CWE-327"
"cipherlist_LOW","autoecole.ants.gouv.fr/66.22.32.215","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","autoecole.ants.gouv.fr/66.22.32.215","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","autoecole.ants.gouv.fr/66.22.32.215","443","LOW","offered","","CWE-310"
"cipherlist_STRONG_NOFS","autoecole.ants.gouv.fr/66.22.32.215","443","INFO","not offered","",""
"cipherlist_STRONG_FS","autoecole.ants.gouv.fr/66.22.32.215","443","OK","offered","",""
"cipher_order-tls1_2","autoecole.ants.gouv.fr/66.22.32.215","443","OK","server","",""
