"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","bafa-bafd.jeunes.gouv.fr/37.235.93.88","443","INFO","HTTP","",""
"pre_128cipher","bafa-bafd.jeunes.gouv.fr/37.235.93.88","443","INFO","No 128 cipher limit bug","",""
"SSLv2","bafa-bafd.jeunes.gouv.fr/37.235.93.88","443","OK","not offered","",""
"SSLv3","bafa-bafd.jeunes.gouv.fr/37.235.93.88","443","OK","not offered","",""
"TLS1","bafa-bafd.jeunes.gouv.fr/37.235.93.88","443","INFO","not offered","",""
"TLS1_1","bafa-bafd.jeunes.gouv.fr/37.235.93.88","443","INFO","not offered","",""
"TLS1_2","bafa-bafd.jeunes.gouv.fr/37.235.93.88","443","OK","offered","",""
"TLS1_3","bafa-bafd.jeunes.gouv.fr/37.235.93.88","443","OK","offered with final","",""
"NPN","bafa-bafd.jeunes.gouv.fr/37.235.93.88","443","INFO","not offered","",""
"ALPN","bafa-bafd.jeunes.gouv.fr/37.235.93.88","443","INFO","not offered","",""
"cipherlist_NULL","bafa-bafd.jeunes.gouv.fr/37.235.93.88","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","bafa-bafd.jeunes.gouv.fr/37.235.93.88","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","bafa-bafd.jeunes.gouv.fr/37.235.93.88","443","OK","not offered","","CWE-327"
"cipherlist_LOW","bafa-bafd.jeunes.gouv.fr/37.235.93.88","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","bafa-bafd.jeunes.gouv.fr/37.235.93.88","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","bafa-bafd.jeunes.gouv.fr/37.235.93.88","443","LOW","offered","","CWE-310"
"cipherlist_STRONG_NOFS","bafa-bafd.jeunes.gouv.fr/37.235.93.88","443","INFO","not offered","",""
"cipherlist_STRONG_FS","bafa-bafd.jeunes.gouv.fr/37.235.93.88","443","OK","offered","",""
"cipher_order-tls1_2","bafa-bafd.jeunes.gouv.fr/37.235.93.88","443","OK","server -- server prioritizes ChaCha ciphers when preferred by clients","",""
"cipher-tls1_2_xc02c","bafa-bafd.jeunes.gouv.fr/37.235.93.88","443","OK","TLSv1.2   xc02c   ECDHE-ECDSA-AES256-GCM-SHA384     ECDH 253   AESGCM      256      TLS_ECDHE_ECDSA_WITH_AES_256_GCM_SHA384","",""
"cipher-tls1_2_xcca9","bafa-bafd.jeunes.gouv.fr/37.235.93.88","443","OK","TLSv1.2   xcca9   ECDHE-ECDSA-CHACHA20-POLY1305     ECDH 253   ChaCha20    256      TLS_ECDHE_ECDSA_WITH_CHACHA20_POLY1305_SHA256","",""
"cipher-tls1_2_xc0ad","bafa-bafd.jeunes.gouv.fr/37.235.93.88","443","OK","TLSv1.2   xc0ad   ECDHE-ECDSA-AES256-CCM            ECDH 253   AESCCM      256      TLS_ECDHE_ECDSA_WITH_AES_256_CCM","",""
"cipher-tls1_2_xc02b","bafa-bafd.jeunes.gouv.fr/37.235.93.88","443","OK","TLSv1.2   xc02b   ECDHE-ECDSA-AES128-GCM-SHA256     ECDH 253   AESGCM      128      TLS_ECDHE_ECDSA_WITH_AES_128_GCM_SHA256","",""
"cipher-tls1_2_xc0ac","bafa-bafd.jeunes.gouv.fr/37.235.93.88","443","OK","TLSv1.2   xc0ac   ECDHE-ECDSA-AES128-CCM            ECDH 253   AESCCM      128      TLS_ECDHE_ECDSA_WITH_AES_128_CCM","",""
"cipher-tls1_2_xc023","bafa-bafd.jeunes.gouv.fr/37.235.93.88","443","LOW","TLSv1.2   xc023   ECDHE-ECDSA-AES128-SHA256         ECDH 253   AES         128      TLS_ECDHE_ECDSA_WITH_AES_128_CBC_SHA256","",""
"cipher-tls1_2_xc00a","bafa-bafd.jeunes.gouv.fr/37.235.93.88","443","LOW","TLSv1.2   xc00a   ECDHE-ECDSA-AES256-SHA            ECDH 253   AES         256      TLS_ECDHE_ECDSA_WITH_AES_256_CBC_SHA","",""
"cipher-tls1_2_xc009","bafa-bafd.jeunes.gouv.fr/37.235.93.88","443","LOW","TLSv1.2   xc009   ECDHE-ECDSA-AES128-SHA            ECDH 253   AES         128      TLS_ECDHE_ECDSA_WITH_AES_128_CBC_SHA","",""
