"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","boutique.marinenationale.gouv.fr/23.227.38.74","443","INFO","HTTP","",""
"pre_128cipher","boutique.marinenationale.gouv.fr/23.227.38.74","443","INFO","No 128 cipher limit bug","",""
"SSLv2","boutique.marinenationale.gouv.fr/23.227.38.74","443","OK","not offered","",""
"SSLv3","boutique.marinenationale.gouv.fr/23.227.38.74","443","OK","not offered","",""
"TLS1","boutique.marinenationale.gouv.fr/23.227.38.74","443","INFO","not offered","",""
"TLS1_1","boutique.marinenationale.gouv.fr/23.227.38.74","443","INFO","not offered","",""
"TLS1_2","boutique.marinenationale.gouv.fr/23.227.38.74","443","OK","offered","",""
"TLS1_3","boutique.marinenationale.gouv.fr/23.227.38.74","443","OK","offered with final","",""
"NPN","boutique.marinenationale.gouv.fr/23.227.38.74","443","INFO","offered with h2, http/1.1 (advertised)","",""
"ALPN_HTTP2","boutique.marinenationale.gouv.fr/23.227.38.74","443","OK","h2","",""
"ALPN","boutique.marinenationale.gouv.fr/23.227.38.74","443","INFO","http/1.1","",""
"cipherlist_NULL","boutique.marinenationale.gouv.fr/23.227.38.74","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","boutique.marinenationale.gouv.fr/23.227.38.74","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","boutique.marinenationale.gouv.fr/23.227.38.74","443","OK","not offered","","CWE-327"
"cipherlist_LOW","boutique.marinenationale.gouv.fr/23.227.38.74","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","boutique.marinenationale.gouv.fr/23.227.38.74","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","boutique.marinenationale.gouv.fr/23.227.38.74","443","LOW","offered","","CWE-310"
"cipherlist_STRONG_NOFS","boutique.marinenationale.gouv.fr/23.227.38.74","443","INFO","not offered","",""
"cipherlist_STRONG_FS","boutique.marinenationale.gouv.fr/23.227.38.74","443","OK","offered","",""
"cipher_order-tls1_2","boutique.marinenationale.gouv.fr/23.227.38.74","443","OK","server","",""
"cipher-tls1_2_xc02b","boutique.marinenationale.gouv.fr/23.227.38.74","443","OK","TLSv1.2   xc02b   ECDHE-ECDSA-AES128-GCM-SHA256     ECDH 253   AESGCM      128      TLS_ECDHE_ECDSA_WITH_AES_128_GCM_SHA256","",""
"cipher-tls1_2_xcca9","boutique.marinenationale.gouv.fr/23.227.38.74","443","OK","TLSv1.2   xcca9   ECDHE-ECDSA-CHACHA20-POLY1305     ECDH 253   ChaCha20    256      TLS_ECDHE_ECDSA_WITH_CHACHA20_POLY1305_SHA256","",""
"cipher-tls1_2_xc02c","boutique.marinenationale.gouv.fr/23.227.38.74","443","OK","TLSv1.2   xc02c   ECDHE-ECDSA-AES256-GCM-SHA384     ECDH 253   AESGCM      256      TLS_ECDHE_ECDSA_WITH_AES_256_GCM_SHA384","",""
"cipher-tls1_2_xc023","boutique.marinenationale.gouv.fr/23.227.38.74","443","LOW","TLSv1.2   xc023   ECDHE-ECDSA-AES128-SHA256         ECDH 253   AES         128      TLS_ECDHE_ECDSA_WITH_AES_128_CBC_SHA256","",""
"cipher-tls1_2_xc024","boutique.marinenationale.gouv.fr/23.227.38.74","443","LOW","TLSv1.2   xc024   ECDHE-ECDSA-AES256-SHA384         ECDH 253   AES         256      TLS_ECDHE_ECDSA_WITH_AES_256_CBC_SHA384","",""
"cipherorder_TLSv1_2","boutique.marinenationale.gouv.fr/23.227.38.74","443","INFO","ECDHE-ECDSA-AES128-GCM-SHA256 ECDHE-ECDSA-CHACHA20-POLY1305 ECDHE-ECDSA-AES256-GCM-SHA384 ECDHE-ECDSA-AES128-SHA256 ECDHE-ECDSA-AES256-SHA384","",""
"prioritize_chacha_TLSv1_2","boutique.marinenationale.gouv.fr/23.227.38.74","443","INFO","false","",""
"cipher_order-tls1_3","boutique.marinenationale.gouv.fr/23.227.38.74","443","INFO","NOT a cipher order configured","",""
"cipher-tls1_3_x1302","boutique.marinenationale.gouv.fr/23.227.38.74","443","OK","TLSv1.3   x1302   TLS_AES_256_GCM_SHA384            ECDH/MLKEM AESGCM      256      TLS_AES_256_GCM_SHA384","",""
