"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","cadastre.gouv.fr/145.242.11.58","443","INFO","HTTP","",""
"pre_128cipher","cadastre.gouv.fr/145.242.11.58","443","INFO","No 128 cipher limit bug","",""
"SSLv2","cadastre.gouv.fr/145.242.11.58","443","OK","not offered","",""
"SSLv3","cadastre.gouv.fr/145.242.11.58","443","OK","not offered","",""
"TLS1","cadastre.gouv.fr/145.242.11.58","443","INFO","not offered","",""
"TLS1_1","cadastre.gouv.fr/145.242.11.58","443","INFO","not offered","",""
"TLS1_2","cadastre.gouv.fr/145.242.11.58","443","OK","offered","",""
"TLS1_3","cadastre.gouv.fr/145.242.11.58","443","INFO","not offered + downgraded to weaker protocol","",""
"NPN","cadastre.gouv.fr/145.242.11.58","443","INFO","not offered","",""
"ALPN","cadastre.gouv.fr/145.242.11.58","443","INFO","not offered","",""
"cipherlist_NULL","cadastre.gouv.fr/145.242.11.58","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","cadastre.gouv.fr/145.242.11.58","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","cadastre.gouv.fr/145.242.11.58","443","OK","not offered","","CWE-327"
"cipherlist_LOW","cadastre.gouv.fr/145.242.11.58","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","cadastre.gouv.fr/145.242.11.58","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","cadastre.gouv.fr/145.242.11.58","443","LOW","offered","","CWE-310"
"cipherlist_STRONG_NOFS","cadastre.gouv.fr/145.242.11.58","443","INFO","not offered","",""
"cipherlist_STRONG_FS","cadastre.gouv.fr/145.242.11.58","443","OK","offered","",""
"cipher_order-tls1_2","cadastre.gouv.fr/145.242.11.58","443","OK","server","",""
"cipher-tls1_2_xc030","cadastre.gouv.fr/145.242.11.58","443","OK","TLSv1.2   xc030   ECDHE-RSA-AES256-GCM-SHA384       ECDH 256   AESGCM      256      TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384","",""
"cipher-tls1_2_xc02f","cadastre.gouv.fr/145.242.11.58","443","OK","TLSv1.2   xc02f   ECDHE-RSA-AES128-GCM-SHA256       ECDH 256   AESGCM      128      TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256","",""
"cipher-tls1_2_xc028","cadastre.gouv.fr/145.242.11.58","443","LOW","TLSv1.2   xc028   ECDHE-RSA-AES256-SHA384           ECDH 256   AES         256      TLS_ECDHE_RSA_WITH_AES_256_CBC_SHA384","",""
"cipher-tls1_2_xc027","cadastre.gouv.fr/145.242.11.58","443","LOW","TLSv1.2   xc027   ECDHE-RSA-AES128-SHA256           ECDH 256   AES         128      TLS_ECDHE_RSA_WITH_AES_128_CBC_SHA256","",""
"cipher-tls1_2_x9e","cadastre.gouv.fr/145.242.11.58","443","OK","TLSv1.2   x9e     DHE-RSA-AES128-GCM-SHA256         DH 2048    AESGCM      128      TLS_DHE_RSA_WITH_AES_128_GCM_SHA256","",""
"cipher-tls1_2_x9f","cadastre.gouv.fr/145.242.11.58","443","OK","TLSv1.2   x9f     DHE-RSA-AES256-GCM-SHA384         DH 2048    AESGCM      256      TLS_DHE_RSA_WITH_AES_256_GCM_SHA384","",""
"cipher-tls1_2_x67","cadastre.gouv.fr/145.242.11.58","443","LOW","TLSv1.2   x67     DHE-RSA-AES128-SHA256             DH 2048    AES         128      TLS_DHE_RSA_WITH_AES_128_CBC_SHA256","",""
"cipher-tls1_2_x6b","cadastre.gouv.fr/145.242.11.58","443","LOW","TLSv1.2   x6b     DHE-RSA-AES256-SHA256             DH 2048    AES         256      TLS_DHE_RSA_WITH_AES_256_CBC_SHA256","",""
"cipherorder_TLSv1_2","cadastre.gouv.fr/145.242.11.58","443","INFO","ECDHE-RSA-AES256-GCM-SHA384 ECDHE-RSA-AES128-GCM-SHA256 ECDHE-RSA-AES256-SHA384 ECDHE-RSA-AES128-SHA256 DHE-RSA-AES128-GCM-SHA256 DHE-RSA-AES256-GCM-SHA384 DHE-RSA-AES128-SHA256 DHE-RSA-AES256-SHA256","",""
"cipher_order","cadastre.gouv.fr/145.242.11.58","443","OK","server","",""
"FS","cadastre.gouv.fr/145.242.11.58","443","OK","offered","",""
"FS_ciphers","cadastre.gouv.fr/145.242.11.58","443","INFO","ECDHE-RSA-AES256-GCM-SHA384 ECDHE-RSA-AES256-SHA384 DHE-RSA-AES256-GCM-SHA384 DHE-RSA-AES256-SHA256 ECDHE-RSA-AES128-GCM-SHA256 ECDHE-RSA-AES128-SHA256 DHE-RSA-AES128-GCM-SHA256 DHE-RSA-AES128-SHA256","",""
"FS_ECDHE_curves","cadastre.gouv.fr/145.242.11.58","443","OK","secp256k1 prime256v1 secp384r1 secp521r1","",""
"DH_groups","cadastre.gouv.fr/145.242.11.58","443","OK","RFC3526/Oakley Group 14","",""
"FS_TLS12_sig_algs","cadastre.gouv.fr/145.242.11.58","443","LOW","RSA+SHA512 RSA+SHA384 RSA+SHA256 RSA+SHA224 RSA+SHA1","",""
"TLS_extensions","cadastre.gouv.fr/145.242.11.58","443","INFO","'server name/#0' 'EC point formats/#11' 'heartbeat/#15' 'session ticket/#35' 'renegotiation info/#65281'","",""
"TLS_session_ticket","cadastre.gouv.fr/145.242.11.58","443","INFO","valid for 7200 seconds only (<daily)","",""
"SSL_sessionID_support","cadastre.gouv.fr/145.242.11.58","443","INFO","yes","",""
"sessionresumption_ticket","cadastre.gouv.fr/145.242.11.58","443","INFO","not supported","",""
"sessionresumption_ID","cadastre.gouv.fr/145.242.11.58","443","INFO","supported","",""
"TLS_timestamp","cadastre.gouv.fr/145.242.11.58","443","INFO","random","",""
"cert_compression","cadastre.gouv.fr/145.242.11.58","443","INFO","N/A","",""
"clientAuth","cadastre.gouv.fr/145.242.11.58","443","INFO","none","",""
"cert_numbers","cadastre.gouv.fr/145.242.11.58","443","INFO","1","",""
"cert_signatureAlgorithm","cadastre.gouv.fr/145.242.11.58","443","OK","SHA256 with RSA","",""
"cert_keySize","cadastre.gouv.fr/145.242.11.58","443","INFO","RSA 2048 bits (exponent is 65537)","",""
"cert_keyUsage","cadastre.gouv.fr/145.242.11.58","443","INFO","Digital Signature, Key Encipherment","",""
"cert_extKeyUsage","cadastre.gouv.fr/145.242.11.58","443","INFO","TLS Web Server Authentication","",""
"cert_serialNumber","cadastre.gouv.fr/145.242.11.58","443","INFO","733F95EE8F6550D7C6CDB4B6F4A0FE66","",""
"cert_serialNumberLen","cadastre.gouv.fr/145.242.11.58","443","INFO","16","",""
