"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","carto.aidantsconnect.beta.gouv.fr/185.199.110.153","443","INFO","HTTP","",""
"pre_128cipher","carto.aidantsconnect.beta.gouv.fr/185.199.110.153","443","INFO","No 128 cipher limit bug","",""
"SSLv2","carto.aidantsconnect.beta.gouv.fr/185.199.110.153","443","OK","not offered","",""
"SSLv3","carto.aidantsconnect.beta.gouv.fr/185.199.110.153","443","OK","not offered","",""
"TLS1","carto.aidantsconnect.beta.gouv.fr/185.199.110.153","443","INFO","not offered","",""
"TLS1_1","carto.aidantsconnect.beta.gouv.fr/185.199.110.153","443","INFO","not offered","",""
"TLS1_2","carto.aidantsconnect.beta.gouv.fr/185.199.110.153","443","OK","offered","",""
"TLS1_3","carto.aidantsconnect.beta.gouv.fr/185.199.110.153","443","OK","offered with final","",""
"NPN","carto.aidantsconnect.beta.gouv.fr/185.199.110.153","443","INFO","not offered","",""
"ALPN_HTTP2","carto.aidantsconnect.beta.gouv.fr/185.199.110.153","443","OK","h2","",""
"ALPN","carto.aidantsconnect.beta.gouv.fr/185.199.110.153","443","INFO","http/1.1","",""
"cipherlist_NULL","carto.aidantsconnect.beta.gouv.fr/185.199.110.153","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","carto.aidantsconnect.beta.gouv.fr/185.199.110.153","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","carto.aidantsconnect.beta.gouv.fr/185.199.110.153","443","OK","not offered","","CWE-327"
"cipherlist_LOW","carto.aidantsconnect.beta.gouv.fr/185.199.110.153","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","carto.aidantsconnect.beta.gouv.fr/185.199.110.153","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","carto.aidantsconnect.beta.gouv.fr/185.199.110.153","443","LOW","offered","","CWE-310"
"cipherlist_STRONG_NOFS","carto.aidantsconnect.beta.gouv.fr/185.199.110.153","443","OK","offered","",""
"cipherlist_STRONG_FS","carto.aidantsconnect.beta.gouv.fr/185.199.110.153","443","OK","offered","",""
