"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","cheminsdememoire.gouv.fr/45.60.12.211","443","DEBUG","Couldn't determine service, skipping all HTTP checks","",""
"pre_128cipher","cheminsdememoire.gouv.fr/45.60.12.211","443","INFO","No 128 cipher limit bug","",""
"SSLv2","cheminsdememoire.gouv.fr/45.60.12.211","443","OK","not offered","",""
"SSLv3","cheminsdememoire.gouv.fr/45.60.12.211","443","OK","not offered","",""
"TLS1","cheminsdememoire.gouv.fr/45.60.12.211","443","INFO","not offered","",""
"TLS1_1","cheminsdememoire.gouv.fr/45.60.12.211","443","INFO","not offered","",""
"TLS1_2","cheminsdememoire.gouv.fr/45.60.12.211","443","OK","offered","",""
"TLS1_3","cheminsdememoire.gouv.fr/45.60.12.211","443","OK","offered with final","",""
"ALPN","cheminsdememoire.gouv.fr/45.60.12.211","443","INFO","not offered","",""
"cipherlist_NULL","cheminsdememoire.gouv.fr/45.60.12.211","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","cheminsdememoire.gouv.fr/45.60.12.211","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","cheminsdememoire.gouv.fr/45.60.12.211","443","OK","not offered","","CWE-327"
"cipherlist_LOW","cheminsdememoire.gouv.fr/45.60.12.211","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","cheminsdememoire.gouv.fr/45.60.12.211","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","cheminsdememoire.gouv.fr/45.60.12.211","443","LOW","offered","","CWE-310"
"cipherlist_STRONG_NOFS","cheminsdememoire.gouv.fr/45.60.12.211","443","OK","offered","",""
"cipherlist_STRONG_FS","cheminsdememoire.gouv.fr/45.60.12.211","443","OK","offered","",""
"cipher_order-tls1_2","cheminsdememoire.gouv.fr/45.60.12.211","443","OK","server","",""
"cipherorder_TLSv1_2","cheminsdememoire.gouv.fr/45.60.12.211","443","INFO","ECDHE-RSA-AES128-GCM-SHA256","",""
"cipher_order","cheminsdememoire.gouv.fr/45.60.12.211","443","OK","server","",""
"FS","cheminsdememoire.gouv.fr/45.60.12.211","443","OK","offered","",""
"FS_ciphers","cheminsdememoire.gouv.fr/45.60.12.211","443","INFO","ECDHE-RSA-AES128-GCM-SHA256 ECDHE-RSA-AES128-SHA256 ECDHE-RSA-AES128-SHA ECDHE-RSA-AES256-GCM-SHA384 ECDHE-RSA-AES256-SHA384 ECDHE-RSA-AES256-SHA","",""
"FS_ECDHE_curves","cheminsdememoire.gouv.fr/45.60.12.211","443","OK","prime256v1 secp384r1 secp521r1","",""
"TLS_extensions","cheminsdememoire.gouv.fr/45.60.12.211","443","INFO","'renegotiation info/#65281' 'server name/#0' 'EC point formats/#11' 'session ticket/#35' 'status request/#5' 'next protocol/#13172' 'supported versions/#43' 'key share/#51' 'supported_groups/#10' 'max fragment length/#1' 'encrypt-then-mac/#22' 'extended master secret/#23'","",""
"TLS_session_ticket","cheminsdememoire.gouv.fr/45.60.12.211","443","INFO","valid for 7200 seconds only (<daily)","",""
"SSL_sessionID_support","cheminsdememoire.gouv.fr/45.60.12.211","443","INFO","yes","",""
"sessionresumption_ticket","cheminsdememoire.gouv.fr/45.60.12.211","443","INFO","supported","",""
"sessionresumption_ID","cheminsdememoire.gouv.fr/45.60.12.211","443","INFO","supported","",""
"TLS_timestamp","cheminsdememoire.gouv.fr/45.60.12.211","443","INFO","random","",""
"certificate_compression","cheminsdememoire.gouv.fr/45.60.12.211","443","INFO","none","",""
"clientAuth","cheminsdememoire.gouv.fr/45.60.12.211","443","INFO","none","",""
"cert_numbers","cheminsdememoire.gouv.fr/45.60.12.211","443","INFO","1","",""
"cert_signatureAlgorithm","cheminsdememoire.gouv.fr/45.60.12.211","443","OK","SHA256 with RSA","",""
"cert_keySize","cheminsdememoire.gouv.fr/45.60.12.211","443","INFO","RSA 2048 bits (exponent is 65537)","",""
"cert_keyUsage","cheminsdememoire.gouv.fr/45.60.12.211","443","INFO","Digital Signature, Key Encipherment","",""
"cert_extKeyUsage","cheminsdememoire.gouv.fr/45.60.12.211","443","INFO","TLS Web Server Authentication, TLS Web Client Authentication","",""
"cert_serialNumber","cheminsdememoire.gouv.fr/45.60.12.211","443","INFO","0137990B6105C7773DEE173DE969FBA7","",""
"cert_serialNumberLen","cheminsdememoire.gouv.fr/45.60.12.211","443","INFO","16","",""
"cert_fingerprintSHA1","cheminsdememoire.gouv.fr/45.60.12.211","443","INFO","023CCEE2AC50813FAE9472956815C29765DAE98A","",""
"cert_fingerprintSHA256","cheminsdememoire.gouv.fr/45.60.12.211","443","INFO","2600342AF9B4EAC0DAA7741074AE4A1C4FE6EA56CB75F64F886BF1458A883615","",""
