"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","colsbleus.defense.gouv.fr/185.24.185.2","443","INFO","HTTP","",""
"pre_128cipher","colsbleus.defense.gouv.fr/185.24.185.2","443","INFO","No 128 cipher limit bug","",""
"SSLv2","colsbleus.defense.gouv.fr/185.24.185.2","443","OK","not offered","",""
"SSLv3","colsbleus.defense.gouv.fr/185.24.185.2","443","OK","not offered","",""
"TLS1","colsbleus.defense.gouv.fr/185.24.185.2","443","INFO","not offered","",""
"TLS1_1","colsbleus.defense.gouv.fr/185.24.185.2","443","INFO","not offered","",""
"TLS1_2","colsbleus.defense.gouv.fr/185.24.185.2","443","OK","offered","",""
"TLS1_3","colsbleus.defense.gouv.fr/185.24.185.2","443","INFO","not offered + downgraded to weaker protocol","",""
"NPN","colsbleus.defense.gouv.fr/185.24.185.2","443","INFO","not offered","",""
"ALPN","colsbleus.defense.gouv.fr/185.24.185.2","443","INFO","not offered","",""
"cipherlist_NULL","colsbleus.defense.gouv.fr/185.24.185.2","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","colsbleus.defense.gouv.fr/185.24.185.2","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","colsbleus.defense.gouv.fr/185.24.185.2","443","OK","not offered","","CWE-327"
"cipherlist_LOW","colsbleus.defense.gouv.fr/185.24.185.2","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","colsbleus.defense.gouv.fr/185.24.185.2","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","colsbleus.defense.gouv.fr/185.24.185.2","443","INFO","not offered","","CWE-310"
"cipherlist_STRONG_NOFS","colsbleus.defense.gouv.fr/185.24.185.2","443","OK","offered","",""
"cipherlist_STRONG_FS","colsbleus.defense.gouv.fr/185.24.185.2","443","OK","offered","",""
"cipher_order-tls1_2","colsbleus.defense.gouv.fr/185.24.185.2","443","OK","server","",""
"cipher-tls1_2_xc02f","colsbleus.defense.gouv.fr/185.24.185.2","443","OK","TLSv1.2   xc02f   ECDHE-RSA-AES128-GCM-SHA256       ECDH 256   AESGCM      128      TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256","",""
"cipherorder_TLSv1_2","colsbleus.defense.gouv.fr/185.24.185.2","443","INFO","ECDHE-RSA-AES128-GCM-SHA256","",""
"cipher_order","colsbleus.defense.gouv.fr/185.24.185.2","443","OK","server","",""
"FS","colsbleus.defense.gouv.fr/185.24.185.2","443","OK","offered","",""
"FS_ciphers","colsbleus.defense.gouv.fr/185.24.185.2","443","INFO","ECDHE-RSA-AES128-GCM-SHA256","",""
"FS_ECDHE_curves","colsbleus.defense.gouv.fr/185.24.185.2","443","OK","prime256v1 secp384r1 X25519","",""
