"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","cordeesdelareussite.fr/213.91.3.170","443","INFO","HTTP","",""
"pre_128cipher","cordeesdelareussite.fr/213.91.3.170","443","INFO","No 128 cipher limit bug","",""
"SSLv2","cordeesdelareussite.fr/213.91.3.170","443","OK","not offered","",""
"SSLv3","cordeesdelareussite.fr/213.91.3.170","443","OK","not offered","",""
"TLS1","cordeesdelareussite.fr/213.91.3.170","443","INFO","not offered","",""
"TLS1_1","cordeesdelareussite.fr/213.91.3.170","443","INFO","not offered","",""
"TLS1_2","cordeesdelareussite.fr/213.91.3.170","443","OK","offered","",""
"TLS1_3","cordeesdelareussite.fr/213.91.3.170","443","OK","offered with final","",""
"NPN","cordeesdelareussite.fr/213.91.3.170","443","INFO","not offered","",""
"ALPN_HTTP2","cordeesdelareussite.fr/213.91.3.170","443","OK","h2","",""
"ALPN","cordeesdelareussite.fr/213.91.3.170","443","INFO","http/1.1","",""
"cipherlist_NULL","cordeesdelareussite.fr/213.91.3.170","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","cordeesdelareussite.fr/213.91.3.170","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","cordeesdelareussite.fr/213.91.3.170","443","OK","not offered","","CWE-327"
"cipherlist_LOW","cordeesdelareussite.fr/213.91.3.170","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","cordeesdelareussite.fr/213.91.3.170","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","cordeesdelareussite.fr/213.91.3.170","443","LOW","offered","","CWE-310"
"cipherlist_STRONG_NOFS","cordeesdelareussite.fr/213.91.3.170","443","INFO","not offered","",""
"cipherlist_STRONG_FS","cordeesdelareussite.fr/213.91.3.170","443","OK","offered","",""
"cipher_order-tls1_2","cordeesdelareussite.fr/213.91.3.170","443","OK","server","",""
"cipher-tls1_2_xc030","cordeesdelareussite.fr/213.91.3.170","443","OK","TLSv1.2   xc030   ECDHE-RSA-AES256-GCM-SHA384       ECDH 256   AESGCM      256      TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384","",""
"cipher-tls1_2_xc02f","cordeesdelareussite.fr/213.91.3.170","443","OK","TLSv1.2   xc02f   ECDHE-RSA-AES128-GCM-SHA256       ECDH 256   AESGCM      128      TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256","",""
"cipher-tls1_2_x9f","cordeesdelareussite.fr/213.91.3.170","443","OK","TLSv1.2   x9f     DHE-RSA-AES256-GCM-SHA384         DH 2048    AESGCM      256      TLS_DHE_RSA_WITH_AES_256_GCM_SHA384","",""
"cipher-tls1_2_x9e","cordeesdelareussite.fr/213.91.3.170","443","OK","TLSv1.2   x9e     DHE-RSA-AES128-GCM-SHA256         DH 2048    AESGCM      128      TLS_DHE_RSA_WITH_AES_128_GCM_SHA256","",""
"cipher-tls1_2_xc028","cordeesdelareussite.fr/213.91.3.170","443","LOW","TLSv1.2   xc028   ECDHE-RSA-AES256-SHA384           ECDH 256   AES         256      TLS_ECDHE_RSA_WITH_AES_256_CBC_SHA384","",""
"cipher-tls1_2_xc027","cordeesdelareussite.fr/213.91.3.170","443","LOW","TLSv1.2   xc027   ECDHE-RSA-AES128-SHA256           ECDH 256   AES         128      TLS_ECDHE_RSA_WITH_AES_128_CBC_SHA256","",""
"cipher-tls1_2_x67","cordeesdelareussite.fr/213.91.3.170","443","LOW","TLSv1.2   x67     DHE-RSA-AES128-SHA256             DH 2048    AES         128      TLS_DHE_RSA_WITH_AES_128_CBC_SHA256","",""
"cipherorder_TLSv1_2","cordeesdelareussite.fr/213.91.3.170","443","INFO","ECDHE-RSA-AES256-GCM-SHA384 ECDHE-RSA-AES128-GCM-SHA256 DHE-RSA-AES256-GCM-SHA384 DHE-RSA-AES128-GCM-SHA256 ECDHE-RSA-AES256-SHA384 ECDHE-RSA-AES128-SHA256 DHE-RSA-AES128-SHA256","",""
"cipher_order-tls1_3","cordeesdelareussite.fr/213.91.3.170","443","OK","server","",""
"cipher-tls1_3_x1302","cordeesdelareussite.fr/213.91.3.170","443","OK","TLSv1.3   x1302   TLS_AES_256_GCM_SHA384            ECDH 256   AESGCM      256      TLS_AES_256_GCM_SHA384","",""
"cipher-tls1_3_x1303","cordeesdelareussite.fr/213.91.3.170","443","OK","TLSv1.3   x1303   TLS_CHACHA20_POLY1305_SHA256      ECDH 256   ChaCha20    256      TLS_CHACHA20_POLY1305_SHA256","",""
"cipher-tls1_3_x1301","cordeesdelareussite.fr/213.91.3.170","443","OK","TLSv1.3   x1301   TLS_AES_128_GCM_SHA256            ECDH 256   AESGCM      128      TLS_AES_128_GCM_SHA256","",""
"cipherorder_TLSv1_3","cordeesdelareussite.fr/213.91.3.170","443","INFO","TLS_AES_256_GCM_SHA384 TLS_CHACHA20_POLY1305_SHA256 TLS_AES_128_GCM_SHA256","",""
"prioritize_chacha_TLSv1_3","cordeesdelareussite.fr/213.91.3.170","443","INFO","false","",""
"cipher_order","cordeesdelareussite.fr/213.91.3.170","443","OK","server","",""
"FS","cordeesdelareussite.fr/213.91.3.170","443","OK","offered","",""
"FS_ciphers","cordeesdelareussite.fr/213.91.3.170","443","INFO","TLS_AES_256_GCM_SHA384 TLS_CHACHA20_POLY1305_SHA256 ECDHE-RSA-AES256-GCM-SHA384 ECDHE-RSA-AES256-SHA384 DHE-RSA-AES256-GCM-SHA384 TLS_AES_128_GCM_SHA256 ECDHE-RSA-AES128-GCM-SHA256 ECDHE-RSA-AES128-SHA256 DHE-RSA-AES128-GCM-SHA256 DHE-RSA-AES128-SHA256","",""
"FS_ECDHE_curves","cordeesdelareussite.fr/213.91.3.170","443","OK","prime256v1","",""
"DH_groups","cordeesdelareussite.fr/213.91.3.170","443","OK","HAProxy","",""
"FS_TLS12_sig_algs","cordeesdelareussite.fr/213.91.3.170","443","LOW","RSA-PSS-RSAE+SHA512 RSA-PSS-RSAE+SHA384 RSA-PSS-RSAE+SHA256 RSA+SHA512 RSA+SHA384 RSA+SHA256 RSA+SHA1","",""
"FS_TLS13_sig_algs","cordeesdelareussite.fr/213.91.3.170","443","INFO","RSA-PSS-RSAE+SHA512 RSA-PSS-RSAE+SHA384 RSA-PSS-RSAE+SHA256","",""
"TLS_extensions","cordeesdelareussite.fr/213.91.3.170","443","INFO","'server name/#0' 'EC point formats/#11' 'application layer protocol negotiation/#16' 'session ticket/#35' 'supported versions/#43' 'key share/#51' 'renegotiation info/#65281'","",""
"TLS_session_ticket","cordeesdelareussite.fr/213.91.3.170","443","INFO","valid for 7200 seconds only (<daily)","",""
"SSL_sessionID_support","cordeesdelareussite.fr/213.91.3.170","443","INFO","yes","",""
"sessionresumption_ticket","cordeesdelareussite.fr/213.91.3.170","443","INFO","supported","",""
"sessionresumption_ID","cordeesdelareussite.fr/213.91.3.170","443","INFO","supported","",""
"TLS_timestamp","cordeesdelareussite.fr/213.91.3.170","443","INFO","random","",""
"certificate_compression","cordeesdelareussite.fr/213.91.3.170","443","INFO","none","",""
"clientAuth","cordeesdelareussite.fr/213.91.3.170","443","INFO","none","",""
"cert_numbers","cordeesdelareussite.fr/213.91.3.170","443","INFO","1","",""
"cert_signatureAlgorithm","cordeesdelareussite.fr/213.91.3.170","443","OK","SHA384 with RSA","",""
"cert_keySize","cordeesdelareussite.fr/213.91.3.170","443","OK","RSA 4096 bits (exponent is 65537)","",""
"cert_keyUsage","cordeesdelareussite.fr/213.91.3.170","443","INFO","Digital Signature, Key Encipherment","",""
"cert_extKeyUsage","cordeesdelareussite.fr/213.91.3.170","443","INFO","TLS Web Server Authentication, TLS Web Client Authentication","",""
"cert_serialNumber","cordeesdelareussite.fr/213.91.3.170","443","INFO","660AD6EDC5B90AD16C992843D3467C8D","",""
"cert_serialNumberLen","cordeesdelareussite.fr/213.91.3.170","443","INFO","16","",""
"cert_fingerprintSHA1","cordeesdelareussite.fr/213.91.3.170","443","INFO","9FC6A2931D1FD6F23B5607CAD788BA7E282E7BBB","",""
"cert_fingerprintSHA256","cordeesdelareussite.fr/213.91.3.170","443","INFO","9E8C64341262301AB678C8C752087C2D27C7C1F13D524B8C6B76258C61F1638D","",""
