"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","climfoot-project.eu/185.86.179.85","443","INFO","HTTP","",""
"pre_128cipher","climfoot-project.eu/185.86.179.85","443","INFO","No 128 cipher limit bug","",""
"SSLv2","climfoot-project.eu/185.86.179.85","443","OK","not offered","",""
"SSLv3","climfoot-project.eu/185.86.179.85","443","OK","not offered","",""
"TLS1","climfoot-project.eu/185.86.179.85","443","INFO","not offered","",""
"TLS1_1","climfoot-project.eu/185.86.179.85","443","INFO","not offered","",""
"TLS1_2","climfoot-project.eu/185.86.179.85","443","OK","offered","",""
"TLS1_3","climfoot-project.eu/185.86.179.85","443","INFO","not offered + downgraded to weaker protocol","",""
"NPN","climfoot-project.eu/185.86.179.85","443","INFO","not offered","",""
"ALPN","climfoot-project.eu/185.86.179.85","443","INFO","not offered","",""
"cipherlist_NULL","climfoot-project.eu/185.86.179.85","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","climfoot-project.eu/185.86.179.85","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","climfoot-project.eu/185.86.179.85","443","OK","not offered","","CWE-327"
"cipherlist_LOW","climfoot-project.eu/185.86.179.85","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","climfoot-project.eu/185.86.179.85","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","climfoot-project.eu/185.86.179.85","443","INFO","not offered","","CWE-310"
"cipherlist_STRONG_NOFS","climfoot-project.eu/185.86.179.85","443","INFO","not offered","",""
"cipherlist_STRONG_FS","climfoot-project.eu/185.86.179.85","443","OK","offered","",""
"cipher_order-tls1_2","climfoot-project.eu/185.86.179.85","443","INFO","NOT a cipher order configured","",""
"cipher-tls1_2_xc030","climfoot-project.eu/185.86.179.85","443","OK","TLSv1.2   xc030   ECDHE-RSA-AES256-GCM-SHA384       ECDH 521   AESGCM      256      TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384","",""
"cipher-tls1_2_x9f","climfoot-project.eu/185.86.179.85","443","OK","TLSv1.2   x9f     DHE-RSA-AES256-GCM-SHA384         DH 2048    AESGCM      256      TLS_DHE_RSA_WITH_AES_256_GCM_SHA384","",""
"cipher-tls1_2_xc02f","climfoot-project.eu/185.86.179.85","443","OK","TLSv1.2   xc02f   ECDHE-RSA-AES128-GCM-SHA256       ECDH 521   AESGCM      128      TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256","",""
"cipher-tls1_2_x9e","climfoot-project.eu/185.86.179.85","443","OK","TLSv1.2   x9e     DHE-RSA-AES128-GCM-SHA256         DH 2048    AESGCM      128      TLS_DHE_RSA_WITH_AES_128_GCM_SHA256","",""
"supportedciphers_TLSv1_2","climfoot-project.eu/185.86.179.85","443","INFO","ECDHE-RSA-AES256-GCM-SHA384 DHE-RSA-AES256-GCM-SHA384 ECDHE-RSA-AES128-GCM-SHA256 DHE-RSA-AES128-GCM-SHA256","",""
"cipher_order","climfoot-project.eu/185.86.179.85","443","INFO","NOT a server cipher order configured","",""
"FS","climfoot-project.eu/185.86.179.85","443","OK","offered","",""
"FS_ciphers","climfoot-project.eu/185.86.179.85","443","INFO","ECDHE-RSA-AES256-GCM-SHA384 DHE-RSA-AES256-GCM-SHA384 ECDHE-RSA-AES128-GCM-SHA256 DHE-RSA-AES128-GCM-SHA256","",""
"FS_ECDHE_curves","climfoot-project.eu/185.86.179.85","443","OK","secp256k1 prime256v1 secp384r1 secp521r1","",""
"DH_groups","climfoot-project.eu/185.86.179.85","443","OK","RFC3526/Oakley Group 14","",""
"FS_TLS12_sig_algs","climfoot-project.eu/185.86.179.85","443","LOW","RSA+SHA512 RSA+SHA384 RSA+SHA256 RSA+SHA224 RSA+SHA1","",""
"TLS_extensions","climfoot-project.eu/185.86.179.85","443","INFO","'server name/#0' 'EC point formats/#11' 'heartbeat/#15' 'session ticket/#35' 'renegotiation info/#65281'","",""
"TLS_session_ticket","climfoot-project.eu/185.86.179.85","443","INFO","valid for 7200 seconds only (<daily)","",""
"SSL_sessionID_support","climfoot-project.eu/185.86.179.85","443","INFO","yes","",""
"sessionresumption_ticket","climfoot-project.eu/185.86.179.85","443","INFO","supported","",""
"sessionresumption_ID","climfoot-project.eu/185.86.179.85","443","INFO","supported","",""
"TLS_timestamp","climfoot-project.eu/185.86.179.85","443","INFO","random","",""
"cert_compression","climfoot-project.eu/185.86.179.85","443","INFO","N/A","",""
"clientAuth","climfoot-project.eu/185.86.179.85","443","INFO","none","",""
"cert_numbers","climfoot-project.eu/185.86.179.85","443","INFO","1","",""
"cert_signatureAlgorithm","climfoot-project.eu/185.86.179.85","443","OK","SHA256 with RSA","",""
"cert_keySize","climfoot-project.eu/185.86.179.85","443","INFO","RSA 2048 bits (exponent is 65537)","",""
"cert_keyUsage","climfoot-project.eu/185.86.179.85","443","INFO","Digital Signature, Key Encipherment","",""
"cert_extKeyUsage","climfoot-project.eu/185.86.179.85","443","INFO","TLS Web Server Authentication, TLS Web Client Authentication","",""
"cert_serialNumber","climfoot-project.eu/185.86.179.85","443","INFO","0685DBC9755F24A0941BFE260E709FBF72D5","",""
"cert_serialNumberLen","climfoot-project.eu/185.86.179.85","443","INFO","18","",""
"cert_fingerprintSHA1","climfoot-project.eu/185.86.179.85","443","INFO","E3B5EA76912570C332AC285946ABE30F369C9247","",""
"cert_fingerprintSHA256","climfoot-project.eu/185.86.179.85","443","INFO","4D87D5E29CE0086053E2543CF667FD6CBC0F329C3D50A8D165237BD2EDE912FC","",""
