"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","clubinternational.ademe.fr/104.18.0.202","443","INFO","HTTP","",""
"pre_128cipher","clubinternational.ademe.fr/104.18.0.202","443","INFO","No 128 cipher limit bug","",""
"SSLv2","clubinternational.ademe.fr/104.18.0.202","443","OK","not offered","",""
"SSLv3","clubinternational.ademe.fr/104.18.0.202","443","OK","not offered","",""
"TLS1","clubinternational.ademe.fr/104.18.0.202","443","INFO","not offered","",""
"TLS1_1","clubinternational.ademe.fr/104.18.0.202","443","INFO","not offered","",""
"TLS1_2","clubinternational.ademe.fr/104.18.0.202","443","OK","offered","",""
"TLS1_3","clubinternational.ademe.fr/104.18.0.202","443","OK","offered with final","",""
"NPN","clubinternational.ademe.fr/104.18.0.202","443","INFO","offered with h2, http/1.1 (advertised)","",""
"ALPN_HTTP2","clubinternational.ademe.fr/104.18.0.202","443","OK","h2","",""
"ALPN","clubinternational.ademe.fr/104.18.0.202","443","INFO","http/1.1","",""
"cipherlist_NULL","clubinternational.ademe.fr/104.18.0.202","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","clubinternational.ademe.fr/104.18.0.202","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","clubinternational.ademe.fr/104.18.0.202","443","OK","not offered","","CWE-327"
"cipherlist_LOW","clubinternational.ademe.fr/104.18.0.202","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","clubinternational.ademe.fr/104.18.0.202","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","clubinternational.ademe.fr/104.18.0.202","443","LOW","offered","","CWE-310"
"cipherlist_STRONG_NOFS","clubinternational.ademe.fr/104.18.0.202","443","OK","offered","",""
"cipherlist_STRONG_FS","clubinternational.ademe.fr/104.18.0.202","443","OK","offered","",""
"cipher_order-tls1_2","clubinternational.ademe.fr/104.18.0.202","443","OK","server -- server prioritizes ChaCha ciphers when preferred by clients","",""
"cipher-tls1_2_xc02b","clubinternational.ademe.fr/104.18.0.202","443","OK","TLSv1.2   xc02b   ECDHE-ECDSA-AES128-GCM-SHA256     ECDH 253   AESGCM      128      TLS_ECDHE_ECDSA_WITH_AES_128_GCM_SHA256","",""
"cipher-tls1_2_xcca9","clubinternational.ademe.fr/104.18.0.202","443","OK","TLSv1.2   xcca9   ECDHE-ECDSA-CHACHA20-POLY1305     ECDH 253   ChaCha20    256      TLS_ECDHE_ECDSA_WITH_CHACHA20_POLY1305_SHA256","",""
"cipher-tls1_2_xc009","clubinternational.ademe.fr/104.18.0.202","443","LOW","TLSv1.2   xc009   ECDHE-ECDSA-AES128-SHA            ECDH 253   AES         128      TLS_ECDHE_ECDSA_WITH_AES_128_CBC_SHA","",""
"cipher-tls1_2_xc02c","clubinternational.ademe.fr/104.18.0.202","443","OK","TLSv1.2   xc02c   ECDHE-ECDSA-AES256-GCM-SHA384     ECDH 253   AESGCM      256      TLS_ECDHE_ECDSA_WITH_AES_256_GCM_SHA384","",""
"cipher-tls1_2_xc00a","clubinternational.ademe.fr/104.18.0.202","443","LOW","TLSv1.2   xc00a   ECDHE-ECDSA-AES256-SHA            ECDH 253   AES         256      TLS_ECDHE_ECDSA_WITH_AES_256_CBC_SHA","",""
"cipher-tls1_2_xc023","clubinternational.ademe.fr/104.18.0.202","443","LOW","TLSv1.2   xc023   ECDHE-ECDSA-AES128-SHA256         ECDH 253   AES         128      TLS_ECDHE_ECDSA_WITH_AES_128_CBC_SHA256","",""
"cipher-tls1_2_xc024","clubinternational.ademe.fr/104.18.0.202","443","LOW","TLSv1.2   xc024   ECDHE-ECDSA-AES256-SHA384         ECDH 253   AES         256      TLS_ECDHE_ECDSA_WITH_AES_256_CBC_SHA384","",""
