"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","cnaparis.com/213.186.33.2","443","INFO","HTTP","",""
"pre_128cipher","cnaparis.com/213.186.33.2","443","INFO","No 128 cipher limit bug","",""
"SSLv2","cnaparis.com/213.186.33.2","443","OK","not offered","",""
"SSLv3","cnaparis.com/213.186.33.2","443","OK","not offered","",""
"TLS1","cnaparis.com/213.186.33.2","443","INFO","not offered","",""
"TLS1_1","cnaparis.com/213.186.33.2","443","INFO","not offered","",""
"TLS1_2","cnaparis.com/213.186.33.2","443","OK","offered","",""
"TLS1_3","cnaparis.com/213.186.33.2","443","OK","offered with final","",""
"NPN","cnaparis.com/213.186.33.2","443","INFO","not offered","",""
"ALPN_HTTP2","cnaparis.com/213.186.33.2","443","OK","h2","",""
"cipherlist_NULL","cnaparis.com/213.186.33.2","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","cnaparis.com/213.186.33.2","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","cnaparis.com/213.186.33.2","443","OK","not offered","","CWE-327"
"cipherlist_LOW","cnaparis.com/213.186.33.2","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","cnaparis.com/213.186.33.2","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","cnaparis.com/213.186.33.2","443","LOW","offered","","CWE-310"
"cipherlist_STRONG_NOFS","cnaparis.com/213.186.33.2","443","INFO","not offered","",""
"cipherlist_STRONG_FS","cnaparis.com/213.186.33.2","443","OK","offered","",""
"cipher_order-tls1_2","cnaparis.com/213.186.33.2","443","OK","server -- server prioritizes ChaCha ciphers when preferred by clients","",""
"cipher-tls1_2_xc02c","cnaparis.com/213.186.33.2","443","OK","TLSv1.2   xc02c   ECDHE-ECDSA-AES256-GCM-SHA384     ECDH 253   AESGCM      256      TLS_ECDHE_ECDSA_WITH_AES_256_GCM_SHA384","",""
"cipher-tls1_2_xcca9","cnaparis.com/213.186.33.2","443","OK","TLSv1.2   xcca9   ECDHE-ECDSA-CHACHA20-POLY1305     ECDH 253   ChaCha20    256      TLS_ECDHE_ECDSA_WITH_CHACHA20_POLY1305_SHA256","",""
"cipher-tls1_2_xc02b","cnaparis.com/213.186.33.2","443","OK","TLSv1.2   xc02b   ECDHE-ECDSA-AES128-GCM-SHA256     ECDH 253   AESGCM      128      TLS_ECDHE_ECDSA_WITH_AES_128_GCM_SHA256","",""
"cipher-tls1_2_xc024","cnaparis.com/213.186.33.2","443","LOW","TLSv1.2   xc024   ECDHE-ECDSA-AES256-SHA384         ECDH 253   AES         256      TLS_ECDHE_ECDSA_WITH_AES_256_CBC_SHA384","",""
"cipher-tls1_2_xc023","cnaparis.com/213.186.33.2","443","LOW","TLSv1.2   xc023   ECDHE-ECDSA-AES128-SHA256         ECDH 253   AES         128      TLS_ECDHE_ECDSA_WITH_AES_128_CBC_SHA256","",""
