"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","dcl.education.gouv.fr/185.75.143.22","443","INFO","HTTP","",""
"pre_128cipher","dcl.education.gouv.fr/185.75.143.22","443","INFO","No 128 cipher limit bug","",""
"SSLv2","dcl.education.gouv.fr/185.75.143.22","443","OK","not offered","",""
"SSLv3","dcl.education.gouv.fr/185.75.143.22","443","OK","not offered","",""
"TLS1","dcl.education.gouv.fr/185.75.143.22","443","INFO","not offered","",""
"TLS1_1","dcl.education.gouv.fr/185.75.143.22","443","INFO","not offered","",""
"TLS1_2","dcl.education.gouv.fr/185.75.143.22","443","OK","offered","",""
"TLS1_3","dcl.education.gouv.fr/185.75.143.22","443","INFO","not offered + downgraded to weaker protocol","",""
"NPN","dcl.education.gouv.fr/185.75.143.22","443","INFO","not offered","",""
"ALPN_HTTP2","dcl.education.gouv.fr/185.75.143.22","443","OK","h2","",""
"ALPN","dcl.education.gouv.fr/185.75.143.22","443","INFO","http/1.1","",""
"cipherlist_NULL","dcl.education.gouv.fr/185.75.143.22","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","dcl.education.gouv.fr/185.75.143.22","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","dcl.education.gouv.fr/185.75.143.22","443","OK","not offered","","CWE-327"
"cipherlist_LOW","dcl.education.gouv.fr/185.75.143.22","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","dcl.education.gouv.fr/185.75.143.22","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","dcl.education.gouv.fr/185.75.143.22","443","LOW","offered","","CWE-310"
"cipherlist_STRONG_NOFS","dcl.education.gouv.fr/185.75.143.22","443","OK","offered","",""
"cipherlist_STRONG_FS","dcl.education.gouv.fr/185.75.143.22","443","OK","offered","",""
"cipher_order-tls1_2","dcl.education.gouv.fr/185.75.143.22","443","OK","server","",""
"cipher-tls1_2_xc030","dcl.education.gouv.fr/185.75.143.22","443","OK","TLSv1.2   xc030   ECDHE-RSA-AES256-GCM-SHA384       ECDH 384   AESGCM      256      TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384","",""
"cipher-tls1_2_xc028","dcl.education.gouv.fr/185.75.143.22","443","LOW","TLSv1.2   xc028   ECDHE-RSA-AES256-SHA384           ECDH 384   AES         256      TLS_ECDHE_RSA_WITH_AES_256_CBC_SHA384","",""
"cipherorder_TLSv1_2","dcl.education.gouv.fr/185.75.143.22","443","INFO","ECDHE-RSA-AES256-GCM-SHA384 ECDHE-RSA-AES256-SHA384","",""
"cipher_order","dcl.education.gouv.fr/185.75.143.22","443","OK","server","",""
"FS","dcl.education.gouv.fr/185.75.143.22","443","OK","offered","",""
"FS_ciphers","dcl.education.gouv.fr/185.75.143.22","443","INFO","ECDHE-RSA-AES256-GCM-SHA384 ECDHE-RSA-AES256-SHA384","",""
"FS_ECDHE_curves","dcl.education.gouv.fr/185.75.143.22","443","OK","secp384r1","",""
"FS_TLS12_sig_algs","dcl.education.gouv.fr/185.75.143.22","443","LOW","RSA+SHA512 RSA+SHA384 RSA+SHA256 RSA+SHA224 RSA+SHA1","",""
"TLS_extensions","dcl.education.gouv.fr/185.75.143.22","443","INFO","'server name/#0' 'status request/#5' 'EC point formats/#11' 'heartbeat/#15' 'renegotiation info/#65281'","",""
"TLS_session_ticket","dcl.education.gouv.fr/185.75.143.22","443","INFO","no -- no lifetime advertised","",""
"SSL_sessionID_support","dcl.education.gouv.fr/185.75.143.22","443","INFO","yes","",""
"sessionresumption_ticket","dcl.education.gouv.fr/185.75.143.22","443","INFO","not supported","",""
"sessionresumption_ID","dcl.education.gouv.fr/185.75.143.22","443","INFO","supported","",""
"TLS_timestamp","dcl.education.gouv.fr/185.75.143.22","443","INFO","random","",""
"cert_compression","dcl.education.gouv.fr/185.75.143.22","443","INFO","N/A","",""
"clientAuth","dcl.education.gouv.fr/185.75.143.22","443","INFO","none","",""
"cert_numbers","dcl.education.gouv.fr/185.75.143.22","443","INFO","1","",""
"cert_signatureAlgorithm","dcl.education.gouv.fr/185.75.143.22","443","OK","SHA384 with RSA","",""
"cert_keySize","dcl.education.gouv.fr/185.75.143.22","443","INFO","RSA 2048 bits (exponent is 65537)","",""
"cert_keyUsage","dcl.education.gouv.fr/185.75.143.22","443","INFO","Digital Signature, Key Encipherment","",""
"cert_extKeyUsage","dcl.education.gouv.fr/185.75.143.22","443","INFO","TLS Web Server Authentication, TLS Web Client Authentication","",""
"cert_serialNumber","dcl.education.gouv.fr/185.75.143.22","443","INFO","E0C9A837DE56C79A87F08441980936A8","",""
"cert_serialNumberLen","dcl.education.gouv.fr/185.75.143.22","443","INFO","16","",""
"cert_fingerprintSHA1","dcl.education.gouv.fr/185.75.143.22","443","INFO","D5A44AC3E043553602FF34A44627C3EC33EFC1D2","",""
"cert_fingerprintSHA256","dcl.education.gouv.fr/185.75.143.22","443","INFO","16A005139AD853C13E08D5CDE5A1005C65F59E14C10C4E1560029351D87F7ED2","",""
"cert","dcl.education.gouv.fr/185.75.143.22","443","INFO","-----BEGIN CERTIFICATE-----\nMIIHmjCCBYKgAwIBAgIRAODJqDfeVseah/CEQZgJNqgwDQYJKoZIhvcNAQEMBQAwRDELMAkGA1UEBhMCTkwxGTAXBgNVBAoTEEdFQU5UIFZlcmVuaWdpbmcxGjAYBgNVBAMTEUdFQU5UIE9WIFJTQSBDQSA0MB4XDTI1MDEwMzAwMDAwMFoXDTI2MDEwMzIzNTk1OVowgYUxCzAJBgNVBAYTAkZSMRcwFQYDVQQIDA7DjmxlLWRlLUZyYW5jZTE9MDsGA1UEChM0TUlOSVNURVJFIERFIEwnRURVQ0FUSU9OIE5BVElPTkFMRSBFVCBERSBMQSBKRVVORVNTRTEeMBwGA1UEAxMVZGNsLmVkdWNhdGlvbi5nb3V2LmZyMIIBIjANBgkqhkiG9w0BAQEFAAOCAQ8AMIIBCgKCAQEAz/tmnZEGqphkrc/vXm2bFNyyvPgVc6Ff0t+1QzujOO8h833gWjAoMV8h6g4Fz8G+Iq4sOJbIdGoJacon2LTv70Dzzo2H2IbInfGkmIMH+9Eq9yNpLWy0od88avZ7Cy8pKQ+nsftTK9F/RZQkFtg6FmKJZ0J6sToDW/xIoEG80JQ9YGggL1ts8M2QpWWDluF5mNQ3tKrkZe3ub8+KrYlM5wRIxIwu+6GWYpUTjjbyvSs2uhwyM002v+G2Vqbw0X8z13WAB2Icuh3p38ZOR15GmJPnuwGEZSB/wjSvzIjaVHOzWRKeGPpVqsg0sHqwoWbGraSNsFTinYOTOZ9s1h+/CQIDAQABo4IDQzCCAz8wHwYDVR0jBBgwFoAUbx01SRBsMvpZoJ68iugflb5xegwwHQYDVR0OBBYEFBsnsmkBDLhAG+tbAKTMtSpyXfa8MA4GA1UdDwEB/wQEAwIFoDAMBgNVHRMBAf8EAjAAMB0GA1UdJQQWMBQGCCsGAQUFBwMBBggrBgEFBQcDAjBJBgNVHSAEQjBAMDQGCysGAQQBsjEBAgJPMCUwIwYIKwYBBQUHAgEWF2h0dHBzOi8vc2VjdGlnby5jb20vQ1BTMAgGBmeBDAECAjA/BgNVHR8EODA2MDSgMqAwhi5odHRwOi8vR0VBTlQuY3JsLnNlY3RpZ28uY29tL0dFQU5UT1ZSU0FDQTQuY3JsMHUGCCsGAQUFBwEBBGkwZzA6BggrBgEFBQcwAoYuaHR0cDovL0dFQU5ULmNydC5zZWN0aWdvLmNvbS9HRUFOVE9WUlNBQ0E0LmNydDApBggrBgEFBQcwAYYdaHR0cDovL0dFQU5ULm9jc3Auc2VjdGlnby5jb20wggF9BgorBgEEAdZ5AgQCBIIBbQSCAWkBZwB2AJaXZL9VWJet90OHaDcIQnfp8DrV9qTzNm5GpD8PyqnGAAABlCwIscAAAAQDAEcwRQIgHGL9I8ElJm1qsPfNuc+0b/7FWu6IzD3XKxvuul/tPxUCIQDNEb15nn7pQ1KRJVao7snopLPVoLIYX8eR8Ufjmn/+hwB2ABmG1Mcoqm/+ugNveCpNAZGqzi1yMQ+uzl1wQS0lTMfUAAABlCwIsVUAAAQDAEcwRQIgF/p7va8A9JlsvAdLWwFP2M6Dx3IsmtMCXCfEdOd6hl8CIQCn6RhVP1wWcYWis95qe//mhf0pzpFcLCRC1Lx+XiEMqgB1AMs49xWJfIShRF9bwd37yW7ymlnNRwppBYWwyxTDFFjnAAABlCwIsYAAAAQDAEYwRAIgPBNzsKpztNc5YtoBhzTPgHQs2W5TdaoHULVc2tYgMAoCIBAmlsCjqesaT/dZLeWyZ0u8hLowVy7WVDmsgqy0azGZMDwGA1UdEQQ1MDOCFWRjbC5lZHVjYXRpb24uZ291di5mcoIadGVzdC5kY2wuZWR1Y2F0aW9uLmdvdXYuZnIwDQYJKoZIhvcNAQEMBQADggIBAGWrgkEyAvyZFyXTqcoVLPX7YxuLs+k8A9u33nIoa9roHfaB5zr19sUSEb65STmHmXxuTxM2myirBfgQ+gVZX3kXeNUhEVnQIkcL/9DdS07aHb6fNxZyXUmM2xprUHmrNextnGEnFHDikJuJYkb+2vOh2ybSTfu2FyWUWYMldob21vFy9YR7YD1KIba8zso6gwUDg2fv6xyE89dTRlfZsVNJTxm6F42t+59PXqQrhBhWrIR2K+Ui5OpZrsh7kDvkS3A/dij+T+ZHxiAoANgPQgwM5i9j/o2Wn2flgFi7WDdHJz6wuoUB6X1TLwvE9gxYHW/Gd/TuzyttZxIEYHCUEmDlDYeRRySBnK6Tl0htaXtwKLVfFVZX50HSb0/y186sAOaoPZtFhI1N5ad+BxoISq/iHbZ7vtWK4cJJG8ae9yZ4GoG1AM6WwvFdgCYRLGRJ4hG5D/Ml63acONCL5j4b/qEm3TAQju2fDE/6+AM4WS3kzyOv6Svzu/zAzS5cqXghKMFVMR1lL23qi5HYJp/sfk5K9lD8AwtSBhJI6uTzxHXQcy1ixdc7+T2bR01HOqjT43vk4UpYIVNJKdOxEkiE1RaUuGoxr1GxxilwuDIMxtMDHOtj1rshmXvF3686cy92OGCevGJ6gPb4Hju4umSSDjQI/ut4iyjOTqW/FVgVKrPq\n-----END CERTIFICATE-----","",""
"cert_commonName","dcl.education.gouv.fr/185.75.143.22","443","OK","dcl.education.gouv.fr","",""
"cert_commonName_wo_SNI","dcl.education.gouv.fr/185.75.143.22","443","INFO","saisine.monmaster.gouv.fr","",""
"cert_subjectAltName","dcl.education.gouv.fr/185.75.143.22","443","INFO","dcl.education.gouv.fr test.dcl.education.gouv.fr","",""
"cert_trust","dcl.education.gouv.fr/185.75.143.22","443","OK","Ok via SAN and CN (SNI mandatory)","",""
"cert_chain_of_trust","dcl.education.gouv.fr/185.75.143.22","443","OK","passed.","",""
"cert_certificatePolicies_EV","dcl.education.gouv.fr/185.75.143.22","443","INFO","no","",""
"cert_expirationStatus","dcl.education.gouv.fr/185.75.143.22","443","MEDIUM","expires < 60 days (58)","",""
