"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","dalo-daho-ile-de-france.developpement-durable.gouv.fr/85.90.48.12","443","INFO","HTTP","",""
"pre_128cipher","dalo-daho-ile-de-france.developpement-durable.gouv.fr/85.90.48.12","443","INFO","No 128 cipher limit bug","",""
"SSLv2","dalo-daho-ile-de-france.developpement-durable.gouv.fr/85.90.48.12","443","OK","not offered","",""
"SSLv3","dalo-daho-ile-de-france.developpement-durable.gouv.fr/85.90.48.12","443","OK","not offered","",""
"TLS1","dalo-daho-ile-de-france.developpement-durable.gouv.fr/85.90.48.12","443","INFO","not offered","",""
"TLS1_1","dalo-daho-ile-de-france.developpement-durable.gouv.fr/85.90.48.12","443","INFO","not offered","",""
"TLS1_2","dalo-daho-ile-de-france.developpement-durable.gouv.fr/85.90.48.12","443","OK","offered","",""
"TLS1_3","dalo-daho-ile-de-france.developpement-durable.gouv.fr/85.90.48.12","443","INFO","not offered + downgraded to weaker protocol","",""
"NPN","dalo-daho-ile-de-france.developpement-durable.gouv.fr/85.90.48.12","443","INFO","not offered","",""
"ALPN_HTTP2","dalo-daho-ile-de-france.developpement-durable.gouv.fr/85.90.48.12","443","OK","h2","",""
"ALPN","dalo-daho-ile-de-france.developpement-durable.gouv.fr/85.90.48.12","443","INFO","http/1.1","",""
"cipherlist_NULL","dalo-daho-ile-de-france.developpement-durable.gouv.fr/85.90.48.12","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","dalo-daho-ile-de-france.developpement-durable.gouv.fr/85.90.48.12","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","dalo-daho-ile-de-france.developpement-durable.gouv.fr/85.90.48.12","443","OK","not offered","","CWE-327"
"cipherlist_LOW","dalo-daho-ile-de-france.developpement-durable.gouv.fr/85.90.48.12","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","dalo-daho-ile-de-france.developpement-durable.gouv.fr/85.90.48.12","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","dalo-daho-ile-de-france.developpement-durable.gouv.fr/85.90.48.12","443","INFO","not offered","","CWE-310"
"cipherlist_STRONG_NOFS","dalo-daho-ile-de-france.developpement-durable.gouv.fr/85.90.48.12","443","INFO","not offered","",""
"cipherlist_STRONG_FS","dalo-daho-ile-de-france.developpement-durable.gouv.fr/85.90.48.12","443","OK","offered","",""
"cipher_order-tls1_2","dalo-daho-ile-de-france.developpement-durable.gouv.fr/85.90.48.12","443","OK","server","",""
"cipher-tls1_2_xc030","dalo-daho-ile-de-france.developpement-durable.gouv.fr/85.90.48.12","443","OK","TLSv1.2   xc030   ECDHE-RSA-AES256-GCM-SHA384       ECDH 384   AESGCM      256      TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384","",""
"cipher-tls1_2_xc02f","dalo-daho-ile-de-france.developpement-durable.gouv.fr/85.90.48.12","443","OK","TLSv1.2   xc02f   ECDHE-RSA-AES128-GCM-SHA256       ECDH 256   AESGCM      128      TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256","",""
"cipherorder_TLSv1_2","dalo-daho-ile-de-france.developpement-durable.gouv.fr/85.90.48.12","443","INFO","ECDHE-RSA-AES256-GCM-SHA384 ECDHE-RSA-AES128-GCM-SHA256","",""
"cipher_order","dalo-daho-ile-de-france.developpement-durable.gouv.fr/85.90.48.12","443","OK","server","",""
"FS","dalo-daho-ile-de-france.developpement-durable.gouv.fr/85.90.48.12","443","OK","offered","",""
"FS_ciphers","dalo-daho-ile-de-france.developpement-durable.gouv.fr/85.90.48.12","443","INFO","ECDHE-RSA-AES256-GCM-SHA384 ECDHE-RSA-AES128-GCM-SHA256","",""
"FS_ECDHE_curves","dalo-daho-ile-de-france.developpement-durable.gouv.fr/85.90.48.12","443","OK","prime256v1 secp384r1 X25519","",""
"FS_TLS12_sig_algs","dalo-daho-ile-de-france.developpement-durable.gouv.fr/85.90.48.12","443","LOW","RSA+SHA256 RSA+SHA384 RSA+SHA512 RSA+SHA1","",""
"TLS_extensions","dalo-daho-ile-de-france.developpement-durable.gouv.fr/85.90.48.12","443","INFO","'server name/#0' 'application layer protocol negotiation/#16' 'extended master secret/#23' 'renegotiation info/#65281'","",""
"TLS_session_ticket","dalo-daho-ile-de-france.developpement-durable.gouv.fr/85.90.48.12","443","INFO","no -- no lifetime advertised","",""
"SSL_sessionID_support","dalo-daho-ile-de-france.developpement-durable.gouv.fr/85.90.48.12","443","INFO","yes","",""
"sessionresumption_ticket","dalo-daho-ile-de-france.developpement-durable.gouv.fr/85.90.48.12","443","INFO","not supported","",""
"sessionresumption_ID","dalo-daho-ile-de-france.developpement-durable.gouv.fr/85.90.48.12","443","INFO","not supported","",""
"TLS_timestamp","dalo-daho-ile-de-france.developpement-durable.gouv.fr/85.90.48.12","443","INFO","off by -2 seconds from your localtime","",""
"cert_compression","dalo-daho-ile-de-france.developpement-durable.gouv.fr/85.90.48.12","443","INFO","N/A","",""
"clientAuth","dalo-daho-ile-de-france.developpement-durable.gouv.fr/85.90.48.12","443","INFO","none","",""
"cert_numbers","dalo-daho-ile-de-france.developpement-durable.gouv.fr/85.90.48.12","443","INFO","1","",""
"cert_signatureAlgorithm","dalo-daho-ile-de-france.developpement-durable.gouv.fr/85.90.48.12","443","OK","SHA256 with RSA","",""
"cert_keySize","dalo-daho-ile-de-france.developpement-durable.gouv.fr/85.90.48.12","443","OK","RSA 3072 bits (exponent is 65537)","",""
"cert_keyUsage","dalo-daho-ile-de-france.developpement-durable.gouv.fr/85.90.48.12","443","INFO","Digital Signature, Key Encipherment","",""
"cert_extKeyUsage","dalo-daho-ile-de-france.developpement-durable.gouv.fr/85.90.48.12","443","INFO","TLS Web Server Authentication","",""
"cert_serialNumber","dalo-daho-ile-de-france.developpement-durable.gouv.fr/85.90.48.12","443","INFO","591EB7445115633376F23476B49E8286","",""
"cert_serialNumberLen","dalo-daho-ile-de-france.developpement-durable.gouv.fr/85.90.48.12","443","INFO","16","",""
"cert_fingerprintSHA1","dalo-daho-ile-de-france.developpement-durable.gouv.fr/85.90.48.12","443","INFO","DAF716DB735684F2B6DE2A0CE7A6B953CF33F601","",""
"cert_fingerprintSHA256","dalo-daho-ile-de-france.developpement-durable.gouv.fr/85.90.48.12","443","INFO","9C203F1E0D2F43DB7EED435C75DCEC79A8AAFE157F9F8A9D3F7B71BB793FC07A","",""
"cert","dalo-daho-ile-de-france.developpement-durable.gouv.fr/85.90.48.12","443","INFO","-----BEGIN CERTIFICATE-----\nMIIIbjCCBlagAwIBAgIQWR63RFEVYzN28jR2tJ6ChjANBgkqhkiG9w0BAQsFADB2MQswCQYDVQQGEwJGUjERMA8GA1UECgwIQ2VydGlnbmExHTAbBgNVBGEMFE5UUkZSLTQ4MTQ2MzA4MTAwMDM2MTUwMwYDVQQDDCxDZXJ0aWduYSBTZXJ2ZXIgQXV0aGVudGljYXRpb24gT1ZDUCBFVSBDQSBHMTAeFw0yNTExMTIwMDAwMDBaFw0yNjAyMDkyMzU5NTlaMIGkMQswCQYDVQQGEwJGUjEZMBcGA1UEBwwQUEFSSVMgTEEgREVGRU5TRTEkMCIGA1UECgwbU0cgTUlOIFRSQU5TIEVDT0wgU09MSURBSVJFMT4wPAYDVQQDDDVkYWxvLWRhaG8taWxlLWRlLWZyYW5jZS5kZXZlbG9wcGVtZW50LWR1cmFibGUuZ291di5mcjEUMBIGA1UEBRMLUzM2NDA1MDIwOTEwggGiMA0GCSqGSIb3DQEBAQUAA4IBjwAwggGKAoIBgQCvvrfl/eKwdP4P/1IC23Eoaw/H8swp+2eNUlqZ/pGNjlRVV9bLeqi280y8IjhJnYEcP7rLmqhAX3KrLcq96rSD87sxiP96QYegm6c1i2i5oF5xdu6aKpJ1fvkhtJvJKufFrg0bh9pF2bp9mbSJhH1++NVMuAKO+gg3eJ3+n2iXERnksrr/0ANLqDDuKMzV5+vy0H8ZTta3zBHLKNGB0oF+jwPYhe59oDX6K4vR9RAf/A6M71ezKiCAznN2BM6ltYXKWPGBLuuhAVgOFeGdGKgGsLvhMujCquzvIB/NHBiiWQkXewyI/o40Xpj46WxvZZWtqy4hXNX0IffFTcteR2JSbekJsL+e61vhOjsh/WIiccjGV/7WEOhNWEV/LtLhvoxoKywL55nXHQwvYB64qdGOTn1OHDoMjdzJYNbjjWvUwvtYKo/bmdtgVbSW+a7M1pOA6w0sU+Z2kUC7rFHSfWGgT52enzJzKH/jfqq0wLrI2S3T8G+fwvCTu6U2bZm9mLkCAwEAAaOCA0cwggNDMF8GCCsGAQUFBwEBBFMwUTBPBggrBgEFBQcwAoZDaHR0cDovL2NlcnQuY2VydGlnbmEuY29tL0NlcnRpZ25hU2VydmVyQXV0aGVudGljYXRpb25PVkNQRVVDQUcxLmNlcjAfBgNVHSMEGDAWgBSgcuZGxDBc5K3CHMLVYjiYgVpUpjAMBgNVHRMBAf8EAjAAMFMGA1UdIARMMEowCAYGBACPegEHMDQGCyqBegGBMQEXAQEBMCUwIwYIKwYBBQUHAgEWF2h0dHA6Ly9jcHMuY2VydGlnbmEuY29tMAgGBmeBDAECAjBTBgNVHR8ETDBKMEigRqBEhkJodHRwOi8vY3JsLmNlcnRpZ25hLmNvbS9DZXJ0aWduYVNlcnZlckF1dGhlbnRpY2F0aW9uT1ZDUEVVQ0FHMS5jcmwwEwYDVR0lBAwwCgYIKwYBBQUHAwEwDgYDVR0PAQH/BAQDAgWgMEAGA1UdEQQ5MDeCNWRhbG8tZGFoby1pbGUtZGUtZnJhbmNlLmRldmVsb3BwZW1lbnQtZHVyYWJsZS5nb3V2LmZyMB0GA1UdDgQWBBQceY0KoIpPs8NNjrYWA08TWk00wjCCAX8GCisGAQQB1nkCBAIEggFvBIIBawFpAHYAdNudWPfUfp39eHoWKpkcGM9pjafHKZGMmhiwRQ26RLwAAAGaeDmTMQAABAMARzBFAiAjTwp7Vl+n2y331CQt431nr9vRvJeMX61UWZReVtfQAQIhANUKUgne43UdVbuuFxDTqYpVtnaS6eKK5d6vdlgtHdvwAHYAlpdkv1VYl633Q4doNwhCd+nwOtX2pPM2bkakPw/KqcYAAAGaeDmRhgAABAMARzBFAiAP42voyNfgwUedt/rXQWI820xPAuZeM5rvB0ezhY9JcwIhAIzRJOKbTe5U4FjAfEPCqTi8FJmvbR5sTqRT57IXLJtwAHcAGYbUxyiqb/66A294Kk0BkarOLXIxD67OXXBBLSVMx9QAAAGaeDmUhwAABAMASDBGAiEA3h35nQ06YSQQwy1sZ1zVYS6gMCOzQgtz+VpL8ySZfkECIQDVlu0zSa0thuAt2N2sb2NXijZrZ4MByFuECIWevO0ISjANBgkqhkiG9w0BAQsFAAOCAgEANfIz5p080xImHX64KDwp8mN1p8julMpKvL8EtqdIT9vgRprdybS0L+zPXh/3KeeaOtV1YCY8B3d46xv6RlANeWFZ7cI7KIo5AZiB8ktuF2FtOvdnj3cJ9bitftcmhHAnNgItxcwJzkC7SIFF9g/HFavRK7S0VhQLMgvn7t9rPwY/JmYKxVW1UdzyHZCYT3strgrRooYtZ1eB2FcIYa8Nbp3QblHl+OfN9yAPABZpBMs1uH03tH1+GUl+dKJD7fa80+VRlvVEVq7AF7XavNLRqChzTDcg85Euhs3ws63Oa3m8UKMVYM3CvE9tMgEemnUwi/fkC12Y0JfHuRorhTSc43nuTS7LjNgEU196BtJPb2uewhPjLR9lXtlQGfLi9vCHN8sFuNNvyJ+dS/+o20qYkG/AlO93ck+mucSQhTuTwVf4/pIFZUZjuPu1RkPghd6pcEwXAPtAUUmF7GugIM9AIKea7/Y3TKPVf4nt015QP+uSo30cXpJ/pUVj/lrHTve28FObAP6UynqMpywuKbtbMMMblcruA4ErgNjxgO9hDWESfdt8yN+Izzr2gEc6j9X02QFVP7AW2PpK27l/J+Pcm1rMt5XslFkXhNVH9fk0yEJ/zvTSuca4X//4RULamJ9otypnAmrtsVfp3nNzN9o4zhkmYMjT/bva5Ba6u/yuooM=\n-----END CERTIFICATE-----","",""
"cert_commonName","dalo-daho-ile-de-france.developpement-durable.gouv.fr/85.90.48.12","443","OK","dalo-daho-ile-de-france.developpement-durable.gouv.fr","",""
"cert_commonName_wo_SNI","dalo-daho-ile-de-france.developpement-durable.gouv.fr/85.90.48.12","443","INFO","*.zecarte.fr","",""
"cert_subjectAltName","dalo-daho-ile-de-france.developpement-durable.gouv.fr/85.90.48.12","443","INFO","dalo-daho-ile-de-france.developpement-durable.gouv.fr","",""
"cert_trust","dalo-daho-ile-de-france.developpement-durable.gouv.fr/85.90.48.12","443","OK","Ok via SAN and CN (SNI mandatory)","",""
"cert_trust_wildcard","dalo-daho-ile-de-france.developpement-durable.gouv.fr/85.90.48.12","443","LOW","trust is via wildcard","",""
"cert_chain_of_trust","dalo-daho-ile-de-france.developpement-durable.gouv.fr/85.90.48.12","443","OK","passed.","",""
"cert_certificatePolicies_EV","dalo-daho-ile-de-france.developpement-durable.gouv.fr/85.90.48.12","443","INFO","no","",""
"cert_expirationStatus","dalo-daho-ile-de-france.developpement-durable.gouv.fr/85.90.48.12","443","OK","80 >= 60 days","",""
"cert_notBefore","dalo-daho-ile-de-france.developpement-durable.gouv.fr/85.90.48.12","443","INFO","2025-11-12 00:00","",""
"cert_notAfter","dalo-daho-ile-de-france.developpement-durable.gouv.fr/85.90.48.12","443","OK","2026-02-09 23:59","",""
"cert_extlifeSpan","dalo-daho-ile-de-france.developpement-durable.gouv.fr/85.90.48.12","443","OK","certificate has no extended life time according to browser forum","",""
