"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","data.grand-est.education.gouv.fr/5.104.97.33","443","INFO","HTTP","",""
"pre_128cipher","data.grand-est.education.gouv.fr/5.104.97.33","443","INFO","No 128 cipher limit bug","",""
"SSLv2","data.grand-est.education.gouv.fr/5.104.97.33","443","OK","not offered","",""
"SSLv3","data.grand-est.education.gouv.fr/5.104.97.33","443","OK","not offered","",""
"TLS1","data.grand-est.education.gouv.fr/5.104.97.33","443","INFO","not offered","",""
"TLS1_1","data.grand-est.education.gouv.fr/5.104.97.33","443","INFO","not offered","",""
"TLS1_2","data.grand-est.education.gouv.fr/5.104.97.33","443","OK","offered","",""
"TLS1_3","data.grand-est.education.gouv.fr/5.104.97.33","443","OK","offered with final","",""
"NPN","data.grand-est.education.gouv.fr/5.104.97.33","443","INFO","not offered","",""
"ALPN_HTTP2","data.grand-est.education.gouv.fr/5.104.97.33","443","OK","h2","",""
"ALPN","data.grand-est.education.gouv.fr/5.104.97.33","443","INFO","http/1.1","",""
"cipherlist_NULL","data.grand-est.education.gouv.fr/5.104.97.33","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","data.grand-est.education.gouv.fr/5.104.97.33","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","data.grand-est.education.gouv.fr/5.104.97.33","443","OK","not offered","","CWE-327"
"cipherlist_LOW","data.grand-est.education.gouv.fr/5.104.97.33","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","data.grand-est.education.gouv.fr/5.104.97.33","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","data.grand-est.education.gouv.fr/5.104.97.33","443","INFO","not offered","","CWE-310"
"cipherlist_STRONG_NOFS","data.grand-est.education.gouv.fr/5.104.97.33","443","INFO","not offered","",""
"cipherlist_STRONG_FS","data.grand-est.education.gouv.fr/5.104.97.33","443","OK","offered","",""
"cipher_order-tls1_2","data.grand-est.education.gouv.fr/5.104.97.33","443","OK","server","",""
"cipher-tls1_2_xcca8","data.grand-est.education.gouv.fr/5.104.97.33","443","OK","TLSv1.2   xcca8   ECDHE-RSA-CHACHA20-POLY1305       ECDH 253   ChaCha20    256      TLS_ECDHE_RSA_WITH_CHACHA20_POLY1305_SHA256","",""
"cipher-tls1_2_xccaa","data.grand-est.education.gouv.fr/5.104.97.33","443","OK","TLSv1.2   xccaa   DHE-RSA-CHACHA20-POLY1305         DH 2048    ChaCha20    256      TLS_DHE_RSA_WITH_CHACHA20_POLY1305_SHA256","",""
