"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","data.shom.fr/160.92.148.112","443","INFO","HTTP","",""
"pre_128cipher","data.shom.fr/160.92.148.112","443","INFO","No 128 cipher limit bug","",""
"SSLv2","data.shom.fr/160.92.148.112","443","OK","not offered","",""
"SSLv3","data.shom.fr/160.92.148.112","443","OK","not offered","",""
"TLS1","data.shom.fr/160.92.148.112","443","INFO","not offered","",""
"TLS1_1","data.shom.fr/160.92.148.112","443","INFO","not offered","",""
"TLS1_2","data.shom.fr/160.92.148.112","443","OK","offered","",""
"TLS1_3","data.shom.fr/160.92.148.112","443","OK","offered with final","",""
"NPN","data.shom.fr/160.92.148.112","443","INFO","not offered","",""
"ALPN","data.shom.fr/160.92.148.112","443","INFO","not offered","",""
"cipherlist_NULL","data.shom.fr/160.92.148.112","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","data.shom.fr/160.92.148.112","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","data.shom.fr/160.92.148.112","443","OK","not offered","","CWE-327"
"cipherlist_LOW","data.shom.fr/160.92.148.112","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","data.shom.fr/160.92.148.112","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","data.shom.fr/160.92.148.112","443","INFO","not offered","","CWE-310"
"cipherlist_STRONG_NOFS","data.shom.fr/160.92.148.112","443","INFO","not offered","",""
"cipherlist_STRONG_FS","data.shom.fr/160.92.148.112","443","OK","offered","",""
"cipher_order-tls1_2","data.shom.fr/160.92.148.112","443","OK","server","",""
"cipher-tls1_2_xc030","data.shom.fr/160.92.148.112","443","OK","TLSv1.2   xc030   ECDHE-RSA-AES256-GCM-SHA384       ECDH 256   AESGCM      256      TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384","",""
"cipher-tls1_2_xc02f","data.shom.fr/160.92.148.112","443","OK","TLSv1.2   xc02f   ECDHE-RSA-AES128-GCM-SHA256       ECDH 256   AESGCM      128      TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256","",""
"cipherorder_TLSv1_2","data.shom.fr/160.92.148.112","443","INFO","ECDHE-RSA-AES256-GCM-SHA384 ECDHE-RSA-AES128-GCM-SHA256","",""
"cipher_order-tls1_3","data.shom.fr/160.92.148.112","443","OK","server","",""
"cipher-tls1_3_x1301","data.shom.fr/160.92.148.112","443","OK","TLSv1.3   x1301   TLS_AES_128_GCM_SHA256            ECDH 256   AESGCM      128      TLS_AES_128_GCM_SHA256","",""
"cipher-tls1_3_x1302","data.shom.fr/160.92.148.112","443","OK","TLSv1.3   x1302   TLS_AES_256_GCM_SHA384            ECDH 256   AESGCM      256      TLS_AES_256_GCM_SHA384","",""
"cipherorder_TLSv1_3","data.shom.fr/160.92.148.112","443","INFO","TLS_AES_128_GCM_SHA256 TLS_AES_256_GCM_SHA384","",""
"cipher_order","data.shom.fr/160.92.148.112","443","OK","server","",""
"FS","data.shom.fr/160.92.148.112","443","OK","offered","",""
"FS_ciphers","data.shom.fr/160.92.148.112","443","INFO","TLS_AES_256_GCM_SHA384 ECDHE-RSA-AES256-GCM-SHA384 TLS_AES_128_GCM_SHA256 ECDHE-RSA-AES128-GCM-SHA256","",""
"FS_ECDHE_curves","data.shom.fr/160.92.148.112","443","OK","prime256v1 secp384r1 X25519","",""
"DH_groups","data.shom.fr/160.92.148.112","443","OK","ffdhe3072 ffdhe4096","",""
"FS_TLS12_sig_algs","data.shom.fr/160.92.148.112","443","INFO","RSA+SHA256 RSA+SHA384 RSA+SHA512","",""
"FS_TLS13_sig_algs","data.shom.fr/160.92.148.112","443","INFO","RSA-PSS-RSAE+SHA256 RSA-PSS-RSAE+SHA384 RSA-PSS-RSAE+SHA512","",""
"TLS_extensions","data.shom.fr/160.92.148.112","443","INFO","'server name/#0' 'EC point formats/#11' 'extended master secret/#23' 'supported versions/#43' 'key share/#51' 'renegotiation info/#65281'","",""
"TLS_session_ticket","data.shom.fr/160.92.148.112","443","INFO","no -- no lifetime advertised","",""
"SSL_sessionID_support","data.shom.fr/160.92.148.112","443","INFO","yes","",""
"sessionresumption_ticket","data.shom.fr/160.92.148.112","443","INFO","not supported","",""
"sessionresumption_ID","data.shom.fr/160.92.148.112","443","INFO","supported","",""
"TLS_timestamp","data.shom.fr/160.92.148.112","443","INFO","random","",""
"certificate_compression","data.shom.fr/160.92.148.112","443","INFO","none","",""
"clientAuth","data.shom.fr/160.92.148.112","443","INFO","none","",""
"cert_numbers","data.shom.fr/160.92.148.112","443","INFO","1","",""
"cert_signatureAlgorithm","data.shom.fr/160.92.148.112","443","OK","SHA256 with RSA","",""
"cert_keySize","data.shom.fr/160.92.148.112","443","OK","RSA 4096 bits (exponent is 65537)","",""
"cert_keyUsage","data.shom.fr/160.92.148.112","443","INFO","Digital Signature, Key Encipherment","",""
"cert_extKeyUsage","data.shom.fr/160.92.148.112","443","INFO","TLS Web Client Authentication, TLS Web Server Authentication","",""
"cert_serialNumber","data.shom.fr/160.92.148.112","443","INFO","4D12C0AE86C1316B34CBF3F729683A67","",""
"cert_serialNumberLen","data.shom.fr/160.92.148.112","443","INFO","16","",""
"cert_fingerprintSHA1","data.shom.fr/160.92.148.112","443","INFO","D1616F95BCF04A6763881CEADB54204DCBB406E1","",""
"cert_fingerprintSHA256","data.shom.fr/160.92.148.112","443","INFO","0ABF2FC1AAB5D4D37A20EB6CC00BCA0E1E7360FBBE7E392BD2954FB67479C3C2","",""
"cert","data.shom.fr/160.92.148.112","443","INFO","-----BEGIN CERTIFICATE-----\nMIIIMjCCBpqgAwIBAgIQTRLArobBMWs0y/P3KWg6ZzANBgkqhkiG9w0BAQsFADBgMQswCQYDVQQGEwJHUjE3MDUGA1UECgwuSGVsbGVuaWMgQWNhZGVtaWMgYW5kIFJlc2VhcmNoIEluc3RpdHV0aW9ucyBDQTEYMBYGA1UEAwwPR0VBTlQgVExTIFJTQSAxMB4XDTI1MDgyMTA3MDUyN1oXDTI2MDgyMTA3MDUyN1owgZAxCzAJBgNVBAYTAkZSMREwDwYDVQQIDAhCcmV0YWduZTEOMAwGA1UEBwwFQnJlc3QxQDA+BgNVBAoMN1NlcnZpY2UgSHlkcm9ncmFwaGlxdWUgZXQgT2PDqWFub2dyYXBoaXF1ZSBkZSBsYSBNYXJpbmUxHDAaBgNVBAMME3dlYmFwcC5kYXRhLnNob20uZnIwggIiMA0GCSqGSIb3DQEBAQUAA4ICDwAwggIKAoICAQDKM/oewJD8aesT8oxTqQUc50q2R0HKAU+2Bo1ffXlaum2tkuw0l4mFgxv9GNl2hFIaG8Hzcb8MeY7dbhIoPRsFT0QMv+9OK82nr1hQolhVpoudfv9VsXkdBzwDKM07RqU1kCGbK1I7CqC10nUZreDe8cUsSDsWLnvl2HFoL9GCllwxlIBQpxbflmKvP+bHPT0YbZYEgHeEFNLo3WNPT1D8eg0SEh0cWv80GbbZxGZNWM19wmSMkv41mIhFF00iMLMMur6Jd/nC0yduwKLGCsitugDjPU0ws35kAemZMa8JEhFL3yXuDnpdqP+k4ON5OzEj3psprEMoUUYOJsRyjQNped7RL06jJz1XU/NNtQmpd1aEeXNs3/4nDcVkpIXmtvzxtHMD6yUZtoZILOygy33ENPGhr6wafY0AZpVL23QZEUXOHomvDmp8zPTrcvnYTJ9whQV3cwpQLzoIRzA9o62awruVhhQbptv2KbrBDdYxd4FAQIC2r21r9CIvhwkblnV6ww5aL2a63PtV4asxUaY/F1rg/Zg5MFDW5M4mJzlN+oQrIj/EGVVOU/5rrTdwR9Eg4olxVnvmJ7FxvAoGwEXIxZ+T41qdL85ca3vI2BFBHJKH+z8JMvwS3FgPkGQJo152lpSNk7kAcEEdzK0Mq1dVVHAkK9mBrFtvVd8q8NKpvQIDAQABo4IDNTCCAzEwHwYDVR0jBBgwFoAUhgFyP4ypcOIxBlMWzgFfW3nIPDswbwYIKwYBBQUHAQEEYzBhMDgGCCsGAQUFBzAChixodHRwOi8vY3J0LmhhcmljYS5nci9IQVJJQ0EtR0VBTlQtVExTLVIxLmNlcjAlBggrBgEFBQcwAYYZaHR0cDovL29jc3AtdGxzLmhhcmljYS5ncjBeBgNVHREEVzBVghN3ZWJhcHAuZGF0YS5zaG9tLmZygg1tYXJlZS5zaG9tLmZyggxkYXRhLnNob20uZnKCEWRpZmZ1c2lvbi5zaG9tLmZygg5tLmRhdGEuc2hvbS5mcjAtBgNVHSAEJjAkMAgGBmeBDAECAjAIBgYEAI96AQcwDgYMKwYBBAGBzxEBAQECMB0GA1UdJQQWMBQGCCsGAQUFBwMCBggrBgEFBQcDATA9BgNVHR8ENjA0MDKgMKAuhixodHRwOi8vY3JsLmhhcmljYS5nci9IQVJJQ0EtR0VBTlQtVExTLVIxLmNybDAdBgNVHQ4EFgQUy0mmPJBxLKY6e5xIt5FeHgMsQIwwDgYDVR0PAQH/BAQDAgWgMIIBfwYKKwYBBAHWeQIEAgSCAW8EggFrAWkAdgCUTkOH+uzB74HzGSQmqBhlAcfTXzgCAT9yZ31VNy4Z2AAAAZjLe43UAAAEAwBHMEUCIHaVgvVBtw/AQRK9ny9HE04ZAyb5r6sCdOQzOTORK0fEAiEAsa0EDiERfJ7zeV0iwxbUK1abTLxtKB2Ta2+59rsQj88AdwDYCVU7lE96/8gWGW+UT4WrsPj8XodVJg8V0S5yu0VLFAAAAZjLe42gAAAEAwBIMEYCIQDpALaFzGkMN6hnt4wTP2Dz5S8kbC//hX+HQQnoJTMmngIhAN0TfTpiqWeMzIE2dp1H7okQU5bTpSUv5KPHOyJuUxr1AHYArKswcGzr7IQx9BPS9JFfER5CJEOx8qaMTzwrO6ceAsMAAAGYy3uN0wAABAMARzBFAiEAqYcoWWiX13FLZKDrizQ/U8sH2dR4lrP9fzcMCG7BpsECIE5cPVHo+U9PsGTJDq+QLl1jFHF1ybnlDce7O71lMtVIMA0GCSqGSIb3DQEBCwUAA4IBgQBCco8QyKVI7Ac3KNyHwTRgK/yKDBPgzApRmpGU+c2HXfifuDPpFiKSMkMidIOGbAiASoEwPluA/fgEZCtupRjcEKjgFUyVbJO6P+X0LPxPHK+2j/3vK9Nan9b8xGeTeZ+ynHegwVdRbOGZDD/nTmubjr4Ir1ES9w8phZJPGNOnmiHN4B7LyIJV8zJcsmhhQhhx/4vJuVVjTksYw9E88Ybd50UIX31wIadMTZ6DHonZaq4EOFGm3hVpm/j9BOFkSKC5nYeFijSs70ey2Ir/ZfTD1kxhLFbkYqJ2edS6rX0DBJxkK7wA1JB1Q9K+fZvcW6zUdTAWSJ5VyldJPaVA5ueBCJ4ALsWtzrRfd1wSFEFpkE/tadyr4Zj4cUfpXudKOV3sf5taqTCzve/wgSeBn7aUXneETM47oGnPAgEM1iwTteBhVPnMBSomChzJxUgkbHCkxp/sRRb6NloXev69wc3dLFeBq+0GLMDiitfFJrY/YKclFgnAI/KlPHeV2yVnhvs=\n-----END CERTIFICATE-----","",""
"cert_commonName","data.shom.fr/160.92.148.112","443","OK","webapp.data.shom.fr","",""
"cert_commonName_wo_SNI","data.shom.fr/160.92.148.112","443","INFO","simcelt.mspdata.eu","",""
"cert_subjectAltName","data.shom.fr/160.92.148.112","443","INFO","webapp.data.shom.fr maree.shom.fr data.shom.fr diffusion.shom.fr m.data.shom.fr","",""
"cert_trust","data.shom.fr/160.92.148.112","443","OK","Ok via SAN (SNI mandatory)","",""
"cert_chain_of_trust","data.shom.fr/160.92.148.112","443","CRITICAL","Some certificate trust checks failed -> Java (self signed CA in chain)  , OK -> Mozilla Microsoft Linux Apple","",""
"cert_certificatePolicies_EV","data.shom.fr/160.92.148.112","443","INFO","no","",""
"cert_expirationStatus","data.shom.fr/160.92.148.112","443","OK","279 >= 60 days","",""
"cert_notBefore","data.shom.fr/160.92.148.112","443","INFO","2025-08-21 07:05","",""
"cert_notAfter","data.shom.fr/160.92.148.112","443","OK","2026-08-21 07:05","",""
"cert_extlifeSpan","data.shom.fr/160.92.148.112","443","OK","certificate has no extended life time according to browser forum","",""
"cert_eTLS","data.shom.fr/160.92.148.112","443","INFO","not present","",""
"cert_crlDistributionPoints","data.shom.fr/160.92.148.112","443","INFO","http://crl.harica.gr/HARICA-GEANT-TLS-R1.crl","",""
"cert_ocspURL","data.shom.fr/160.92.148.112","443","INFO","http://ocsp-tls.harica.gr","",""
"OCSP_stapling","data.shom.fr/160.92.148.112","443","LOW","not offered","",""
"cert_mustStapleExtension","data.shom.fr/160.92.148.112","443","INFO","--","",""
"DNS_CAArecord","data.shom.fr/160.92.148.112","443","OK","issue=harica.gr, issuewild=harica.gr","",""
"certificate_transparency","data.shom.fr/160.92.148.112","443","OK","yes (certificate extension)","",""
"certs_countServer","data.shom.fr/160.92.148.112","443","INFO","3","",""
"certs_list_ordering_problem","data.shom.fr/160.92.148.112","443","INFO","no","",""
"cert_caIssuers","data.shom.fr/160.92.148.112","443","INFO","GEANT TLS RSA 1 (Hellenic Academic and Research Institutions CA from GR)","",""
