"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","demarches.developpement-durable.gouv.fr/164.132.68.35","443","INFO","HTTP","",""
"pre_128cipher","demarches.developpement-durable.gouv.fr/164.132.68.35","443","INFO","No 128 cipher limit bug","",""
"SSLv2","demarches.developpement-durable.gouv.fr/164.132.68.35","443","OK","not offered","",""
"SSLv3","demarches.developpement-durable.gouv.fr/164.132.68.35","443","OK","not offered","",""
"TLS1","demarches.developpement-durable.gouv.fr/164.132.68.35","443","INFO","not offered","",""
"TLS1_1","demarches.developpement-durable.gouv.fr/164.132.68.35","443","INFO","not offered","",""
"TLS1_2","demarches.developpement-durable.gouv.fr/164.132.68.35","443","OK","offered","",""
"TLS1_3","demarches.developpement-durable.gouv.fr/164.132.68.35","443","OK","offered with final","",""
"NPN","demarches.developpement-durable.gouv.fr/164.132.68.35","443","INFO","not offered","",""
"ALPN","demarches.developpement-durable.gouv.fr/164.132.68.35","443","INFO","not offered","",""
"cipherlist_NULL","demarches.developpement-durable.gouv.fr/164.132.68.35","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","demarches.developpement-durable.gouv.fr/164.132.68.35","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","demarches.developpement-durable.gouv.fr/164.132.68.35","443","OK","not offered","","CWE-327"
"cipherlist_LOW","demarches.developpement-durable.gouv.fr/164.132.68.35","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","demarches.developpement-durable.gouv.fr/164.132.68.35","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","demarches.developpement-durable.gouv.fr/164.132.68.35","443","LOW","offered","","CWE-310"
"cipherlist_STRONG_NOFS","demarches.developpement-durable.gouv.fr/164.132.68.35","443","OK","offered","",""
"cipherlist_STRONG_FS","demarches.developpement-durable.gouv.fr/164.132.68.35","443","OK","offered","",""
"cipher_order-tls1_2","demarches.developpement-durable.gouv.fr/164.132.68.35","443","OK","server","",""
"cipher-tls1_2_xc02f","demarches.developpement-durable.gouv.fr/164.132.68.35","443","OK","TLSv1.2   xc02f   ECDHE-RSA-AES128-GCM-SHA256       ECDH 253   AESGCM      128      TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256","",""
"cipher-tls1_2_xc030","demarches.developpement-durable.gouv.fr/164.132.68.35","443","OK","TLSv1.2   xc030   ECDHE-RSA-AES256-GCM-SHA384       ECDH 253   AESGCM      256      TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384","",""
"cipher-tls1_2_x9e","demarches.developpement-durable.gouv.fr/164.132.68.35","443","OK","TLSv1.2   x9e     DHE-RSA-AES128-GCM-SHA256         DH 3072    AESGCM      128      TLS_DHE_RSA_WITH_AES_128_GCM_SHA256","",""
"cipher-tls1_2_x9f","demarches.developpement-durable.gouv.fr/164.132.68.35","443","OK","TLSv1.2   x9f     DHE-RSA-AES256-GCM-SHA384         DH 3072    AESGCM      256      TLS_DHE_RSA_WITH_AES_256_GCM_SHA384","",""
"cipher-tls1_2_xc027","demarches.developpement-durable.gouv.fr/164.132.68.35","443","LOW","TLSv1.2   xc027   ECDHE-RSA-AES128-SHA256           ECDH 253   AES         128      TLS_ECDHE_RSA_WITH_AES_128_CBC_SHA256","",""
"cipher-tls1_2_xc013","demarches.developpement-durable.gouv.fr/164.132.68.35","443","LOW","TLSv1.2   xc013   ECDHE-RSA-AES128-SHA              ECDH 253   AES         128      TLS_ECDHE_RSA_WITH_AES_128_CBC_SHA","",""
"cipher-tls1_2_xc028","demarches.developpement-durable.gouv.fr/164.132.68.35","443","LOW","TLSv1.2   xc028   ECDHE-RSA-AES256-SHA384           ECDH 253   AES         256      TLS_ECDHE_RSA_WITH_AES_256_CBC_SHA384","",""
"cipher-tls1_2_xc014","demarches.developpement-durable.gouv.fr/164.132.68.35","443","LOW","TLSv1.2   xc014   ECDHE-RSA-AES256-SHA              ECDH 253   AES         256      TLS_ECDHE_RSA_WITH_AES_256_CBC_SHA","",""
"cipher-tls1_2_x67","demarches.developpement-durable.gouv.fr/164.132.68.35","443","LOW","TLSv1.2   x67     DHE-RSA-AES128-SHA256             DH 3072    AES         128      TLS_DHE_RSA_WITH_AES_128_CBC_SHA256","",""
"cipher-tls1_2_x33","demarches.developpement-durable.gouv.fr/164.132.68.35","443","LOW","TLSv1.2   x33     DHE-RSA-AES128-SHA                DH 3072    AES         128      TLS_DHE_RSA_WITH_AES_128_CBC_SHA","",""
"cipher-tls1_2_x6b","demarches.developpement-durable.gouv.fr/164.132.68.35","443","LOW","TLSv1.2   x6b     DHE-RSA-AES256-SHA256             DH 3072    AES         256      TLS_DHE_RSA_WITH_AES_256_CBC_SHA256","",""
"cipher-tls1_2_x39","demarches.developpement-durable.gouv.fr/164.132.68.35","443","LOW","TLSv1.2   x39     DHE-RSA-AES256-SHA                DH 3072    AES         256      TLS_DHE_RSA_WITH_AES_256_CBC_SHA","",""
