"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","dpi.sante.gouv.fr/164.131.212.216","443","INFO","HTTP","",""
"pre_128cipher","dpi.sante.gouv.fr/164.131.212.216","443","INFO","No 128 cipher limit bug","",""
"SSLv2","dpi.sante.gouv.fr/164.131.212.216","443","OK","not offered","",""
"SSLv3","dpi.sante.gouv.fr/164.131.212.216","443","OK","not offered","",""
"TLS1","dpi.sante.gouv.fr/164.131.212.216","443","INFO","not offered","",""
"TLS1_1","dpi.sante.gouv.fr/164.131.212.216","443","INFO","not offered","",""
"TLS1_2","dpi.sante.gouv.fr/164.131.212.216","443","OK","offered","",""
"TLS1_3","dpi.sante.gouv.fr/164.131.212.216","443","OK","offered with final","",""
"NPN","dpi.sante.gouv.fr/164.131.212.216","443","INFO","not offered","",""
"ALPN","dpi.sante.gouv.fr/164.131.212.216","443","INFO","not offered","",""
"cipherlist_NULL","dpi.sante.gouv.fr/164.131.212.216","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","dpi.sante.gouv.fr/164.131.212.216","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","dpi.sante.gouv.fr/164.131.212.216","443","OK","not offered","","CWE-327"
"cipherlist_LOW","dpi.sante.gouv.fr/164.131.212.216","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","dpi.sante.gouv.fr/164.131.212.216","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","dpi.sante.gouv.fr/164.131.212.216","443","INFO","not offered","","CWE-310"
"cipherlist_STRONG_NOFS","dpi.sante.gouv.fr/164.131.212.216","443","OK","offered","",""
"cipherlist_STRONG_FS","dpi.sante.gouv.fr/164.131.212.216","443","OK","offered","",""
"cipher_order-tls1_2","dpi.sante.gouv.fr/164.131.212.216","443","OK","server","",""
"cipher-tls1_2_xc02f","dpi.sante.gouv.fr/164.131.212.216","443","OK","TLSv1.2   xc02f   ECDHE-RSA-AES128-GCM-SHA256       ECDH 256   AESGCM      128      TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256","",""
"cipher-tls1_2_xc030","dpi.sante.gouv.fr/164.131.212.216","443","OK","TLSv1.2   xc030   ECDHE-RSA-AES256-GCM-SHA384       ECDH 256   AESGCM      256      TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384","",""
"cipher-tls1_2_x9c","dpi.sante.gouv.fr/164.131.212.216","443","OK","TLSv1.2   x9c     AES128-GCM-SHA256                 RSA        AESGCM      128      TLS_RSA_WITH_AES_128_GCM_SHA256","",""
"cipher-tls1_2_x9d","dpi.sante.gouv.fr/164.131.212.216","443","OK","TLSv1.2   x9d     AES256-GCM-SHA384                 RSA        AESGCM      256      TLS_RSA_WITH_AES_256_GCM_SHA384","",""
"cipher-tls1_2_x9e","dpi.sante.gouv.fr/164.131.212.216","443","OK","TLSv1.2   x9e     DHE-RSA-AES128-GCM-SHA256         DH 2048    AESGCM      128      TLS_DHE_RSA_WITH_AES_128_GCM_SHA256","",""
"cipher-tls1_2_x9f","dpi.sante.gouv.fr/164.131.212.216","443","OK","TLSv1.2   x9f     DHE-RSA-AES256-GCM-SHA384         DH 2048    AESGCM      256      TLS_DHE_RSA_WITH_AES_256_GCM_SHA384","",""
"cipherorder_TLSv1_2","dpi.sante.gouv.fr/164.131.212.216","443","INFO","ECDHE-RSA-AES128-GCM-SHA256 ECDHE-RSA-AES256-GCM-SHA384 AES128-GCM-SHA256 AES256-GCM-SHA384 DHE-RSA-AES128-GCM-SHA256 DHE-RSA-AES256-GCM-SHA384","",""
"cipher_order-tls1_3","dpi.sante.gouv.fr/164.131.212.216","443","OK","server","",""
"cipher-tls1_3_x1301","dpi.sante.gouv.fr/164.131.212.216","443","OK","TLSv1.3   x1301   TLS_AES_128_GCM_SHA256            ECDH 256   AESGCM      128      TLS_AES_128_GCM_SHA256","",""
"cipher-tls1_3_x1302","dpi.sante.gouv.fr/164.131.212.216","443","OK","TLSv1.3   x1302   TLS_AES_256_GCM_SHA384            ECDH 256   AESGCM      256      TLS_AES_256_GCM_SHA384","",""
"cipherorder_TLSv1_3","dpi.sante.gouv.fr/164.131.212.216","443","INFO","TLS_AES_128_GCM_SHA256 TLS_AES_256_GCM_SHA384","",""
