"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","e-collecte.igas.gouv.fr/185.194.82.232","443","INFO","HTTP","",""
"pre_128cipher","e-collecte.igas.gouv.fr/185.194.82.232","443","INFO","No 128 cipher limit bug","",""
"SSLv2","e-collecte.igas.gouv.fr/185.194.82.232","443","OK","not offered","",""
"SSLv3","e-collecte.igas.gouv.fr/185.194.82.232","443","OK","not offered","",""
"TLS1","e-collecte.igas.gouv.fr/185.194.82.232","443","INFO","not offered","",""
"TLS1_1","e-collecte.igas.gouv.fr/185.194.82.232","443","INFO","not offered","",""
"TLS1_2","e-collecte.igas.gouv.fr/185.194.82.232","443","OK","offered","",""
"TLS1_3","e-collecte.igas.gouv.fr/185.194.82.232","443","OK","offered with final","",""
"NPN","e-collecte.igas.gouv.fr/185.194.82.232","443","INFO","not offered","",""
"ALPN","e-collecte.igas.gouv.fr/185.194.82.232","443","INFO","not offered","",""
"cipherlist_NULL","e-collecte.igas.gouv.fr/185.194.82.232","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","e-collecte.igas.gouv.fr/185.194.82.232","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","e-collecte.igas.gouv.fr/185.194.82.232","443","OK","not offered","","CWE-327"
"cipherlist_LOW","e-collecte.igas.gouv.fr/185.194.82.232","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","e-collecte.igas.gouv.fr/185.194.82.232","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","e-collecte.igas.gouv.fr/185.194.82.232","443","INFO","not offered","","CWE-310"
"cipherlist_STRONG_NOFS","e-collecte.igas.gouv.fr/185.194.82.232","443","INFO","not offered","",""
"cipherlist_STRONG_FS","e-collecte.igas.gouv.fr/185.194.82.232","443","OK","offered","",""
"cipher_order-tls1_2","e-collecte.igas.gouv.fr/185.194.82.232","443","OK","server","",""
"cipher-tls1_2_xc030","e-collecte.igas.gouv.fr/185.194.82.232","443","OK","TLSv1.2   xc030   ECDHE-RSA-AES256-GCM-SHA384       ECDH 256   AESGCM      256      TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384","",""
"cipher-tls1_2_xc02f","e-collecte.igas.gouv.fr/185.194.82.232","443","OK","TLSv1.2   xc02f   ECDHE-RSA-AES128-GCM-SHA256       ECDH 256   AESGCM      128      TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256","",""
"cipherorder_TLSv1_2","e-collecte.igas.gouv.fr/185.194.82.232","443","INFO","ECDHE-RSA-AES256-GCM-SHA384 ECDHE-RSA-AES128-GCM-SHA256","",""
"cipher_order-tls1_3","e-collecte.igas.gouv.fr/185.194.82.232","443","OK","server","",""
"cipher-tls1_3_x1301","e-collecte.igas.gouv.fr/185.194.82.232","443","OK","TLSv1.3   x1301   TLS_AES_128_GCM_SHA256            ECDH 256   AESGCM      128      TLS_AES_128_GCM_SHA256","",""
"cipher-tls1_3_x1302","e-collecte.igas.gouv.fr/185.194.82.232","443","OK","TLSv1.3   x1302   TLS_AES_256_GCM_SHA384            ECDH 256   AESGCM      256      TLS_AES_256_GCM_SHA384","",""
"cipherorder_TLSv1_3","e-collecte.igas.gouv.fr/185.194.82.232","443","INFO","TLS_AES_128_GCM_SHA256 TLS_AES_256_GCM_SHA384","",""
"cipher_order","e-collecte.igas.gouv.fr/185.194.82.232","443","OK","server","",""
"FS","e-collecte.igas.gouv.fr/185.194.82.232","443","OK","offered","",""
"FS_ciphers","e-collecte.igas.gouv.fr/185.194.82.232","443","INFO","TLS_AES_256_GCM_SHA384 ECDHE-RSA-AES256-GCM-SHA384 TLS_AES_128_GCM_SHA256 ECDHE-RSA-AES128-GCM-SHA256","",""
"FS_ECDHE_curves","e-collecte.igas.gouv.fr/185.194.82.232","443","OK","prime256v1 secp384r1 X25519","",""
"DH_groups","e-collecte.igas.gouv.fr/185.194.82.232","443","OK","ffdhe3072 ffdhe4096","",""
"FS_TLS12_sig_algs","e-collecte.igas.gouv.fr/185.194.82.232","443","INFO","RSA+SHA256 RSA+SHA384 RSA+SHA512","",""
"FS_TLS13_sig_algs","e-collecte.igas.gouv.fr/185.194.82.232","443","INFO","RSA-PSS-RSAE+SHA256 RSA-PSS-RSAE+SHA384 RSA-PSS-RSAE+SHA512","",""
"TLS_extensions","e-collecte.igas.gouv.fr/185.194.82.232","443","INFO","'server name/#0' 'EC point formats/#11' 'extended master secret/#23' 'supported versions/#43' 'key share/#51' 'renegotiation info/#65281'","",""
"TLS_session_ticket","e-collecte.igas.gouv.fr/185.194.82.232","443","INFO","no -- no lifetime advertised","",""
"SSL_sessionID_support","e-collecte.igas.gouv.fr/185.194.82.232","443","INFO","yes","",""
"sessionresumption_ticket","e-collecte.igas.gouv.fr/185.194.82.232","443","INFO","not supported","",""
"sessionresumption_ID","e-collecte.igas.gouv.fr/185.194.82.232","443","INFO","supported","",""
"TLS_timestamp","e-collecte.igas.gouv.fr/185.194.82.232","443","INFO","random","",""
"certificate_compression","e-collecte.igas.gouv.fr/185.194.82.232","443","INFO","none","",""
"clientAuth","e-collecte.igas.gouv.fr/185.194.82.232","443","INFO","none","",""
"cert_numbers","e-collecte.igas.gouv.fr/185.194.82.232","443","INFO","1","",""
"cert_signatureAlgorithm","e-collecte.igas.gouv.fr/185.194.82.232","443","OK","SHA256 with RSA","",""
"cert_keySize","e-collecte.igas.gouv.fr/185.194.82.232","443","OK","RSA 3072 bits (exponent is 65537)","",""
"cert_keyUsage","e-collecte.igas.gouv.fr/185.194.82.232","443","INFO","Digital Signature, Key Encipherment","",""
"cert_extKeyUsage","e-collecte.igas.gouv.fr/185.194.82.232","443","INFO","TLS Web Server Authentication","",""
"cert_serialNumber","e-collecte.igas.gouv.fr/185.194.82.232","443","INFO","86DA78AB99343DDFE5922E23B9BB79C3","",""
"cert_serialNumberLen","e-collecte.igas.gouv.fr/185.194.82.232","443","INFO","16","",""
"cert_fingerprintSHA1","e-collecte.igas.gouv.fr/185.194.82.232","443","INFO","1E5EE97A52D2C467CADBF6621252F57AA9E5BB64","",""
"cert_fingerprintSHA256","e-collecte.igas.gouv.fr/185.194.82.232","443","INFO","74887BB927EC960283142492D8107D99D0DFAA5C4A0EA161D6A8AA3B04A50A00","",""
