"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","e-scaleport-ext.din.developpement-durable.gouv.fr/90.85.40.11","443","INFO","HTTP","",""
"pre_128cipher","e-scaleport-ext.din.developpement-durable.gouv.fr/90.85.40.11","443","INFO","No 128 cipher limit bug","",""
"SSLv2","e-scaleport-ext.din.developpement-durable.gouv.fr/90.85.40.11","443","OK","not offered","",""
"SSLv3","e-scaleport-ext.din.developpement-durable.gouv.fr/90.85.40.11","443","OK","not offered","",""
"TLS1","e-scaleport-ext.din.developpement-durable.gouv.fr/90.85.40.11","443","INFO","not offered","",""
"TLS1_1","e-scaleport-ext.din.developpement-durable.gouv.fr/90.85.40.11","443","INFO","not offered","",""
"TLS1_2","e-scaleport-ext.din.developpement-durable.gouv.fr/90.85.40.11","443","OK","offered","",""
"TLS1_3","e-scaleport-ext.din.developpement-durable.gouv.fr/90.85.40.11","443","INFO","not offered + downgraded to weaker protocol","",""
"NPN","e-scaleport-ext.din.developpement-durable.gouv.fr/90.85.40.11","443","INFO","not offered","",""
"ALPN","e-scaleport-ext.din.developpement-durable.gouv.fr/90.85.40.11","443","INFO","not offered","",""
"cipherlist_NULL","e-scaleport-ext.din.developpement-durable.gouv.fr/90.85.40.11","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","e-scaleport-ext.din.developpement-durable.gouv.fr/90.85.40.11","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","e-scaleport-ext.din.developpement-durable.gouv.fr/90.85.40.11","443","OK","not offered","","CWE-327"
"cipherlist_LOW","e-scaleport-ext.din.developpement-durable.gouv.fr/90.85.40.11","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","e-scaleport-ext.din.developpement-durable.gouv.fr/90.85.40.11","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","e-scaleport-ext.din.developpement-durable.gouv.fr/90.85.40.11","443","INFO","not offered","","CWE-310"
"cipherlist_STRONG_NOFS","e-scaleport-ext.din.developpement-durable.gouv.fr/90.85.40.11","443","INFO","not offered","",""
"cipherlist_STRONG_FS","e-scaleport-ext.din.developpement-durable.gouv.fr/90.85.40.11","443","OK","offered","",""
"cipher_order-tls1_2","e-scaleport-ext.din.developpement-durable.gouv.fr/90.85.40.11","443","OK","server","",""
"cipher-tls1_2_xc030","e-scaleport-ext.din.developpement-durable.gouv.fr/90.85.40.11","443","OK","TLSv1.2   xc030   ECDHE-RSA-AES256-GCM-SHA384       ECDH 256   AESGCM      256      TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384","",""
