"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","ecoledeguerre.paris/46.105.204.26","443","INFO","HTTP","",""
"pre_128cipher","ecoledeguerre.paris/46.105.204.26","443","INFO","No 128 cipher limit bug","",""
"SSLv2","ecoledeguerre.paris/46.105.204.26","443","OK","not offered","",""
"SSLv3","ecoledeguerre.paris/46.105.204.26","443","OK","not offered","",""
"TLS1","ecoledeguerre.paris/46.105.204.26","443","INFO","not offered","",""
"TLS1_1","ecoledeguerre.paris/46.105.204.26","443","INFO","not offered","",""
"TLS1_2","ecoledeguerre.paris/46.105.204.26","443","OK","offered","",""
"TLS1_3","ecoledeguerre.paris/46.105.204.26","443","OK","offered with final","",""
"NPN","ecoledeguerre.paris/46.105.204.26","443","INFO","not offered","",""
"ALPN_HTTP2","ecoledeguerre.paris/46.105.204.26","443","OK","h2","",""
"cipherlist_NULL","ecoledeguerre.paris/46.105.204.26","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","ecoledeguerre.paris/46.105.204.26","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","ecoledeguerre.paris/46.105.204.26","443","OK","not offered","","CWE-327"
"cipherlist_LOW","ecoledeguerre.paris/46.105.204.26","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","ecoledeguerre.paris/46.105.204.26","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","ecoledeguerre.paris/46.105.204.26","443","LOW","offered","","CWE-310"
"cipherlist_STRONG_NOFS","ecoledeguerre.paris/46.105.204.26","443","INFO","not offered","",""
"cipherlist_STRONG_FS","ecoledeguerre.paris/46.105.204.26","443","OK","offered","",""
"cipher_order-tls1_2","ecoledeguerre.paris/46.105.204.26","443","OK","server -- server prioritizes ChaCha ciphers when preferred by clients","",""
"cipher-tls1_2_xc030","ecoledeguerre.paris/46.105.204.26","443","OK","TLSv1.2   xc030   ECDHE-RSA-AES256-GCM-SHA384       ECDH 253   AESGCM      256      TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384","",""
"cipher-tls1_2_xcca8","ecoledeguerre.paris/46.105.204.26","443","OK","TLSv1.2   xcca8   ECDHE-RSA-CHACHA20-POLY1305       ECDH 253   ChaCha20    256      TLS_ECDHE_RSA_WITH_CHACHA20_POLY1305_SHA256","",""
"cipher-tls1_2_xc02f","ecoledeguerre.paris/46.105.204.26","443","OK","TLSv1.2   xc02f   ECDHE-RSA-AES128-GCM-SHA256       ECDH 253   AESGCM      128      TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256","",""
"cipher-tls1_2_xc028","ecoledeguerre.paris/46.105.204.26","443","LOW","TLSv1.2   xc028   ECDHE-RSA-AES256-SHA384           ECDH 253   AES         256      TLS_ECDHE_RSA_WITH_AES_256_CBC_SHA384","",""
"cipher-tls1_2_xc027","ecoledeguerre.paris/46.105.204.26","443","LOW","TLSv1.2   xc027   ECDHE-RSA-AES128-SHA256           ECDH 253   AES         128      TLS_ECDHE_RSA_WITH_AES_128_CBC_SHA256","",""
"cipherorder_TLSv1_2","ecoledeguerre.paris/46.105.204.26","443","INFO","ECDHE-RSA-AES256-GCM-SHA384 ECDHE-RSA-CHACHA20-POLY1305 ECDHE-RSA-AES128-GCM-SHA256 ECDHE-RSA-AES256-SHA384 ECDHE-RSA-AES128-SHA256","",""
"prioritize_chacha_TLSv1_2","ecoledeguerre.paris/46.105.204.26","443","INFO","true","",""
"cipher_order-tls1_3","ecoledeguerre.paris/46.105.204.26","443","OK","server -- server prioritizes ChaCha ciphers when preferred by clients","",""
"cipher-tls1_3_x1302","ecoledeguerre.paris/46.105.204.26","443","OK","TLSv1.3   x1302   TLS_AES_256_GCM_SHA384            ECDH 253   AESGCM      256      TLS_AES_256_GCM_SHA384","",""
"cipher-tls1_3_x1303","ecoledeguerre.paris/46.105.204.26","443","OK","TLSv1.3   x1303   TLS_CHACHA20_POLY1305_SHA256      ECDH 253   ChaCha20    256      TLS_CHACHA20_POLY1305_SHA256","",""
"cipher-tls1_3_x1301","ecoledeguerre.paris/46.105.204.26","443","OK","TLSv1.3   x1301   TLS_AES_128_GCM_SHA256            ECDH 253   AESGCM      128      TLS_AES_128_GCM_SHA256","",""
"cipherorder_TLSv1_3","ecoledeguerre.paris/46.105.204.26","443","INFO","TLS_AES_256_GCM_SHA384 TLS_CHACHA20_POLY1305_SHA256 TLS_AES_128_GCM_SHA256","",""
"prioritize_chacha_TLSv1_3","ecoledeguerre.paris/46.105.204.26","443","INFO","true","",""
"cipher_order","ecoledeguerre.paris/46.105.204.26","443","OK","server","",""
"FS","ecoledeguerre.paris/46.105.204.26","443","OK","offered","",""
"FS_ciphers","ecoledeguerre.paris/46.105.204.26","443","INFO","TLS_AES_256_GCM_SHA384 TLS_CHACHA20_POLY1305_SHA256 ECDHE-RSA-AES256-GCM-SHA384 ECDHE-RSA-AES256-SHA384 ECDHE-RSA-CHACHA20-POLY1305 TLS_AES_128_GCM_SHA256 ECDHE-RSA-AES128-GCM-SHA256 ECDHE-RSA-AES128-SHA256","",""
"FS_ECDHE_curves","ecoledeguerre.paris/46.105.204.26","443","OK","prime256v1 secp384r1 secp521r1 X25519 X448","",""
"FS_TLS12_sig_algs","ecoledeguerre.paris/46.105.204.26","443","LOW","RSA-PSS-RSAE+SHA256 RSA-PSS-RSAE+SHA384 RSA-PSS-RSAE+SHA512 RSA+SHA256 RSA+SHA384 RSA+SHA512 RSA+SHA224 RSA+SHA1","",""
"FS_TLS13_sig_algs","ecoledeguerre.paris/46.105.204.26","443","INFO","RSA-PSS-RSAE+SHA256 RSA-PSS-RSAE+SHA384 RSA-PSS-RSAE+SHA512","",""
"TLS_extensions","ecoledeguerre.paris/46.105.204.26","443","INFO","'server name/#0' 'max fragment length/#1' 'supported_groups/#10' 'EC point formats/#11' 'application layer protocol negotiation/#16' 'encrypt-then-mac/#22' 'extended master secret/#23' 'supported versions/#43' 'key share/#51' 'renegotiation info/#65281'","",""
"TLS_session_ticket","ecoledeguerre.paris/46.105.204.26","443","INFO","no -- no lifetime advertised","",""
"SSL_sessionID_support","ecoledeguerre.paris/46.105.204.26","443","INFO","yes","",""
"sessionresumption_ticket","ecoledeguerre.paris/46.105.204.26","443","INFO","not supported","",""
"sessionresumption_ID","ecoledeguerre.paris/46.105.204.26","443","INFO","not supported","",""
"TLS_timestamp","ecoledeguerre.paris/46.105.204.26","443","INFO","random","",""
"certificate_compression","ecoledeguerre.paris/46.105.204.26","443","INFO","none","",""
"clientAuth","ecoledeguerre.paris/46.105.204.26","443","INFO","none","",""
"cert_numbers","ecoledeguerre.paris/46.105.204.26","443","INFO","1","",""
"cert_signatureAlgorithm","ecoledeguerre.paris/46.105.204.26","443","OK","SHA256 with RSA","",""
"cert_keySize","ecoledeguerre.paris/46.105.204.26","443","INFO","RSA 2048 bits (exponent is 65537)","",""
"cert_keyUsage","ecoledeguerre.paris/46.105.204.26","443","INFO","Digital Signature, Key Encipherment","",""
"cert_extKeyUsage","ecoledeguerre.paris/46.105.204.26","443","INFO","TLS Web Server Authentication, TLS Web Client Authentication","",""
"cert_serialNumber","ecoledeguerre.paris/46.105.204.26","443","INFO","B210989EA54120532B1D37F0742FD0E2","",""
"cert_serialNumberLen","ecoledeguerre.paris/46.105.204.26","443","INFO","16","",""
"cert_fingerprintSHA1","ecoledeguerre.paris/46.105.204.26","443","INFO","6D3E0C67B592BBFA00BE10B0B5BC6864A1B24C62","",""
"cert_fingerprintSHA256","ecoledeguerre.paris/46.105.204.26","443","INFO","9C060BB2D851CCE9DC0964041C7F55382C8D86FA486EDE0503CFAB39338BB392","",""
