"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","economie.gouv.fr/141.101.90.96","443","INFO","HTTP","",""
"pre_128cipher","economie.gouv.fr/141.101.90.96","443","INFO","No 128 cipher limit bug","",""
"SSLv2","economie.gouv.fr/141.101.90.96","443","OK","not offered","",""
"SSLv3","economie.gouv.fr/141.101.90.96","443","OK","not offered","",""
"TLS1","economie.gouv.fr/141.101.90.96","443","INFO","not offered","",""
"TLS1_1","economie.gouv.fr/141.101.90.96","443","INFO","not offered","",""
"TLS1_2","economie.gouv.fr/141.101.90.96","443","OK","offered","",""
"TLS1_3","economie.gouv.fr/141.101.90.96","443","OK","offered with final","",""
"NPN","economie.gouv.fr/141.101.90.96","443","INFO","offered with h2, http/1.1 (advertised)","",""
"ALPN_HTTP2","economie.gouv.fr/141.101.90.96","443","OK","h2","",""
"ALPN","economie.gouv.fr/141.101.90.96","443","INFO","http/1.1","",""
"cipherlist_NULL","economie.gouv.fr/141.101.90.96","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","economie.gouv.fr/141.101.90.96","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","economie.gouv.fr/141.101.90.96","443","OK","not offered","","CWE-327"
"cipherlist_LOW","economie.gouv.fr/141.101.90.96","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","economie.gouv.fr/141.101.90.96","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","economie.gouv.fr/141.101.90.96","443","LOW","offered","","CWE-310"
"cipherlist_STRONG_NOFS","economie.gouv.fr/141.101.90.96","443","OK","offered","",""
"cipherlist_STRONG_FS","economie.gouv.fr/141.101.90.96","443","OK","offered","",""
"cipher_order-tls1_2","economie.gouv.fr/141.101.90.96","443","OK","server -- server prioritizes ChaCha ciphers when preferred by clients","",""
"cipher-tls1_2_xc02f","economie.gouv.fr/141.101.90.96","443","OK","TLSv1.2   xc02f   ECDHE-RSA-AES128-GCM-SHA256       ECDH 253   AESGCM      128      TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256","",""
"cipher-tls1_2_xcca8","economie.gouv.fr/141.101.90.96","443","OK","TLSv1.2   xcca8   ECDHE-RSA-CHACHA20-POLY1305       ECDH 253   ChaCha20    256      TLS_ECDHE_RSA_WITH_CHACHA20_POLY1305_SHA256","",""
"cipher-tls1_2_xc013","economie.gouv.fr/141.101.90.96","443","LOW","TLSv1.2   xc013   ECDHE-RSA-AES128-SHA              ECDH 253   AES         128      TLS_ECDHE_RSA_WITH_AES_128_CBC_SHA","",""
"cipher-tls1_2_x9c","economie.gouv.fr/141.101.90.96","443","OK","TLSv1.2   x9c     AES128-GCM-SHA256                 RSA        AESGCM      128      TLS_RSA_WITH_AES_128_GCM_SHA256","",""
"cipher-tls1_2_x2f","economie.gouv.fr/141.101.90.96","443","LOW","TLSv1.2   x2f     AES128-SHA                        RSA        AES         128      TLS_RSA_WITH_AES_128_CBC_SHA","",""
"cipher-tls1_2_xc030","economie.gouv.fr/141.101.90.96","443","OK","TLSv1.2   xc030   ECDHE-RSA-AES256-GCM-SHA384       ECDH 253   AESGCM      256      TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384","",""
"cipher-tls1_2_xc014","economie.gouv.fr/141.101.90.96","443","LOW","TLSv1.2   xc014   ECDHE-RSA-AES256-SHA              ECDH 253   AES         256      TLS_ECDHE_RSA_WITH_AES_256_CBC_SHA","",""
"cipher-tls1_2_x9d","economie.gouv.fr/141.101.90.96","443","OK","TLSv1.2   x9d     AES256-GCM-SHA384                 RSA        AESGCM      256      TLS_RSA_WITH_AES_256_GCM_SHA384","",""
"cipher-tls1_2_x35","economie.gouv.fr/141.101.90.96","443","LOW","TLSv1.2   x35     AES256-SHA                        RSA        AES         256      TLS_RSA_WITH_AES_256_CBC_SHA","",""
"cipher-tls1_2_xc027","economie.gouv.fr/141.101.90.96","443","LOW","TLSv1.2   xc027   ECDHE-RSA-AES128-SHA256           ECDH 253   AES         128      TLS_ECDHE_RSA_WITH_AES_128_CBC_SHA256","",""
"cipher-tls1_2_x3c","economie.gouv.fr/141.101.90.96","443","LOW","TLSv1.2   x3c     AES128-SHA256                     RSA        AES         128      TLS_RSA_WITH_AES_128_CBC_SHA256","",""
"cipher-tls1_2_xc028","economie.gouv.fr/141.101.90.96","443","LOW","TLSv1.2   xc028   ECDHE-RSA-AES256-SHA384           ECDH 253   AES         256      TLS_ECDHE_RSA_WITH_AES_256_CBC_SHA384","",""
"cipher-tls1_2_x3d","economie.gouv.fr/141.101.90.96","443","LOW","TLSv1.2   x3d     AES256-SHA256                     RSA        AES         256      TLS_RSA_WITH_AES_256_CBC_SHA256","",""
"cipherorder_TLSv1_2","economie.gouv.fr/141.101.90.96","443","INFO","ECDHE-RSA-AES128-GCM-SHA256 ECDHE-RSA-CHACHA20-POLY1305 ECDHE-RSA-AES128-SHA AES128-GCM-SHA256 AES128-SHA ECDHE-RSA-AES256-GCM-SHA384 ECDHE-RSA-AES256-SHA AES256-GCM-SHA384 AES256-SHA ECDHE-RSA-AES128-SHA256 AES128-SHA256 ECDHE-RSA-AES256-SHA384 AES256-SHA256","",""
"prioritize_chacha_TLSv1_2","economie.gouv.fr/141.101.90.96","443","INFO","true","",""
"cipher_order-tls1_3","economie.gouv.fr/141.101.90.96","443","INFO","NOT a cipher order configured","",""
"cipher-tls1_3_x1302","economie.gouv.fr/141.101.90.96","443","OK","TLSv1.3   x1302   TLS_AES_256_GCM_SHA384            ECDH/MLKEM AESGCM      256      TLS_AES_256_GCM_SHA384","",""
"cipher-tls1_3_x1303","economie.gouv.fr/141.101.90.96","443","OK","TLSv1.3   x1303   TLS_CHACHA20_POLY1305_SHA256      ECDH/MLKEM ChaCha20    256      TLS_CHACHA20_POLY1305_SHA256","",""
"cipher-tls1_3_x1301","economie.gouv.fr/141.101.90.96","443","OK","TLSv1.3   x1301   TLS_AES_128_GCM_SHA256            ECDH/MLKEM AESGCM      128      TLS_AES_128_GCM_SHA256","",""
"supportedciphers_TLSv1_3","economie.gouv.fr/141.101.90.96","443","INFO","TLS_AES_256_GCM_SHA384 TLS_CHACHA20_POLY1305_SHA256 TLS_AES_128_GCM_SHA256","",""
"cipher_order","economie.gouv.fr/141.101.90.96","443","OK","server -- TLS 1.3 client determined","",""
"FS","economie.gouv.fr/141.101.90.96","443","OK","offered","",""
"FS_ciphers","economie.gouv.fr/141.101.90.96","443","INFO","TLS_AES_256_GCM_SHA384 TLS_CHACHA20_POLY1305_SHA256 ECDHE-RSA-AES256-GCM-SHA384 ECDHE-RSA-AES256-SHA384 ECDHE-RSA-AES256-SHA ECDHE-RSA-CHACHA20-POLY1305 TLS_AES_128_GCM_SHA256 ECDHE-RSA-AES128-GCM-SHA256 ECDHE-RSA-AES128-SHA256 ECDHE-RSA-AES128-SHA","",""
"FS_KEMs","economie.gouv.fr/141.101.90.96","443","OK","X25519MLKEM768 X25519Kyber768Draft00","",""
"FS_ECDHE_curves","economie.gouv.fr/141.101.90.96","443","OK","prime256v1 secp384r1 secp521r1 X25519","",""
"FS_TLS12_sig_algs","economie.gouv.fr/141.101.90.96","443","INFO","RSA-PSS-RSAE+SHA256 RSA+SHA256 RSA-PSS-RSAE+SHA384","",""
"FS_TLS13_sig_algs","economie.gouv.fr/141.101.90.96","443","INFO","RSA-PSS-RSAE+SHA256 RSA-PSS-RSAE+SHA384 RSA-PSS-RSAE+SHA512","",""
"TLS_extensions","economie.gouv.fr/141.101.90.96","443","INFO","'server name/#0' 'EC point formats/#11' 'application layer protocol negotiation/#16' 'extended master secret/#23' 'compress_certificate/#27' 'session ticket/#35' 'supported versions/#43' 'key share/#51' 'next protocol/#13172' 'renegotiation info/#65281'","",""
"TLS_session_ticket","economie.gouv.fr/141.101.90.96","443","INFO","valid for 64800 seconds only (<daily)","",""
"SSL_sessionID_support","economie.gouv.fr/141.101.90.96","443","INFO","yes","",""
"sessionresumption_ticket","economie.gouv.fr/141.101.90.96","443","INFO","supported","",""
"sessionresumption_ID","economie.gouv.fr/141.101.90.96","443","INFO","not supported","",""
"TLS_timestamp","economie.gouv.fr/141.101.90.96","443","INFO","random","",""
"certificate_compression","economie.gouv.fr/141.101.90.96","443","INFO","0002/Brotli","",""
"clientAuth","economie.gouv.fr/141.101.90.96","443","INFO","none","",""
"cert_numbers","economie.gouv.fr/141.101.90.96","443","INFO","1","",""
"cert_signatureAlgorithm","economie.gouv.fr/141.101.90.96","443","OK","SHA256 with RSA","",""
"cert_keySize","economie.gouv.fr/141.101.90.96","443","INFO","RSA 2048 bits (exponent is 65537)","",""
"cert_keyUsage","economie.gouv.fr/141.101.90.96","443","INFO","Digital Signature, Key Encipherment","",""
"cert_extKeyUsage","economie.gouv.fr/141.101.90.96","443","INFO","TLS Web Server Authentication","",""
"cert_serialNumber","economie.gouv.fr/141.101.90.96","443","INFO","BA9A004D1055AFC765F26836AD757455","",""
"cert_serialNumberLen","economie.gouv.fr/141.101.90.96","443","INFO","16","",""
"cert_fingerprintSHA1","economie.gouv.fr/141.101.90.96","443","INFO","EDB19059F8D9FB3CE18085DC38661A21BD678D4B","",""
"cert_fingerprintSHA256","economie.gouv.fr/141.101.90.96","443","INFO","8A110D15EEA79E38230130F6F97BA563C8BB68684CD025A89FFC304C3C09C0D2","",""
"cert","economie.gouv.fr/141.101.90.96","443","INFO","-----BEGIN CERTIFICATE-----\nMIIH0jCCBbqgAwIBAgIRALqaAE0QVa/HZfJoNq11dFUwDQYJKoZIhvcNAQELBQAwdjELMAkGA1UEBhMCRlIxETAPBgNVBAoMCENlcnRpZ25hMR0wGwYDVQRhDBROVFJGUi00ODE0NjMwODEwMDAzNjE1MDMGA1UEAwwsQ2VydGlnbmEgU2VydmVyIEF1dGhlbnRpY2F0aW9uIE9WQ1AgRVUgQ0EgRzEwHhcNMjUwOTI0MTI0NDAyWhcNMjUxMjIzMTI0NDAxWjCBlzELMAkGA1UEBhMCRlIxDjAMBgNVBAcMBVBBUklTMUUwQwYDVQQKDDxTRUNSRVRBUklBVCBHRU5FUkFMIERFUyBNSU5JU1RFUkVTIEVDT05PTUlRVUVTIEVUIEZJTkFOQ0lFUlMxHTAbBgNVBAMMFHd3dy5lY29ub21pZS5nb3V2LmZyMRIwEAYDVQQFEwlTOTg0MTcxNTUwggEiMA0GCSqGSIb3DQEBAQUAA4IBDwAwggEKAoIBAQCm2xwt08mcC/byZzZwjeGGcRiIphEPxVphZDJUJJV4KVASPS3hlDK+Ok2BrZGINULTvMgy5g2hPOzf0MLPUTmyWTqXF5gY+X/tAaPPJOkC1FVdLLhdjKZWW2o8N6KwsMOaQWMED3F7WjSoSPFOHxsfESpKZiFvBdic5Qn457Kq18Ql5HBHtTZnU2rVhGLzrTxuxajuLOoWqpcBJm1q7ivxcPKmc3jHfVEOd4H9bmad3Vr4ttWCl86Ch8jUIPblFpGEdT2Rj0oSADzRkMx2cSul86iUw6DpLOMCAVpjfb8I1tmTs4RIyDW/m/uc+9FKs1Gtw8Ekgg/7Y7f3t0L7HYfHAgMBAAGjggM3MIIDMzBfBggrBgEFBQcBAQRTMFEwTwYIKwYBBQUHMAKGQ2h0dHA6Ly9jZXJ0LmNlcnRpZ25hLmNvbS9DZXJ0aWduYVNlcnZlckF1dGhlbnRpY2F0aW9uT1ZDUEVVQ0FHMS5jZXIwHwYDVR0jBBgwFoAUoHLmRsQwXOStwhzC1WI4mIFaVKYwDAYDVR0TAQH/BAIwADBTBgNVHSAETDBKMAgGBgQAj3oBBzA0BgsqgXoBgTEBFwEBATAlMCMGCCsGAQUFBwIBFhdodHRwOi8vY3BzLmNlcnRpZ25hLmNvbTAIBgZngQwBAgIwUwYDVR0fBEwwSjBIoEagRIZCaHR0cDovL2NybC5jZXJ0aWduYS5jb20vQ2VydGlnbmFTZXJ2ZXJBdXRoZW50aWNhdGlvbk9WQ1BFVUNBRzEuY3JsMBMGA1UdJQQMMAoGCCsGAQUFBwMBMA4GA1UdDwEB/wQEAwIFoDAxBgNVHREEKjAoghR3d3cuZWNvbm9taWUuZ291di5mcoIQZWNvbm9taWUuZ291di5mcjAdBgNVHQ4EFgQUUdr9dAVEb2JZtAkAmaXBXQvjK1swggF+BgorBgEEAdZ5AgQCBIIBbgSCAWoBaAB1ACgsi92BD/kJEgrOFtbg7CAb6oKjpK8Z2e/7Weg/3EJoAAABmXvAl2YAAAQDAEYwRAIgCxca8vFHfxgWCdXZ6AM9LexD+R3gzo9H6N34zU4uKF4CIBoecLRzjN3k9L/g3ob/sXCi0RVQ9kJ0LxbC32xxAQcyAHYAEvFONL1TckyEBhnDjz96E/jntWKHiJxtMAWE6+WGJjoAAAGZe8CXCQAABAMARzBFAiBPNXrk5IF379wK52JzOZsIFuRKVAbH5ezNn3Qa+pJBXwIhAI+MhhsgVAI0QXb0DzEOmuP4hdhlPAt8cZNn0arhz+hcAHcApELFBklgYVSPD9TqnPt6LSZFTYepfy/fRVn2J086hFQAAAGZe8CZHgAABAMASDBGAiEAs3EOAPmDxNFPw+DomMnbRkYjbi6TvKNjyPA9BeEEKeUCIQDxH1GzVgdMH1eDNbasQb4g6h+8fWxHTbv+pAnS5d9NqTANBgkqhkiG9w0BAQsFAAOCAgEAttDpu+acPX3JGngxZrZrHHYxsMnJ3XzzJwHcEprIF8KYfkL+wwpAzYBoN3+d4Hc/i4lVNOADKa7G2VDbyC1RVDTKEwYC3102scvmEGSAllfQWgZ+AuIHL3or4AQiWk+JQk23IwUHHEqt64rnSOLDv/4K23H/aRp22YeEopcWFPwOODmuJwfnnijSaeoSjynOrkM4JLq0fEp3/G7tq7JS6sVpnV8n7LlaA5rx1rCPH5sgVH5KfOiDKHvgUeSaFbkvka3J0vvhRtAqwliAR1rUYxh69MqWlnDWIrVR22Y+2Gxo2PYKVTwgcYtbXdT/OWrbufHXCTEyqUBJgNMZ6qm43w63R2wQO9/ZYNp6muqR7uTfrIqTHRIdjC4YFUek0P/SwYpBtTZ7hIJUlfRC2unI3OxPkDRTD5qVO4NQTNBe170OkH6N83RDo2/HRCnsPE0Kj/Sudg2CzjKsAg3CuJiq/jr9EY/xf6ZEwz8sPUHnDSjpzi2Bj7+h0p+MyIkPjZ3ny8RppoQszdvfiyUdN9UXK6T1wYDq49j4r/EHbfa8WJcQK4hGTBeyuO5AdYfHmUQsqomb9K9GKlLN0hVhsV4/CKKU2Q7HZttaD87RCu1QrO1vSVkDlgJcnXTN5AkHBETkYKbIllCXkMOZ5g4644JCx3aLyPpciKHCDwCZjBtalyA=\n-----END CERTIFICATE-----","",""
"cert_commonName","economie.gouv.fr/141.101.90.96","443","OK","www.economie.gouv.fr","",""
"cert_commonName_wo_SNI","economie.gouv.fr/141.101.90.96","443","INFO","request w/o SNI didn't succeed","",""
"cert_subjectAltName","economie.gouv.fr/141.101.90.96","443","INFO","www.economie.gouv.fr economie.gouv.fr","",""
"cert_trust","economie.gouv.fr/141.101.90.96","443","OK","Ok via SAN (SNI mandatory)","",""
"cert_chain_of_trust","economie.gouv.fr/141.101.90.96","443","OK","passed.","",""
"cert_certificatePolicies_EV","economie.gouv.fr/141.101.90.96","443","INFO","no","",""
"cert_expirationStatus","economie.gouv.fr/141.101.90.96","443","OK","65 >= 60 days","",""
"cert_notBefore","economie.gouv.fr/141.101.90.96","443","INFO","2025-09-24 12:44","",""
"cert_notAfter","economie.gouv.fr/141.101.90.96","443","OK","2025-12-23 12:44","",""
"cert_extlifeSpan","economie.gouv.fr/141.101.90.96","443","OK","certificate has no extended life time according to browser forum","",""
"cert_eTLS","economie.gouv.fr/141.101.90.96","443","INFO","not present","",""
"cert_crlDistributionPoints","economie.gouv.fr/141.101.90.96","443","INFO","http://crl.certigna.com/CertignaServerAuthenticationOVCPEUCAG1.crl","",""
"cert_ocspURL","economie.gouv.fr/141.101.90.96","443","INFO","--","",""
"OCSP_stapling","economie.gouv.fr/141.101.90.96","443","INFO","not offered","",""
"cert_mustStapleExtension","economie.gouv.fr/141.101.90.96","443","INFO","--","",""
"DNS_CAArecord","economie.gouv.fr/141.101.90.96","443","OK","issue=certigna.com, issue=globalsign.com, issue=letsencrypt.org, issue=sectigo.com","",""
"certificate_transparency","economie.gouv.fr/141.101.90.96","443","OK","yes (certificate extension)","",""
"certs_countServer","economie.gouv.fr/141.101.90.96","443","INFO","2","",""
"certs_list_ordering_problem","economie.gouv.fr/141.101.90.96","443","INFO","no","",""
"cert_caIssuers","economie.gouv.fr/141.101.90.96","443","INFO","Certigna Server Authentication OVCP EU CA G1 (Certigna from FR)","",""
